Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,62,152,44,Lawful Neutral,"[ 11, 08, 08, 13, 07, 08 ]",9.17,Commoner,378
Dwarf: ,Male,72,149,50,Chaotic Neutral,"[ 11, 11, 08, 08, 09, 13 ]",10.0,Commoner,391
Dwarf: ,Male,68,142,45,Lawful Evil,"[ 12, 07, 12, 13, 05, 08 ]",9.5,Commoner,349
Dwarf: ,Female,66,138,44,Chaotic Good,"[ 10, 05, 11, 06, 08, 07 ]",7.83,Commoner,356
Dwarf: ,Female,69,117,48,Neutral Evil,"[ 10, 11, 09, 08, 09, 13 ]",10.0,Commoner,401
Dwarf: ,Female,72,126,49,Lawful Neutral,"[ 09, 05, 11, 08, 09, 04 ]",7.67,Commoner,408
Dwarf: ,Female,67,116,44,Lawful Evil,"[ 09, 08, 08, 04, 06, 12 ]",7.83,Commoner,356
Dwarf: ,Female,57,120,42,Chaotic Evil,"[ 05, 11, 07, 10, 11, 13 ]",9.5,Commoner,339
Dwarf: ,Male,69,141,51,Chaotic Neutral,"[ 18, 08, 18, 08, 08, 08 ]",11.33,Elite,327
Dwarf: ,Female,62,125,51,Chaotic Neutral,"[ 12, 09, 07, 08, 06, 09 ]",8.5,Commoner,367
Dwarf: ,Male,53,154,47,Neutral Good,"[ 05, 09, 11, 12, 11, 10 ]",9.67,Commoner,381
Dwarf: ,Male,63,153,47,Lawful Neutral,"[ 10, 10, 12, 10, 10, 10 ]",10.33,Commoner,260
Dwarf: ,Female,56,136,43,Lawful Good,"[ 11, 11, 11, 05, 05, 05 ]",8.0,Commoner,289
Dwarf: ,Female,72,132,47,True Neutral,"[ 10, 08, 07, 09, 13, 10 ]",9.5,Commoner,312
Dwarf: ,Female,65,119,43,Chaotic Neutral,"[ 08, 09, 05, 09, 07, 14 ]",8.67,Commoner,343
Elf: ,Male,120,108,64,Neutral Evil,"[ 09, 11, 14, 11, 15, 16 ]",12.67,Elite,626
Dwarf: ,Male,82,147,53,Neutral Evil,"[ 11, 06, 04, 08, 11, 10 ]",8.33,Commoner,310
Dwarf: ,Male,76,152,51,Lawful Good,"[ 11, 10, 12, 09, 10, 06 ]",9.67,Commoner,401
Dwarf: ,Male,77,163,52,Lawful Evil,"[ 07, 09, 12, 16, 06, 17 ]",11.17,Commoner,323
Dwarf: ,Female,74,128,47,Lawful Evil,"[ 07, 09, 10, 07, 11, 08 ]",8.67,Commoner,344
Dwarf: ,Male,75,156,49,Lawful Neutral,"[ 07, 09, 15, 09, 07, 12 ]",9.83,Commoner,353
Dwarf: ,Male,65,154,52,Lawful Evil,"[ 06, 08, 05, 08, 07, 10 ]",7.33,Commoner,339
Dwarf: ,Female,82,130,49,Chaotic Good,"[ 11, 05, 12, 09, 11, 11 ]",9.83,Commoner,384
Dwarf: ,Female,71,127,50,Neutral Evil,"[ 09, 13, 09, 05, 09, 10 ]",9.17,Commoner,335
Dwarf: ,Female,63,134,44,True Neutral,"[ 09, 12, 08, 10, 15, 10 ]",10.67,Commoner,319
Dwarf: ,Male,72,158,48,Lawful Neutral,"[ 07, 10, 10, 13, 09, 10 ]",9.83,Commoner,269
Dwarf: ,Male,74,157,45,Chaotic Good,"[ 05, 06, 06, 06, 09, 10 ]",7.0,Commoner,337
Dwarf: ,Male,63,148,50,Chaotic Evil,"[ 09, 15, 14, 12, 08, 07 ]",10.83,Commoner,298
Dwarf: ,Female,64,130,43,Neutral Evil,"[ 11, 10, 07, 08, 09, 10 ]",9.17,Commoner,375
Dwarf: ,Male,75,153,47,True Neutral,"[ 10, 06, 09, 13, 11, 06 ]",9.17,Commoner,341
Dwarf: ,Female,61,116,47,Lawful Evil,"[ 09, 11, 05, 10, 08, 08 ]",8.5,Commoner,421
Dwarf: ,Female,78,133,49,Chaotic Neutral,"[ 08, 08, 04, 04, 08, 09 ]",6.83,Commoner,307
Dwarf: ,Female,79,141,51,Lawful Evil,"[ 09, 09, 11, 03, 06, 04 ]",7.0,Commoner,347
Dwarf: ,Male,65,152,46,Chaotic Evil,"[ 09, 12, 12, 09, 15, 09 ]",11.0,Commoner,277
Dwarf: ,Female,77,135,51,Lawful Good,"[ 11, 04, 10, 08, 08, 11 ]",8.67,Commoner,361
Dwarf: ,Female,67,119,44,True Neutral,"[ 07, 12, 12, 09, 10, 06 ]",9.33,Commoner,303
Dwarf: ,Female,66,121,45,True Neutral,"[ 10, 11, 07, 09, 08, 09 ]",9.0,Commoner,359
Dwarf: ,Female,62,127,47,True Neutral,"[ 06, 03, 15, 14, 11, 12 ]",10.17,Commoner,328
Dwarf: ,Male,63,158,45,Chaotic Neutral,"[ 06, 08, 14, 08, 09, 07 ]",8.67,Commoner,351
Dwarf: ,Female,64,122,47,Chaotic Evil,"[ 10, 09, 10, 06, 08, 09 ]",8.67,Commoner,295
Human: ,Female,17,129,67,Lawful Neutral,"[ 11, 11, 13, 12, 11, 17 ]",12.5,Elite,118
Dwarf: ,Male,82,154,45,True Neutral,"[ 18, 18, 09, 06, 03, 14 ]",11.33,Elite,335
Dwarf: ,Female,71,133,44,Chaotic Neutral,"[ 10, 12, 06, 10, 12, 08 ]",9.67,Commoner,325
Dwarf: ,Female,70,118,46,True Neutral,"[ 12, 04, 07, 10, 07, 15 ]",9.17,Commoner,321
Dwarf: ,Male,68,151,52,Neutral Good,"[ 09, 13, 05, 12, 08, 11 ]",9.67,Commoner,319
Dwarf: ,Female,64,129,49,True Neutral,"[ 05, 15, 10, 04, 08, 06 ]",8.0,Commoner,277
Dwarf: ,Male,70,159,44,Neutral Good,"[ 05, 11, 12, 05, 12, 11 ]",9.33,Commoner,322
Dwarf: ,Male,75,148,52,True Neutral,"[ 10, 11, 05, 04, 14, 08 ]",8.67,Commoner,303
Dwarf: ,Male,64,152,44,Chaotic Good,"[ 08, 08, 09, 03, 09, 13 ]",8.33,Commoner,364
Dwarf: ,Male,70,156,48,Chaotic Neutral,"[ 11, 16, 13, 03, 12, 07 ]",10.33,Commoner,311
Dwarf: ,Female,66,124,48,Neutral Evil,"[ 09, 09, 09, 10, 07, 10 ]",9.0,Commoner,413
