Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,126,42,Chaotic Neutral,"[ 07, 08, 09, 09, 04, 05 ]",7.0,Commoner,365
Dwarf: ,Male,67,149,45,Chaotic Evil,"[ 06, 10, 08, 14, 10, 08 ]",9.33,Commoner,314
Gnome: ,Female,75,79,37,Chaotic Evil,"[ 09, 12, 11, 18, 11, 18 ]",13.17,Adventurer,274
Dwarf: ,Male,58,149,49,Chaotic Good,"[ 06, 05, 09, 06, 06, 08 ]",6.67,Commoner,295
Dwarf: ,Female,70,135,50,Neutral Good,"[ 09, 05, 12, 10, 09, 07 ]",8.67,Commoner,343
Dwarf: ,Male,73,137,52,Lawful Evil,"[ 06, 05, 07, 14, 09, 06 ]",7.83,Commoner,334
Dwarf: ,Male,70,155,49,Neutral Good,"[ 07, 04, 12, 07, 09, 08 ]",7.83,Commoner,353
Dwarf: ,Male,62,148,50,Lawful Evil,"[ 13, 06, 05, 09, 06, 12 ]",8.5,Commoner,310
Dwarf: ,Female,62,132,42,Lawful Good,"[ 11, 10, 07, 11, 05, 06 ]",8.33,Commoner,356
Dwarf: ,Female,74,135,45,Chaotic Evil,"[ 11, 12, 09, 10, 10, 07 ]",9.83,Commoner,340
Dwarf: ,Female,63,135,51,Lawful Neutral,"[ 12, 10, 07, 13, 10, 12 ]",10.67,Commoner,417
Dwarf: ,Female,64,125,43,Lawful Evil,"[ 09, 09, 09, 06, 06, 11 ]",8.33,Commoner,374
Halfling: ,Male,30,61,43,Neutral Good,"[ 14, 16, 07, 13, 10, 10 ]",11.67,Elite,183
Dwarf: ,Female,76,124,49,Lawful Evil,"[ 06, 08, 09, 09, 09, 08 ]",8.17,Commoner,389
Dwarf: ,Male,71,156,45,Neutral Evil,"[ 12, 06, 09, 12, 11, 07 ]",9.5,Commoner,344
Dwarf: ,Male,67,149,47,Chaotic Neutral,"[ 09, 05, 11, 09, 11, 09 ]",9.0,Commoner,359
Dwarf: ,Female,57,128,43,Lawful Neutral,"[ 10, 14, 06, 13, 09, 09 ]",10.17,Commoner,379
Dwarf: ,Female,63,127,49,Chaotic Good,"[ 07, 13, 12, 09, 11, 07 ]",9.83,Commoner,388
Dwarf: ,Male,79,146,45,Chaotic Good,"[ 12, 08, 08, 06, 08, 07 ]",8.17,Commoner,296
Dwarf: ,Male,60,152,48,Lawful Neutral,"[ 06, 07, 11, 08, 12, 06 ]",8.33,Commoner,360
Dwarf: ,Female,68,124,45,Chaotic Neutral,"[ 11, 08, 08, 10, 12, 08 ]",9.5,Commoner,289
Dwarf: ,Male,76,147,50,Lawful Evil,"[ 07, 07, 11, 09, 08, 08 ]",8.33,Commoner,362
Dwarf: ,Female,64,125,43,Chaotic Evil,"[ 10, 03, 09, 13, 12, 14 ]",10.17,Commoner,302
Dwarf: ,Male,75,144,48,Chaotic Evil,"[ 07, 09, 15, 10, 11, 12 ]",10.67,Commoner,406
Dwarf: ,Male,72,158,53,Lawful Evil,"[ 09, 12, 09, 13, 08, 10 ]",10.17,Commoner,349
Dwarf: ,Male,66,149,49,True Neutral,"[ 08, 10, 07, 11, 05, 12 ]",8.83,Commoner,335
Dwarf: ,Male,54,159,46,Lawful Evil,"[ 09, 10, 09, 10, 12, 10 ]",10.0,Commoner,378
Dwarf: ,Female,67,129,46,Lawful Good,"[ 09, 14, 06, 11, 04, 07 ]",8.5,Commoner,400
Dwarf: ,Male,81,154,47,Lawful Evil,"[ 13, 12, 10, 11, 09, 13 ]",11.33,Elite,347
Dwarf: ,Male,77,150,49,Lawful Evil,"[ 11, 10, 18, 09, 15, 03 ]",11.0,Commoner,361
Dwarf: ,Female,62,129,45,Chaotic Evil,"[ 08, 10, 10, 11, 12, 07 ]",9.67,Commoner,286
Dwarf: ,Male,71,164,51,Lawful Neutral,"[ 08, 06, 07, 12, 08, 05 ]",7.67,Commoner,364
Dwarf: ,Male,64,151,49,Chaotic Evil,"[ 11, 08, 09, 10, 14, 04 ]",9.33,Commoner,357
Dwarf: ,Female,71,121,45,Lawful Good,"[ 10, 10, 11, 15, 05, 06 ]",9.5,Commoner,322
Dwarf: ,Male,70,151,46,Neutral Evil,"[ 14, 09, 06, 07, 06, 06 ]",8.0,Commoner,349
Dwarf: ,Female,65,129,49,Lawful Good,"[ 11, 07, 08, 15, 05, 11 ]",9.5,Commoner,327
Dwarf: ,Female,70,134,45,Lawful Good,"[ 15, 09, 09, 10, 10, 11 ]",10.67,Commoner,355
Dwarf: ,Female,79,127,44,Lawful Neutral,"[ 06, 09, 05, 16, 10, 11 ]",9.5,Commoner,341
Dwarf: ,Female,62,132,51,True Neutral,"[ 13, 13, 08, 04, 09, 10 ]",9.5,Commoner,386
Dwarf: ,Male,74,160,46,Lawful Neutral,"[ 09, 13, 11, 11, 08, 08 ]",10.0,Commoner,332
Dwarf: ,Female,70,124,44,Lawful Evil,"[ 11, 14, 09, 08, 11, 10 ]",10.5,Commoner,358
Dwarf: ,Male,76,154,50,Lawful Good,"[ 18, 10, 09, 08, 14, 09 ]",11.33,Elite,285
Dwarf: ,Male,73,164,45,Neutral Evil,"[ 12, 12, 14, 08, 04, 15 ]",10.83,Commoner,295
Dwarf: ,Male,75,143,48,Lawful Good,"[ 09, 09, 10, 11, 10, 07 ]",9.33,Commoner,410
Dwarf: ,Male,64,156,51,Chaotic Evil,"[ 13, 12, 10, 09, 10, 10 ]",10.67,Commoner,355
Dwarf: ,Male,69,151,45,Chaotic Neutral,"[ 08, 15, 13, 07, 12, 10 ]",10.83,Commoner,317
Dwarf: ,Female,64,131,45,Lawful Neutral,"[ 08, 05, 08, 11, 09, 09 ]",8.33,Commoner,372
Dwarf: ,Male,65,143,47,Lawful Evil,"[ 03, 04, 11, 10, 05, 07 ]",6.67,Commoner,357
Dwarf: ,Male,78,161,45,Chaotic Good,"[ 07, 11, 09, 08, 08, 05 ]",8.0,Commoner,287
Dwarf: ,Female,69,116,45,True Neutral,"[ 12, 06, 05, 08, 10, 07 ]",8.0,Commoner,320
