Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,69,137,51,Lawful Evil,"[ 11, 06, 06, 11, 05, 06 ]",7.5,Commoner,333
Dwarf: ,Male,61,156,53,Lawful Good,"[ 12, 12, 07, 04, 08, 12 ]",9.17,Commoner,337
Dwarf: ,Female,55,122,42,Neutral Good,"[ 07, 07, 09, 13, 04, 13 ]",8.83,Commoner,258
Dwarf: ,Female,74,128,44,Lawful Evil,"[ 06, 09, 12, 11, 05, 12 ]",9.17,Commoner,294
Dwarf: ,Male,63,157,50,Chaotic Evil,"[ 12, 11, 06, 10, 10, 08 ]",9.5,Commoner,368
Dwarf: ,Male,66,150,49,Chaotic Evil,"[ 05, 09, 18, 08, 08, 09 ]",9.5,Commoner,392
Dwarf: ,Male,66,151,44,Chaotic Neutral,"[ 09, 07, 11, 07, 15, 15 ]",10.67,Commoner,418
Half-Elf: ,Female,17,98,67,Lawful Good,"[ 13, 13, 13, 16, 09, 16 ]",13.33,Adventurer,153
Dwarf: ,Male,65,152,47,True Neutral,"[ 09, 05, 07, 08, 09, 09 ]",7.83,Commoner,409
Dwarf: ,Male,70,153,48,Neutral Evil,"[ 10, 07, 07, 10, 08, 10 ]",8.67,Commoner,381
Dwarf: ,Female,77,125,45,Chaotic Neutral,"[ 08, 07, 10, 04, 13, 10 ]",8.67,Commoner,276
Dwarf: ,Female,77,129,46,True Neutral,"[ 06, 11, 15, 08, 12, 08 ]",10.0,Commoner,342
Dwarf: ,Male,65,149,44,Lawful Good,"[ 07, 13, 09, 11, 06, 07 ]",8.83,Commoner,373
Halfling: ,Female,25,61,40,Chaotic Good,"[ 13, 12, 10, 14, 14, 08 ]",11.83,Elite,124
Half-Elf: ,Female,19,115,67,Lawful Evil,"[ 15, 12, 13, 09, 11, 18 ]",13.0,Adventurer,163
Dwarf: ,Female,61,127,51,Chaotic Neutral,"[ 11, 10, 05, 08, 07, 12 ]",8.83,Commoner,365
Dwarf: ,Female,73,129,42,Lawful Good,"[ 08, 10, 13, 11, 13, 10 ]",10.83,Commoner,331
Dwarf: ,Male,70,162,45,Lawful Evil,"[ 05, 14, 07, 12, 06, 07 ]",8.5,Commoner,377
Dwarf: ,Female,74,128,48,Lawful Evil,"[ 14, 06, 17, 08, 10, 08 ]",10.5,Commoner,331
Dwarf: ,Male,60,161,51,Chaotic Good,"[ 10, 11, 12, 06, 17, 12 ]",11.33,Elite,261
Dwarf: ,Female,65,123,44,True Neutral,"[ 04, 08, 12, 09, 10, 09 ]",8.67,Commoner,288
Dwarf: ,Male,64,153,46,Lawful Evil,"[ 11, 10, 07, 12, 07, 10 ]",9.5,Commoner,381
Halfling: ,Female,29,63,43,Lawful Neutral,"[ 10, 14, 17, 03, 10, 17 ]",11.83,Elite,152
Dwarf: ,Female,68,124,48,Neutral Good,"[ 07, 13, 12, 14, 09, 08 ]",10.5,Commoner,332
Dwarf: ,Male,70,155,51,True Neutral,"[ 08, 08, 08, 07, 12, 10 ]",8.83,Commoner,380
Halfling: ,Male,29,61,36,Lawful Evil,"[ 16, 11, 11, 12, 15, 07 ]",12.0,Elite,170
Dwarf: ,Male,70,150,44,Neutral Evil,"[ 06, 07, 13, 09, 10, 07 ]",8.67,Commoner,357
Dwarf: ,Male,67,157,44,Neutral Good,"[ 05, 13, 15, 11, 08, 09 ]",10.17,Commoner,377
Dwarf: ,Male,74,149,45,Chaotic Evil,"[ 12, 12, 10, 06, 06, 09 ]",9.17,Commoner,303
Dwarf: ,Male,75,151,50,True Neutral,"[ 11, 07, 10, 14, 04, 07 ]",8.83,Commoner,384
Human: ,Female,18,138,72,Lawful Good,"[ 13, 08, 13, 18, 09, 10 ]",11.83,Elite,109
Dwarf: ,Female,59,125,44,Lawful Neutral,"[ 10, 08, 08, 08, 11, 07 ]",8.67,Commoner,420
Dwarf: ,Male,66,148,53,Chaotic Good,"[ 05, 10, 08, 10, 09, 10 ]",8.67,Commoner,369
Dwarf: ,Male,72,158,48,Lawful Good,"[ 04, 11, 10, 12, 09, 06 ]",8.67,Commoner,340
Dwarf: ,Male,72,163,46,Lawful Evil,"[ 07, 04, 09, 09, 10, 13 ]",8.67,Commoner,313
Dwarf: ,Male,65,141,49,Neutral Evil,"[ 09, 12, 08, 10, 08, 07 ]",9.0,Commoner,310
Dwarf: ,Female,74,122,47,Neutral Good,"[ 09, 09, 05, 09, 08, 11 ]",8.5,Commoner,311
Dwarf: ,Male,78,157,48,Neutral Good,"[ 08, 12, 07, 08, 08, 11 ]",9.0,Commoner,335
Dwarf: ,Male,77,147,51,Chaotic Neutral,"[ 12, 06, 07, 08, 06, 06 ]",7.5,Commoner,395
Dwarf: ,Female,58,123,42,Lawful Neutral,"[ 09, 09, 07, 10, 10, 11 ]",9.33,Commoner,342
Dwarf: ,Female,75,126,47,Chaotic Good,"[ 07, 13, 10, 09, 10, 10 ]",9.83,Commoner,301
Dwarf: ,Male,63,158,49,Lawful Neutral,"[ 07, 11, 07, 11, 10, 08 ]",9.0,Commoner,405
Gnome: ,Female,76,80,39,Chaotic Evil,"[ 14, 14, 11, 11, 12, 12 ]",12.33,Elite,282
Half-Elf: ,Female,18,109,66,Neutral Good,"[ 12, 04, 16, 09, 16, 16 ]",12.17,Elite,147
Dwarf: ,Female,72,130,42,Neutral Evil,"[ 11, 07, 11, 09, 06, 03 ]",7.83,Commoner,341
Dwarf: ,Male,67,148,48,True Neutral,"[ 08, 11, 11, 08, 09, 11 ]",9.67,Commoner,317
Dwarf: ,Male,57,152,53,Chaotic Evil,"[ 11, 12, 05, 12, 15, 08 ]",10.5,Commoner,325
Half-Elf: ,Male,21,125,66,Chaotic Evil,"[ 15, 09, 12, 13, 13, 10 ]",12.0,Elite,149
Dwarf: ,Male,71,152,47,Chaotic Neutral,"[ 08, 13, 09, 13, 07, 08 ]",9.67,Commoner,363
Dwarf: ,Female,69,115,50,Chaotic Neutral,"[ 11, 12, 09, 11, 06, 07 ]",9.33,Commoner,330
Dwarf: ,Female,63,126,51,Neutral Good,"[ 07, 08, 11, 06, 10, 13 ]",9.17,Commoner,372
Dwarf: ,Male,63,156,52,Chaotic Evil,"[ 11, 09, 10, 05, 05, 03 ]",7.17,Commoner,331
