Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Gnome: ,Male,82,86,42,True Neutral,"[ 14, 18, 16, 10, 14, 07 ]",13.17,Adventurer,271
Dwarf: ,Female,70,124,46,Neutral Evil,"[ 07, 13, 09, 10, 04, 08 ]",8.5,Commoner,386
Dwarf: ,Female,60,127,45,Neutral Good,"[ 07, 10, 11, 06, 09, 05 ]",8.0,Commoner,307
Dwarf: ,Female,78,131,45,Lawful Neutral,"[ 08, 10, 09, 12, 10, 11 ]",10.0,Commoner,336
Dwarf: ,Female,61,130,43,Chaotic Evil,"[ 09, 08, 10, 08, 05, 10 ]",8.33,Commoner,424
Dwarf: ,Male,69,151,49,Lawful Neutral,"[ 13, 09, 06, 07, 07, 06 ]",8.0,Commoner,428
Dwarf: ,Female,64,127,51,Lawful Neutral,"[ 11, 08, 13, 06, 13, 10 ]",10.17,Commoner,335
Dwarf: ,Female,67,119,46,Lawful Good,"[ 05, 09, 10, 08, 10, 09 ]",8.5,Commoner,397
Elf: ,Male,118,110,65,Lawful Good,"[ 12, 13, 13, 15, 09, 08 ]",11.67,Elite,471
Dwarf: ,Female,78,123,50,Neutral Good,"[ 09, 10, 04, 09, 08, 12 ]",8.67,Commoner,324
Dwarf: ,Male,76,154,44,Lawful Good,"[ 07, 09, 12, 09, 08, 05 ]",8.33,Commoner,395
Dwarf: ,Female,64,135,42,Chaotic Evil,"[ 12, 10, 13, 08, 06, 12 ]",10.17,Commoner,289
Dwarf: ,Male,66,159,44,True Neutral,"[ 09, 06, 09, 07, 08, 07 ]",7.67,Commoner,294
Dwarf: ,Female,61,134,46,Lawful Good,"[ 12, 13, 06, 07, 10, 15 ]",10.5,Commoner,317
Gnome: ,Female,72,81,41,Chaotic Evil,"[ 04, 17, 12, 17, 05, 16 ]",11.83,Elite,435
Dwarf: ,Male,58,143,49,Lawful Neutral,"[ 10, 07, 10, 08, 07, 07 ]",8.17,Commoner,372
