Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,62,152,47,Lawful Evil,"[ 08, 06, 10, 06, 09, 10 ]",8.17,Commoner,327
Dwarf: ,Female,59,124,44,Chaotic Neutral,"[ 09, 08, 07, 05, 11, 08 ]",8.0,Commoner,340
Dwarf: ,Male,62,151,50,Neutral Good,"[ 11, 10, 08, 11, 12, 07 ]",9.83,Commoner,366
Dwarf: ,Male,68,143,45,Chaotic Neutral,"[ 10, 10, 10, 09, 08, 10 ]",9.5,Commoner,379
Dwarf: ,Male,74,165,52,Neutral Evil,"[ 10, 08, 10, 09, 06, 10 ]",8.83,Commoner,296
Dwarf: ,Male,70,148,46,Lawful Good,"[ 08, 07, 12, 10, 12, 07 ]",9.33,Commoner,276
Dwarf: ,Female,72,126,44,Chaotic Good,"[ 13, 11, 12, 10, 08, 08 ]",10.33,Commoner,402
Halfling: ,Female,26,61,39,Chaotic Good,"[ 14, 15, 12, 06, 15, 08 ]",11.67,Elite,181
Dwarf: ,Female,63,113,47,Lawful Good,"[ 07, 04, 11, 11, 08, 09 ]",8.33,Commoner,332
Dwarf: ,Female,69,122,51,Lawful Evil,"[ 09, 08, 11, 10, 10, 09 ]",9.5,Commoner,371
Dwarf: ,Male,76,159,47,Chaotic Good,"[ 12, 09, 07, 08, 14, 12 ]",10.33,Commoner,297
Dwarf: ,Female,69,131,48,Lawful Neutral,"[ 09, 14, 07, 10, 08, 12 ]",10.0,Commoner,346
Elf: ,Female,114,86,59,Neutral Good,"[ 09, 18, 15, 15, 11, 16 ]",14.0,Adventurer,536
Dwarf: ,Female,79,125,50,Neutral Evil,"[ 10, 08, 06, 08, 09, 09 ]",8.33,Commoner,256
Dwarf: ,Female,70,126,51,Chaotic Neutral,"[ 08, 05, 10, 07, 09, 09 ]",8.0,Commoner,353
Dwarf: ,Female,74,125,45,Neutral Evil,"[ 09, 09, 13, 07, 06, 07 ]",8.5,Commoner,393
Dwarf: ,Male,70,154,46,Neutral Evil,"[ 08, 07, 06, 08, 10, 11 ]",8.33,Commoner,405
Dwarf: ,Male,67,152,46,Lawful Neutral,"[ 09, 09, 17, 16, 12, 14 ]",12.83,Adventurer,366
