Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,73,143,53,Lawful Good,"[ 11, 08, 07, 11, 09, 08 ]",9.0,Commoner,314
Dwarf: ,Female,66,136,49,Chaotic Evil,"[ 09, 07, 07, 08, 08, 04 ]",7.17,Commoner,354
Dwarf: ,Male,63,154,47,Chaotic Neutral,"[ 09, 10, 12, 05, 12, 11 ]",9.83,Commoner,335
Dwarf: ,Female,67,132,47,Neutral Evil,"[ 04, 08, 07, 07, 11, 09 ]",7.67,Commoner,362
Dwarf: ,Female,64,138,42,Chaotic Evil,"[ 15, 06, 11, 14, 04, 04 ]",9.0,Commoner,361
Dwarf: ,Female,65,128,44,Lawful Good,"[ 18, 09, 03, 11, 10, 16 ]",11.17,Commoner,384
Dwarf: ,Female,70,130,50,Chaotic Evil,"[ 06, 10, 10, 08, 11, 08 ]",8.83,Commoner,364
Dwarf: ,Female,72,132,49,Lawful Good,"[ 11, 11, 10, 06, 07, 12 ]",9.5,Commoner,365
Dwarf: ,Male,73,146,49,Chaotic Good,"[ 11, 06, 10, 10, 08, 07 ]",8.67,Commoner,384
Dwarf: ,Male,57,151,44,Lawful Evil,"[ 07, 11, 09, 07, 11, 08 ]",8.83,Commoner,283
Dwarf: ,Male,71,144,45,Neutral Good,"[ 10, 14, 13, 09, 13, 09 ]",11.33,Elite,444
Dwarf: ,Female,80,133,44,Chaotic Neutral,"[ 11, 07, 13, 12, 11, 11 ]",10.83,Commoner,359
Dwarf: ,Male,67,159,52,Lawful Evil,"[ 13, 09, 06, 09, 08, 03 ]",8.0,Commoner,401
Dwarf: ,Female,77,124,46,Chaotic Evil,"[ 09, 06, 11, 13, 11, 10 ]",10.0,Commoner,326
Dwarf: ,Female,52,119,43,True Neutral,"[ 04, 05, 13, 11, 14, 04 ]",8.5,Commoner,359
Dwarf: ,Female,57,128,42,Lawful Good,"[ 07, 04, 12, 09, 10, 03 ]",7.5,Commoner,316
