Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,72,148,51,Chaotic Neutral,"[ 14, 12, 14, 07, 15, 05 ]",11.17,Commoner,369
Dwarf: ,Female,79,130,48,Chaotic Evil,"[ 10, 08, 11, 06, 08, 08 ]",8.5,Commoner,360
Dwarf: ,Female,57,120,42,Lawful Evil,"[ 10, 07, 13, 12, 06, 07 ]",9.17,Commoner,361
Dwarf: ,Male,58,155,48,Neutral Good,"[ 09, 07, 10, 06, 08, 08 ]",8.0,Commoner,326
Dwarf: ,Female,79,131,46,Neutral Good,"[ 12, 12, 06, 10, 04, 14 ]",9.67,Commoner,376
Dwarf: ,Male,63,149,52,True Neutral,"[ 06, 08, 05, 12, 09, 12 ]",8.67,Commoner,398
Dwarf: ,Female,61,124,43,Lawful Good,"[ 08, 08, 06, 13, 09, 08 ]",8.67,Commoner,408
Dwarf: ,Male,57,155,47,Lawful Neutral,"[ 13, 07, 07, 06, 05, 12 ]",8.33,Commoner,343
Dwarf: ,Female,65,130,45,Chaotic Neutral,"[ 15, 03, 17, 18, 03, 09 ]",10.83,Commoner,414
Dwarf: ,Male,58,143,51,Chaotic Evil,"[ 11, 07, 06, 07, 08, 06 ]",7.5,Commoner,362
Dwarf: ,Female,76,123,47,Chaotic Neutral,"[ 12, 12, 11, 12, 12, 08 ]",11.17,Commoner,387
Dwarf: ,Male,60,151,53,Lawful Evil,"[ 08, 11, 09, 10, 10, 13 ]",10.17,Commoner,351
Dwarf: ,Male,73,141,51,Chaotic Good,"[ 08, 06, 09, 10, 13, 08 ]",9.0,Commoner,419
Halfling: ,Female,25,62,44,Chaotic Evil,"[ 03, 18, 17, 11, 14, 16 ]",13.17,Adventurer,151
Dwarf: ,Male,63,154,49,Lawful Neutral,"[ 08, 08, 06, 13, 11, 08 ]",9.0,Commoner,392
Dwarf: ,Female,63,127,47,Chaotic Neutral,"[ 05, 07, 09, 15, 13, 11 ]",10.0,Commoner,375
Dwarf: ,Female,75,125,47,Chaotic Neutral,"[ 15, 07, 10, 10, 05, 11 ]",9.67,Commoner,289
Dwarf: ,Female,64,127,44,Chaotic Good,"[ 10, 13, 09, 10, 15, 08 ]",10.83,Commoner,296
Dwarf: ,Male,65,150,46,Chaotic Evil,"[ 09, 12, 10, 08, 09, 04 ]",8.67,Commoner,280
Dwarf: ,Male,77,149,47,Chaotic Evil,"[ 10, 13, 10, 09, 10, 09 ]",10.17,Commoner,439
Dwarf: ,Female,72,125,44,Chaotic Good,"[ 06, 11, 11, 08, 07, 12 ]",9.17,Commoner,306
Gnome: ,Male,77,84,39,Chaotic Evil,"[ 12, 12, 10, 12, 14, 10 ]",11.67,Elite,424
Dwarf: ,Female,73,124,43,Neutral Good,"[ 05, 11, 10, 11, 07, 05 ]",8.17,Commoner,295
Dwarf: ,Male,67,148,52,Chaotic Good,"[ 07, 09, 11, 05, 10, 08 ]",8.33,Commoner,408
Dwarf: ,Female,70,129,43,Lawful Neutral,"[ 10, 10, 09, 11, 11, 12 ]",10.5,Commoner,394
Dwarf: ,Male,66,162,46,True Neutral,"[ 10, 08, 06, 09, 08, 06 ]",7.83,Commoner,344
Dwarf: ,Male,65,162,47,Lawful Neutral,"[ 12, 13, 09, 11, 10, 08 ]",10.5,Commoner,341
Dwarf: ,Male,57,156,51,Chaotic Neutral,"[ 06, 14, 10, 14, 08, 07 ]",9.83,Commoner,359
Dwarf: ,Female,59,128,47,Lawful Evil,"[ 12, 11, 14, 07, 10, 13 ]",11.17,Commoner,404
Gnome: ,Female,81,79,37,Chaotic Evil,"[ 08, 10, 16, 15, 18, 11 ]",13.0,Adventurer,306
Dwarf: ,Male,59,150,52,Neutral Good,"[ 06, 08, 10, 05, 05, 12 ]",7.67,Commoner,317
Dwarf: ,Female,66,125,50,Neutral Evil,"[ 17, 13, 10, 06, 07, 15 ]",11.33,Elite,330
Dwarf: ,Female,60,121,51,Lawful Neutral,"[ 07, 11, 08, 09, 11, 06 ]",8.67,Commoner,390
Dwarf: ,Female,71,128,42,Chaotic Evil,"[ 12, 12, 09, 08, 12, 10 ]",10.5,Commoner,329
Dwarf: ,Male,56,160,49,True Neutral,"[ 11, 14, 08, 15, 06, 10 ]",10.67,Commoner,419
Dwarf: ,Male,66,150,46,True Neutral,"[ 09, 08, 05, 10, 09, 10 ]",8.5,Commoner,333
Gnome: ,Female,79,83,38,Neutral Good,"[ 12, 14, 14, 11, 11, 10 ]",12.0,Elite,340
Dwarf: ,Female,67,125,43,Chaotic Evil,"[ 12, 05, 11, 04, 11, 15 ]",9.67,Commoner,360
Dwarf: ,Female,65,127,42,Neutral Good,"[ 06, 12, 08, 08, 09, 04 ]",7.83,Commoner,423
Dwarf: ,Female,62,124,42,Lawful Good,"[ 09, 10, 11, 05, 10, 09 ]",9.0,Commoner,303
Dwarf: ,Male,63,140,44,Chaotic Good,"[ 07, 11, 05, 10, 11, 06 ]",8.33,Commoner,301
Dwarf: ,Male,64,157,53,Chaotic Neutral,"[ 11, 08, 18, 08, 12, 08 ]",10.83,Commoner,352
Dwarf: ,Male,73,149,50,Lawful Neutral,"[ 12, 07, 08, 08, 12, 13 ]",10.0,Commoner,404
Dwarf: ,Male,66,159,49,Neutral Good,"[ 07, 12, 09, 09, 07, 12 ]",9.33,Commoner,358
Dwarf: ,Female,61,131,45,Neutral Good,"[ 10, 09, 12, 10, 09, 09 ]",9.83,Commoner,424
Dwarf: ,Female,63,136,50,Lawful Good,"[ 11, 11, 12, 11, 09, 11 ]",10.83,Commoner,268
Dwarf: ,Female,61,125,51,True Neutral,"[ 07, 12, 11, 09, 12, 08 ]",9.83,Commoner,327
Dwarf: ,Male,73,155,47,Neutral Evil,"[ 11, 09, 11, 09, 10, 10 ]",10.0,Commoner,414
Dwarf: ,Female,70,122,42,Lawful Evil,"[ 12, 09, 10, 12, 12, 08 ]",10.5,Commoner,293
Dwarf: ,Female,72,133,44,Chaotic Evil,"[ 08, 10, 08, 10, 14, 08 ]",9.67,Commoner,373
Dwarf: ,Female,79,127,51,Chaotic Good,"[ 09, 11, 09, 13, 07, 10 ]",9.83,Commoner,382
Dwarf: ,Male,58,158,50,Chaotic Neutral,"[ 12, 13, 11, 09, 11, 10 ]",11.0,Commoner,333
Dwarf: ,Female,73,126,46,Chaotic Neutral,"[ 12, 05, 10, 06, 08, 07 ]",8.0,Commoner,339
Dwarf: ,Male,72,161,49,True Neutral,"[ 08, 13, 09, 03, 10, 08 ]",8.5,Commoner,380
Dwarf: ,Female,76,121,44,Chaotic Good,"[ 09, 09, 14, 07, 09, 10 ]",9.67,Commoner,388
Dwarf: ,Male,68,157,44,Chaotic Good,"[ 09, 09, 12, 09, 08, 09 ]",9.33,Commoner,355
Dwarf: ,Male,69,149,44,Chaotic Good,"[ 10, 09, 07, 04, 11, 11 ]",8.67,Commoner,368
Dwarf: ,Female,60,138,51,Chaotic Evil,"[ 15, 09, 11, 05, 12, 08 ]",10.0,Commoner,339
Dwarf: ,Male,77,149,50,Neutral Evil,"[ 08, 06, 09, 09, 08, 11 ]",8.5,Commoner,414
Dwarf: ,Female,86,136,47,Lawful Evil,"[ 09, 04, 08, 08, 12, 07 ]",8.0,Commoner,391
Dwarf: ,Male,67,162,45,Lawful Evil,"[ 06, 10, 14, 15, 10, 12 ]",11.17,Commoner,369
Dwarf: ,Female,67,129,43,Lawful Evil,"[ 09, 12, 05, 10, 10, 11 ]",9.5,Commoner,299
Dwarf: ,Female,68,125,49,Neutral Good,"[ 08, 05, 12, 11, 05, 08 ]",8.17,Commoner,307
Dwarf: ,Male,77,158,49,Lawful Evil,"[ 12, 08, 04, 11, 07, 13 ]",9.17,Commoner,282
Dwarf: ,Male,68,152,52,Chaotic Evil,"[ 07, 11, 06, 07, 11, 05 ]",7.83,Commoner,360
Dwarf: ,Male,73,152,50,Lawful Good,"[ 05, 10, 06, 05, 10, 06 ]",7.0,Commoner,309
Dwarf: ,Female,60,136,51,Lawful Neutral,"[ 11, 07, 13, 07, 12, 10 ]",10.0,Commoner,390
Dwarf: ,Male,63,156,50,Lawful Neutral,"[ 10, 08, 09, 07, 10, 09 ]",8.83,Commoner,384
Dwarf: ,Male,60,154,48,Chaotic Neutral,"[ 10, 12, 09, 10, 10, 12 ]",10.5,Commoner,400
Dwarf: ,Male,67,160,46,Lawful Good,"[ 07, 06, 14, 08, 12, 05 ]",8.67,Commoner,414
Dwarf: ,Male,67,157,45,Neutral Evil,"[ 12, 09, 10, 07, 08, 04 ]",8.33,Commoner,348
Dwarf: ,Male,75,154,48,Neutral Good,"[ 09, 09, 11, 06, 04, 12 ]",8.5,Commoner,354
Dwarf: ,Female,64,115,46,True Neutral,"[ 12, 08, 08, 08, 06, 05 ]",7.83,Commoner,356
Dwarf: ,Female,69,129,51,Lawful Evil,"[ 07, 09, 12, 05, 09, 08 ]",8.33,Commoner,435
Dwarf: ,Female,50,122,51,Lawful Evil,"[ 08, 09, 08, 11, 11, 12 ]",9.83,Commoner,410
Dwarf: ,Female,55,119,43,Lawful Good,"[ 08, 09, 12, 08, 07, 09 ]",8.83,Commoner,334
Dwarf: ,Male,61,155,48,True Neutral,"[ 08, 10, 10, 08, 09, 06 ]",8.5,Commoner,305
Dwarf: ,Female,64,124,46,Chaotic Neutral,"[ 09, 10, 08, 10, 12, 08 ]",9.5,Commoner,298
Dwarf: ,Male,70,159,51,True Neutral,"[ 06, 07, 10, 05, 07, 13 ]",8.0,Commoner,339
Dwarf: ,Female,85,131,47,Lawful Neutral,"[ 09, 09, 07, 05, 11, 08 ]",8.17,Commoner,382
Dwarf: ,Female,71,129,50,Chaotic Evil,"[ 10, 13, 10, 15, 12, 13 ]",12.17,Elite,315
Dwarf: ,Female,53,126,48,Neutral Evil,"[ 08, 18, 09, 18, 08, 08 ]",11.5,Elite,310
Dwarf: ,Male,70,144,51,Neutral Evil,"[ 07, 11, 12, 07, 12, 07 ]",9.33,Commoner,330
Dwarf: ,Male,71,150,44,Lawful Evil,"[ 07, 12, 15, 07, 04, 10 ]",9.17,Commoner,383
Dwarf: ,Male,60,143,47,Chaotic Evil,"[ 10, 06, 09, 06, 11, 12 ]",9.0,Commoner,319
Dwarf: ,Male,61,155,47,Neutral Good,"[ 11, 09, 10, 11, 11, 07 ]",9.83,Commoner,419
Dwarf: ,Male,65,153,48,Lawful Evil,"[ 06, 09, 10, 14, 07, 09 ]",9.17,Commoner,394
Dwarf: ,Female,73,122,48,Neutral Evil,"[ 12, 10, 07, 13, 09, 11 ]",10.33,Commoner,372
Dwarf: ,Female,73,119,43,Chaotic Good,"[ 10, 09, 12, 08, 13, 08 ]",10.0,Commoner,402
Dwarf: ,Male,71,163,47,Chaotic Evil,"[ 04, 03, 08, 09, 05, 09 ]",6.33,Commoner,392
Dwarf: ,Male,63,149,46,Chaotic Good,"[ 15, 17, 08, 10, 18, 13 ]",13.5,Adventurer,410
Dwarf: ,Female,80,131,43,Neutral Good,"[ 11, 11, 08, 08, 10, 14 ]",10.33,Commoner,281
Dwarf: ,Female,67,126,43,Chaotic Neutral,"[ 08, 08, 12, 09, 06, 05 ]",8.0,Commoner,275
Dwarf: ,Male,62,160,45,Lawful Good,"[ 11, 10, 08, 08, 13, 09 ]",9.83,Commoner,338
Dwarf: ,Male,66,152,45,Chaotic Evil,"[ 11, 05, 10, 14, 11, 07 ]",9.67,Commoner,316
Dwarf: ,Male,65,149,46,Lawful Good,"[ 08, 09, 10, 11, 12, 11 ]",10.17,Commoner,367
Dwarf: ,Female,76,119,44,Chaotic Good,"[ 12, 04, 11, 08, 11, 06 ]",8.67,Commoner,346
Halfling: ,Male,28,67,36,Lawful Good,"[ 16, 10, 04, 13, 09, 18 ]",11.67,Elite,129
Dwarf: ,Male,63,157,51,Chaotic Neutral,"[ 07, 09, 08, 07, 12, 13 ]",9.33,Commoner,337
Dwarf: ,Female,56,122,49,Lawful Good,"[ 10, 09, 12, 13, 11, 04 ]",9.83,Commoner,291
