Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,72,157,46,Chaotic Neutral,"[ 08, 12, 10, 10, 10, 06 ]",9.33,Commoner,322
Dwarf: ,Female,64,124,46,True Neutral,"[ 13, 05, 10, 07, 09, 14 ]",9.67,Commoner,391
Dwarf: ,Female,69,126,49,Lawful Neutral,"[ 10, 09, 04, 04, 15, 10 ]",8.67,Commoner,428
Dwarf: ,Male,65,164,45,True Neutral,"[ 09, 09, 08, 12, 10, 09 ]",9.5,Commoner,297
Dwarf: ,Female,72,128,44,Neutral Evil,"[ 11, 10, 13, 11, 08, 14 ]",11.17,Commoner,344
Dwarf: ,Male,68,159,49,Neutral Evil,"[ 07, 07, 09, 07, 09, 11 ]",8.33,Commoner,318
Dwarf: ,Male,62,151,53,Neutral Evil,"[ 13, 10, 11, 09, 12, 12 ]",11.17,Commoner,304
Dwarf: ,Female,83,125,45,Neutral Good,"[ 09, 13, 15, 14, 11, 07 ]",11.5,Elite,317
Dwarf: ,Female,67,126,49,Chaotic Evil,"[ 10, 04, 08, 11, 12, 12 ]",9.5,Commoner,367
Dwarf: ,Male,59,148,50,Chaotic Neutral,"[ 10, 03, 12, 08, 12, 12 ]",9.5,Commoner,373
Dwarf: ,Female,66,124,47,Lawful Good,"[ 04, 06, 09, 12, 12, 11 ]",9.0,Commoner,381
Dwarf: ,Male,63,158,49,Chaotic Good,"[ 13, 11, 04, 09, 09, 06 ]",8.67,Commoner,271
Dwarf: ,Female,70,127,50,Chaotic Evil,"[ 11, 10, 07, 07, 09, 09 ]",8.83,Commoner,353
Dwarf: ,Female,62,133,45,Lawful Neutral,"[ 09, 14, 08, 13, 13, 05 ]",10.33,Commoner,290
Dwarf: ,Male,65,155,44,Neutral Evil,"[ 11, 06, 07, 13, 04, 11 ]",8.67,Commoner,357
Dwarf: ,Male,62,147,47,Lawful Evil,"[ 10, 10, 12, 13, 09, 13 ]",11.17,Commoner,316
Dwarf: ,Female,60,131,42,Neutral Good,"[ 08, 11, 08, 10, 08, 08 ]",8.83,Commoner,361
Dwarf: ,Female,67,126,47,Chaotic Neutral,"[ 08, 14, 04, 08, 12, 09 ]",9.17,Commoner,391
Dwarf: ,Female,61,125,47,Chaotic Evil,"[ 12, 09, 12, 05, 12, 06 ]",9.33,Commoner,390
Gnome: ,Male,71,85,41,Lawful Evil,"[ 13, 16, 15, 15, 12, 08 ]",13.17,Adventurer,355
Human: ,Female,17,140,77,Chaotic Neutral,"[ 08, 13, 12, 12, 12, 13 ]",11.67,Elite,101
Dwarf: ,Female,58,128,44,Chaotic Evil,"[ 06, 14, 08, 11, 07, 06 ]",8.67,Commoner,353
Dwarf: ,Female,77,115,50,Chaotic Neutral,"[ 08, 09, 11, 10, 07, 11 ]",9.33,Commoner,366
Dwarf: ,Female,78,120,44,Lawful Neutral,"[ 10, 06, 12, 09, 06, 07 ]",8.33,Commoner,321
Dwarf: ,Female,72,132,42,Neutral Good,"[ 08, 09, 12, 11, 09, 07 ]",9.33,Commoner,362
Half-Elf: ,Male,19,126,69,Lawful Neutral,"[ 09, 09, 10, 10, 18, 18 ]",12.33,Elite,173
Dwarf: ,Male,69,150,46,True Neutral,"[ 07, 10, 14, 06, 06, 07 ]",8.33,Commoner,368
Half-Elf: ,Male,17,138,67,Neutral Evil,"[ 13, 18, 14, 05, 10, 11 ]",11.83,Elite,148
Dwarf: ,Female,66,126,45,Chaotic Neutral,"[ 15, 08, 07, 12, 11, 09 ]",10.33,Commoner,262
Dwarf: ,Male,57,157,46,Lawful Good,"[ 09, 08, 10, 07, 05, 13 ]",8.67,Commoner,359
Dwarf: ,Male,75,160,45,Lawful Neutral,"[ 06, 13, 12, 11, 13, 13 ]",11.33,Elite,378
Dwarf: ,Male,75,152,46,Lawful Evil,"[ 09, 13, 12, 12, 08, 14 ]",11.33,Elite,341
Halfling: ,Male,27,64,38,Neutral Evil,"[ 11, 17, 09, 13, 09, 13 ]",12.0,Elite,120
Dwarf: ,Male,79,150,48,True Neutral,"[ 08, 12, 09, 09, 06, 06 ]",8.33,Commoner,337
