Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,69,135,44,Neutral Evil,"[ 10, 09, 03, 07, 13, 15 ]",9.5,Commoner,332
Halfling: ,Female,28,62,39,Lawful Neutral,"[ 13, 14, 08, 12, 13, 14 ]",12.33,Elite,173
Dwarf: ,Male,63,148,49,Lawful Evil,"[ 13, 12, 14, 09, 10, 15 ]",12.17,Elite,299
Gnome: ,Female,78,81,37,Neutral Good,"[ 13, 15, 16, 08, 14, 12 ]",13.0,Adventurer,386
Dwarf: ,Male,66,164,52,Lawful Neutral,"[ 12, 11, 08, 17, 11, 10 ]",11.5,Elite,361
Gnome: ,Male,80,86,44,True Neutral,"[ 09, 11, 12, 16, 18, 14 ]",13.33,Adventurer,384
Dwarf: ,Male,63,145,53,Chaotic Good,"[ 08, 08, 10, 07, 10, 10 ]",8.83,Commoner,346
Dwarf: ,Female,74,132,51,True Neutral,"[ 10, 08, 10, 09, 10, 11 ]",9.67,Commoner,306
Dwarf: ,Female,65,127,51,True Neutral,"[ 08, 04, 07, 12, 06, 08 ]",7.5,Commoner,355
Dwarf: ,Male,61,144,48,Neutral Good,"[ 10, 12, 10, 05, 11, 07 ]",9.17,Commoner,379
Dwarf: ,Male,58,158,49,Lawful Good,"[ 11, 10, 10, 04, 06, 13 ]",9.0,Commoner,352
Dwarf: ,Male,56,154,52,Chaotic Evil,"[ 10, 10, 11, 04, 04, 11 ]",8.33,Commoner,324
Elf: ,Male,120,110,65,True Neutral,"[ 08, 13, 18, 14, 14, 09 ]",12.67,Elite,549
Dwarf: ,Male,57,149,50,Chaotic Good,"[ 11, 10, 10, 07, 06, 05 ]",8.17,Commoner,346
Dwarf: ,Female,71,129,50,Neutral Evil,"[ 11, 08, 11, 07, 08, 10 ]",9.17,Commoner,342
Dwarf: ,Female,65,119,43,Lawful Good,"[ 11, 10, 09, 12, 15, 10 ]",11.17,Commoner,350
Dwarf: ,Male,66,148,52,True Neutral,"[ 13, 15, 07, 11, 08, 11 ]",10.83,Commoner,434
Dwarf: ,Female,72,118,46,Neutral Good,"[ 05, 12, 15, 08, 12, 04 ]",9.33,Commoner,291
Dwarf: ,Female,65,127,47,Neutral Evil,"[ 09, 11, 12, 10, 06, 09 ]",9.5,Commoner,325
Dwarf: ,Female,60,128,42,Chaotic Good,"[ 09, 11, 07, 11, 06, 13 ]",9.5,Commoner,338
Dwarf: ,Female,73,131,50,Chaotic Good,"[ 12, 07, 09, 09, 05, 13 ]",9.17,Commoner,316
Dwarf: ,Female,58,139,51,Neutral Good,"[ 10, 11, 07, 07, 13, 10 ]",9.67,Commoner,283
Halfling: ,Male,32,68,37,Lawful Good,"[ 13, 07, 12, 13, 14, 16 ]",12.5,Elite,160
Elf: ,Female,117,88,59,Chaotic Good,"[ 08, 13, 16, 11, 08, 17 ]",12.17,Elite,506
Dwarf: ,Female,55,136,51,Lawful Neutral,"[ 14, 04, 11, 11, 07, 15 ]",10.33,Commoner,255
Dwarf: ,Male,61,143,53,True Neutral,"[ 06, 10, 08, 06, 08, 09 ]",7.83,Commoner,335
Dwarf: ,Female,68,131,44,Chaotic Neutral,"[ 09, 11, 12, 10, 06, 10 ]",9.67,Commoner,333
Dwarf: ,Male,74,149,45,True Neutral,"[ 12, 11, 11, 05, 09, 10 ]",9.67,Commoner,388
Dwarf: ,Female,63,134,49,Chaotic Good,"[ 08, 11, 18, 13, 09, 16 ]",12.5,Elite,291
Dwarf: ,Male,53,143,53,Lawful Neutral,"[ 12, 12, 12, 08, 06, 06 ]",9.33,Commoner,419
Dwarf: ,Male,71,153,51,Chaotic Neutral,"[ 06, 08, 07, 13, 07, 09 ]",8.33,Commoner,384
