Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,66,133,49,Neutral Evil,"[ 11, 13, 04, 04, 06, 04 ]",7.0,Commoner,333
Dwarf: ,Female,63,119,46,Chaotic Evil,"[ 06, 09, 09, 07, 06, 07 ]",7.33,Commoner,367
Dwarf: ,Male,69,157,50,Neutral Evil,"[ 08, 10, 10, 10, 11, 09 ]",9.67,Commoner,296
Dwarf: ,Female,72,132,51,Lawful Good,"[ 06, 07, 07, 09, 07, 14 ]",8.33,Commoner,339
Dwarf: ,Male,61,147,48,True Neutral,"[ 09, 11, 13, 14, 08, 08 ]",10.5,Commoner,350
Dwarf: ,Female,66,122,42,Lawful Neutral,"[ 08, 09, 04, 15, 10, 10 ]",9.33,Commoner,273
Dwarf: ,Female,67,130,45,Neutral Good,"[ 05, 14, 11, 14, 11, 13 ]",11.33,Elite,402
Dwarf: ,Male,50,158,53,Lawful Evil,"[ 10, 11, 09, 10, 08, 11 ]",9.83,Commoner,372
Dwarf: ,Female,61,120,42,Neutral Evil,"[ 12, 13, 11, 10, 10, 11 ]",11.17,Commoner,413
Dwarf: ,Female,67,125,45,Neutral Good,"[ 17, 07, 13, 08, 04, 12 ]",10.17,Commoner,274
Dwarf: ,Female,74,125,49,Chaotic Evil,"[ 06, 14, 10, 11, 08, 09 ]",9.67,Commoner,275
Dwarf: ,Female,59,135,43,True Neutral,"[ 10, 11, 04, 09, 05, 10 ]",8.17,Commoner,431
Dwarf: ,Male,57,143,49,Lawful Good,"[ 08, 09, 09, 10, 13, 07 ]",9.33,Commoner,324
Dwarf: ,Male,64,158,46,Neutral Good,"[ 12, 14, 11, 09, 06, 09 ]",10.17,Commoner,351
Dwarf: ,Female,64,123,42,Chaotic Neutral,"[ 09, 08, 06, 07, 09, 10 ]",8.17,Commoner,278
Dwarf: ,Male,71,155,49,Lawful Evil,"[ 07, 07, 10, 14, 13, 05 ]",9.33,Commoner,344
Dwarf: ,Female,65,118,42,Lawful Neutral,"[ 09, 05, 14, 15, 10, 07 ]",10.0,Commoner,261
Half-Elf: ,Male,19,128,71,Lawful Good,"[ 12, 12, 13, 11, 12, 10 ]",11.67,Elite,143
Dwarf: ,Female,68,127,42,Chaotic Good,"[ 06, 13, 11, 14, 08, 12 ]",10.67,Commoner,401
Dwarf: ,Female,66,118,44,Chaotic Evil,"[ 07, 10, 05, 07, 05, 10 ]",7.33,Commoner,375
Dwarf: ,Male,66,155,53,Neutral Good,"[ 06, 09, 07, 06, 09, 12 ]",8.17,Commoner,314
Dwarf: ,Female,48,117,44,Neutral Evil,"[ 09, 10, 10, 11, 09, 07 ]",9.33,Commoner,339
Dwarf: ,Female,54,125,42,Neutral Good,"[ 08, 09, 09, 07, 09, 09 ]",8.5,Commoner,327
Dwarf: ,Female,74,121,48,Lawful Neutral,"[ 12, 10, 12, 09, 09, 06 ]",9.67,Commoner,333
Dwarf: ,Male,57,152,48,Chaotic Neutral,"[ 11, 09, 08, 07, 06, 09 ]",8.33,Commoner,410
Dwarf: ,Female,59,132,46,True Neutral,"[ 10, 15, 05, 08, 11, 15 ]",10.67,Commoner,349
Human: ,Male,17,179,72,Chaotic Neutral,"[ 12, 11, 13, 14, 09, 11 ]",11.67,Elite,111
Dwarf: ,Female,67,132,48,Neutral Good,"[ 09, 11, 08, 12, 12, 12 ]",10.67,Commoner,349
Dwarf: ,Female,64,127,45,Neutral Evil,"[ 10, 08, 09, 05, 08, 08 ]",8.0,Commoner,317
Dwarf: ,Female,66,121,42,Chaotic Evil,"[ 04, 08, 13, 12, 10, 07 ]",9.0,Commoner,317
Dwarf: ,Male,80,139,51,Lawful Neutral,"[ 08, 11, 11, 09, 12, 11 ]",10.33,Commoner,377
Dwarf: ,Female,73,117,43,Lawful Evil,"[ 12, 06, 06, 08, 09, 11 ]",8.67,Commoner,396
Dwarf: ,Female,64,134,45,Neutral Good,"[ 10, 07, 10, 08, 09, 09 ]",8.83,Commoner,349
Dwarf: ,Female,66,120,46,Chaotic Evil,"[ 07, 10, 06, 12, 07, 04 ]",7.67,Commoner,320
Dwarf: ,Male,71,145,51,Chaotic Evil,"[ 11, 11, 08, 12, 06, 12 ]",10.0,Commoner,339
