Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,133,44,Neutral Evil,"[ 08, 08, 13, 12, 09, 06 ]",9.33,Commoner,387
Dwarf: ,Female,66,119,49,Chaotic Neutral,"[ 06, 10, 07, 08, 10, 11 ]",8.67,Commoner,327
Dwarf: ,Female,75,130,43,Lawful Good,"[ 10, 09, 10, 11, 08, 08 ]",9.33,Commoner,327
Dwarf: ,Male,65,151,45,Neutral Evil,"[ 09, 07, 07, 10, 09, 04 ]",7.67,Commoner,269
Dwarf: ,Female,81,129,42,Lawful Neutral,"[ 10, 10, 09, 08, 11, 13 ]",10.17,Commoner,369
Dwarf: ,Male,69,145,50,Lawful Neutral,"[ 10, 09, 11, 08, 07, 09 ]",9.0,Commoner,312
Dwarf: ,Female,76,116,43,Lawful Neutral,"[ 07, 10, 09, 08, 10, 12 ]",9.33,Commoner,287
Dwarf: ,Female,65,131,42,Neutral Good,"[ 10, 08, 10, 11, 10, 07 ]",9.33,Commoner,445
Dwarf: ,Female,61,124,50,Chaotic Good,"[ 09, 05, 05, 05, 11, 13 ]",8.0,Commoner,406
Dwarf: ,Female,59,117,48,Chaotic Good,"[ 09, 12, 12, 10, 11, 14 ]",11.33,Elite,333
Dwarf: ,Male,69,159,53,Lawful Good,"[ 10, 08, 04, 09, 09, 10 ]",8.33,Commoner,371
Dwarf: ,Female,57,126,46,Neutral Evil,"[ 06, 10, 05, 08, 06, 12 ]",7.83,Commoner,367
Dwarf: ,Female,67,124,42,Lawful Neutral,"[ 05, 08, 08, 07, 13, 10 ]",8.5,Commoner,396
Dwarf: ,Male,65,143,51,Lawful Evil,"[ 10, 13, 07, 04, 08, 10 ]",8.67,Commoner,428
Dwarf: ,Female,79,128,48,Lawful Evil,"[ 13, 08, 09, 10, 05, 12 ]",9.5,Commoner,346
Dwarf: ,Male,75,151,49,Chaotic Good,"[ 06, 12, 10, 09, 07, 11 ]",9.17,Commoner,313
Dwarf: ,Female,69,118,48,Lawful Evil,"[ 08, 04, 10, 10, 09, 07 ]",8.0,Commoner,350
Dwarf: ,Male,66,152,53,Chaotic Evil,"[ 11, 05, 09, 11, 08, 05 ]",8.17,Commoner,286
Dwarf: ,Female,67,120,44,Neutral Good,"[ 12, 05, 07, 08, 15, 05 ]",8.67,Commoner,330
Dwarf: ,Male,77,151,49,Lawful Good,"[ 12, 10, 10, 09, 11, 08 ]",10.0,Commoner,367
Dwarf: ,Female,54,129,46,Lawful Good,"[ 09, 06, 11, 12, 13, 07 ]",9.67,Commoner,382
Dwarf: ,Male,73,152,50,Chaotic Evil,"[ 05, 11, 10, 05, 05, 12 ]",8.0,Commoner,379
