Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,60,146,46,Lawful Good,"[ 13, 07, 12, 09, 11, 12 ]",10.67,Commoner,364
Dwarf: ,Female,49,118,45,Chaotic Good,"[ 08, 08, 10, 06, 09, 13 ]",9.0,Commoner,323
Dwarf: ,Female,74,133,46,Chaotic Evil,"[ 10, 08, 05, 08, 09, 11 ]",8.5,Commoner,349
Dwarf: ,Female,77,134,51,Chaotic Good,"[ 10, 10, 07, 12, 10, 06 ]",9.17,Commoner,343
Dwarf: ,Female,54,126,50,Lawful Good,"[ 12, 11, 08, 10, 08, 09 ]",9.67,Commoner,424
Dwarf: ,Female,68,133,44,Chaotic Good,"[ 09, 10, 06, 03, 11, 08 ]",7.83,Commoner,296
Half-Elf: ,Female,19,92,70,Lawful Evil,"[ 08, 10, 13, 15, 18, 08 ]",12.0,Elite,164
Dwarf: ,Female,64,134,42,Chaotic Good,"[ 10, 07, 14, 12, 08, 11 ]",10.33,Commoner,377
Dwarf: ,Male,76,138,49,True Neutral,"[ 12, 05, 08, 08, 04, 09 ]",7.67,Commoner,348
Gnome: ,Male,83,82,40,Chaotic Good,"[ 13, 10, 12, 17, 10, 12 ]",12.33,Elite,330
Dwarf: ,Male,83,153,52,Lawful Neutral,"[ 07, 11, 11, 07, 12, 09 ]",9.5,Commoner,409
Dwarf: ,Female,62,132,42,Chaotic Evil,"[ 09, 09, 09, 08, 07, 10 ]",8.67,Commoner,394
Dwarf: ,Male,65,140,46,Chaotic Good,"[ 08, 11, 15, 09, 11, 11 ]",10.83,Commoner,341
Dwarf: ,Female,69,134,45,Chaotic Neutral,"[ 13, 07, 12, 12, 09, 12 ]",10.83,Commoner,347
Dwarf: ,Male,72,142,52,Lawful Neutral,"[ 11, 15, 13, 05, 13, 10 ]",11.17,Commoner,338
Dwarf: ,Male,70,157,48,Chaotic Neutral,"[ 06, 10, 03, 08, 11, 05 ]",7.17,Commoner,305
Dwarf: ,Female,70,137,48,Neutral Good,"[ 10, 11, 05, 07, 08, 10 ]",8.5,Commoner,382
Dwarf: ,Male,61,138,51,True Neutral,"[ 09, 09, 13, 08, 10, 07 ]",9.33,Commoner,341
Dwarf: ,Female,59,124,42,Lawful Evil,"[ 08, 11, 06, 09, 13, 08 ]",9.17,Commoner,338
Dwarf: ,Male,56,150,52,Lawful Neutral,"[ 13, 09, 05, 11, 13, 05 ]",9.33,Commoner,299
Dwarf: ,Male,60,142,52,Neutral Evil,"[ 09, 12, 13, 11, 07, 09 ]",10.17,Commoner,415
Dwarf: ,Male,63,154,45,Chaotic Good,"[ 07, 07, 06, 09, 09, 10 ]",8.0,Commoner,413
Dwarf: ,Female,75,128,48,Neutral Evil,"[ 09, 12, 14, 07, 11, 08 ]",10.17,Commoner,340
Dwarf: ,Male,71,148,48,Chaotic Neutral,"[ 09, 05, 10, 09, 11, 10 ]",9.0,Commoner,341
Human: ,Male,19,179,75,Lawful Good,"[ 17, 11, 11, 12, 10, 16 ]",12.83,Adventurer,107
Dwarf: ,Male,60,154,46,Neutral Evil,"[ 11, 05, 12, 12, 05, 04 ]",8.17,Commoner,433
Dwarf: ,Male,68,151,44,Chaotic Good,"[ 11, 10, 07, 10, 08, 06 ]",8.67,Commoner,288
Dwarf: ,Female,70,123,44,Chaotic Neutral,"[ 05, 08, 08, 04, 08, 06 ]",6.5,Commoner,416
Dwarf: ,Female,70,134,51,Neutral Evil,"[ 12, 09, 07, 06, 08, 10 ]",8.67,Commoner,308
Dwarf: ,Female,70,118,43,Neutral Evil,"[ 09, 07, 06, 05, 08, 05 ]",6.67,Commoner,416
Dwarf: ,Female,60,135,42,True Neutral,"[ 10, 11, 17, 17, 11, 09 ]",12.5,Elite,337
Dwarf: ,Female,74,120,42,Chaotic Good,"[ 06, 11, 09, 07, 04, 08 ]",7.5,Commoner,400
Dwarf: ,Male,65,148,47,Lawful Neutral,"[ 11, 05, 13, 07, 05, 08 ]",8.17,Commoner,288
Dwarf: ,Female,68,119,43,Lawful Good,"[ 06, 04, 08, 05, 07, 06 ]",6.0,Commoner,279
Dwarf: ,Female,61,118,49,Neutral Good,"[ 05, 03, 03, 10, 07, 09 ]",6.17,Commoner,396
Dwarf: ,Male,76,155,47,Chaotic Neutral,"[ 10, 06, 10, 11, 10, 06 ]",8.83,Commoner,352
