Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,66,126,46,Chaotic Good,"[ 08, 11, 07, 14, 14, 08 ]",10.33,Commoner,385
Dwarf: ,Female,78,120,43,Lawful Good,"[ 13, 08, 06, 08, 09, 06 ]",8.33,Commoner,383
Dwarf: ,Male,73,147,49,Lawful Neutral,"[ 08, 10, 09, 05, 09, 08 ]",8.17,Commoner,384
Dwarf: ,Female,65,127,48,Neutral Good,"[ 11, 10, 11, 08, 10, 15 ]",10.83,Commoner,344
Dwarf: ,Female,69,129,50,True Neutral,"[ 12, 06, 10, 07, 10, 12 ]",9.5,Commoner,376
Gnome: ,Female,85,85,37,True Neutral,"[ 12, 14, 12, 14, 14, 15 ]",13.5,Adventurer,238
Dwarf: ,Male,73,148,45,True Neutral,"[ 07, 08, 10, 10, 06, 11 ]",8.67,Commoner,325
Dwarf: ,Male,67,146,53,True Neutral,"[ 08, 13, 07, 09, 08, 05 ]",8.33,Commoner,385
Dwarf: ,Female,70,131,47,Neutral Good,"[ 08, 07, 12, 06, 06, 09 ]",8.0,Commoner,332
Dwarf: ,Male,74,143,49,Neutral Good,"[ 07, 11, 10, 08, 08, 04 ]",8.0,Commoner,323
Dwarf: ,Male,73,164,49,Lawful Evil,"[ 08, 11, 16, 08, 13, 10 ]",11.0,Commoner,350
Dwarf: ,Female,67,134,45,True Neutral,"[ 09, 08, 08, 09, 10, 07 ]",8.5,Commoner,346
Dwarf: ,Female,65,131,51,Neutral Good,"[ 09, 15, 07, 07, 14, 12 ]",10.67,Commoner,371
Dwarf: ,Female,70,131,50,Lawful Neutral,"[ 08, 11, 11, 09, 03, 16 ]",9.67,Commoner,364
Dwarf: ,Male,71,147,50,Lawful Good,"[ 08, 09, 08, 13, 12, 08 ]",9.67,Commoner,321
Dwarf: ,Male,62,148,45,Chaotic Good,"[ 11, 10, 07, 09, 06, 11 ]",9.0,Commoner,398
Dwarf: ,Male,62,159,45,Chaotic Good,"[ 03, 15, 11, 05, 04, 17 ]",9.17,Commoner,328
Dwarf: ,Female,69,136,42,Chaotic Good,"[ 12, 06, 03, 10, 13, 07 ]",8.5,Commoner,399
Dwarf: ,Female,68,124,44,Chaotic Neutral,"[ 13, 08, 10, 08, 08, 09 ]",9.33,Commoner,321
Gnome: ,Female,84,80,38,Chaotic Evil,"[ 14, 12, 14, 14, 08, 12 ]",12.33,Elite,404
Dwarf: ,Male,71,151,46,Chaotic Neutral,"[ 12, 10, 10, 07, 10, 06 ]",9.17,Commoner,386
