Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,76,159,47,Neutral Good,"[ 12, 10, 08, 07, 09, 13 ]",9.83,Commoner,335
Dwarf: ,Male,68,164,53,Lawful Neutral,"[ 08, 09, 05, 12, 08, 09 ]",8.5,Commoner,388
Dwarf: ,Male,73,159,48,True Neutral,"[ 11, 14, 10, 09, 10, 09 ]",10.5,Commoner,383
Dwarf: ,Male,74,156,50,True Neutral,"[ 07, 06, 10, 08, 04, 06 ]",6.83,Commoner,367
Dwarf: ,Male,68,156,45,True Neutral,"[ 11, 12, 06, 08, 08, 10 ]",9.17,Commoner,376
Dwarf: ,Male,70,143,52,Lawful Good,"[ 10, 08, 09, 10, 12, 05 ]",9.0,Commoner,318
Dwarf: ,Female,72,131,43,Chaotic Good,"[ 09, 08, 09, 08, 08, 10 ]",8.67,Commoner,312
Dwarf: ,Male,59,163,45,Chaotic Evil,"[ 06, 08, 09, 06, 05, 10 ]",7.33,Commoner,325
Dwarf: ,Female,69,127,50,Lawful Evil,"[ 10, 09, 11, 07, 06, 08 ]",8.5,Commoner,371
Dwarf: ,Male,65,160,46,Lawful Evil,"[ 11, 12, 14, 07, 08, 05 ]",9.5,Commoner,324
Dwarf: ,Male,66,147,44,True Neutral,"[ 07, 08, 03, 08, 11, 10 ]",7.83,Commoner,328
Dwarf: ,Female,72,132,47,Neutral Good,"[ 06, 12, 06, 05, 10, 16 ]",9.17,Commoner,392
Dwarf: ,Female,69,126,50,Chaotic Neutral,"[ 12, 08, 03, 06, 07, 05 ]",6.83,Commoner,331
Dwarf: ,Male,65,156,47,Chaotic Evil,"[ 10, 09, 10, 06, 09, 10 ]",9.0,Commoner,419
Dwarf: ,Male,75,159,49,Lawful Evil,"[ 05, 13, 13, 07, 10, 11 ]",9.83,Commoner,290
Dwarf: ,Male,65,152,50,Chaotic Neutral,"[ 10, 12, 09, 11, 12, 12 ]",11.0,Commoner,369
Dwarf: ,Male,66,151,46,Lawful Evil,"[ 08, 11, 11, 06, 13, 08 ]",9.5,Commoner,266
Dwarf: ,Male,80,146,48,Chaotic Good,"[ 08, 12, 09, 10, 08, 10 ]",9.5,Commoner,327
Dwarf: ,Female,78,128,47,Chaotic Neutral,"[ 08, 05, 08, 12, 08, 08 ]",8.17,Commoner,344
Dwarf: ,Female,70,120,42,Neutral Good,"[ 08, 14, 11, 12, 05, 05 ]",9.17,Commoner,334
Halfling: ,Male,27,62,43,Lawful Good,"[ 13, 12, 09, 14, 14, 08 ]",11.67,Elite,162
Dwarf: ,Female,68,134,42,Chaotic Neutral,"[ 09, 07, 08, 07, 11, 09 ]",8.5,Commoner,348
Dwarf: ,Female,62,134,48,Lawful Neutral,"[ 05, 08, 04, 09, 08, 12 ]",7.67,Commoner,327
Dwarf: ,Male,73,153,53,Neutral Evil,"[ 11, 08, 06, 06, 14, 09 ]",9.0,Commoner,368
Dwarf: ,Female,64,127,48,True Neutral,"[ 11, 09, 09, 11, 07, 09 ]",9.33,Commoner,411
Dwarf: ,Male,60,146,44,Neutral Good,"[ 07, 13, 08, 09, 08, 11 ]",9.33,Commoner,352
Dwarf: ,Female,56,138,45,True Neutral,"[ 11, 09, 09, 09, 07, 10 ]",9.17,Commoner,352
Halfling: ,Female,29,55,37,Neutral Evil,"[ 11, 13, 16, 16, 17, 15 ]",14.67,Adventurer,121
Dwarf: ,Female,70,132,46,Chaotic Neutral,"[ 12, 06, 12, 09, 10, 10 ]",9.83,Commoner,385
Dwarf: ,Female,63,135,48,True Neutral,"[ 08, 05, 09, 04, 13, 06 ]",7.5,Commoner,295
Dwarf: ,Female,65,139,48,Chaotic Neutral,"[ 08, 07, 08, 10, 10, 05 ]",8.0,Commoner,340
Dwarf: ,Female,68,130,50,Lawful Evil,"[ 08, 09, 06, 11, 09, 07 ]",8.33,Commoner,331
Dwarf: ,Male,68,150,46,Lawful Neutral,"[ 11, 09, 08, 12, 07, 05 ]",8.67,Commoner,311
Human: ,Female,18,140,67,True Neutral,"[ 13, 10, 09, 16, 15, 11 ]",12.33,Elite,115
Dwarf: ,Male,66,149,48,Neutral Evil,"[ 10, 09, 13, 07, 11, 12 ]",10.33,Commoner,346
Dwarf: ,Female,72,122,51,Chaotic Neutral,"[ 06, 09, 12, 10, 08, 05 ]",8.33,Commoner,318
Dwarf: ,Male,75,153,46,Lawful Neutral,"[ 05, 11, 08, 08, 08, 11 ]",8.5,Commoner,370
Dwarf: ,Female,64,126,45,Lawful Good,"[ 10, 13, 14, 05, 10, 08 ]",10.0,Commoner,398
Dwarf: ,Male,61,156,47,Lawful Evil,"[ 09, 14, 09, 07, 06, 04 ]",8.17,Commoner,316
Dwarf: ,Male,78,147,47,Chaotic Good,"[ 10, 16, 08, 17, 06, 10 ]",11.17,Commoner,397
Dwarf: ,Female,78,126,42,Neutral Evil,"[ 11, 11, 12, 12, 11, 07 ]",10.67,Commoner,314
