Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,62,129,43,Neutral Evil,"[ 07, 13, 09, 07, 07, 06 ]",8.17,Commoner,369
Dwarf: ,Male,78,155,50,Chaotic Neutral,"[ 05, 09, 10, 12, 09, 07 ]",8.67,Commoner,307
Human: ,Male,18,168,66,Lawful Good,"[ 10, 15, 09, 14, 14, 14 ]",12.67,Elite,118
Dwarf: ,Female,62,120,43,True Neutral,"[ 05, 10, 05, 07, 12, 10 ]",8.17,Commoner,335
Dwarf: ,Male,66,145,46,Chaotic Evil,"[ 09, 14, 06, 09, 09, 07 ]",9.0,Commoner,370
Dwarf: ,Male,67,145,45,Chaotic Neutral,"[ 08, 09, 10, 07, 06, 17 ]",9.5,Commoner,337
Dwarf: ,Female,65,124,46,Neutral Good,"[ 08, 07, 08, 13, 07, 10 ]",8.83,Commoner,384
Dwarf: ,Male,61,158,47,Neutral Good,"[ 07, 10, 04, 10, 05, 12 ]",8.0,Commoner,344
Dwarf: ,Female,81,128,46,Lawful Good,"[ 12, 12, 08, 12, 04, 12 ]",10.0,Commoner,362
Dwarf: ,Male,71,142,46,Neutral Evil,"[ 08, 11, 09, 11, 09, 10 ]",9.67,Commoner,331
Dwarf: ,Female,74,128,44,Neutral Good,"[ 12, 09, 04, 08, 10, 10 ]",8.83,Commoner,322
Dwarf: ,Male,75,149,47,Lawful Evil,"[ 04, 10, 15, 09, 05, 12 ]",9.17,Commoner,325
Dwarf: ,Male,73,146,51,Neutral Good,"[ 05, 12, 10, 09, 12, 06 ]",9.0,Commoner,326
Dwarf: ,Male,58,149,53,Lawful Neutral,"[ 12, 12, 09, 09, 10, 07 ]",9.83,Commoner,390
Dwarf: ,Female,61,119,43,Lawful Good,"[ 15, 09, 07, 14, 08, 10 ]",10.5,Commoner,399
Dwarf: ,Male,69,153,46,True Neutral,"[ 11, 09, 05, 09, 07, 07 ]",8.0,Commoner,408
Dwarf: ,Female,71,119,51,Lawful Good,"[ 08, 11, 10, 06, 07, 05 ]",7.83,Commoner,412
Dwarf: ,Female,60,118,47,Lawful Neutral,"[ 12, 07, 15, 07, 10, 06 ]",9.5,Commoner,260
Dwarf: ,Female,64,121,43,Chaotic Good,"[ 07, 12, 09, 04, 09, 07 ]",8.0,Commoner,383
Dwarf: ,Female,60,122,48,Lawful Neutral,"[ 07, 07, 08, 11, 07, 09 ]",8.17,Commoner,365
Dwarf: ,Female,58,120,42,Lawful Neutral,"[ 09, 12, 13, 12, 13, 08 ]",11.17,Commoner,322
Halfling: ,Female,29,61,43,True Neutral,"[ 13, 18, 11, 17, 06, 11 ]",12.67,Elite,184
Gnome: ,Female,77,83,37,Lawful Neutral,"[ 09, 16, 10, 12, 16, 16 ]",13.17,Adventurer,420
Dwarf: ,Male,64,152,52,Chaotic Good,"[ 11, 08, 12, 08, 07, 07 ]",8.83,Commoner,324
Human: ,Male,18,176,68,Lawful Good,"[ 07, 14, 14, 17, 16, 12 ]",13.33,Adventurer,111
Dwarf: ,Female,78,118,43,Lawful Evil,"[ 07, 09, 05, 10, 08, 08 ]",7.83,Commoner,395
Dwarf: ,Male,78,154,47,Chaotic Neutral,"[ 11, 09, 09, 07, 15, 11 ]",10.33,Commoner,406
Dwarf: ,Male,65,153,53,Neutral Evil,"[ 08, 11, 13, 03, 05, 14 ]",9.0,Commoner,277
Dwarf: ,Female,62,137,47,Neutral Good,"[ 11, 07, 11, 06, 10, 05 ]",8.33,Commoner,408
Dwarf: ,Male,61,141,49,Lawful Evil,"[ 05, 10, 09, 13, 09, 06 ]",8.67,Commoner,352
Dwarf: ,Male,56,146,48,Neutral Evil,"[ 06, 13, 08, 08, 09, 09 ]",8.83,Commoner,325
Dwarf: ,Female,64,129,45,Lawful Evil,"[ 10, 07, 15, 09, 11, 06 ]",9.67,Commoner,313
Dwarf: ,Male,66,150,46,Chaotic Neutral,"[ 05, 15, 16, 08, 05, 07 ]",9.33,Commoner,370
Dwarf: ,Male,63,149,44,Lawful Evil,"[ 12, 12, 05, 09, 13, 09 ]",10.0,Commoner,368
Dwarf: ,Male,74,152,47,Chaotic Good,"[ 07, 04, 06, 10, 06, 07 ]",6.67,Commoner,319
Dwarf: ,Male,60,156,48,Chaotic Neutral,"[ 10, 13, 06, 11, 10, 14 ]",10.67,Commoner,307
Dwarf: ,Female,61,120,46,Lawful Neutral,"[ 07, 12, 09, 10, 09, 05 ]",8.67,Commoner,309
Dwarf: ,Male,61,150,47,True Neutral,"[ 12, 10, 07, 11, 11, 10 ]",10.17,Commoner,277
Dwarf: ,Male,60,151,49,Lawful Neutral,"[ 05, 09, 10, 09, 10, 11 ]",9.0,Commoner,305
Dwarf: ,Female,62,126,49,Lawful Evil,"[ 09, 14, 10, 09, 16, 08 ]",11.0,Commoner,406
Dwarf: ,Female,65,120,45,Chaotic Evil,"[ 05, 10, 09, 07, 10, 10 ]",8.5,Commoner,344
Dwarf: ,Female,69,116,48,Lawful Neutral,"[ 06, 05, 08, 12, 09, 11 ]",8.5,Commoner,445
Dwarf: ,Female,68,121,49,Neutral Evil,"[ 11, 11, 11, 09, 10, 09 ]",10.17,Commoner,407
Dwarf: ,Male,76,159,48,Lawful Evil,"[ 11, 08, 09, 10, 09, 11 ]",9.67,Commoner,339
Dwarf: ,Female,73,123,46,Lawful Evil,"[ 03, 14, 13, 04, 10, 08 ]",8.67,Commoner,392
Dwarf: ,Female,71,126,46,Neutral Good,"[ 09, 13, 08, 09, 10, 08 ]",9.5,Commoner,358
Dwarf: ,Female,65,121,46,Chaotic Neutral,"[ 11, 03, 11, 10, 11, 08 ]",9.0,Commoner,310
Dwarf: ,Female,62,121,47,Chaotic Good,"[ 09, 12, 15, 06, 17, 09 ]",11.33,Elite,273
Gnome: ,Female,76,81,37,Lawful Neutral,"[ 14, 11, 15, 10, 13, 10 ]",12.17,Elite,359
Dwarf: ,Male,56,143,44,Neutral Good,"[ 08, 08, 12, 06, 12, 09 ]",9.17,Commoner,377
Dwarf: ,Female,64,123,43,Lawful Neutral,"[ 06, 05, 09, 04, 06, 11 ]",6.83,Commoner,346
Dwarf: ,Male,67,153,51,Lawful Good,"[ 11, 05, 06, 12, 07, 12 ]",8.83,Commoner,426
Dwarf: ,Male,62,161,48,Neutral Good,"[ 12, 11, 12, 09, 09, 13 ]",11.0,Commoner,384
Dwarf: ,Male,74,159,50,True Neutral,"[ 08, 06, 08, 06, 08, 10 ]",7.67,Commoner,347
Dwarf: ,Male,78,143,50,Lawful Neutral,"[ 10, 11, 13, 11, 12, 09 ]",11.0,Commoner,349
Dwarf: ,Female,76,115,51,Lawful Evil,"[ 07, 12, 10, 12, 09, 08 ]",9.67,Commoner,390
Dwarf: ,Female,65,124,47,Lawful Good,"[ 12, 06, 09, 12, 11, 10 ]",10.0,Commoner,333
Dwarf: ,Female,78,122,51,Chaotic Evil,"[ 03, 07, 05, 07, 09, 07 ]",6.33,Commoner,254
Dwarf: ,Female,72,121,43,Neutral Good,"[ 10, 12, 12, 09, 11, 13 ]",11.17,Commoner,317
Dwarf: ,Male,68,148,45,True Neutral,"[ 11, 09, 08, 09, 10, 10 ]",9.5,Commoner,407
Half-Elf: ,Female,17,114,69,Lawful Good,"[ 13, 10, 13, 18, 15, 09 ]",13.0,Adventurer,151
Dwarf: ,Male,70,153,47,Lawful Neutral,"[ 10, 07, 13, 09, 10, 13 ]",10.33,Commoner,299
Dwarf: ,Female,70,128,44,Lawful Evil,"[ 08, 10, 11, 10, 06, 10 ]",9.17,Commoner,341
Dwarf: ,Male,81,154,47,Lawful Neutral,"[ 09, 11, 04, 08, 04, 12 ]",8.0,Commoner,379
Gnome: ,Female,80,81,41,Lawful Good,"[ 13, 10, 13, 09, 11, 15 ]",11.83,Elite,278
Dwarf: ,Female,66,124,50,Chaotic Neutral,"[ 10, 11, 11, 10, 13, 10 ]",10.83,Commoner,290
Dwarf: ,Male,65,154,49,Lawful Evil,"[ 08, 08, 08, 10, 06, 08 ]",8.0,Commoner,365
