Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,68,160,46,Chaotic Good,"[ 10, 15, 10, 06, 07, 06 ]",9.0,Commoner,343
Dwarf: ,Female,63,137,47,Chaotic Neutral,"[ 04, 11, 10, 09, 13, 07 ]",9.0,Commoner,431
Dwarf: ,Female,63,129,45,Lawful Evil,"[ 07, 08, 08, 04, 10, 07 ]",7.33,Commoner,382
Gnome: ,Female,88,79,37,True Neutral,"[ 13, 14, 09, 17, 09, 10 ]",12.0,Elite,430
Dwarf: ,Male,61,145,52,Chaotic Neutral,"[ 07, 10, 10, 05, 08, 12 ]",8.67,Commoner,405
Dwarf: ,Male,68,159,52,True Neutral,"[ 08, 08, 05, 12, 11, 10 ]",9.0,Commoner,311
Dwarf: ,Male,72,161,44,Lawful Good,"[ 09, 14, 08, 09, 08, 05 ]",8.83,Commoner,361
Dwarf: ,Female,66,135,46,Neutral Good,"[ 07, 13, 11, 09, 12, 12 ]",10.67,Commoner,332
Dwarf: ,Male,72,143,48,Chaotic Neutral,"[ 09, 16, 11, 10, 11, 08 ]",10.83,Commoner,308
Dwarf: ,Male,68,155,47,Chaotic Neutral,"[ 11, 10, 13, 09, 11, 10 ]",10.67,Commoner,291
Dwarf: ,Female,75,128,46,Lawful Evil,"[ 16, 17, 16, 06, 04, 10 ]",11.5,Elite,372
Dwarf: ,Female,74,125,48,Chaotic Evil,"[ 07, 07, 04, 09, 07, 10 ]",7.33,Commoner,432
Dwarf: ,Female,78,127,49,True Neutral,"[ 06, 06, 08, 05, 05, 13 ]",7.17,Commoner,439
Dwarf: ,Female,72,126,51,Lawful Good,"[ 10, 08, 06, 10, 05, 08 ]",7.83,Commoner,373
Dwarf: ,Female,63,122,49,Chaotic Good,"[ 13, 12, 06, 08, 06, 10 ]",9.17,Commoner,418
Dwarf: ,Male,60,147,44,Lawful Evil,"[ 11, 13, 12, 10, 09, 05 ]",10.0,Commoner,365
Dwarf: ,Female,64,126,46,Lawful Good,"[ 10, 12, 13, 09, 07, 15 ]",11.0,Commoner,348
Halfling: ,Female,26,60,39,Chaotic Evil,"[ 18, 17, 10, 10, 10, 09 ]",12.33,Elite,148
Dwarf: ,Male,70,147,47,Neutral Evil,"[ 08, 08, 04, 08, 09, 12 ]",8.17,Commoner,277
Dwarf: ,Male,63,149,48,Lawful Evil,"[ 10, 11, 10, 10, 07, 13 ]",10.17,Commoner,343
Dwarf: ,Male,72,150,52,Neutral Good,"[ 06, 10, 07, 10, 07, 12 ]",8.67,Commoner,327
Dwarf: ,Male,71,148,52,Neutral Evil,"[ 08, 12, 12, 12, 06, 09 ]",9.83,Commoner,310
Dwarf: ,Female,64,128,49,Neutral Evil,"[ 09, 10, 10, 13, 13, 06 ]",10.17,Commoner,385
Elf: ,Female,120,86,55,Lawful Evil,"[ 14, 12, 13, 13, 13, 08 ]",12.17,Elite,521
Dwarf: ,Male,65,149,52,Lawful Evil,"[ 11, 13, 14, 08, 04, 06 ]",9.33,Commoner,382
Dwarf: ,Male,66,153,46,Lawful Good,"[ 12, 12, 12, 06, 10, 07 ]",9.83,Commoner,284
Dwarf: ,Male,65,143,47,Chaotic Evil,"[ 10, 08, 10, 07, 07, 13 ]",9.17,Commoner,324
Dwarf: ,Male,72,153,47,Chaotic Good,"[ 13, 07, 08, 07, 11, 11 ]",9.5,Commoner,378
Dwarf: ,Male,67,153,46,Lawful Evil,"[ 08, 09, 10, 10, 08, 09 ]",9.0,Commoner,305
Dwarf: ,Female,68,121,47,Neutral Good,"[ 07, 13, 12, 13, 03, 07 ]",9.17,Commoner,416
Dwarf: ,Female,72,129,49,True Neutral,"[ 08, 06, 12, 08, 11, 10 ]",9.17,Commoner,406
Dwarf: ,Female,71,137,48,Lawful Evil,"[ 12, 10, 09, 07, 10, 10 ]",9.67,Commoner,302
Dwarf: ,Male,78,161,48,Neutral Good,"[ 13, 12, 11, 06, 07, 07 ]",9.33,Commoner,338
Dwarf: ,Male,64,149,51,Neutral Good,"[ 11, 10, 11, 08, 08, 04 ]",8.67,Commoner,325
Dwarf: ,Male,65,154,51,Chaotic Good,"[ 04, 18, 13, 09, 08, 05 ]",9.5,Commoner,314
Dwarf: ,Female,83,118,49,Chaotic Evil,"[ 05, 06, 10, 07, 07, 12 ]",7.83,Commoner,306
Dwarf: ,Female,72,121,42,Lawful Evil,"[ 07, 10, 07, 06, 07, 10 ]",7.83,Commoner,408
Dwarf: ,Female,66,124,47,Lawful Good,"[ 11, 07, 09, 06, 04, 12 ]",8.17,Commoner,298
Dwarf: ,Male,69,162,47,Chaotic Good,"[ 09, 12, 04, 09, 08, 12 ]",9.0,Commoner,364
Dwarf: ,Female,65,126,42,Lawful Neutral,"[ 12, 16, 15, 10, 10, 16 ]",13.17,Adventurer,354
Dwarf: ,Male,70,152,44,Neutral Evil,"[ 09, 09, 12, 11, 06, 07 ]",9.0,Commoner,312
Dwarf: ,Male,72,155,47,Neutral Good,"[ 10, 13, 12, 09, 07, 07 ]",9.67,Commoner,309
Dwarf: ,Female,68,114,46,Lawful Evil,"[ 09, 08, 07, 11, 11, 11 ]",9.5,Commoner,337
Dwarf: ,Male,69,149,51,Chaotic Evil,"[ 11, 06, 07, 05, 09, 10 ]",8.0,Commoner,393
Dwarf: ,Female,72,133,50,Chaotic Evil,"[ 04, 09, 10, 07, 14, 09 ]",8.83,Commoner,387
Dwarf: ,Male,65,152,47,Neutral Good,"[ 06, 12, 11, 06, 11, 08 ]",9.0,Commoner,353
Dwarf: ,Male,75,145,46,Lawful Evil,"[ 07, 04, 07, 11, 12, 13 ]",9.0,Commoner,428
Dwarf: ,Male,72,146,52,Chaotic Neutral,"[ 10, 06, 08, 13, 10, 10 ]",9.5,Commoner,391
Dwarf: ,Female,69,132,48,Lawful Neutral,"[ 11, 06, 13, 07, 14, 09 ]",10.0,Commoner,345
Elf: ,Female,124,96,53,Lawful Neutral,"[ 12, 09, 16, 14, 08, 11 ]",11.67,Elite,568
Dwarf: ,Male,68,146,46,Lawful Evil,"[ 09, 09, 08, 13, 10, 07 ]",9.33,Commoner,381
Dwarf: ,Male,77,156,48,Neutral Good,"[ 10, 12, 13, 10, 08, 09 ]",10.33,Commoner,345
Dwarf: ,Male,71,156,50,Lawful Evil,"[ 07, 12, 06, 08, 05, 07 ]",7.5,Commoner,363
Dwarf: ,Female,76,124,42,True Neutral,"[ 10, 08, 13, 12, 10, 07 ]",10.0,Commoner,393
Dwarf: ,Male,73,157,53,Chaotic Evil,"[ 07, 06, 10, 12, 07, 12 ]",9.0,Commoner,353
Dwarf: ,Male,57,159,44,Chaotic Evil,"[ 12, 05, 09, 08, 06, 08 ]",8.0,Commoner,375
Dwarf: ,Female,77,133,46,True Neutral,"[ 13, 07, 12, 08, 09, 12 ]",10.17,Commoner,375
Dwarf: ,Female,74,128,46,Lawful Good,"[ 11, 10, 07, 16, 09, 15 ]",11.33,Elite,418
Dwarf: ,Female,72,124,42,Lawful Neutral,"[ 13, 06, 07, 08, 07, 06 ]",7.83,Commoner,362
Dwarf: ,Male,67,147,52,Neutral Evil,"[ 06, 10, 03, 09, 13, 07 ]",8.0,Commoner,339
Dwarf: ,Female,73,120,50,True Neutral,"[ 10, 06, 09, 05, 07, 11 ]",8.0,Commoner,360
Dwarf: ,Female,55,120,43,Neutral Evil,"[ 09, 10, 07, 04, 05, 09 ]",7.33,Commoner,416
Dwarf: ,Male,78,156,48,Lawful Neutral,"[ 08, 05, 07, 08, 08, 09 ]",7.5,Commoner,327
Dwarf: ,Male,60,147,49,Neutral Good,"[ 07, 11, 06, 10, 12, 06 ]",8.67,Commoner,328
Dwarf: ,Female,67,127,42,Lawful Good,"[ 07, 10, 05, 07, 06, 08 ]",7.17,Commoner,355
Dwarf: ,Female,59,118,44,Chaotic Evil,"[ 08, 08, 06, 08, 13, 12 ]",9.17,Commoner,383
Halfling: ,Male,28,63,39,Chaotic Neutral,"[ 08, 15, 15, 14, 11, 14 ]",12.83,Adventurer,197
Dwarf: ,Male,69,149,49,Lawful Neutral,"[ 07, 08, 06, 12, 11, 10 ]",9.0,Commoner,371
