Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,64,125,44,Chaotic Evil,"[ 04, 08, 06, 10, 04, 07 ]",6.5,Commoner,369
Dwarf: ,Male,69,154,46,Lawful Good,"[ 07, 09, 05, 12, 14, 13 ]",10.0,Commoner,348
Dwarf: ,Male,83,155,48,Chaotic Good,"[ 05, 11, 09, 08, 08, 08 ]",8.17,Commoner,303
Dwarf: ,Female,60,123,48,True Neutral,"[ 05, 07, 10, 11, 06, 09 ]",8.0,Commoner,431
Dwarf: ,Female,67,129,46,Neutral Good,"[ 17, 06, 12, 07, 11, 08 ]",10.17,Commoner,397
Dwarf: ,Female,76,130,43,Chaotic Neutral,"[ 12, 07, 14, 06, 12, 14 ]",10.83,Commoner,266
Dwarf: ,Male,63,145,52,Neutral Evil,"[ 15, 05, 08, 13, 07, 06 ]",9.0,Commoner,315
Dwarf: ,Female,68,119,46,Chaotic Evil,"[ 06, 12, 03, 08, 07, 08 ]",7.33,Commoner,363
Dwarf: ,Male,60,153,50,Chaotic Evil,"[ 09, 04, 12, 12, 09, 10 ]",9.33,Commoner,401
Dwarf: ,Male,65,141,53,Chaotic Evil,"[ 06, 10, 11, 08, 14, 11 ]",10.0,Commoner,396
Dwarf: ,Male,74,153,52,Chaotic Neutral,"[ 08, 12, 07, 08, 07, 08 ]",8.33,Commoner,303
Dwarf: ,Male,66,144,50,Lawful Evil,"[ 15, 10, 14, 13, 08, 08 ]",11.33,Elite,318
Dwarf: ,Male,67,142,46,Neutral Good,"[ 07, 09, 05, 09, 07, 13 ]",8.33,Commoner,441
Dwarf: ,Female,62,127,49,Chaotic Evil,"[ 08, 08, 06, 08, 12, 08 ]",8.33,Commoner,429
Dwarf: ,Female,65,133,46,Chaotic Good,"[ 05, 10, 05, 10, 06, 12 ]",8.0,Commoner,342
Dwarf: ,Male,67,157,52,Chaotic Evil,"[ 08, 12, 12, 10, 06, 10 ]",9.67,Commoner,307
Dwarf: ,Male,60,157,50,Chaotic Evil,"[ 11, 11, 04, 05, 10, 07 ]",8.0,Commoner,324
Dwarf: ,Male,81,154,46,Chaotic Good,"[ 10, 11, 09, 12, 13, 04 ]",9.83,Commoner,402
Dwarf: ,Male,68,154,52,True Neutral,"[ 16, 10, 11, 15, 10, 09 ]",11.83,Elite,328
Dwarf: ,Male,69,162,52,Neutral Good,"[ 08, 05, 12, 07, 08, 08 ]",8.0,Commoner,383
Dwarf: ,Female,66,129,46,Chaotic Good,"[ 09, 05, 10, 12, 04, 06 ]",7.67,Commoner,298
Dwarf: ,Female,71,129,51,Lawful Evil,"[ 08, 12, 10, 11, 09, 07 ]",9.5,Commoner,331
Dwarf: ,Female,78,113,49,Lawful Neutral,"[ 07, 08, 05, 06, 08, 10 ]",7.33,Commoner,352
Dwarf: ,Male,70,150,48,Chaotic Neutral,"[ 07, 09, 12, 06, 12, 11 ]",9.5,Commoner,437
Dwarf: ,Male,57,150,53,Lawful Good,"[ 15, 06, 14, 09, 08, 08 ]",10.0,Commoner,362
Dwarf: ,Male,80,158,49,True Neutral,"[ 08, 06, 13, 07, 08, 10 ]",8.67,Commoner,292
Dwarf: ,Female,72,136,44,Chaotic Good,"[ 11, 05, 12, 11, 05, 08 ]",8.67,Commoner,431
Dwarf: ,Male,65,140,48,Chaotic Good,"[ 09, 06, 09, 09, 07, 12 ]",8.67,Commoner,323
Dwarf: ,Male,60,144,50,Chaotic Evil,"[ 09, 10, 11, 07, 07, 06 ]",8.33,Commoner,316
Dwarf: ,Female,65,126,42,Neutral Evil,"[ 11, 06, 09, 11, 14, 08 ]",9.83,Commoner,383
Dwarf: ,Male,64,144,48,Neutral Evil,"[ 09, 14, 14, 08, 10, 09 ]",10.67,Commoner,332
Dwarf: ,Female,68,128,47,Chaotic Neutral,"[ 08, 12, 06, 09, 11, 07 ]",8.83,Commoner,341
Dwarf: ,Male,71,161,52,Chaotic Good,"[ 07, 13, 06, 07, 11, 09 ]",8.83,Commoner,298
Dwarf: ,Female,77,133,48,Chaotic Evil,"[ 10, 11, 07, 07, 08, 09 ]",8.67,Commoner,334
Dwarf: ,Male,71,146,47,Neutral Good,"[ 04, 11, 04, 10, 16, 18 ]",10.5,Commoner,361
Dwarf: ,Female,63,126,46,Lawful Good,"[ 07, 04, 05, 08, 10, 06 ]",6.67,Commoner,360
Dwarf: ,Female,70,115,44,Neutral Good,"[ 10, 11, 09, 09, 06, 12 ]",9.5,Commoner,299
Dwarf: ,Male,69,149,52,Neutral Good,"[ 09, 07, 08, 11, 11, 09 ]",9.17,Commoner,322
Dwarf: ,Female,73,129,49,Lawful Evil,"[ 08, 07, 10, 12, 13, 09 ]",9.83,Commoner,436
Dwarf: ,Male,72,155,46,Chaotic Neutral,"[ 08, 11, 11, 16, 11, 08 ]",10.83,Commoner,344
Dwarf: ,Male,69,151,48,Lawful Good,"[ 11, 08, 11, 10, 13, 10 ]",10.5,Commoner,344
Dwarf: ,Female,75,134,47,Lawful Good,"[ 09, 08, 13, 15, 08, 09 ]",10.33,Commoner,364
Dwarf: ,Female,65,125,49,Chaotic Good,"[ 09, 09, 09, 08, 07, 07 ]",8.17,Commoner,373
Dwarf: ,Male,76,149,45,Lawful Good,"[ 10, 09, 10, 06, 09, 12 ]",9.33,Commoner,262
Dwarf: ,Male,67,149,44,Chaotic Evil,"[ 05, 06, 04, 12, 08, 07 ]",7.0,Commoner,384
Dwarf: ,Male,71,146,46,Neutral Good,"[ 06, 11, 07, 11, 09, 06 ]",8.33,Commoner,321
Dwarf: ,Male,72,160,50,Lawful Evil,"[ 11, 08, 07, 07, 07, 08 ]",8.0,Commoner,374
Dwarf: ,Male,65,150,47,Chaotic Neutral,"[ 08, 10, 08, 06, 10, 10 ]",8.67,Commoner,280
Dwarf: ,Female,64,127,46,Lawful Good,"[ 05, 12, 07, 08, 05, 13 ]",8.33,Commoner,307
Gnome: ,Female,83,79,41,Lawful Evil,"[ 12, 12, 07, 13, 12, 15 ]",11.83,Elite,322
Human: ,Male,19,168,72,Chaotic Good,"[ 03, 17, 11, 08, 14, 18 ]",11.83,Elite,100
Dwarf: ,Female,59,135,50,Lawful Evil,"[ 13, 08, 07, 13, 09, 13 ]",10.5,Commoner,284
Dwarf: ,Male,61,148,51,Chaotic Evil,"[ 11, 08, 05, 10, 15, 04 ]",8.83,Commoner,343
Half-Elf: ,Female,20,92,68,Chaotic Neutral,"[ 12, 10, 09, 16, 17, 07 ]",11.83,Elite,148
Dwarf: ,Female,51,132,42,Chaotic Evil,"[ 06, 11, 05, 10, 11, 08 ]",8.5,Commoner,314
Dwarf: ,Female,67,132,47,Chaotic Good,"[ 10, 09, 10, 11, 08, 12 ]",10.0,Commoner,322
Dwarf: ,Female,74,124,51,Neutral Good,"[ 08, 10, 12, 10, 08, 13 ]",10.17,Commoner,273
Dwarf: ,Female,78,119,45,Lawful Neutral,"[ 14, 11, 09, 11, 08, 04 ]",9.5,Commoner,424
Dwarf: ,Male,62,159,46,Neutral Good,"[ 05, 08, 08, 10, 07, 08 ]",7.67,Commoner,367
Dwarf: ,Female,72,124,45,Lawful Good,"[ 04, 08, 08, 10, 05, 08 ]",7.17,Commoner,351
Dwarf: ,Male,66,155,53,Lawful Evil,"[ 12, 07, 11, 10, 09, 08 ]",9.5,Commoner,400
Dwarf: ,Male,73,145,48,Chaotic Evil,"[ 07, 08, 06, 12, 08, 04 ]",7.5,Commoner,384
Dwarf: ,Female,54,136,42,Neutral Good,"[ 14, 12, 12, 10, 07, 12 ]",11.17,Commoner,295
Dwarf: ,Male,63,159,46,True Neutral,"[ 06, 08, 07, 09, 05, 09 ]",7.33,Commoner,306
