Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,58,154,47,Lawful Evil,"[ 03, 07, 07, 07, 10, 11 ]",7.5,Commoner,337
Dwarf: ,Male,75,156,53,Lawful Neutral,"[ 12, 11, 09, 12, 06, 05 ]",9.17,Commoner,326
Dwarf: ,Female,71,134,48,Chaotic Good,"[ 11, 12, 11, 05, 12, 05 ]",9.33,Commoner,345
Dwarf: ,Male,69,154,53,True Neutral,"[ 07, 07, 07, 14, 09, 06 ]",8.33,Commoner,296
Dwarf: ,Female,70,125,45,Chaotic Good,"[ 04, 11, 07, 11, 10, 07 ]",8.33,Commoner,406
Dwarf: ,Male,67,154,52,Chaotic Neutral,"[ 12, 10, 17, 07, 10, 06 ]",10.33,Commoner,333
Dwarf: ,Male,72,163,51,True Neutral,"[ 09, 08, 06, 10, 11, 09 ]",8.83,Commoner,291
Dwarf: ,Female,67,137,45,Lawful Good,"[ 09, 10, 07, 12, 09, 04 ]",8.5,Commoner,344
Dwarf: ,Female,61,124,48,Lawful Evil,"[ 06, 15, 18, 13, 05, 12 ]",11.5,Elite,362
Dwarf: ,Male,54,153,52,Chaotic Neutral,"[ 07, 09, 14, 10, 06, 11 ]",9.5,Commoner,387
Dwarf: ,Female,69,122,48,Lawful Good,"[ 08, 12, 08, 08, 11, 10 ]",9.5,Commoner,311
Dwarf: ,Female,75,130,48,Chaotic Neutral,"[ 09, 08, 09, 12, 11, 05 ]",9.0,Commoner,444
Dwarf: ,Male,77,159,44,Neutral Evil,"[ 16, 14, 08, 10, 10, 10 ]",11.33,Elite,336
Dwarf: ,Female,66,124,44,Neutral Evil,"[ 12, 10, 09, 10, 12, 09 ]",10.33,Commoner,388
Dwarf: ,Male,56,149,48,Chaotic Good,"[ 10, 08, 10, 07, 12, 10 ]",9.5,Commoner,365
Dwarf: ,Female,82,127,45,Chaotic Neutral,"[ 12, 07, 11, 07, 06, 11 ]",9.0,Commoner,310
Dwarf: ,Female,70,129,50,Neutral Evil,"[ 11, 10, 09, 13, 05, 09 ]",9.5,Commoner,310
Dwarf: ,Male,61,152,48,Lawful Good,"[ 10, 06, 07, 06, 10, 09 ]",8.0,Commoner,354
Dwarf: ,Male,60,148,47,Lawful Evil,"[ 05, 12, 11, 08, 13, 08 ]",9.5,Commoner,327
Human: ,Female,17,138,66,Chaotic Good,"[ 12, 12, 12, 11, 12, 12 ]",11.83,Elite,111
Dwarf: ,Male,56,149,48,Chaotic Neutral,"[ 08, 08, 12, 13, 07, 08 ]",9.33,Commoner,389
Dwarf: ,Female,68,132,46,Chaotic Neutral,"[ 12, 05, 05, 10, 07, 10 ]",8.17,Commoner,313
Dwarf: ,Female,56,118,46,Lawful Evil,"[ 09, 12, 08, 10, 09, 06 ]",9.0,Commoner,339
Dwarf: ,Female,54,120,43,Lawful Good,"[ 07, 06, 12, 09, 05, 10 ]",8.17,Commoner,335
Dwarf: ,Male,59,158,48,Chaotic Neutral,"[ 07, 11, 11, 08, 09, 07 ]",8.83,Commoner,393
Dwarf: ,Female,66,131,48,Neutral Evil,"[ 10, 08, 12, 11, 11, 08 ]",10.0,Commoner,390
Dwarf: ,Female,59,138,47,True Neutral,"[ 07, 09, 10, 06, 10, 12 ]",9.0,Commoner,349
Half-Elf: ,Male,17,140,65,Neutral Good,"[ 18, 13, 16, 11, 11, 12 ]",13.5,Adventurer,157
Dwarf: ,Female,62,119,43,Lawful Good,"[ 10, 10, 09, 07, 09, 15 ]",10.0,Commoner,336
Dwarf: ,Male,69,156,47,Chaotic Evil,"[ 12, 08, 09, 09, 08, 07 ]",8.83,Commoner,297
Dwarf: ,Male,70,156,52,Neutral Evil,"[ 10, 11, 14, 11, 08, 09 ]",10.5,Commoner,383
Dwarf: ,Male,65,157,45,Neutral Good,"[ 07, 11, 07, 08, 09, 05 ]",7.83,Commoner,287
Dwarf: ,Female,71,144,49,Chaotic Evil,"[ 07, 08, 06, 12, 09, 05 ]",7.83,Commoner,448
Dwarf: ,Male,59,149,53,Chaotic Evil,"[ 06, 14, 06, 08, 11, 12 ]",9.5,Commoner,406
Dwarf: ,Male,55,152,52,Lawful Good,"[ 10, 14, 09, 06, 14, 13 ]",11.0,Commoner,340
Dwarf: ,Male,69,159,49,Neutral Evil,"[ 10, 08, 12, 07, 04, 07 ]",8.0,Commoner,346
Dwarf: ,Male,72,146,48,Neutral Evil,"[ 05, 10, 05, 08, 09, 07 ]",7.33,Commoner,374
Dwarf: ,Male,66,153,47,Chaotic Evil,"[ 11, 08, 09, 13, 05, 07 ]",8.83,Commoner,372
Dwarf: ,Female,74,123,43,True Neutral,"[ 06, 10, 09, 12, 09, 05 ]",8.5,Commoner,367
Dwarf: ,Male,67,144,44,Chaotic Evil,"[ 06, 08, 09, 10, 12, 14 ]",9.83,Commoner,407
