Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,78,154,47,Chaotic Neutral,"[ 09, 04, 09, 10, 08, 09 ]",8.17,Commoner,330
Dwarf: ,Male,69,151,45,Neutral Good,"[ 10, 09, 14, 08, 04, 10 ]",9.17,Commoner,358
Dwarf: ,Male,63,145,46,Lawful Neutral,"[ 09, 10, 08, 13, 12, 11 ]",10.5,Commoner,351
Dwarf: ,Male,60,157,53,Chaotic Evil,"[ 09, 04, 10, 05, 09, 07 ]",7.33,Commoner,395
Dwarf: ,Female,57,119,50,Lawful Good,"[ 08, 11, 07, 12, 08, 09 ]",9.17,Commoner,297
Dwarf: ,Male,65,151,51,Lawful Neutral,"[ 09, 08, 11, 10, 08, 09 ]",9.17,Commoner,364
Half-Elf: ,Female,21,100,64,Chaotic Neutral,"[ 13, 09, 11, 12, 14, 12 ]",11.83,Elite,169
Dwarf: ,Male,64,156,48,Chaotic Neutral,"[ 12, 07, 13, 07, 04, 09 ]",8.67,Commoner,364
Dwarf: ,Male,59,147,47,Neutral Good,"[ 08, 04, 05, 12, 08, 09 ]",7.67,Commoner,360
Dwarf: ,Female,64,127,42,True Neutral,"[ 17, 10, 08, 14, 14, 03 ]",11.0,Commoner,372
Dwarf: ,Male,62,147,47,True Neutral,"[ 08, 11, 05, 11, 07, 08 ]",8.33,Commoner,410
Dwarf: ,Female,68,125,42,Lawful Evil,"[ 05, 05, 13, 08, 11, 09 ]",8.5,Commoner,432
Dwarf: ,Female,80,134,47,Lawful Good,"[ 10, 13, 13, 09, 07, 15 ]",11.17,Commoner,364
Dwarf: ,Female,64,125,50,Neutral Good,"[ 06, 09, 08, 03, 12, 10 ]",8.0,Commoner,430
Dwarf: ,Female,59,123,50,True Neutral,"[ 05, 12, 07, 14, 12, 12 ]",10.33,Commoner,305
Dwarf: ,Male,70,155,50,Chaotic Good,"[ 10, 08, 15, 09, 10, 14 ]",11.0,Commoner,282
Dwarf: ,Male,61,160,47,Neutral Good,"[ 06, 07, 09, 09, 13, 08 ]",8.67,Commoner,424
Dwarf: ,Male,70,155,48,Chaotic Good,"[ 09, 09, 08, 05, 08, 05 ]",7.33,Commoner,274
Dwarf: ,Female,68,134,50,Lawful Evil,"[ 10, 07, 09, 10, 08, 13 ]",9.5,Commoner,352
Dwarf: ,Male,68,148,51,Chaotic Evil,"[ 09, 11, 09, 04, 10, 10 ]",8.83,Commoner,363
Dwarf: ,Male,66,152,52,Neutral Evil,"[ 11, 05, 09, 11, 12, 05 ]",8.83,Commoner,417
Dwarf: ,Female,58,124,42,Chaotic Neutral,"[ 06, 10, 06, 08, 09, 12 ]",8.5,Commoner,349
Dwarf: ,Female,72,120,51,Chaotic Evil,"[ 08, 08, 07, 06, 10, 10 ]",8.17,Commoner,267
Dwarf: ,Male,72,151,46,Chaotic Good,"[ 14, 08, 10, 13, 08, 09 ]",10.33,Commoner,420
Dwarf: ,Female,75,117,44,Lawful Evil,"[ 12, 09, 09, 12, 10, 09 ]",10.17,Commoner,282
Dwarf: ,Female,61,124,49,Lawful Neutral,"[ 12, 10, 12, 11, 05, 07 ]",9.5,Commoner,389
Dwarf: ,Female,64,125,51,True Neutral,"[ 05, 05, 07, 11, 13, 08 ]",8.17,Commoner,303
Dwarf: ,Male,57,159,53,True Neutral,"[ 09, 09, 13, 12, 07, 08 ]",9.67,Commoner,392
Dwarf: ,Female,65,132,45,Chaotic Neutral,"[ 04, 12, 11, 12, 08, 13 ]",10.0,Commoner,332
Dwarf: ,Female,62,132,50,Lawful Good,"[ 08, 10, 11, 11, 05, 11 ]",9.33,Commoner,336
Dwarf: ,Male,60,152,45,Lawful Good,"[ 05, 13, 11, 14, 05, 08 ]",9.33,Commoner,354
Dwarf: ,Female,76,120,45,True Neutral,"[ 11, 05, 09, 07, 13, 06 ]",8.5,Commoner,368
Dwarf: ,Female,73,126,49,Chaotic Good,"[ 09, 08, 08, 08, 08, 10 ]",8.5,Commoner,324
Dwarf: ,Female,77,127,43,Lawful Evil,"[ 07, 09, 12, 03, 09, 12 ]",8.67,Commoner,387
Dwarf: ,Female,60,125,51,Chaotic Neutral,"[ 09, 12, 11, 07, 10, 09 ]",9.67,Commoner,286
Dwarf: ,Male,75,148,45,Lawful Good,"[ 11, 07, 11, 05, 06, 09 ]",8.17,Commoner,355
Dwarf: ,Female,68,131,51,Lawful Good,"[ 08, 12, 07, 08, 11, 12 ]",9.67,Commoner,271
Elf: ,Female,115,95,51,Chaotic Good,"[ 12, 16, 10, 14, 12, 08 ]",12.0,Elite,513
Dwarf: ,Female,67,133,44,Lawful Good,"[ 04, 06, 10, 13, 05, 07 ]",7.5,Commoner,329
Dwarf: ,Male,59,150,53,Chaotic Good,"[ 11, 09, 07, 08, 08, 12 ]",9.17,Commoner,367
Dwarf: ,Female,67,121,43,Lawful Neutral,"[ 10, 13, 08, 13, 08, 09 ]",10.17,Commoner,400
Dwarf: ,Male,84,151,51,Lawful Good,"[ 04, 06, 11, 08, 09, 05 ]",7.17,Commoner,369
Half-Elf: ,Female,20,104,61,Lawful Good,"[ 13, 15, 08, 13, 11, 10 ]",11.67,Elite,160
Dwarf: ,Male,79,148,44,Neutral Good,"[ 08, 15, 12, 10, 11, 10 ]",11.0,Commoner,350
Dwarf: ,Male,66,158,52,Lawful Evil,"[ 06, 07, 08, 06, 09, 07 ]",7.17,Commoner,320
Dwarf: ,Female,74,124,51,Lawful Good,"[ 09, 17, 04, 05, 12, 14 ]",10.17,Commoner,425
Dwarf: ,Female,69,133,48,Lawful Evil,"[ 13, 07, 08, 08, 11, 09 ]",9.33,Commoner,388
Human: ,Male,19,183,69,Lawful Neutral,"[ 12, 07, 10, 16, 17, 12 ]",12.33,Elite,110
Half-Elf: ,Male,17,132,68,Lawful Evil,"[ 18, 09, 11, 09, 14, 16 ]",12.83,Adventurer,148
