Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Half-Elf: ,Male,17,130,63,True Neutral,"[ 16, 10, 10, 15, 10, 14 ]",12.5,Elite,165
Dwarf: ,Female,67,131,50,Lawful Evil,"[ 13, 10, 11, 12, 12, 09 ]",11.17,Commoner,362
Dwarf: ,Male,67,160,49,Lawful Evil,"[ 09, 10, 06, 07, 06, 10 ]",8.0,Commoner,415
Dwarf: ,Female,75,137,51,Chaotic Evil,"[ 04, 12, 09, 12, 08, 10 ]",9.17,Commoner,282
Dwarf: ,Female,62,127,48,Neutral Good,"[ 07, 07, 09, 09, 07, 14 ]",8.83,Commoner,418
Dwarf: ,Male,60,149,52,Neutral Evil,"[ 08, 12, 12, 06, 08, 12 ]",9.67,Commoner,413
Dwarf: ,Female,62,133,43,Neutral Evil,"[ 05, 08, 10, 12, 09, 12 ]",9.33,Commoner,270
Dwarf: ,Male,67,148,48,Chaotic Neutral,"[ 07, 07, 06, 07, 09, 14 ]",8.33,Commoner,365
Gnome: ,Male,69,84,43,Neutral Evil,"[ 15, 09, 17, 10, 06, 13 ]",11.67,Elite,261
Dwarf: ,Female,61,128,46,Chaotic Good,"[ 11, 04, 07, 09, 11, 09 ]",8.5,Commoner,353
Dwarf: ,Female,69,133,51,Chaotic Neutral,"[ 10, 08, 07, 08, 14, 07 ]",9.0,Commoner,340
Dwarf: ,Male,70,147,48,Chaotic Neutral,"[ 09, 10, 13, 12, 11, 09 ]",10.67,Commoner,377
Dwarf: ,Female,78,130,43,Neutral Evil,"[ 11, 13, 15, 12, 06, 06 ]",10.5,Commoner,421
Dwarf: ,Male,63,160,48,Lawful Neutral,"[ 07, 11, 07, 09, 12, 08 ]",9.0,Commoner,368
Dwarf: ,Male,69,154,46,Lawful Good,"[ 09, 10, 06, 14, 06, 08 ]",8.83,Commoner,298
Dwarf: ,Female,75,123,45,Lawful Evil,"[ 08, 11, 06, 12, 05, 09 ]",8.5,Commoner,375
Dwarf: ,Female,70,135,42,Neutral Evil,"[ 05, 13, 08, 08, 14, 13 ]",10.17,Commoner,366
Dwarf: ,Male,72,153,49,Neutral Good,"[ 14, 08, 09, 12, 10, 07 ]",10.0,Commoner,370
Dwarf: ,Female,56,117,46,Neutral Good,"[ 08, 08, 10, 04, 15, 11 ]",9.33,Commoner,284
Dwarf: ,Female,64,122,45,Neutral Evil,"[ 13, 10, 10, 10, 06, 10 ]",9.83,Commoner,297
Dwarf: ,Male,77,139,53,Neutral Evil,"[ 14, 08, 06, 10, 08, 08 ]",9.0,Commoner,412
Dwarf: ,Male,55,151,51,Lawful Neutral,"[ 10, 11, 09, 07, 10, 06 ]",8.83,Commoner,323
Dwarf: ,Male,78,153,46,Neutral Good,"[ 07, 08, 05, 08, 09, 09 ]",7.67,Commoner,333
Dwarf: ,Male,64,149,45,Lawful Neutral,"[ 10, 05, 10, 10, 10, 07 ]",8.67,Commoner,297
Gnome: ,Female,65,78,38,Neutral Good,"[ 13, 14, 09, 13, 14, 13 ]",12.67,Elite,299
Dwarf: ,Male,72,153,53,Chaotic Good,"[ 12, 04, 04, 09, 13, 12 ]",9.0,Commoner,336
Dwarf: ,Male,62,150,46,Neutral Evil,"[ 05, 13, 11, 13, 11, 11 ]",10.67,Commoner,412
