Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,59,151,46,Chaotic Good,"[ 09, 13, 13, 08, 05, 08 ]",9.33,Commoner,364
Dwarf: ,Female,77,128,43,Neutral Evil,"[ 10, 11, 10, 08, 07, 11 ]",9.5,Commoner,302
Dwarf: ,Female,78,138,42,Chaotic Good,"[ 08, 11, 08, 08, 08, 10 ]",8.83,Commoner,346
Dwarf: ,Female,72,125,45,Neutral Evil,"[ 05, 09, 11, 08, 10, 08 ]",8.5,Commoner,346
Dwarf: ,Male,73,155,44,Lawful Neutral,"[ 07, 07, 06, 04, 13, 06 ]",7.17,Commoner,327
Dwarf: ,Female,63,127,49,Neutral Good,"[ 11, 09, 10, 12, 06, 09 ]",9.5,Commoner,404
Dwarf: ,Male,71,153,47,True Neutral,"[ 08, 14, 15, 17, 08, 06 ]",11.33,Elite,439
Dwarf: ,Female,74,127,43,True Neutral,"[ 15, 09, 12, 18, 13, 09 ]",12.67,Elite,410
Dwarf: ,Female,73,131,47,True Neutral,"[ 08, 13, 04, 10, 08, 12 ]",9.17,Commoner,310
Human: ,Female,19,142,71,Neutral Evil,"[ 14, 10, 12, 13, 11, 10 ]",11.67,Elite,110
Dwarf: ,Female,72,118,47,True Neutral,"[ 08, 08, 09, 08, 14, 09 ]",9.33,Commoner,366
Dwarf: ,Male,77,150,49,Lawful Neutral,"[ 12, 05, 09, 06, 09, 06 ]",7.83,Commoner,354
Dwarf: ,Male,71,149,45,Lawful Evil,"[ 06, 09, 11, 08, 05, 07 ]",7.67,Commoner,379
Dwarf: ,Female,68,128,48,Neutral Good,"[ 07, 11, 13, 09, 10, 11 ]",10.17,Commoner,347
Dwarf: ,Female,71,129,51,Lawful Good,"[ 09, 09, 12, 08, 03, 07 ]",8.0,Commoner,347
Dwarf: ,Female,66,126,51,Chaotic Evil,"[ 09, 07, 10, 09, 07, 05 ]",7.83,Commoner,364
Dwarf: ,Female,62,129,51,Chaotic Neutral,"[ 07, 11, 12, 11, 10, 07 ]",9.67,Commoner,314
Human: ,Female,17,147,67,Lawful Evil,"[ 11, 15, 10, 12, 12, 16 ]",12.67,Elite,114
Dwarf: ,Male,60,139,53,Chaotic Neutral,"[ 10, 06, 06, 10, 03, 10 ]",7.5,Commoner,437
Dwarf: ,Male,52,153,52,Chaotic Good,"[ 10, 10, 09, 11, 05, 08 ]",8.83,Commoner,313
Dwarf: ,Male,79,160,49,Lawful Good,"[ 05, 10, 14, 09, 06, 08 ]",8.67,Commoner,303
Dwarf: ,Male,76,156,53,Neutral Good,"[ 10, 12, 07, 10, 06, 04 ]",8.17,Commoner,375
Dwarf: ,Male,70,154,48,True Neutral,"[ 08, 06, 09, 13, 10, 08 ]",9.0,Commoner,399
Dwarf: ,Male,81,161,51,Neutral Good,"[ 09, 10, 11, 13, 08, 10 ]",10.17,Commoner,358
Dwarf: ,Female,67,119,42,Lawful Good,"[ 07, 10, 08, 12, 08, 11 ]",9.33,Commoner,375
Dwarf: ,Male,66,147,53,Neutral Good,"[ 08, 10, 07, 10, 08, 09 ]",8.67,Commoner,342
Dwarf: ,Female,76,124,51,Chaotic Good,"[ 09, 07, 08, 08, 13, 05 ]",8.33,Commoner,390
Dwarf: ,Male,64,156,52,True Neutral,"[ 09, 09, 12, 11, 10, 10 ]",10.17,Commoner,275
Dwarf: ,Female,72,127,46,Chaotic Good,"[ 09, 11, 08, 10, 11, 10 ]",9.83,Commoner,361
Dwarf: ,Male,67,140,44,True Neutral,"[ 12, 04, 05, 10, 10, 10 ]",8.5,Commoner,281
Dwarf: ,Female,69,120,44,Lawful Good,"[ 05, 08, 09, 10, 13, 05 ]",8.33,Commoner,341
Dwarf: ,Male,56,149,47,Lawful Neutral,"[ 06, 12, 10, 05, 07, 09 ]",8.17,Commoner,348
Dwarf: ,Female,68,124,46,Neutral Good,"[ 08, 07, 09, 09, 04, 06 ]",7.17,Commoner,371
Gnome: ,Female,76,81,39,Neutral Evil,"[ 15, 13, 15, 13, 14, 13 ]",13.83,Adventurer,298
Dwarf: ,Male,70,155,51,Chaotic Evil,"[ 06, 14, 10, 04, 11, 12 ]",9.5,Commoner,360
Dwarf: ,Male,67,150,46,Lawful Good,"[ 09, 08, 07, 13, 12, 10 ]",9.83,Commoner,341
Dwarf: ,Male,60,149,53,Chaotic Evil,"[ 11, 08, 09, 07, 13, 11 ]",9.83,Commoner,337
Dwarf: ,Male,63,150,44,Lawful Good,"[ 07, 08, 05, 05, 11, 11 ]",7.83,Commoner,305
Dwarf: ,Female,73,132,49,Neutral Good,"[ 03, 09, 07, 06, 08, 11 ]",7.33,Commoner,417
Dwarf: ,Female,64,130,42,Lawful Neutral,"[ 07, 10, 10, 13, 15, 05 ]",10.0,Commoner,446
Dwarf: ,Male,61,144,52,Chaotic Evil,"[ 06, 11, 11, 10, 10, 07 ]",9.17,Commoner,355
Dwarf: ,Male,63,160,51,Lawful Neutral,"[ 07, 10, 09, 14, 15, 13 ]",11.33,Elite,342
Dwarf: ,Female,57,128,49,Neutral Evil,"[ 05, 06, 09, 04, 10, 11 ]",7.5,Commoner,350
Dwarf: ,Female,74,134,48,True Neutral,"[ 10, 10, 11, 10, 04, 07 ]",8.67,Commoner,386
Dwarf: ,Female,76,121,45,Chaotic Neutral,"[ 07, 14, 04, 07, 12, 11 ]",9.17,Commoner,408
Dwarf: ,Male,74,152,51,Chaotic Good,"[ 14, 09, 11, 08, 12, 08 ]",10.33,Commoner,403
Dwarf: ,Female,59,131,42,Chaotic Good,"[ 12, 14, 07, 03, 08, 11 ]",9.17,Commoner,369
Dwarf: ,Male,74,146,48,Lawful Evil,"[ 11, 12, 07, 06, 16, 11 ]",10.5,Commoner,442
Dwarf: ,Female,66,123,46,Chaotic Neutral,"[ 06, 08, 13, 07, 05, 09 ]",8.0,Commoner,379
Dwarf: ,Female,75,130,44,Chaotic Evil,"[ 06, 07, 07, 04, 08, 12 ]",7.33,Commoner,392
Dwarf: ,Male,75,147,48,Lawful Good,"[ 06, 04, 06, 07, 08, 06 ]",6.17,Commoner,378
Dwarf: ,Male,83,149,44,Neutral Evil,"[ 10, 13, 07, 07, 08, 10 ]",9.17,Commoner,431
Dwarf: ,Female,59,128,46,Chaotic Neutral,"[ 12, 11, 10, 09, 10, 13 ]",10.83,Commoner,406
Dwarf: ,Male,61,145,44,Chaotic Good,"[ 10, 07, 11, 15, 14, 08 ]",10.83,Commoner,287
Dwarf: ,Female,56,139,47,Neutral Evil,"[ 12, 10, 09, 09, 09, 10 ]",9.83,Commoner,421
Dwarf: ,Male,64,162,53,Chaotic Good,"[ 07, 10, 09, 10, 12, 10 ]",9.67,Commoner,297
Dwarf: ,Male,58,148,51,Chaotic Neutral,"[ 11, 08, 05, 11, 14, 08 ]",9.5,Commoner,417
