Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,66,148,50,Neutral Evil,"[ 11, 08, 05, 13, 09, 11 ]",9.5,Commoner,364
Gnome: ,Male,77,88,42,Lawful Neutral,"[ 18, 08, 08, 13, 14, 16 ]",12.83,Adventurer,333
Dwarf: ,Male,68,143,47,True Neutral,"[ 12, 12, 08, 11, 10, 11 ]",10.67,Commoner,415
Dwarf: ,Female,55,127,48,Lawful Good,"[ 11, 08, 10, 09, 12, 08 ]",9.67,Commoner,385
Dwarf: ,Male,70,148,48,Chaotic Neutral,"[ 04, 12, 07, 05, 10, 08 ]",7.67,Commoner,371
Dwarf: ,Male,57,155,49,True Neutral,"[ 11, 05, 09, 09, 03, 08 ]",7.5,Commoner,392
Dwarf: ,Male,71,144,45,True Neutral,"[ 07, 11, 07, 11, 10, 07 ]",8.83,Commoner,358
Dwarf: ,Female,54,121,46,True Neutral,"[ 10, 10, 13, 07, 14, 10 ]",10.67,Commoner,353
Dwarf: ,Male,72,147,48,Neutral Good,"[ 04, 09, 10, 13, 08, 11 ]",9.17,Commoner,383
Dwarf: ,Female,67,112,49,True Neutral,"[ 09, 12, 10, 12, 07, 09 ]",9.83,Commoner,322
Dwarf: ,Male,72,155,46,Neutral Good,"[ 09, 09, 05, 08, 11, 15 ]",9.5,Commoner,369
Dwarf: ,Male,66,149,50,Lawful Neutral,"[ 09, 07, 10, 09, 10, 06 ]",8.5,Commoner,329
Human: ,Male,17,165,72,Chaotic Good,"[ 10, 12, 13, 11, 16, 09 ]",11.83,Elite,114
Dwarf: ,Male,76,149,46,Lawful Good,"[ 10, 09, 11, 15, 10, 12 ]",11.17,Commoner,382
Dwarf: ,Male,71,139,44,True Neutral,"[ 08, 08, 06, 12, 05, 12 ]",8.5,Commoner,407
Dwarf: ,Female,64,124,50,Neutral Evil,"[ 12, 10, 10, 11, 05, 14 ]",10.33,Commoner,386
Dwarf: ,Female,60,131,49,Lawful Neutral,"[ 07, 14, 11, 10, 07, 09 ]",9.67,Commoner,359
Dwarf: ,Male,65,152,44,Lawful Evil,"[ 08, 08, 12, 07, 11, 10 ]",9.33,Commoner,337
Dwarf: ,Male,65,147,45,Neutral Evil,"[ 08, 12, 13, 10, 08, 12 ]",10.5,Commoner,333
Dwarf: ,Female,65,120,44,Neutral Evil,"[ 11, 11, 04, 12, 10, 09 ]",9.5,Commoner,395
Dwarf: ,Male,66,149,44,Lawful Evil,"[ 09, 08, 06, 08, 11, 13 ]",9.17,Commoner,340
Dwarf: ,Male,67,150,51,True Neutral,"[ 13, 15, 09, 11, 09, 11 ]",11.33,Elite,349
Dwarf: ,Female,78,129,43,Neutral Good,"[ 08, 07, 07, 06, 06, 05 ]",6.5,Commoner,321
Dwarf: ,Female,59,130,48,Chaotic Neutral,"[ 10, 03, 12, 05, 04, 10 ]",7.33,Commoner,344
Dwarf: ,Male,73,149,44,Lawful Neutral,"[ 09, 10, 12, 07, 10, 08 ]",9.33,Commoner,411
Dwarf: ,Female,68,125,43,Neutral Evil,"[ 08, 07, 11, 09, 06, 12 ]",8.83,Commoner,390
Dwarf: ,Male,66,155,51,Chaotic Evil,"[ 13, 07, 11, 12, 12, 05 ]",10.0,Commoner,350
Dwarf: ,Female,65,127,42,Chaotic Neutral,"[ 09, 11, 13, 10, 07, 13 ]",10.5,Commoner,405
Dwarf: ,Female,62,131,43,Lawful Evil,"[ 09, 10, 10, 13, 05, 14 ]",10.17,Commoner,323
Dwarf: ,Female,60,120,44,True Neutral,"[ 11, 12, 08, 12, 08, 14 ]",10.83,Commoner,423
Dwarf: ,Female,66,124,51,Lawful Good,"[ 03, 07, 12, 09, 16, 16 ]",10.5,Commoner,372
Dwarf: ,Female,55,120,43,True Neutral,"[ 06, 08, 07, 10, 05, 09 ]",7.5,Commoner,343
Dwarf: ,Female,71,133,51,Neutral Good,"[ 10, 11, 06, 09, 09, 08 ]",8.83,Commoner,360
Dwarf: ,Male,66,163,51,Lawful Neutral,"[ 11, 10, 10, 12, 08, 08 ]",9.83,Commoner,412
Dwarf: ,Male,72,159,53,Neutral Evil,"[ 09, 11, 11, 08, 09, 06 ]",9.0,Commoner,387
Dwarf: ,Female,70,117,46,Lawful Evil,"[ 13, 07, 12, 08, 09, 11 ]",10.0,Commoner,340
Half-Elf: ,Male,17,130,68,Lawful Good,"[ 14, 14, 16, 14, 05, 11 ]",12.33,Elite,152
Dwarf: ,Female,64,135,43,Chaotic Evil,"[ 13, 08, 07, 05, 06, 09 ]",8.0,Commoner,332
Dwarf: ,Female,59,129,51,Chaotic Evil,"[ 06, 08, 14, 11, 10, 05 ]",9.0,Commoner,373
Dwarf: ,Male,60,151,51,Chaotic Evil,"[ 06, 08, 09, 14, 09, 07 ]",8.83,Commoner,317
Dwarf: ,Female,64,132,44,True Neutral,"[ 09, 10, 08, 06, 11, 07 ]",8.5,Commoner,352
Dwarf: ,Male,73,155,48,True Neutral,"[ 08, 05, 12, 14, 11, 06 ]",9.33,Commoner,323
Dwarf: ,Female,59,139,48,Lawful Evil,"[ 09, 12, 12, 14, 05, 06 ]",9.67,Commoner,324
Dwarf: ,Male,71,155,44,Neutral Evil,"[ 10, 08, 11, 09, 12, 10 ]",10.0,Commoner,317
Dwarf: ,Female,65,125,47,Chaotic Evil,"[ 05, 10, 10, 11, 07, 09 ]",8.67,Commoner,348
