Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Gnome: ,Male,90,82,39,Chaotic Good,"[ 12, 13, 10, 09, 18, 13 ]",12.5,Elite,327
Dwarf: ,Male,68,142,49,Chaotic Good,"[ 11, 06, 10, 09, 11, 11 ]",9.67,Commoner,329
Dwarf: ,Female,79,130,48,Neutral Evil,"[ 09, 12, 12, 07, 07, 14 ]",10.17,Commoner,405
Half-Elf: ,Female,18,109,65,True Neutral,"[ 11, 09, 13, 10, 12, 16 ]",11.83,Elite,146
Dwarf: ,Male,64,151,51,True Neutral,"[ 08, 07, 08, 04, 10, 07 ]",7.33,Commoner,309
Dwarf: ,Female,65,111,42,Lawful Good,"[ 07, 10, 06, 10, 10, 06 ]",8.17,Commoner,419
Dwarf: ,Male,68,153,45,Neutral Evil,"[ 18, 04, 06, 17, 14, 06 ]",10.83,Commoner,389
Dwarf: ,Male,58,138,49,Neutral Evil,"[ 12, 10, 09, 12, 10, 06 ]",9.83,Commoner,408
Dwarf: ,Female,59,129,49,Chaotic Good,"[ 08, 06, 05, 11, 10, 05 ]",7.5,Commoner,343
Dwarf: ,Male,74,150,53,Neutral Evil,"[ 10, 13, 07, 08, 09, 08 ]",9.17,Commoner,384
Dwarf: ,Male,71,148,50,Lawful Good,"[ 07, 08, 10, 09, 11, 08 ]",8.83,Commoner,408
Dwarf: ,Female,63,124,47,Neutral Evil,"[ 08, 13, 14, 08, 06, 12 ]",10.17,Commoner,400
Dwarf: ,Female,63,116,44,Chaotic Evil,"[ 05, 05, 04, 12, 09, 07 ]",7.0,Commoner,354
Dwarf: ,Male,58,153,50,Chaotic Evil,"[ 09, 03, 09, 12, 07, 11 ]",8.5,Commoner,428
Dwarf: ,Female,61,128,50,Chaotic Evil,"[ 09, 09, 13, 12, 12, 11 ]",11.0,Commoner,351
Dwarf: ,Female,72,131,51,True Neutral,"[ 04, 16, 05, 14, 16, 09 ]",10.67,Commoner,390
Dwarf: ,Male,62,158,47,Neutral Evil,"[ 09, 09, 10, 10, 10, 09 ]",9.5,Commoner,352
Dwarf: ,Male,72,146,50,Chaotic Neutral,"[ 11, 10, 10, 05, 06, 08 ]",8.33,Commoner,355
Dwarf: ,Female,56,126,48,Chaotic Neutral,"[ 07, 11, 11, 06, 08, 11 ]",9.0,Commoner,405
Half-Elf: ,Male,18,134,68,Neutral Evil,"[ 10, 14, 14, 10, 11, 13 ]",12.0,Elite,162
Dwarf: ,Male,77,148,48,Chaotic Good,"[ 06, 10, 10, 12, 10, 05 ]",8.83,Commoner,372
Dwarf: ,Male,66,163,45,Chaotic Neutral,"[ 11, 03, 10, 10, 11, 10 ]",9.17,Commoner,360
Dwarf: ,Male,71,148,48,Neutral Evil,"[ 09, 03, 09, 11, 08, 09 ]",8.17,Commoner,288
Dwarf: ,Male,51,148,52,Chaotic Good,"[ 04, 10, 06, 12, 06, 13 ]",8.5,Commoner,332
Dwarf: ,Female,74,134,43,Chaotic Evil,"[ 09, 15, 09, 05, 08, 10 ]",9.33,Commoner,310
Dwarf: ,Female,66,120,46,Lawful Good,"[ 09, 10, 09, 10, 10, 13 ]",10.17,Commoner,324
Dwarf: ,Female,76,118,43,Lawful Neutral,"[ 08, 11, 09, 11, 07, 14 ]",10.0,Commoner,281
Dwarf: ,Male,69,153,45,Lawful Evil,"[ 13, 07, 09, 06, 14, 11 ]",10.0,Commoner,380
Dwarf: ,Female,74,125,43,Lawful Good,"[ 13, 03, 09, 09, 09, 08 ]",8.5,Commoner,308
Dwarf: ,Male,71,151,44,Neutral Evil,"[ 12, 07, 10, 08, 07, 15 ]",9.83,Commoner,368
Human: ,Female,17,131,73,True Neutral,"[ 11, 12, 17, 09, 17, 08 ]",12.33,Elite,109
Dwarf: ,Female,65,125,43,Neutral Good,"[ 11, 08, 12, 08, 13, 06 ]",9.67,Commoner,325
Dwarf: ,Female,64,133,50,Neutral Evil,"[ 11, 09, 08, 12, 10, 11 ]",10.17,Commoner,306
Dwarf: ,Male,78,156,51,Lawful Evil,"[ 04, 08, 05, 12, 10, 07 ]",7.67,Commoner,345
Dwarf: ,Male,79,158,50,Chaotic Good,"[ 08, 14, 12, 08, 10, 07 ]",9.83,Commoner,356
Dwarf: ,Male,71,145,50,Neutral Evil,"[ 07, 10, 06, 13, 08, 03 ]",7.83,Commoner,449
Dwarf: ,Female,73,129,47,Chaotic Evil,"[ 06, 10, 08, 07, 10, 04 ]",7.5,Commoner,308
Dwarf: ,Female,72,123,46,Chaotic Evil,"[ 09, 08, 13, 10, 07, 10 ]",9.5,Commoner,358
Dwarf: ,Female,88,135,42,Chaotic Neutral,"[ 10, 08, 06, 09, 07, 13 ]",8.83,Commoner,340
Dwarf: ,Male,67,157,46,Lawful Good,"[ 08, 10, 06, 10, 06, 08 ]",8.0,Commoner,322
Dwarf: ,Female,77,116,45,Neutral Evil,"[ 10, 07, 08, 10, 11, 09 ]",9.17,Commoner,350
Dwarf: ,Male,59,155,49,Chaotic Good,"[ 09, 10, 07, 08, 11, 12 ]",9.5,Commoner,334
Dwarf: ,Male,72,148,48,Lawful Good,"[ 11, 06, 09, 12, 13, 12 ]",10.5,Commoner,389
Dwarf: ,Male,63,150,45,Neutral Evil,"[ 13, 12, 06, 14, 11, 06 ]",10.33,Commoner,334
Dwarf: ,Male,72,147,49,True Neutral,"[ 11, 06, 10, 13, 12, 06 ]",9.67,Commoner,380
Dwarf: ,Female,78,130,50,Lawful Good,"[ 05, 08, 08, 13, 04, 12 ]",8.33,Commoner,385
Dwarf: ,Male,78,157,47,True Neutral,"[ 09, 11, 08, 06, 12, 07 ]",8.83,Commoner,436
Dwarf: ,Male,66,156,47,Lawful Neutral,"[ 11, 10, 07, 07, 07, 10 ]",8.67,Commoner,351
Dwarf: ,Female,66,132,42,Lawful Neutral,"[ 16, 14, 09, 13, 15, 10 ]",12.83,Adventurer,364
Dwarf: ,Male,73,157,45,Neutral Evil,"[ 14, 07, 08, 14, 14, 11 ]",11.33,Elite,303
Dwarf: ,Female,71,126,49,Chaotic Evil,"[ 11, 13, 08, 07, 07, 04 ]",8.33,Commoner,354
Dwarf: ,Female,65,131,51,Lawful Evil,"[ 09, 06, 08, 08, 12, 10 ]",8.83,Commoner,353
Dwarf: ,Female,63,134,43,Chaotic Neutral,"[ 07, 07, 07, 13, 10, 10 ]",9.0,Commoner,310
Dwarf: ,Female,69,125,44,Lawful Evil,"[ 09, 07, 08, 11, 08, 05 ]",8.0,Commoner,327
Dwarf: ,Female,56,126,45,Neutral Good,"[ 13, 12, 05, 14, 18, 07 ]",11.5,Elite,314
