Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Elf: ,Male,120,105,61,Chaotic Good,"[ 10, 17, 05, 12, 12, 14 ]",11.67,Elite,563
Dwarf: ,Female,70,135,43,True Neutral,"[ 10, 05, 07, 08, 10, 04 ]",7.33,Commoner,402
Dwarf: ,Female,73,135,42,True Neutral,"[ 08, 10, 08, 08, 13, 05 ]",8.67,Commoner,318
Elf: ,Female,119,89,57,Lawful Neutral,"[ 15, 09, 13, 10, 11, 13 ]",11.83,Elite,506
Dwarf: ,Female,76,126,45,Lawful Evil,"[ 12, 09, 05, 10, 08, 12 ]",9.33,Commoner,442
Dwarf: ,Male,79,145,44,Chaotic Good,"[ 09, 10, 12, 10, 07, 11 ]",9.83,Commoner,384
Dwarf: ,Female,68,128,48,Lawful Evil,"[ 04, 13, 07, 08, 09, 12 ]",8.83,Commoner,323
Dwarf: ,Female,59,132,47,Lawful Evil,"[ 15, 14, 12, 10, 12, 06 ]",11.5,Elite,319
Dwarf: ,Female,74,127,50,Lawful Good,"[ 13, 15, 10, 17, 12, 08 ]",12.5,Elite,333
Human: ,Male,16,187,69,Lawful Neutral,"[ 15, 12, 17, 15, 08, 10 ]",12.83,Adventurer,126
Dwarf: ,Female,72,130,43,True Neutral,"[ 11, 09, 09, 12, 09, 07 ]",9.5,Commoner,387
Dwarf: ,Male,72,162,52,Lawful Good,"[ 13, 09, 09, 09, 12, 05 ]",9.5,Commoner,344
Dwarf: ,Male,70,160,53,Lawful Neutral,"[ 07, 08, 08, 13, 05, 08 ]",8.17,Commoner,349
Dwarf: ,Male,64,142,51,Chaotic Good,"[ 12, 10, 11, 07, 12, 11 ]",10.5,Commoner,327
Dwarf: ,Female,71,120,49,Neutral Good,"[ 09, 08, 06, 05, 07, 11 ]",7.67,Commoner,377
Dwarf: ,Male,79,156,51,Lawful Good,"[ 11, 09, 09, 11, 10, 07 ]",9.5,Commoner,415
Dwarf: ,Male,65,148,48,Neutral Good,"[ 10, 07, 07, 14, 03, 10 ]",8.5,Commoner,386
Dwarf: ,Male,61,151,49,Chaotic Good,"[ 08, 09, 10, 06, 09, 04 ]",7.67,Commoner,348
Dwarf: ,Female,73,121,43,Chaotic Neutral,"[ 13, 07, 07, 09, 11, 13 ]",10.0,Commoner,330
Dwarf: ,Male,60,152,46,Chaotic Good,"[ 08, 09, 10, 10, 08, 09 ]",9.0,Commoner,379
Dwarf: ,Male,73,143,48,True Neutral,"[ 14, 10, 05, 07, 07, 10 ]",8.83,Commoner,305
Dwarf: ,Female,63,126,45,Chaotic Evil,"[ 11, 08, 06, 05, 09, 05 ]",7.33,Commoner,339
Dwarf: ,Female,79,132,43,Lawful Evil,"[ 04, 10, 06, 06, 09, 06 ]",6.83,Commoner,373
Dwarf: ,Female,72,119,43,Chaotic Neutral,"[ 09, 08, 13, 07, 06, 14 ]",9.5,Commoner,362
Dwarf: ,Female,67,133,49,Chaotic Good,"[ 12, 06, 13, 13, 10, 08 ]",10.33,Commoner,407
Dwarf: ,Male,71,157,51,Chaotic Evil,"[ 10, 10, 11, 10, 11, 10 ]",10.33,Commoner,312
Dwarf: ,Female,67,131,42,Neutral Good,"[ 03, 11, 12, 08, 11, 07 ]",8.67,Commoner,391
Dwarf: ,Female,58,115,44,Lawful Good,"[ 06, 08, 05, 12, 10, 11 ]",8.67,Commoner,293
Dwarf: ,Female,71,131,45,Neutral Good,"[ 10, 10, 10, 05, 07, 07 ]",8.17,Commoner,365
Half-Elf: ,Female,20,105,65,Neutral Evil,"[ 12, 11, 14, 14, 10, 11 ]",12.0,Elite,159
Dwarf: ,Female,71,128,47,True Neutral,"[ 08, 07, 12, 11, 04, 09 ]",8.5,Commoner,325
Dwarf: ,Male,66,150,53,Lawful Good,"[ 13, 10, 08, 11, 09, 07 ]",9.67,Commoner,277
Dwarf: ,Male,71,146,49,Chaotic Evil,"[ 10, 06, 09, 09, 09, 08 ]",8.5,Commoner,316
Dwarf: ,Female,78,116,46,Lawful Neutral,"[ 13, 04, 05, 04, 11, 12 ]",8.17,Commoner,377
Dwarf: ,Female,58,132,42,Lawful Evil,"[ 11, 08, 04, 05, 09, 06 ]",7.17,Commoner,359
Dwarf: ,Female,58,126,48,Lawful Evil,"[ 10, 06, 09, 06, 11, 05 ]",7.83,Commoner,293
Dwarf: ,Male,56,156,44,Chaotic Good,"[ 08, 13, 11, 06, 08, 09 ]",9.17,Commoner,267
Dwarf: ,Male,62,152,53,Chaotic Good,"[ 07, 06, 10, 08, 08, 08 ]",7.83,Commoner,261
Dwarf: ,Female,58,134,48,Lawful Evil,"[ 11, 08, 09, 06, 13, 12 ]",9.83,Commoner,320
Dwarf: ,Male,74,149,47,Chaotic Evil,"[ 08, 14, 09, 09, 09, 08 ]",9.5,Commoner,325
Dwarf: ,Female,59,124,43,Lawful Evil,"[ 09, 07, 13, 05, 07, 07 ]",8.0,Commoner,334
Dwarf: ,Male,70,154,46,Chaotic Evil,"[ 15, 10, 08, 11, 08, 16 ]",11.33,Elite,275
Dwarf: ,Male,70,156,47,Chaotic Evil,"[ 09, 10, 12, 11, 08, 09 ]",9.83,Commoner,329
Dwarf: ,Female,71,127,43,Lawful Evil,"[ 11, 05, 08, 10, 09, 07 ]",8.33,Commoner,361
Dwarf: ,Male,64,147,44,Lawful Neutral,"[ 12, 07, 05, 11, 16, 09 ]",10.0,Commoner,373
Dwarf: ,Female,56,121,48,Neutral Evil,"[ 07, 09, 06, 08, 08, 11 ]",8.17,Commoner,403
Dwarf: ,Male,63,161,44,Lawful Neutral,"[ 07, 14, 14, 11, 14, 05 ]",10.83,Commoner,357
Dwarf: ,Female,74,134,43,Chaotic Evil,"[ 15, 09, 10, 09, 09, 11 ]",10.5,Commoner,286
Dwarf: ,Female,66,135,51,Chaotic Good,"[ 07, 12, 10, 10, 09, 12 ]",10.0,Commoner,362
Dwarf: ,Male,65,149,50,Lawful Evil,"[ 08, 10, 13, 11, 06, 12 ]",10.0,Commoner,315
Dwarf: ,Male,58,151,44,Lawful Good,"[ 10, 04, 10, 07, 11, 09 ]",8.5,Commoner,276
Gnome: ,Male,78,83,43,Neutral Good,"[ 08, 15, 11, 10, 16, 11 ]",11.83,Elite,231
Dwarf: ,Female,68,122,51,Chaotic Neutral,"[ 09, 08, 11, 09, 10, 10 ]",9.5,Commoner,383
Dwarf: ,Female,61,127,42,Lawful Evil,"[ 05, 10, 09, 08, 07, 07 ]",7.67,Commoner,345
Dwarf: ,Male,62,152,53,Lawful Good,"[ 10, 12, 12, 05, 14, 10 ]",10.5,Commoner,422
Dwarf: ,Female,66,134,48,Lawful Evil,"[ 07, 08, 10, 09, 09, 10 ]",8.83,Commoner,365
Dwarf: ,Female,62,120,46,Chaotic Evil,"[ 08, 08, 12, 11, 07, 11 ]",9.5,Commoner,365
Dwarf: ,Female,65,136,45,Neutral Good,"[ 16, 12, 14, 06, 05, 08 ]",10.17,Commoner,287
Half-Elf: ,Male,17,124,69,Lawful Neutral,"[ 14, 17, 05, 12, 15, 09 ]",12.0,Elite,168
Dwarf: ,Female,64,135,46,Lawful Neutral,"[ 08, 05, 08, 08, 03, 10 ]",7.0,Commoner,329
Elf: ,Female,114,84,55,True Neutral,"[ 11, 10, 11, 17, 13, 15 ]",12.83,Adventurer,608
Dwarf: ,Male,72,152,47,Lawful Good,"[ 07, 12, 09, 10, 07, 05 ]",8.33,Commoner,296
Dwarf: ,Female,68,128,51,Chaotic Neutral,"[ 07, 09, 10, 07, 13, 11 ]",9.5,Commoner,329
Dwarf: ,Female,76,126,44,Lawful Evil,"[ 10, 12, 07, 08, 08, 12 ]",9.5,Commoner,365
Dwarf: ,Female,68,136,50,Neutral Evil,"[ 10, 08, 10, 14, 05, 11 ]",9.67,Commoner,375
Dwarf: ,Female,64,116,51,Neutral Good,"[ 06, 10, 11, 08, 12, 05 ]",8.67,Commoner,378
Dwarf: ,Female,66,124,48,Chaotic Good,"[ 06, 08, 13, 05, 04, 10 ]",7.67,Commoner,344
Dwarf: ,Female,60,129,48,True Neutral,"[ 11, 10, 11, 10, 11, 09 ]",10.33,Commoner,409
Dwarf: ,Female,75,126,51,Chaotic Evil,"[ 10, 10, 08, 08, 08, 11 ]",9.17,Commoner,413
Dwarf: ,Female,64,131,49,Lawful Neutral,"[ 10, 15, 05, 15, 03, 12 ]",10.0,Commoner,385
Dwarf: ,Male,74,161,49,True Neutral,"[ 03, 12, 05, 05, 11, 08 ]",7.33,Commoner,397
Dwarf: ,Male,62,160,48,Neutral Good,"[ 08, 11, 08, 08, 12, 06 ]",8.83,Commoner,379
Elf: ,Male,117,114,57,Neutral Good,"[ 11, 15, 12, 12, 11, 12 ]",12.17,Elite,593
Dwarf: ,Male,70,153,48,Neutral Evil,"[ 09, 13, 08, 09, 12, 08 ]",9.83,Commoner,403
Dwarf: ,Female,66,133,43,Lawful Neutral,"[ 11, 09, 09, 11, 12, 06 ]",9.67,Commoner,379
Dwarf: ,Female,78,120,48,Neutral Good,"[ 09, 12, 06, 11, 09, 08 ]",9.17,Commoner,309
Dwarf: ,Female,64,132,50,True Neutral,"[ 09, 11, 11, 11, 13, 06 ]",10.17,Commoner,282
Dwarf: ,Male,65,148,46,Neutral Evil,"[ 05, 12, 16, 17, 08, 04 ]",10.33,Commoner,356
Dwarf: ,Male,64,157,44,Lawful Good,"[ 12, 10, 06, 09, 10, 12 ]",9.83,Commoner,401
Dwarf: ,Female,68,125,46,True Neutral,"[ 09, 11, 06, 08, 06, 14 ]",9.0,Commoner,435
Dwarf: ,Male,73,152,48,Neutral Evil,"[ 12, 14, 10, 12, 09, 07 ]",10.67,Commoner,263
Dwarf: ,Male,68,147,51,True Neutral,"[ 11, 08, 09, 09, 06, 10 ]",8.83,Commoner,366
