Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,56,130,49,Lawful Good,"[ 10, 04, 09, 09, 06, 12 ]",8.33,Commoner,363
Half-Elf: ,Male,21,129,63,Chaotic Good,"[ 16, 10, 09, 18, 13, 11 ]",12.83,Adventurer,154
Dwarf: ,Female,71,126,51,Chaotic Neutral,"[ 11, 08, 10, 06, 04, 09 ]",8.0,Commoner,415
Gnome: ,Female,73,86,42,Neutral Good,"[ 13, 18, 14, 17, 08, 08 ]",13.0,Adventurer,438
Dwarf: ,Male,69,149,44,Lawful Evil,"[ 05, 11, 14, 10, 08, 08 ]",9.33,Commoner,265
Elf: ,Male,119,104,62,Lawful Evil,"[ 11, 13, 10, 10, 16, 13 ]",12.17,Elite,561
Dwarf: ,Male,70,151,44,Chaotic Good,"[ 04, 08, 09, 07, 10, 09 ]",7.83,Commoner,350
Dwarf: ,Male,65,156,48,Lawful Evil,"[ 12, 08, 08, 12, 08, 11 ]",9.83,Commoner,377
Dwarf: ,Female,77,119,42,Neutral Good,"[ 07, 10, 06, 10, 07, 11 ]",8.5,Commoner,362
Dwarf: ,Female,65,122,47,Chaotic Neutral,"[ 10, 06, 13, 08, 06, 11 ]",9.0,Commoner,312
Dwarf: ,Female,70,138,45,Chaotic Evil,"[ 12, 08, 11, 08, 09, 10 ]",9.67,Commoner,387
Dwarf: ,Female,57,134,49,Chaotic Evil,"[ 09, 12, 09, 07, 10, 08 ]",9.17,Commoner,412
Dwarf: ,Female,65,127,48,Lawful Evil,"[ 10, 15, 10, 11, 08, 10 ]",10.67,Commoner,306
Dwarf: ,Female,56,118,48,True Neutral,"[ 08, 07, 08, 09, 08, 11 ]",8.5,Commoner,378
Dwarf: ,Male,67,148,51,Neutral Evil,"[ 09, 14, 13, 06, 11, 10 ]",10.5,Commoner,346
Dwarf: ,Female,59,121,50,Neutral Good,"[ 07, 09, 08, 09, 05, 10 ]",8.0,Commoner,339
Halfling: ,Female,28,62,42,Neutral Evil,"[ 13, 15, 12, 14, 07, 11 ]",12.0,Elite,172
Dwarf: ,Female,72,127,47,Neutral Evil,"[ 09, 05, 13, 14, 10, 09 ]",10.0,Commoner,417
Dwarf: ,Female,75,129,42,Neutral Good,"[ 05, 11, 10, 10, 09, 09 ]",9.0,Commoner,385
Dwarf: ,Male,67,156,49,Chaotic Neutral,"[ 10, 10, 07, 10, 14, 10 ]",10.17,Commoner,365
Dwarf: ,Female,75,125,47,True Neutral,"[ 08, 08, 09, 06, 05, 07 ]",7.17,Commoner,389
Dwarf: ,Male,66,150,44,Lawful Evil,"[ 05, 12, 12, 10, 06, 09 ]",9.0,Commoner,401
Dwarf: ,Male,67,148,46,Lawful Neutral,"[ 14, 07, 09, 07, 06, 07 ]",8.33,Commoner,407
Dwarf: ,Female,66,132,49,Chaotic Neutral,"[ 09, 11, 10, 06, 14, 12 ]",10.33,Commoner,320
Dwarf: ,Male,68,150,51,True Neutral,"[ 08, 10, 13, 14, 13, 09 ]",11.17,Commoner,284
Gnome: ,Male,76,81,44,Chaotic Evil,"[ 12, 09, 16, 12, 11, 14 ]",12.33,Elite,317
