Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,70,157,44,Lawful Good,"[ 11, 14, 05, 12, 10, 08 ]",10.0,Commoner,372
Dwarf: ,Male,63,157,48,Chaotic Good,"[ 09, 09, 10, 11, 08, 11 ]",9.67,Commoner,383
Dwarf: ,Female,62,117,44,Lawful Good,"[ 05, 09, 15, 12, 13, 12 ]",11.0,Commoner,340
Dwarf: ,Female,57,121,44,Neutral Evil,"[ 13, 08, 08, 06, 08, 08 ]",8.5,Commoner,319
Dwarf: ,Male,62,144,52,Neutral Good,"[ 10, 10, 08, 11, 13, 09 ]",10.17,Commoner,321
Dwarf: ,Female,61,134,48,Neutral Good,"[ 15, 13, 14, 05, 08, 12 ]",11.17,Commoner,316
Dwarf: ,Female,66,125,45,True Neutral,"[ 08, 05, 11, 11, 10, 11 ]",9.33,Commoner,403
Dwarf: ,Female,70,121,45,Lawful Good,"[ 09, 07, 08, 08, 08, 06 ]",7.67,Commoner,387
Dwarf: ,Male,56,162,51,Chaotic Evil,"[ 07, 11, 14, 18, 12, 07 ]",11.5,Elite,369
Dwarf: ,Male,73,158,44,Lawful Neutral,"[ 11, 11, 13, 07, 08, 08 ]",9.67,Commoner,361
Dwarf: ,Female,76,126,48,Neutral Good,"[ 14, 11, 12, 10, 13, 09 ]",11.5,Elite,341
Dwarf: ,Female,68,128,49,Chaotic Evil,"[ 11, 15, 07, 12, 09, 12 ]",11.0,Commoner,399
Dwarf: ,Female,75,123,45,Chaotic Evil,"[ 13, 12, 03, 08, 13, 11 ]",10.0,Commoner,390
Dwarf: ,Male,65,153,46,True Neutral,"[ 09, 12, 07, 10, 09, 04 ]",8.5,Commoner,282
Dwarf: ,Male,66,147,46,Lawful Neutral,"[ 11, 08, 10, 09, 07, 06 ]",8.5,Commoner,410
Elf: ,Female,122,93,56,Neutral Good,"[ 14, 12, 15, 10, 10, 17 ]",13.0,Adventurer,484
Dwarf: ,Male,65,147,52,Lawful Good,"[ 08, 10, 12, 10, 10, 07 ]",9.5,Commoner,315
Dwarf: ,Male,70,153,53,Chaotic Neutral,"[ 04, 09, 08, 09, 06, 10 ]",7.67,Commoner,352
Dwarf: ,Female,64,127,48,Chaotic Good,"[ 13, 11, 06, 06, 06, 13 ]",9.17,Commoner,365
