Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,65,127,46,True Neutral,"[ 08, 08, 12, 09, 11, 09 ]",9.5,Commoner,342
Dwarf: ,Male,68,160,49,Chaotic Good,"[ 10, 09, 12, 06, 10, 05 ]",8.67,Commoner,283
Dwarf: ,Male,72,156,49,Chaotic Neutral,"[ 10, 06, 07, 08, 11, 07 ]",8.17,Commoner,373
Dwarf: ,Female,67,134,43,Chaotic Neutral,"[ 09, 12, 09, 08, 11, 11 ]",10.0,Commoner,388
Dwarf: ,Female,59,127,44,Lawful Evil,"[ 07, 10, 07, 14, 05, 09 ]",8.67,Commoner,366
Dwarf: ,Male,63,149,50,True Neutral,"[ 15, 08, 05, 06, 08, 05 ]",7.83,Commoner,351
Dwarf: ,Male,80,153,46,True Neutral,"[ 03, 11, 09, 09, 10, 08 ]",8.33,Commoner,400
Dwarf: ,Female,55,124,51,Chaotic Neutral,"[ 12, 11, 09, 09, 09, 11 ]",10.17,Commoner,345
Dwarf: ,Male,66,142,49,Lawful Neutral,"[ 08, 09, 05, 08, 14, 12 ]",9.33,Commoner,416
Dwarf: ,Male,66,155,45,Lawful Neutral,"[ 12, 08, 09, 06, 06, 09 ]",8.33,Commoner,311
Dwarf: ,Female,57,130,44,Lawful Evil,"[ 08, 09, 13, 05, 07, 08 ]",8.33,Commoner,310
Dwarf: ,Male,70,149,51,Lawful Evil,"[ 13, 09, 11, 08, 08, 10 ]",9.83,Commoner,404
Dwarf: ,Male,66,154,44,Neutral Good,"[ 06, 06, 12, 09, 06, 08 ]",7.83,Commoner,290
Dwarf: ,Male,68,158,44,Chaotic Evil,"[ 10, 10, 10, 10, 09, 13 ]",10.33,Commoner,343
Dwarf: ,Male,70,155,52,Chaotic Good,"[ 08, 07, 09, 14, 13, 05 ]",9.33,Commoner,343
Dwarf: ,Male,67,151,51,Lawful Evil,"[ 08, 10, 11, 04, 06, 11 ]",8.33,Commoner,323
Dwarf: ,Male,71,147,51,Neutral Good,"[ 10, 12, 15, 07, 08, 06 ]",9.67,Commoner,337
Dwarf: ,Male,72,157,53,Lawful Good,"[ 10, 10, 05, 07, 09, 11 ]",8.67,Commoner,304
Dwarf: ,Male,60,146,47,True Neutral,"[ 07, 11, 09, 15, 15, 11 ]",11.33,Elite,267
Dwarf: ,Female,74,126,44,Neutral Good,"[ 12, 13, 13, 08, 09, 08 ]",10.5,Commoner,357
Dwarf: ,Female,61,122,42,Neutral Evil,"[ 13, 06, 08, 09, 11, 12 ]",9.83,Commoner,312
Half-Elf: ,Female,16,106,67,Lawful Neutral,"[ 12, 13, 11, 10, 12, 12 ]",11.67,Elite,156
Dwarf: ,Male,59,150,47,True Neutral,"[ 06, 10, 10, 07, 09, 06 ]",8.0,Commoner,362
Dwarf: ,Male,64,154,52,Neutral Good,"[ 12, 10, 08, 11, 06, 06 ]",8.83,Commoner,371
Dwarf: ,Female,67,121,51,Neutral Evil,"[ 10, 11, 09, 08, 12, 11 ]",10.17,Commoner,379
Dwarf: ,Female,70,119,45,Neutral Evil,"[ 10, 09, 07, 09, 12, 10 ]",9.5,Commoner,375
Dwarf: ,Female,76,136,45,Chaotic Neutral,"[ 10, 07, 06, 10, 10, 12 ]",9.17,Commoner,355
Dwarf: ,Male,65,156,48,Neutral Good,"[ 06, 05, 12, 07, 08, 09 ]",7.83,Commoner,375
Dwarf: ,Male,64,151,52,Lawful Neutral,"[ 13, 07, 09, 08, 08, 09 ]",9.0,Commoner,364
Dwarf: ,Male,70,146,52,Neutral Evil,"[ 12, 07, 06, 09, 09, 10 ]",8.83,Commoner,372
Dwarf: ,Male,55,163,48,Chaotic Good,"[ 07, 11, 09, 06, 09, 11 ]",8.83,Commoner,367
Dwarf: ,Male,72,142,53,Lawful Evil,"[ 12, 10, 11, 06, 10, 11 ]",10.0,Commoner,421
Dwarf: ,Female,69,121,44,Chaotic Good,"[ 09, 12, 09, 09, 04, 06 ]",8.17,Commoner,326
Dwarf: ,Male,63,149,46,Lawful Good,"[ 09, 13, 07, 11, 10, 06 ]",9.33,Commoner,273
Human: ,Female,16,126,75,Lawful Neutral,"[ 14, 09, 11, 13, 12, 12 ]",11.83,Elite,115
Dwarf: ,Male,57,166,47,True Neutral,"[ 07, 09, 09, 11, 10, 07 ]",8.83,Commoner,299
Dwarf: ,Female,62,121,43,Lawful Evil,"[ 07, 11, 07, 07, 07, 09 ]",8.0,Commoner,413
Dwarf: ,Female,65,126,45,Chaotic Evil,"[ 09, 09, 07, 11, 05, 09 ]",8.33,Commoner,347
Dwarf: ,Male,73,146,52,Neutral Good,"[ 08, 09, 11, 07, 09, 07 ]",8.5,Commoner,352
Dwarf: ,Male,83,153,44,Neutral Good,"[ 10, 12, 10, 08, 11, 12 ]",10.5,Commoner,382
Dwarf: ,Female,66,135,50,Chaotic Good,"[ 11, 08, 08, 07, 08, 13 ]",9.17,Commoner,337
Dwarf: ,Male,64,147,45,True Neutral,"[ 08, 09, 08, 09, 03, 12 ]",8.17,Commoner,306
Dwarf: ,Male,66,155,53,Chaotic Neutral,"[ 13, 14, 09, 11, 07, 14 ]",11.33,Elite,253
Dwarf: ,Male,61,151,52,Chaotic Neutral,"[ 07, 06, 12, 13, 12, 09 ]",9.83,Commoner,294
Dwarf: ,Male,77,158,45,Lawful Good,"[ 13, 06, 10, 07, 10, 12 ]",9.67,Commoner,332
Dwarf: ,Female,79,132,43,Chaotic Evil,"[ 11, 10, 12, 08, 08, 12 ]",10.17,Commoner,323
Elf: ,Male,120,102,63,Lawful Neutral,"[ 18, 11, 09, 16, 10, 16 ]",13.33,Adventurer,516
Dwarf: ,Male,63,144,52,Lawful Neutral,"[ 03, 05, 13, 16, 05, 17 ]",9.83,Commoner,334
Dwarf: ,Male,65,150,52,Neutral Evil,"[ 08, 07, 15, 08, 04, 07 ]",8.17,Commoner,345
Dwarf: ,Female,69,129,49,Lawful Good,"[ 13, 07, 11, 10, 12, 07 ]",10.0,Commoner,330
Dwarf: ,Female,66,136,51,Lawful Evil,"[ 05, 09, 04, 13, 12, 07 ]",8.33,Commoner,430
Dwarf: ,Female,71,126,48,True Neutral,"[ 07, 09, 09, 08, 10, 09 ]",8.67,Commoner,349
Dwarf: ,Female,70,118,46,Neutral Evil,"[ 10, 11, 05, 08, 07, 15 ]",9.33,Commoner,346
Dwarf: ,Female,69,130,48,True Neutral,"[ 12, 09, 08, 06, 09, 06 ]",8.33,Commoner,399
Dwarf: ,Female,61,117,43,True Neutral,"[ 08, 11, 10, 12, 07, 11 ]",9.83,Commoner,369
Dwarf: ,Male,79,150,47,Neutral Good,"[ 03, 09, 09, 13, 11, 05 ]",8.33,Commoner,332
Gnome: ,Male,81,88,41,Chaotic Neutral,"[ 17, 10, 18, 10, 17, 10 ]",13.67,Adventurer,330
Dwarf: ,Male,76,149,49,Neutral Evil,"[ 05, 11, 09, 09, 09, 18 ]",10.17,Commoner,268
Dwarf: ,Male,68,155,49,Neutral Evil,"[ 12, 11, 08, 08, 13, 08 ]",10.0,Commoner,315
Dwarf: ,Female,69,125,46,Lawful Evil,"[ 06, 08, 08, 09, 13, 09 ]",8.83,Commoner,341
Dwarf: ,Male,68,154,48,True Neutral,"[ 09, 10, 07, 14, 08, 12 ]",10.0,Commoner,421
Dwarf: ,Male,71,153,48,True Neutral,"[ 09, 11, 09, 08, 06, 06 ]",8.17,Commoner,329
Dwarf: ,Male,65,163,44,Lawful Evil,"[ 14, 13, 07, 08, 08, 09 ]",9.83,Commoner,266
Dwarf: ,Male,68,164,46,Lawful Neutral,"[ 14, 13, 05, 10, 14, 17 ]",12.17,Elite,337
Dwarf: ,Female,62,123,43,Lawful Neutral,"[ 10, 11, 07, 13, 11, 10 ]",10.33,Commoner,345
Dwarf: ,Male,72,165,45,Lawful Evil,"[ 08, 09, 07, 09, 08, 09 ]",8.33,Commoner,300
Dwarf: ,Male,64,163,47,True Neutral,"[ 06, 08, 12, 12, 12, 08 ]",9.67,Commoner,325
Dwarf: ,Male,60,148,46,Chaotic Evil,"[ 11, 09, 07, 03, 11, 13 ]",9.0,Commoner,372
Dwarf: ,Female,64,127,49,Lawful Good,"[ 12, 05, 12, 12, 10, 11 ]",10.33,Commoner,432
Dwarf: ,Female,73,140,45,Chaotic Evil,"[ 11, 12, 08, 09, 08, 12 ]",10.0,Commoner,289
Dwarf: ,Female,65,128,45,True Neutral,"[ 11, 13, 11, 09, 08, 07 ]",9.83,Commoner,292
Dwarf: ,Male,68,149,52,Lawful Evil,"[ 11, 07, 11, 08, 09, 13 ]",9.83,Commoner,346
Halfling: ,Female,27,61,33,Neutral Good,"[ 14, 14, 16, 12, 09, 08 ]",12.17,Elite,158
Dwarf: ,Male,70,151,45,Lawful Good,"[ 05, 10, 13, 13, 07, 12 ]",10.0,Commoner,360
Dwarf: ,Male,63,157,53,True Neutral,"[ 06, 11, 10, 07, 15, 08 ]",9.5,Commoner,320
Dwarf: ,Male,70,152,49,Lawful Good,"[ 09, 04, 05, 09, 09, 10 ]",7.67,Commoner,277
Dwarf: ,Female,67,135,45,Lawful Neutral,"[ 13, 07, 12, 03, 10, 08 ]",8.83,Commoner,412
Dwarf: ,Male,55,143,48,Chaotic Evil,"[ 12, 12, 10, 05, 12, 11 ]",10.33,Commoner,294
Dwarf: ,Female,68,134,45,True Neutral,"[ 14, 08, 18, 08, 12, 06 ]",11.0,Commoner,349
Dwarf: ,Female,78,130,51,Chaotic Good,"[ 14, 04, 09, 13, 08, 08 ]",9.33,Commoner,409
Dwarf: ,Female,61,132,48,Neutral Evil,"[ 14, 05, 12, 08, 14, 07 ]",10.0,Commoner,375
Dwarf: ,Female,57,129,45,Chaotic Evil,"[ 11, 11, 08, 08, 10, 13 ]",10.17,Commoner,322
Dwarf: ,Female,63,138,49,Chaotic Good,"[ 10, 12, 11, 10, 12, 09 ]",10.67,Commoner,357
Dwarf: ,Male,65,152,44,Chaotic Good,"[ 10, 11, 09, 08, 04, 10 ]",8.67,Commoner,357
Dwarf: ,Male,61,155,47,Lawful Neutral,"[ 12, 09, 11, 05, 08, 06 ]",8.5,Commoner,362
Dwarf: ,Male,61,150,45,True Neutral,"[ 13, 09, 13, 14, 08, 08 ]",10.83,Commoner,318
Dwarf: ,Female,64,122,48,Neutral Evil,"[ 06, 04, 11, 13, 11, 07 ]",8.67,Commoner,425
Dwarf: ,Female,76,126,48,True Neutral,"[ 12, 06, 08, 05, 09, 06 ]",7.67,Commoner,386
Dwarf: ,Male,62,154,52,Chaotic Good,"[ 08, 11, 08, 11, 13, 14 ]",10.83,Commoner,371
