Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,75,131,45,Lawful Neutral,"[ 09, 11, 08, 12, 11, 10 ]",10.17,Commoner,400
Dwarf: ,Male,62,148,48,Neutral Evil,"[ 09, 04, 07, 05, 10, 11 ]",7.67,Commoner,291
Dwarf: ,Male,66,150,53,Neutral Good,"[ 08, 06, 06, 10, 09, 10 ]",8.17,Commoner,318
Dwarf: ,Female,59,131,50,Chaotic Neutral,"[ 09, 09, 11, 10, 09, 09 ]",9.5,Commoner,338
Dwarf: ,Male,70,149,49,Lawful Neutral,"[ 08, 09, 10, 13, 08, 10 ]",9.67,Commoner,418
Dwarf: ,Female,65,125,51,Lawful Good,"[ 11, 04, 18, 04, 06, 11 ]",9.0,Commoner,400
Dwarf: ,Male,62,148,53,Lawful Good,"[ 10, 05, 10, 10, 10, 11 ]",9.33,Commoner,357
Elf: ,Female,114,76,59,True Neutral,"[ 14, 11, 13, 12, 08, 16 ]",12.33,Elite,513
Half-Elf: ,Female,21,115,68,Lawful Neutral,"[ 15, 11, 11, 14, 08, 17 ]",12.67,Elite,153
Dwarf: ,Male,60,153,45,Neutral Good,"[ 08, 13, 07, 09, 07, 13 ]",9.5,Commoner,373
Dwarf: ,Male,62,142,47,Neutral Good,"[ 09, 10, 08, 06, 13, 09 ]",9.17,Commoner,266
Dwarf: ,Female,66,126,42,True Neutral,"[ 12, 07, 11, 09, 10, 07 ]",9.33,Commoner,412
Dwarf: ,Male,71,149,45,Chaotic Evil,"[ 09, 07, 09, 08, 10, 15 ]",9.67,Commoner,332
Dwarf: ,Male,68,145,44,Chaotic Good,"[ 09, 12, 10, 06, 07, 06 ]",8.33,Commoner,342
Dwarf: ,Male,74,159,48,Lawful Good,"[ 08, 03, 15, 14, 14, 09 ]",10.5,Commoner,340
Dwarf: ,Female,75,119,44,Chaotic Neutral,"[ 09, 12, 04, 05, 12, 12 ]",9.0,Commoner,366
Dwarf: ,Male,70,162,49,Chaotic Neutral,"[ 08, 08, 12, 07, 10, 03 ]",8.0,Commoner,344
Dwarf: ,Male,62,159,50,Chaotic Good,"[ 09, 13, 09, 06, 09, 09 ]",9.17,Commoner,281
Dwarf: ,Male,69,151,53,Lawful Neutral,"[ 08, 12, 11, 09, 09, 09 ]",9.67,Commoner,440
Dwarf: ,Male,68,146,45,Chaotic Good,"[ 09, 06, 07, 12, 08, 13 ]",9.17,Commoner,373
Dwarf: ,Female,81,124,44,Lawful Neutral,"[ 09, 05, 11, 11, 10, 10 ]",9.33,Commoner,317
Halfling: ,Female,26,61,37,Chaotic Neutral,"[ 09, 15, 11, 14, 11, 16 ]",12.67,Elite,123
Dwarf: ,Male,69,160,47,Chaotic Neutral,"[ 08, 07, 09, 06, 11, 10 ]",8.5,Commoner,371
Dwarf: ,Male,67,158,53,Neutral Evil,"[ 11, 07, 09, 09, 08, 10 ]",9.0,Commoner,395
Dwarf: ,Female,59,132,50,Lawful Evil,"[ 05, 03, 09, 07, 10, 08 ]",7.0,Commoner,360
Dwarf: ,Male,76,139,52,Lawful Evil,"[ 11, 07, 05, 13, 11, 04 ]",8.5,Commoner,309
