Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,56,125,44,Neutral Good,"[ 10, 07, 06, 10, 11, 13 ]",9.5,Commoner,357
Dwarf: ,Male,73,152,53,Chaotic Neutral,"[ 11, 09, 08, 08, 08, 06 ]",8.33,Commoner,355
Dwarf: ,Female,71,121,43,Neutral Evil,"[ 07, 10, 12, 04, 08, 11 ]",8.67,Commoner,353
Dwarf: ,Female,70,133,44,Chaotic Neutral,"[ 10, 08, 13, 13, 11, 09 ]",10.67,Commoner,355
Dwarf: ,Female,82,127,50,Lawful Neutral,"[ 12, 11, 14, 14, 13, 06 ]",11.67,Elite,355
Dwarf: ,Female,72,135,48,Lawful Evil,"[ 09, 09, 07, 08, 13, 08 ]",9.0,Commoner,378
Half-Elf: ,Female,21,111,66,True Neutral,"[ 17, 14, 13, 08, 09, 09 ]",11.67,Elite,156
Dwarf: ,Male,81,154,47,True Neutral,"[ 11, 09, 08, 08, 10, 12 ]",9.67,Commoner,307
Dwarf: ,Male,63,156,48,Neutral Evil,"[ 07, 12, 07, 09, 08, 07 ]",8.33,Commoner,377
Dwarf: ,Male,61,153,46,Neutral Evil,"[ 06, 08, 12, 06, 11, 04 ]",7.83,Commoner,378
Dwarf: ,Male,68,149,47,Lawful Neutral,"[ 08, 15, 10, 08, 08, 11 ]",10.0,Commoner,343
Dwarf: ,Male,67,150,49,Chaotic Evil,"[ 10, 12, 05, 08, 09, 09 ]",8.83,Commoner,274
Dwarf: ,Male,77,147,48,Lawful Good,"[ 11, 04, 10, 06, 10, 08 ]",8.17,Commoner,293
Human: ,Female,19,145,72,Chaotic Neutral,"[ 15, 12, 09, 10, 18, 11 ]",12.5,Elite,115
Dwarf: ,Male,74,159,44,Chaotic Good,"[ 09, 10, 12, 11, 08, 11 ]",10.17,Commoner,329
Dwarf: ,Male,59,156,52,Chaotic Neutral,"[ 06, 09, 08, 07, 10, 13 ]",8.83,Commoner,348
Dwarf: ,Female,72,127,47,Chaotic Good,"[ 09, 04, 12, 09, 11, 05 ]",8.33,Commoner,319
Dwarf: ,Female,70,123,45,Chaotic Evil,"[ 05, 08, 12, 12, 04, 09 ]",8.33,Commoner,415
Dwarf: ,Male,71,152,46,Lawful Evil,"[ 05, 08, 12, 12, 10, 05 ]",8.67,Commoner,326
Dwarf: ,Female,71,127,49,Chaotic Good,"[ 10, 08, 12, 12, 05, 08 ]",9.17,Commoner,261
Dwarf: ,Male,63,159,48,Chaotic Neutral,"[ 09, 06, 06, 12, 10, 14 ]",9.5,Commoner,338
Dwarf: ,Female,70,123,43,Chaotic Evil,"[ 08, 05, 04, 07, 05, 11 ]",6.67,Commoner,324
Dwarf: ,Male,60,151,52,Neutral Good,"[ 07, 06, 09, 07, 13, 12 ]",9.0,Commoner,323
Dwarf: ,Male,61,156,48,Neutral Good,"[ 06, 11, 08, 13, 09, 09 ]",9.33,Commoner,358
Halfling: ,Female,27,61,39,Chaotic Evil,"[ 11, 10, 16, 13, 11, 12 ]",12.17,Elite,132
Dwarf: ,Male,60,155,44,True Neutral,"[ 08, 13, 09, 08, 07, 10 ]",9.17,Commoner,399
Dwarf: ,Female,65,126,44,Chaotic Evil,"[ 05, 07, 12, 10, 08, 05 ]",7.83,Commoner,338
Dwarf: ,Female,73,119,51,Lawful Good,"[ 13, 07, 12, 07, 09, 08 ]",9.33,Commoner,356
Dwarf: ,Female,66,137,47,Chaotic Neutral,"[ 09, 10, 11, 08, 11, 09 ]",9.67,Commoner,376
Dwarf: ,Female,70,122,49,Lawful Good,"[ 07, 12, 05, 08, 04, 11 ]",7.83,Commoner,331
Dwarf: ,Female,68,132,42,True Neutral,"[ 14, 06, 12, 07, 12, 10 ]",10.17,Commoner,329
Dwarf: ,Female,57,131,49,Chaotic Good,"[ 06, 04, 10, 13, 09, 10 ]",8.67,Commoner,411
Dwarf: ,Male,67,147,50,Lawful Neutral,"[ 09, 10, 09, 11, 10, 08 ]",9.5,Commoner,365
Dwarf: ,Male,66,155,44,Neutral Evil,"[ 07, 10, 12, 04, 09, 06 ]",8.0,Commoner,369
Dwarf: ,Male,69,146,44,Lawful Evil,"[ 08, 09, 07, 09, 15, 11 ]",9.83,Commoner,323
Dwarf: ,Male,73,136,50,Lawful Evil,"[ 17, 07, 13, 09, 09, 12 ]",11.17,Commoner,382
Dwarf: ,Male,64,146,52,Chaotic Neutral,"[ 08, 08, 07, 11, 09, 11 ]",9.0,Commoner,406
Dwarf: ,Male,72,161,53,Chaotic Good,"[ 06, 05, 12, 07, 05, 11 ]",7.67,Commoner,379
Dwarf: ,Female,69,125,50,Chaotic Neutral,"[ 04, 12, 06, 08, 08, 13 ]",8.5,Commoner,361
Dwarf: ,Female,59,120,46,Neutral Good,"[ 05, 06, 11, 05, 08, 09 ]",7.33,Commoner,406
Dwarf: ,Male,74,145,45,Neutral Evil,"[ 06, 08, 09, 10, 10, 08 ]",8.5,Commoner,360
Dwarf: ,Male,56,156,45,Lawful Neutral,"[ 07, 07, 06, 11, 11, 10 ]",8.67,Commoner,320
Dwarf: ,Male,79,149,52,Chaotic Neutral,"[ 10, 12, 11, 06, 10, 07 ]",9.33,Commoner,348
Dwarf: ,Male,71,148,46,Lawful Neutral,"[ 07, 13, 13, 12, 08, 07 ]",10.0,Commoner,345
Dwarf: ,Female,62,122,47,Neutral Good,"[ 11, 10, 10, 13, 10, 09 ]",10.5,Commoner,444
Dwarf: ,Male,68,159,47,Lawful Neutral,"[ 07, 05, 10, 11, 12, 08 ]",8.83,Commoner,359
Dwarf: ,Male,74,154,48,Lawful Evil,"[ 07, 09, 12, 12, 07, 07 ]",9.0,Commoner,397
Dwarf: ,Male,73,150,53,Lawful Good,"[ 09, 07, 09, 10, 08, 10 ]",8.83,Commoner,423
Dwarf: ,Female,67,119,45,Lawful Neutral,"[ 11, 06, 10, 08, 09, 10 ]",9.0,Commoner,376
Dwarf: ,Male,62,149,53,Neutral Good,"[ 13, 09, 11, 08, 10, 11 ]",10.33,Commoner,287
Dwarf: ,Female,75,137,51,Lawful Good,"[ 07, 11, 09, 06, 08, 11 ]",8.67,Commoner,367
Dwarf: ,Male,73,155,52,Chaotic Neutral,"[ 10, 09, 10, 10, 11, 09 ]",9.83,Commoner,391
Dwarf: ,Female,80,125,47,True Neutral,"[ 06, 12, 05, 12, 10, 16 ]",10.17,Commoner,396
Dwarf: ,Female,73,129,42,Chaotic Evil,"[ 04, 10, 11, 10, 05, 11 ]",8.5,Commoner,372
Dwarf: ,Male,66,145,45,True Neutral,"[ 14, 08, 13, 09, 12, 13 ]",11.5,Elite,327
Dwarf: ,Female,64,118,42,True Neutral,"[ 11, 08, 10, 06, 10, 07 ]",8.67,Commoner,374
Dwarf: ,Male,65,154,46,Lawful Good,"[ 13, 08, 08, 10, 08, 05 ]",8.67,Commoner,290
Dwarf: ,Female,60,132,46,Neutral Evil,"[ 07, 12, 11, 11, 09, 09 ]",9.83,Commoner,369
Dwarf: ,Male,73,152,50,Lawful Good,"[ 10, 08, 08, 13, 05, 10 ]",9.0,Commoner,335
Human: ,Female,18,140,78,True Neutral,"[ 16, 16, 15, 11, 12, 06 ]",12.67,Elite,115
Dwarf: ,Male,60,150,44,Chaotic Good,"[ 11, 05, 05, 08, 08, 10 ]",7.83,Commoner,362
Dwarf: ,Female,64,134,45,Chaotic Evil,"[ 08, 09, 10, 08, 07, 08 ]",8.33,Commoner,369
Dwarf: ,Male,61,153,50,Chaotic Good,"[ 06, 13, 15, 08, 17, 05 ]",10.67,Commoner,428
Dwarf: ,Female,60,124,49,Lawful Good,"[ 13, 07, 12, 05, 08, 08 ]",8.83,Commoner,313
Dwarf: ,Female,59,129,45,Neutral Evil,"[ 10, 14, 10, 05, 07, 12 ]",9.67,Commoner,319
Dwarf: ,Male,65,157,48,True Neutral,"[ 08, 09, 07, 12, 07, 13 ]",9.33,Commoner,393
Dwarf: ,Male,57,145,47,Lawful Good,"[ 07, 09, 07, 08, 11, 12 ]",9.0,Commoner,294
Dwarf: ,Female,63,125,51,Chaotic Neutral,"[ 08, 13, 11, 10, 08, 12 ]",10.33,Commoner,351
Dwarf: ,Female,59,127,42,Chaotic Evil,"[ 05, 11, 09, 12, 08, 05 ]",8.33,Commoner,349
Dwarf: ,Female,70,134,43,Neutral Evil,"[ 09, 14, 04, 03, 11, 14 ]",9.17,Commoner,309
Dwarf: ,Female,63,123,43,Neutral Good,"[ 11, 07, 17, 13, 09, 05 ]",10.33,Commoner,323
Human: ,Male,17,173,72,Lawful Good,"[ 03, 13, 13, 17, 09, 18 ]",12.17,Elite,110
Dwarf: ,Male,65,162,49,Chaotic Neutral,"[ 07, 09, 11, 10, 06, 11 ]",9.0,Commoner,392
Dwarf: ,Female,80,126,50,Neutral Good,"[ 06, 11, 05, 08, 05, 07 ]",7.0,Commoner,350
Dwarf: ,Male,74,161,44,Neutral Evil,"[ 09, 14, 07, 12, 07, 04 ]",8.83,Commoner,345
Dwarf: ,Male,64,159,46,Lawful Good,"[ 07, 10, 08, 09, 07, 06 ]",7.83,Commoner,355
Human: ,Male,19,165,72,True Neutral,"[ 15, 11, 17, 08, 10, 15 ]",12.67,Elite,106
Dwarf: ,Female,74,132,43,Lawful Neutral,"[ 09, 08, 09, 10, 14, 09 ]",9.83,Commoner,420
Dwarf: ,Female,72,125,44,Chaotic Good,"[ 07, 08, 08, 09, 07, 09 ]",8.0,Commoner,414
Dwarf: ,Male,63,154,46,Chaotic Good,"[ 08, 10, 08, 11, 04, 06 ]",7.83,Commoner,358
Halfling: ,Female,26,63,43,Chaotic Evil,"[ 13, 14, 12, 14, 17, 11 ]",13.5,Adventurer,180
Dwarf: ,Male,67,159,44,Chaotic Good,"[ 13, 12, 10, 06, 09, 09 ]",9.83,Commoner,374
Dwarf: ,Male,63,152,46,Lawful Good,"[ 13, 08, 10, 12, 09, 10 ]",10.33,Commoner,353
Dwarf: ,Male,62,156,50,Neutral Good,"[ 06, 11, 07, 06, 13, 07 ]",8.33,Commoner,306
Dwarf: ,Female,63,124,50,True Neutral,"[ 09, 07, 08, 12, 06, 09 ]",8.5,Commoner,319
Dwarf: ,Female,82,132,45,Lawful Neutral,"[ 12, 06, 08, 08, 13, 11 ]",9.67,Commoner,379
