Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,69,147,46,Lawful Neutral,"[ 07, 12, 05, 07, 09, 06 ]",7.67,Commoner,389
Dwarf: ,Female,62,118,51,Chaotic Neutral,"[ 06, 09, 06, 08, 07, 06 ]",7.0,Commoner,371
Dwarf: ,Female,64,130,51,Chaotic Evil,"[ 09, 11, 12, 09, 09, 09 ]",9.83,Commoner,412
Dwarf: ,Female,72,128,48,Neutral Good,"[ 05, 11, 10, 09, 13, 11 ]",9.83,Commoner,357
Dwarf: ,Female,76,129,51,Lawful Evil,"[ 07, 07, 10, 13, 12, 10 ]",9.83,Commoner,364
Dwarf: ,Male,82,159,53,Lawful Evil,"[ 09, 09, 11, 07, 12, 06 ]",9.0,Commoner,431
Dwarf: ,Female,70,127,47,Neutral Good,"[ 06, 13, 10, 11, 08, 08 ]",9.33,Commoner,377
Dwarf: ,Male,64,153,51,Neutral Evil,"[ 06, 08, 08, 18, 08, 12 ]",10.0,Commoner,312
Dwarf: ,Male,61,165,46,True Neutral,"[ 09, 15, 04, 08, 05, 10 ]",8.5,Commoner,344
Dwarf: ,Male,74,146,48,Lawful Neutral,"[ 11, 07, 06, 10, 09, 08 ]",8.5,Commoner,356
Dwarf: ,Male,80,153,50,Chaotic Evil,"[ 11, 08, 11, 08, 05, 12 ]",9.17,Commoner,371
Human: ,Male,17,176,77,Lawful Good,"[ 16, 13, 10, 14, 09, 15 ]",12.83,Adventurer,116
Dwarf: ,Female,60,125,45,Chaotic Neutral,"[ 10, 07, 15, 11, 09, 03 ]",9.17,Commoner,302
Dwarf: ,Male,68,147,53,True Neutral,"[ 14, 05, 13, 11, 07, 07 ]",9.5,Commoner,378
Dwarf: ,Female,71,122,50,Lawful Evil,"[ 07, 12, 05, 06, 11, 13 ]",9.0,Commoner,311
Dwarf: ,Female,67,122,47,True Neutral,"[ 14, 11, 11, 11, 09, 12 ]",11.33,Elite,400
Dwarf: ,Male,70,146,46,Lawful Neutral,"[ 05, 18, 04, 18, 03, 09 ]",9.5,Commoner,309
Dwarf: ,Female,59,123,43,Neutral Good,"[ 12, 13, 07, 10, 07, 13 ]",10.33,Commoner,370
Dwarf: ,Male,70,156,52,Lawful Good,"[ 06, 10, 09, 12, 08, 05 ]",8.33,Commoner,369
Dwarf: ,Male,82,152,50,Lawful Good,"[ 11, 06, 06, 10, 09, 11 ]",8.83,Commoner,431
Dwarf: ,Female,76,126,42,Lawful Evil,"[ 09, 10, 11, 05, 13, 05 ]",8.83,Commoner,422
Dwarf: ,Female,69,126,49,True Neutral,"[ 09, 14, 12, 10, 07, 11 ]",10.5,Commoner,450
Dwarf: ,Female,83,124,50,Neutral Good,"[ 08, 08, 04, 11, 09, 10 ]",8.33,Commoner,281
Dwarf: ,Male,64,153,48,Lawful Good,"[ 12, 11, 08, 11, 12, 11 ]",10.83,Commoner,398
Dwarf: ,Male,70,141,44,Chaotic Good,"[ 12, 07, 08, 12, 08, 07 ]",9.0,Commoner,365
Dwarf: ,Male,70,153,47,Neutral Good,"[ 07, 10, 05, 11, 09, 09 ]",8.5,Commoner,319
Dwarf: ,Male,57,140,45,Chaotic Good,"[ 12, 13, 11, 11, 07, 06 ]",10.0,Commoner,353
Dwarf: ,Female,70,130,45,Neutral Good,"[ 08, 08, 09, 10, 10, 04 ]",8.17,Commoner,373
Dwarf: ,Female,71,118,47,True Neutral,"[ 14, 13, 06, 08, 10, 09 ]",10.0,Commoner,300
Dwarf: ,Male,70,154,48,Chaotic Good,"[ 06, 10, 12, 10, 10, 05 ]",8.83,Commoner,353
Dwarf: ,Male,70,155,46,Lawful Neutral,"[ 10, 12, 09, 08, 05, 06 ]",8.33,Commoner,306
Dwarf: ,Male,64,150,49,Lawful Neutral,"[ 11, 05, 09, 11, 13, 08 ]",9.5,Commoner,425
Dwarf: ,Male,66,155,51,True Neutral,"[ 09, 08, 08, 08, 10, 08 ]",8.5,Commoner,270
Dwarf: ,Female,76,124,43,Lawful Evil,"[ 10, 05, 07, 13, 07, 05 ]",7.83,Commoner,316
Dwarf: ,Female,63,117,50,Lawful Good,"[ 05, 08, 06, 10, 09, 07 ]",7.5,Commoner,337
