Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Gnome: ,Male,79,84,41,Neutral Good,"[ 12, 12, 10, 11, 18, 13 ]",12.67,Elite,426
Dwarf: ,Female,68,128,50,Lawful Evil,"[ 09, 07, 05, 09, 11, 11 ]",8.67,Commoner,363
Dwarf: ,Male,56,146,49,Chaotic Neutral,"[ 08, 11, 05, 07, 11, 08 ]",8.33,Commoner,404
Dwarf: ,Male,57,153,45,Lawful Evil,"[ 08, 12, 09, 09, 11, 05 ]",9.0,Commoner,295
Dwarf: ,Female,66,127,51,Neutral Good,"[ 11, 09, 08, 13, 13, 14 ]",11.33,Elite,356
Dwarf: ,Male,72,158,47,Lawful Evil,"[ 10, 04, 07, 04, 11, 12 ]",8.0,Commoner,370
Dwarf: ,Female,67,133,44,Chaotic Good,"[ 16, 07, 07, 09, 09, 11 ]",9.83,Commoner,327
Dwarf: ,Female,76,126,50,True Neutral,"[ 15, 11, 11, 06, 15, 04 ]",10.33,Commoner,419
Dwarf: ,Male,74,158,51,Lawful Neutral,"[ 12, 12, 07, 08, 08, 12 ]",9.83,Commoner,319
Dwarf: ,Female,63,117,47,Neutral Evil,"[ 13, 10, 11, 14, 11, 08 ]",11.17,Commoner,378
Dwarf: ,Male,67,152,50,Neutral Good,"[ 03, 10, 08, 10, 08, 15 ]",9.0,Commoner,338
Dwarf: ,Male,71,141,51,Chaotic Neutral,"[ 07, 12, 08, 08, 11, 07 ]",8.83,Commoner,285
Dwarf: ,Male,57,153,48,True Neutral,"[ 08, 09, 07, 10, 07, 14 ]",9.17,Commoner,344
Dwarf: ,Female,65,127,51,Chaotic Good,"[ 13, 13, 12, 14, 07, 09 ]",11.33,Elite,326
Dwarf: ,Male,68,158,49,Chaotic Good,"[ 11, 07, 13, 05, 13, 05 ]",9.0,Commoner,395
Dwarf: ,Female,65,126,42,Chaotic Good,"[ 05, 10, 09, 06, 10, 12 ]",8.67,Commoner,327
Dwarf: ,Female,62,130,49,Neutral Good,"[ 07, 13, 09, 11, 10, 10 ]",10.0,Commoner,301
