Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,65,123,51,Lawful Evil,"[ 09, 13, 09, 06, 05, 07 ]",8.17,Commoner,411
Dwarf: ,Female,66,129,47,Chaotic Evil,"[ 09, 10, 08, 06, 04, 09 ]",7.67,Commoner,404
Dwarf: ,Male,58,147,46,Neutral Evil,"[ 07, 10, 08, 13, 06, 09 ]",8.83,Commoner,372
Dwarf: ,Male,69,152,53,Neutral Evil,"[ 03, 10, 13, 16, 09, 16 ]",11.17,Commoner,394
Dwarf: ,Male,70,145,52,Neutral Good,"[ 12, 10, 07, 10, 08, 11 ]",9.67,Commoner,375
Dwarf: ,Male,73,146,51,Neutral Evil,"[ 08, 10, 11, 12, 09, 09 ]",9.83,Commoner,295
Dwarf: ,Male,70,157,53,Neutral Good,"[ 04, 11, 09, 09, 07, 09 ]",8.17,Commoner,419
Dwarf: ,Female,66,112,43,Lawful Evil,"[ 05, 06, 09, 08, 10, 06 ]",7.33,Commoner,360
Dwarf: ,Male,67,150,44,True Neutral,"[ 10, 10, 09, 06, 05, 10 ]",8.33,Commoner,365
Dwarf: ,Female,71,113,42,Lawful Evil,"[ 13, 05, 09, 06, 10, 09 ]",8.67,Commoner,334
Dwarf: ,Female,60,123,44,Chaotic Evil,"[ 05, 08, 11, 08, 08, 10 ]",8.33,Commoner,404
Dwarf: ,Male,70,142,47,Chaotic Neutral,"[ 11, 07, 09, 10, 08, 08 ]",8.83,Commoner,367
Dwarf: ,Male,72,153,45,Chaotic Good,"[ 11, 06, 12, 10, 05, 11 ]",9.17,Commoner,336
Dwarf: ,Male,63,151,44,Neutral Good,"[ 12, 10, 10, 11, 13, 09 ]",10.83,Commoner,427
Dwarf: ,Male,69,167,46,Lawful Neutral,"[ 10, 12, 03, 06, 12, 07 ]",8.33,Commoner,358
Dwarf: ,Female,78,121,45,Neutral Evil,"[ 05, 12, 05, 06, 13, 05 ]",7.67,Commoner,384
Dwarf: ,Male,64,159,44,Lawful Good,"[ 12, 08, 06, 09, 12, 09 ]",9.33,Commoner,348
Dwarf: ,Male,71,157,44,Neutral Good,"[ 08, 07, 10, 06, 05, 10 ]",7.67,Commoner,378
Dwarf: ,Male,72,150,47,Chaotic Neutral,"[ 14, 07, 05, 06, 12, 08 ]",8.67,Commoner,360
Dwarf: ,Female,60,123,43,Lawful Good,"[ 07, 09, 08, 10, 07, 10 ]",8.5,Commoner,406
Dwarf: ,Female,71,133,45,True Neutral,"[ 10, 08, 11, 12, 14, 10 ]",10.83,Commoner,305
Dwarf: ,Male,60,146,46,Lawful Neutral,"[ 08, 08, 12, 09, 08, 10 ]",9.17,Commoner,304
Dwarf: ,Female,70,131,50,Lawful Evil,"[ 11, 08, 11, 12, 08, 15 ]",10.83,Commoner,376
Dwarf: ,Female,76,138,47,Neutral Good,"[ 11, 10, 09, 09, 09, 10 ]",9.67,Commoner,355
Dwarf: ,Female,59,138,44,Neutral Good,"[ 08, 10, 14, 05, 13, 08 ]",9.67,Commoner,399
Dwarf: ,Female,70,126,51,Neutral Good,"[ 08, 11, 12, 12, 10, 12 ]",10.83,Commoner,427
Dwarf: ,Male,68,145,50,Chaotic Neutral,"[ 13, 04, 08, 05, 10, 06 ]",7.67,Commoner,340
Dwarf: ,Male,69,150,45,Chaotic Good,"[ 12, 08, 13, 06, 11, 09 ]",9.83,Commoner,281
Dwarf: ,Female,60,128,47,Chaotic Evil,"[ 11, 08, 10, 05, 10, 04 ]",8.0,Commoner,363
Dwarf: ,Female,62,132,45,Neutral Good,"[ 05, 12, 07, 06, 08, 10 ]",8.0,Commoner,372
Dwarf: ,Male,68,155,47,Neutral Evil,"[ 06, 06, 10, 13, 08, 12 ]",9.17,Commoner,364
Dwarf: ,Female,65,116,51,Lawful Good,"[ 11, 07, 11, 10, 08, 06 ]",8.83,Commoner,300
Dwarf: ,Female,71,127,51,Chaotic Neutral,"[ 07, 04, 08, 06, 09, 14 ]",8.0,Commoner,321
Dwarf: ,Male,63,152,47,Chaotic Neutral,"[ 03, 14, 17, 12, 09, 09 ]",10.67,Commoner,422
Dwarf: ,Female,74,142,46,True Neutral,"[ 13, 10, 08, 06, 09, 05 ]",8.5,Commoner,359
Dwarf: ,Male,72,150,45,Lawful Good,"[ 09, 09, 11, 08, 06, 11 ]",9.0,Commoner,366
Dwarf: ,Female,53,135,47,True Neutral,"[ 09, 08, 09, 09, 12, 14 ]",10.17,Commoner,347
Dwarf: ,Male,59,151,46,Lawful Evil,"[ 09, 09, 13, 05, 06, 12 ]",9.0,Commoner,312
Dwarf: ,Male,71,147,47,Chaotic Neutral,"[ 11, 07, 14, 12, 08, 08 ]",10.0,Commoner,281
Dwarf: ,Male,67,157,53,Neutral Evil,"[ 11, 11, 10, 04, 14, 08 ]",9.67,Commoner,390
Dwarf: ,Male,64,157,46,Chaotic Evil,"[ 06, 13, 17, 08, 18, 06 ]",11.33,Elite,299
Dwarf: ,Female,80,122,49,True Neutral,"[ 10, 10, 06, 08, 15, 09 ]",9.67,Commoner,370
Dwarf: ,Male,68,150,52,Neutral Good,"[ 11, 07, 07, 09, 11, 08 ]",8.83,Commoner,399
Dwarf: ,Male,56,152,46,Chaotic Neutral,"[ 09, 05, 10, 08, 06, 09 ]",7.83,Commoner,385
Dwarf: ,Female,83,132,49,Chaotic Evil,"[ 08, 06, 04, 03, 13, 09 ]",7.17,Commoner,358
Dwarf: ,Female,58,130,43,True Neutral,"[ 09, 09, 05, 06, 08, 08 ]",7.5,Commoner,326
Dwarf: ,Male,62,146,50,Neutral Evil,"[ 16, 04, 18, 16, 05, 05 ]",10.67,Commoner,411
Dwarf: ,Male,62,163,49,Chaotic Good,"[ 08, 05, 13, 12, 10, 10 ]",9.67,Commoner,367
Dwarf: ,Female,70,130,50,Lawful Neutral,"[ 10, 12, 09, 09, 10, 09 ]",9.83,Commoner,316
Dwarf: ,Male,73,155,45,True Neutral,"[ 11, 11, 08, 12, 11, 16 ]",11.5,Elite,376
