Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,70,148,53,Chaotic Good,"[ 09, 09, 08, 05, 08, 08 ]",7.83,Commoner,339
Dwarf: ,Female,67,132,45,True Neutral,"[ 13, 13, 09, 06, 11, 09 ]",10.17,Commoner,364
Dwarf: ,Female,67,129,49,Chaotic Evil,"[ 04, 12, 13, 08, 09, 07 ]",8.83,Commoner,360
Dwarf: ,Male,76,155,52,Chaotic Good,"[ 05, 11, 05, 11, 09, 09 ]",8.33,Commoner,296
Dwarf: ,Male,75,150,45,Neutral Good,"[ 07, 04, 05, 09, 10, 07 ]",7.0,Commoner,403
Dwarf: ,Female,68,127,48,Lawful Good,"[ 04, 17, 12, 15, 14, 06 ]",11.33,Elite,326
Dwarf: ,Female,56,139,44,Lawful Evil,"[ 16, 07, 10, 15, 11, 03 ]",10.33,Commoner,346
Dwarf: ,Male,65,142,49,Neutral Good,"[ 07, 06, 11, 10, 10, 12 ]",9.33,Commoner,318
Human: ,Female,16,116,70,Neutral Evil,"[ 15, 16, 13, 11, 09, 08 ]",12.0,Elite,106
Dwarf: ,Female,65,121,50,Lawful Evil,"[ 05, 08, 04, 07, 08, 08 ]",6.67,Commoner,406
Dwarf: ,Male,58,142,53,Chaotic Good,"[ 04, 14, 12, 07, 10, 03 ]",8.33,Commoner,347
Dwarf: ,Female,65,124,43,Lawful Good,"[ 08, 10, 07, 12, 07, 07 ]",8.5,Commoner,309
Dwarf: ,Male,72,160,49,Neutral Good,"[ 10, 08, 09, 06, 09, 09 ]",8.5,Commoner,395
Dwarf: ,Female,74,124,50,Lawful Evil,"[ 09, 05, 08, 06, 06, 14 ]",8.0,Commoner,362
Dwarf: ,Female,67,133,42,Lawful Evil,"[ 12, 10, 12, 06, 15, 08 ]",10.5,Commoner,313
Dwarf: ,Male,67,155,50,Lawful Evil,"[ 12, 11, 06, 09, 08, 06 ]",8.67,Commoner,336
Dwarf: ,Male,64,145,45,Chaotic Neutral,"[ 07, 05, 07, 10, 05, 09 ]",7.17,Commoner,438
Dwarf: ,Male,78,156,50,Neutral Evil,"[ 09, 05, 08, 15, 10, 10 ]",9.5,Commoner,262
Dwarf: ,Male,83,148,49,Chaotic Good,"[ 10, 12, 09, 10, 04, 15 ]",10.0,Commoner,348
Dwarf: ,Male,69,149,44,Chaotic Good,"[ 15, 18, 04, 18, 05, 05 ]",10.83,Commoner,278
