Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,65,151,44,Lawful Good,"[ 10, 10, 05, 09, 09, 10 ]",8.83,Commoner,363
Dwarf: ,Male,54,153,45,Neutral Evil,"[ 12, 11, 09, 09, 08, 13 ]",10.33,Commoner,356
Dwarf: ,Female,66,140,51,Lawful Good,"[ 05, 11, 05, 13, 07, 08 ]",8.17,Commoner,394
Dwarf: ,Female,67,127,44,Chaotic Good,"[ 06, 06, 11, 08, 08, 08 ]",7.83,Commoner,390
Dwarf: ,Female,73,121,50,True Neutral,"[ 09, 07, 06, 03, 04, 08 ]",6.17,Commoner,388
Dwarf: ,Female,70,120,50,Chaotic Good,"[ 08, 13, 06, 14, 13, 10 ]",10.67,Commoner,316
Dwarf: ,Female,69,133,50,Chaotic Good,"[ 07, 11, 09, 13, 12, 07 ]",9.83,Commoner,342
Dwarf: ,Male,70,149,53,Neutral Evil,"[ 11, 09, 08, 04, 11, 03 ]",7.67,Commoner,434
Dwarf: ,Male,65,146,53,Lawful Evil,"[ 07, 06, 10, 14, 05, 06 ]",8.0,Commoner,274
Dwarf: ,Female,66,132,47,Lawful Good,"[ 08, 09, 09, 11, 10, 04 ]",8.5,Commoner,407
Dwarf: ,Male,66,167,51,True Neutral,"[ 07, 09, 07, 09, 11, 11 ]",9.0,Commoner,331
Dwarf: ,Female,65,122,50,Neutral Evil,"[ 10, 07, 05, 14, 08, 14 ]",9.67,Commoner,341
Dwarf: ,Female,68,129,43,Neutral Good,"[ 08, 06, 12, 07, 09, 12 ]",9.0,Commoner,390
Dwarf: ,Male,68,157,46,Neutral Evil,"[ 11, 10, 06, 07, 13, 05 ]",8.67,Commoner,280
Dwarf: ,Male,63,166,53,Chaotic Neutral,"[ 13, 10, 10, 10, 13, 08 ]",10.67,Commoner,349
Dwarf: ,Female,72,136,51,Neutral Evil,"[ 09, 11, 09, 09, 13, 09 ]",10.0,Commoner,407
Dwarf: ,Male,61,157,48,Lawful Evil,"[ 09, 06, 13, 11, 08, 07 ]",9.0,Commoner,369
Dwarf: ,Female,66,137,45,True Neutral,"[ 11, 13, 12, 09, 12, 10 ]",11.17,Commoner,392
Dwarf: ,Female,70,126,47,Chaotic Evil,"[ 09, 15, 12, 10, 05, 10 ]",10.17,Commoner,376
Dwarf: ,Female,61,134,44,Lawful Good,"[ 11, 10, 08, 15, 09, 08 ]",10.17,Commoner,382
Elf: ,Female,116,85,57,Neutral Evil,"[ 17, 04, 18, 10, 18, 10 ]",12.83,Adventurer,553
Dwarf: ,Male,68,164,52,Lawful Good,"[ 07, 12, 06, 08, 09, 05 ]",7.83,Commoner,386
Dwarf: ,Male,69,163,50,True Neutral,"[ 13, 07, 10, 11, 11, 08 ]",10.0,Commoner,408
Dwarf: ,Female,67,129,50,Chaotic Evil,"[ 05, 08, 11, 04, 14, 06 ]",8.0,Commoner,409
Dwarf: ,Male,70,146,49,Neutral Good,"[ 11, 08, 06, 08, 09, 06 ]",8.0,Commoner,397
Dwarf: ,Male,73,154,47,Neutral Evil,"[ 11, 13, 03, 08, 08, 14 ]",9.5,Commoner,353
Dwarf: ,Female,69,131,47,Chaotic Neutral,"[ 09, 06, 14, 04, 04, 07 ]",7.33,Commoner,366
Dwarf: ,Male,71,158,50,Lawful Neutral,"[ 14, 08, 10, 09, 09, 04 ]",9.0,Commoner,344
Gnome: ,Female,84,86,42,Lawful Evil,"[ 17, 11, 14, 16, 13, 12 ]",13.83,Adventurer,320
Dwarf: ,Female,69,131,43,Lawful Neutral,"[ 10, 05, 09, 11, 08, 06 ]",8.17,Commoner,379
Elf: ,Female,118,91,58,Neutral Good,"[ 16, 11, 16, 09, 14, 09 ]",12.5,Elite,590
Dwarf: ,Male,54,156,45,True Neutral,"[ 05, 06, 11, 07, 07, 05 ]",6.83,Commoner,328
Dwarf: ,Female,70,124,47,True Neutral,"[ 06, 06, 08, 09, 11, 11 ]",8.5,Commoner,392
Dwarf: ,Female,74,133,51,True Neutral,"[ 13, 06, 11, 11, 09, 10 ]",10.0,Commoner,403
Dwarf: ,Male,75,152,52,Neutral Evil,"[ 06, 10, 13, 15, 12, 06 ]",10.33,Commoner,395
