Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,80,146,44,Chaotic Evil,"[ 08, 10, 06, 06, 10, 07 ]",7.83,Commoner,380
Dwarf: ,Male,71,144,50,Lawful Neutral,"[ 09, 13, 10, 08, 07, 08 ]",9.17,Commoner,357
Dwarf: ,Male,61,159,50,Neutral Evil,"[ 13, 15, 04, 11, 06, 11 ]",10.0,Commoner,343
Dwarf: ,Female,73,132,45,Lawful Good,"[ 13, 08, 08, 11, 08, 14 ]",10.33,Commoner,395
Dwarf: ,Female,73,124,42,Chaotic Good,"[ 08, 07, 06, 07, 13, 09 ]",8.33,Commoner,351
Dwarf: ,Male,71,157,50,Chaotic Neutral,"[ 09, 12, 17, 07, 03, 16 ]",10.67,Commoner,329
Dwarf: ,Female,81,134,47,Lawful Neutral,"[ 10, 09, 12, 11, 09, 10 ]",10.17,Commoner,353
Dwarf: ,Female,64,124,45,Lawful Evil,"[ 04, 07, 09, 10, 08, 05 ]",7.17,Commoner,328
Dwarf: ,Male,67,145,47,Lawful Good,"[ 12, 10, 12, 05, 07, 06 ]",8.67,Commoner,330
Dwarf: ,Male,66,150,44,Neutral Good,"[ 12, 09, 06, 10, 10, 13 ]",10.0,Commoner,390
Dwarf: ,Male,59,148,49,Chaotic Good,"[ 11, 08, 10, 09, 03, 11 ]",8.67,Commoner,397
Dwarf: ,Male,63,148,45,True Neutral,"[ 09, 12, 05, 06, 06, 08 ]",7.67,Commoner,382
Dwarf: ,Female,65,122,44,Neutral Good,"[ 08, 06, 07, 07, 12, 09 ]",8.17,Commoner,345
Dwarf: ,Female,66,128,50,Neutral Good,"[ 08, 08, 07, 09, 10, 09 ]",8.5,Commoner,392
Dwarf: ,Male,69,156,46,Lawful Neutral,"[ 11, 09, 16, 11, 05, 04 ]",9.33,Commoner,352
Dwarf: ,Female,67,130,43,Lawful Neutral,"[ 10, 06, 05, 08, 07, 09 ]",7.5,Commoner,375
Dwarf: ,Female,75,127,49,Lawful Evil,"[ 13, 12, 04, 09, 12, 16 ]",11.0,Commoner,401
Dwarf: ,Male,55,150,45,Neutral Evil,"[ 11, 12, 12, 09, 08, 09 ]",10.17,Commoner,414
Dwarf: ,Female,65,117,46,True Neutral,"[ 18, 17, 03, 07, 04, 17 ]",11.0,Commoner,338
Dwarf: ,Female,63,128,51,True Neutral,"[ 15, 10, 10, 05, 10, 06 ]",9.33,Commoner,400
Dwarf: ,Male,71,155,50,Chaotic Evil,"[ 13, 08, 13, 08, 09, 09 ]",10.0,Commoner,433
Dwarf: ,Male,63,145,45,Chaotic Evil,"[ 14, 10, 11, 09, 12, 05 ]",10.17,Commoner,381
Dwarf: ,Female,68,125,49,Lawful Evil,"[ 13, 11, 09, 11, 06, 09 ]",9.83,Commoner,395
Dwarf: ,Female,72,123,44,Lawful Good,"[ 05, 10, 11, 09, 03, 07 ]",7.5,Commoner,387
Dwarf: ,Female,53,130,43,Lawful Good,"[ 10, 08, 12, 10, 09, 09 ]",9.67,Commoner,352
Dwarf: ,Female,69,125,45,Chaotic Good,"[ 10, 09, 11, 05, 08, 10 ]",8.83,Commoner,264
Dwarf: ,Male,63,157,45,Chaotic Neutral,"[ 04, 11, 09, 06, 11, 08 ]",8.17,Commoner,323
Dwarf: ,Male,64,160,49,Chaotic Evil,"[ 13, 10, 10, 13, 09, 08 ]",10.5,Commoner,323
Gnome: ,Female,86,79,40,Neutral Good,"[ 12, 10, 14, 14, 17, 11 ]",13.0,Adventurer,338
Dwarf: ,Male,65,154,48,Neutral Good,"[ 10, 08, 12, 06, 11, 12 ]",9.83,Commoner,396
Dwarf: ,Male,68,146,51,Neutral Good,"[ 10, 05, 11, 10, 14, 08 ]",9.67,Commoner,423
Gnome: ,Female,76,84,37,Neutral Good,"[ 18, 10, 13, 10, 12, 10 ]",12.17,Elite,321
