Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,68,159,48,Neutral Evil,"[ 11, 11, 10, 11, 08, 10 ]",10.17,Commoner,308
Dwarf: ,Female,72,115,44,Lawful Good,"[ 10, 08, 04, 09, 11, 14 ]",9.33,Commoner,329
Dwarf: ,Female,58,119,42,Chaotic Evil,"[ 10, 13, 13, 05, 10, 14 ]",10.83,Commoner,390
Dwarf: ,Female,65,125,47,True Neutral,"[ 07, 10, 11, 08, 11, 09 ]",9.33,Commoner,288
Dwarf: ,Male,60,160,44,Chaotic Good,"[ 06, 12, 06, 08, 07, 05 ]",7.33,Commoner,324
Dwarf: ,Male,68,145,44,Lawful Neutral,"[ 08, 14, 10, 09, 12, 07 ]",10.0,Commoner,343
Dwarf: ,Female,69,120,51,True Neutral,"[ 07, 13, 09, 10, 10, 09 ]",9.67,Commoner,362
Dwarf: ,Female,60,127,46,True Neutral,"[ 10, 12, 13, 10, 11, 07 ]",10.5,Commoner,324
Dwarf: ,Female,70,115,44,Neutral Evil,"[ 09, 06, 08, 10, 12, 07 ]",8.67,Commoner,321
Elf: ,Male,117,105,56,Chaotic Evil,"[ 11, 06, 16, 08, 12, 17 ]",11.67,Elite,539
Dwarf: ,Female,70,127,47,Lawful Evil,"[ 11, 15, 05, 12, 14, 08 ]",10.83,Commoner,357
Dwarf: ,Male,60,162,44,True Neutral,"[ 10, 09, 06, 04, 08, 12 ]",8.17,Commoner,398
Dwarf: ,Male,70,160,53,Lawful Neutral,"[ 06, 08, 09, 10, 10, 14 ]",9.5,Commoner,339
Elf: ,Female,112,89,52,Chaotic Neutral,"[ 11, 08, 13, 10, 17, 13 ]",12.0,Elite,584
Dwarf: ,Male,68,154,51,Lawful Neutral,"[ 13, 07, 12, 09, 10, 08 ]",9.83,Commoner,390
Dwarf: ,Male,70,151,45,Chaotic Evil,"[ 14, 11, 11, 08, 10, 08 ]",10.33,Commoner,396
Dwarf: ,Female,72,124,49,Neutral Good,"[ 09, 11, 09, 07, 07, 09 ]",8.67,Commoner,374
Dwarf: ,Male,77,148,46,Lawful Neutral,"[ 09, 09, 10, 09, 11, 12 ]",10.0,Commoner,311
Dwarf: ,Female,66,133,44,True Neutral,"[ 15, 08, 10, 08, 10, 13 ]",10.67,Commoner,319
Dwarf: ,Female,68,129,51,Lawful Evil,"[ 11, 11, 06, 06, 08, 11 ]",8.83,Commoner,413
Dwarf: ,Female,73,122,45,Lawful Neutral,"[ 09, 12, 10, 08, 10, 07 ]",9.33,Commoner,329
Dwarf: ,Female,56,123,44,Lawful Evil,"[ 09, 06, 09, 10, 07, 06 ]",7.83,Commoner,357
Dwarf: ,Male,76,152,46,Neutral Evil,"[ 07, 08, 10, 10, 10, 07 ]",8.67,Commoner,309
Dwarf: ,Male,71,145,47,Lawful Good,"[ 07, 06, 06, 08, 09, 07 ]",7.17,Commoner,388
Dwarf: ,Female,74,128,42,Lawful Neutral,"[ 10, 11, 06, 05, 13, 08 ]",8.83,Commoner,328
Dwarf: ,Male,64,150,45,Chaotic Good,"[ 08, 06, 10, 09, 06, 12 ]",8.5,Commoner,307
Dwarf: ,Female,59,127,51,Chaotic Neutral,"[ 07, 13, 08, 13, 09, 10 ]",10.0,Commoner,363
Dwarf: ,Male,62,151,50,True Neutral,"[ 09, 11, 05, 08, 09, 10 ]",8.67,Commoner,371
Dwarf: ,Male,68,149,49,Chaotic Neutral,"[ 09, 15, 10, 07, 07, 10 ]",9.67,Commoner,400
Dwarf: ,Female,67,116,45,Lawful Evil,"[ 08, 11, 13, 12, 09, 07 ]",10.0,Commoner,300
Dwarf: ,Male,67,160,48,Neutral Evil,"[ 14, 07, 11, 06, 12, 07 ]",9.5,Commoner,348
Dwarf: ,Male,61,158,53,Neutral Evil,"[ 07, 05, 10, 10, 07, 09 ]",8.0,Commoner,316
Dwarf: ,Female,76,128,47,Chaotic Evil,"[ 10, 11, 11, 10, 05, 10 ]",9.5,Commoner,334
Dwarf: ,Male,63,144,51,Chaotic Neutral,"[ 10, 06, 15, 08, 08, 08 ]",9.17,Commoner,406
Dwarf: ,Male,63,156,53,Chaotic Evil,"[ 08, 08, 10, 06, 13, 09 ]",9.0,Commoner,302
Dwarf: ,Male,72,146,45,True Neutral,"[ 10, 10, 12, 08, 13, 11 ]",10.67,Commoner,382
Dwarf: ,Male,69,143,52,Lawful Good,"[ 12, 10, 07, 07, 05, 11 ]",8.67,Commoner,341
Dwarf: ,Male,60,154,48,Neutral Evil,"[ 10, 07, 09, 07, 13, 10 ]",9.33,Commoner,299
Dwarf: ,Female,54,127,47,Neutral Evil,"[ 11, 09, 09, 09, 10, 08 ]",9.33,Commoner,338
Dwarf: ,Female,59,123,44,Chaotic Good,"[ 10, 07, 09, 13, 03, 07 ]",8.17,Commoner,348
Dwarf: ,Female,68,127,45,Neutral Evil,"[ 07, 18, 09, 08, 09, 08 ]",9.83,Commoner,301
Dwarf: ,Male,75,148,53,Chaotic Evil,"[ 07, 05, 07, 08, 08, 07 ]",7.0,Commoner,368
Elf: ,Male,117,99,56,Neutral Good,"[ 17, 18, 08, 17, 08, 10 ]",13.0,Adventurer,455
Dwarf: ,Male,70,141,51,True Neutral,"[ 13, 09, 10, 13, 08, 06 ]",9.83,Commoner,341
Dwarf: ,Female,67,124,45,True Neutral,"[ 13, 14, 08, 10, 08, 06 ]",9.83,Commoner,442
Dwarf: ,Female,72,129,48,Neutral Evil,"[ 10, 10, 09, 11, 12, 10 ]",10.33,Commoner,351
Dwarf: ,Male,66,153,53,Chaotic Good,"[ 04, 09, 10, 08, 10, 07 ]",8.0,Commoner,319
Dwarf: ,Female,71,129,46,Lawful Good,"[ 09, 07, 11, 14, 10, 13 ]",10.67,Commoner,323
Dwarf: ,Male,61,150,44,Lawful Evil,"[ 13, 06, 08, 14, 10, 11 ]",10.33,Commoner,341
Dwarf: ,Male,64,158,51,Chaotic Evil,"[ 17, 10, 09, 10, 09, 13 ]",11.33,Elite,307
Dwarf: ,Male,63,150,46,Chaotic Neutral,"[ 10, 06, 06, 08, 09, 10 ]",8.17,Commoner,441
