Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Human: ,Male,18,164,65,Chaotic Neutral,"[ 15, 14, 15, 16, 10, 07 ]",12.83,Adventurer,97
Dwarf: ,Female,60,135,49,Chaotic Evil,"[ 09, 06, 12, 09, 07, 08 ]",8.5,Commoner,411
Dwarf: ,Female,70,138,46,Neutral Evil,"[ 12, 10, 07, 07, 04, 09 ]",8.17,Commoner,347
Dwarf: ,Female,69,121,45,Lawful Good,"[ 06, 04, 04, 10, 08, 09 ]",6.83,Commoner,382
Dwarf: ,Female,68,118,49,Chaotic Neutral,"[ 10, 09, 11, 13, 14, 12 ]",11.5,Elite,330
Dwarf: ,Male,60,157,50,Chaotic Neutral,"[ 08, 09, 07, 12, 03, 11 ]",8.33,Commoner,377
Dwarf: ,Male,70,151,46,Chaotic Good,"[ 05, 07, 10, 07, 09, 09 ]",7.83,Commoner,370
Dwarf: ,Male,66,149,50,Chaotic Good,"[ 14, 05, 07, 07, 09, 09 ]",8.5,Commoner,323
Dwarf: ,Female,67,124,48,True Neutral,"[ 14, 06, 05, 09, 12, 13 ]",9.83,Commoner,347
Dwarf: ,Female,73,118,46,Lawful Neutral,"[ 07, 13, 11, 07, 06, 11 ]",9.17,Commoner,390
Dwarf: ,Female,64,130,51,Chaotic Evil,"[ 08, 10, 10, 09, 06, 09 ]",8.67,Commoner,327
Dwarf: ,Female,67,126,46,Chaotic Good,"[ 07, 10, 09, 09, 08, 15 ]",9.67,Commoner,341
Dwarf: ,Female,73,126,46,Neutral Evil,"[ 11, 11, 05, 08, 10, 09 ]",9.0,Commoner,406
Elf: ,Female,114,85,54,Lawful Good,"[ 11, 12, 13, 15, 12, 12 ]",12.5,Elite,622
Dwarf: ,Female,63,129,47,Lawful Good,"[ 08, 10, 10, 09, 11, 10 ]",9.67,Commoner,409
Dwarf: ,Male,70,144,46,True Neutral,"[ 10, 09, 11, 10, 13, 07 ]",10.0,Commoner,336
Dwarf: ,Female,72,136,48,True Neutral,"[ 11, 09, 09, 09, 10, 08 ]",9.33,Commoner,289
Dwarf: ,Female,71,120,50,Neutral Good,"[ 07, 11, 10, 10, 11, 08 ]",9.5,Commoner,285
Dwarf: ,Female,71,121,43,Neutral Good,"[ 10, 04, 11, 05, 08, 12 ]",8.33,Commoner,366
Dwarf: ,Female,64,123,50,Neutral Good,"[ 07, 09, 10, 11, 13, 10 ]",10.0,Commoner,375
Dwarf: ,Male,62,156,50,Chaotic Neutral,"[ 05, 09, 11, 03, 05, 06 ]",6.5,Commoner,330
Dwarf: ,Female,66,126,46,True Neutral,"[ 10, 06, 11, 06, 04, 09 ]",7.67,Commoner,351
Gnome: ,Female,79,76,42,Lawful Good,"[ 11, 16, 15, 08, 09, 14 ]",12.17,Elite,394
Dwarf: ,Female,69,131,42,Chaotic Evil,"[ 11, 15, 12, 08, 07, 11 ]",10.67,Commoner,290
Dwarf: ,Female,60,126,43,Lawful Good,"[ 11, 04, 12, 13, 13, 06 ]",9.83,Commoner,324
Dwarf: ,Female,67,128,45,Chaotic Good,"[ 08, 08, 09, 12, 11, 10 ]",9.67,Commoner,359
Dwarf: ,Male,59,144,45,Lawful Neutral,"[ 08, 13, 10, 07, 08, 05 ]",8.5,Commoner,315
Dwarf: ,Male,54,144,44,Lawful Good,"[ 04, 12, 09, 10, 11, 12 ]",9.67,Commoner,329
Dwarf: ,Male,72,142,49,Neutral Good,"[ 10, 10, 11, 08, 08, 12 ]",9.83,Commoner,310
Dwarf: ,Male,58,156,49,Neutral Good,"[ 09, 10, 05, 10, 07, 09 ]",8.33,Commoner,326
Dwarf: ,Female,72,133,49,True Neutral,"[ 10, 08, 08, 04, 13, 10 ]",8.83,Commoner,382
Dwarf: ,Male,63,149,47,Lawful Evil,"[ 12, 06, 09, 11, 10, 07 ]",9.17,Commoner,431
Dwarf: ,Female,63,130,46,Chaotic Good,"[ 09, 04, 13, 18, 05, 06 ]",9.17,Commoner,325
Dwarf: ,Male,67,143,45,True Neutral,"[ 08, 08, 10, 09, 08, 08 ]",8.5,Commoner,353
Dwarf: ,Male,64,143,45,Lawful Good,"[ 11, 09, 08, 08, 12, 11 ]",9.83,Commoner,384
Dwarf: ,Male,66,155,48,Lawful Neutral,"[ 14, 13, 07, 08, 08, 14 ]",10.67,Commoner,391
Dwarf: ,Female,58,124,44,Neutral Evil,"[ 06, 10, 07, 08, 08, 07 ]",7.67,Commoner,328
Dwarf: ,Male,62,149,48,Lawful Good,"[ 11, 11, 12, 07, 07, 12 ]",10.0,Commoner,322
Dwarf: ,Male,68,150,51,Neutral Evil,"[ 08, 07, 12, 04, 07, 10 ]",8.0,Commoner,378
Human: ,Male,16,190,71,True Neutral,"[ 11, 15, 12, 10, 13, 11 ]",12.0,Elite,116
Dwarf: ,Female,71,125,45,Chaotic Evil,"[ 10, 14, 11, 11, 07, 04 ]",9.5,Commoner,402
Dwarf: ,Female,67,133,44,True Neutral,"[ 07, 13, 06, 03, 08, 12 ]",8.17,Commoner,389
Dwarf: ,Male,76,163,51,Chaotic Evil,"[ 11, 07, 11, 09, 11, 04 ]",8.83,Commoner,421
Dwarf: ,Female,66,125,48,Lawful Evil,"[ 10, 14, 04, 11, 12, 08 ]",9.83,Commoner,378
Dwarf: ,Female,62,123,43,Chaotic Evil,"[ 10, 07, 08, 09, 08, 10 ]",8.67,Commoner,345
Dwarf: ,Male,72,142,46,Lawful Evil,"[ 08, 06, 13, 08, 12, 03 ]",8.33,Commoner,331
Dwarf: ,Male,75,156,47,Neutral Good,"[ 10, 10, 14, 13, 06, 08 ]",10.17,Commoner,381
Dwarf: ,Male,67,155,47,Lawful Evil,"[ 13, 07, 11, 08, 03, 09 ]",8.5,Commoner,323
Dwarf: ,Male,64,149,44,Lawful Neutral,"[ 07, 10, 14, 05, 05, 07 ]",8.0,Commoner,278
Dwarf: ,Female,62,127,45,Lawful Neutral,"[ 07, 13, 07, 08, 09, 12 ]",9.33,Commoner,305
Dwarf: ,Male,56,151,50,Chaotic Good,"[ 05, 10, 10, 08, 06, 08 ]",7.83,Commoner,388
Dwarf: ,Female,69,128,47,Chaotic Evil,"[ 06, 10, 13, 05, 08, 10 ]",8.67,Commoner,264
Dwarf: ,Male,66,150,52,Chaotic Evil,"[ 06, 11, 10, 13, 08, 10 ]",9.67,Commoner,363
Dwarf: ,Male,73,146,51,Lawful Neutral,"[ 07, 10, 10, 08, 12, 10 ]",9.5,Commoner,353
Dwarf: ,Female,72,140,49,Neutral Evil,"[ 08, 08, 11, 09, 06, 03 ]",7.5,Commoner,289
Dwarf: ,Female,67,126,50,Chaotic Evil,"[ 07, 09, 12, 08, 13, 10 ]",9.83,Commoner,344
Dwarf: ,Male,74,153,44,Neutral Evil,"[ 18, 05, 06, 10, 18, 13 ]",11.67,Elite,369
Dwarf: ,Male,69,141,45,Lawful Evil,"[ 13, 09, 09, 12, 06, 09 ]",9.67,Commoner,320
Elf: ,Male,115,101,56,Neutral Good,"[ 12, 12, 12, 12, 14, 13 ]",12.5,Elite,453
Dwarf: ,Male,76,145,53,Lawful Good,"[ 12, 09, 12, 09, 12, 09 ]",10.5,Commoner,359
Dwarf: ,Female,69,126,51,Lawful Evil,"[ 05, 05, 13, 10, 15, 03 ]",8.5,Commoner,386
Dwarf: ,Female,67,125,47,Neutral Evil,"[ 06, 08, 11, 08, 11, 09 ]",8.83,Commoner,431
Dwarf: ,Male,70,154,47,Lawful Neutral,"[ 14, 12, 12, 09, 09, 05 ]",10.17,Commoner,311
Dwarf: ,Female,71,122,44,Lawful Neutral,"[ 10, 09, 09, 07, 07, 11 ]",8.83,Commoner,347
Dwarf: ,Male,62,156,45,Chaotic Neutral,"[ 11, 10, 15, 08, 14, 11 ]",11.5,Elite,328
Dwarf: ,Male,70,150,49,True Neutral,"[ 08, 07, 09, 12, 10, 07 ]",8.83,Commoner,385
Dwarf: ,Male,63,154,45,True Neutral,"[ 09, 11, 09, 06, 06, 06 ]",7.83,Commoner,362
Dwarf: ,Male,58,149,47,Neutral Good,"[ 10, 07, 05, 10, 05, 09 ]",7.67,Commoner,395
Dwarf: ,Female,67,138,42,Chaotic Evil,"[ 13, 09, 17, 18, 15, 14 ]",14.33,Adventurer,304
Dwarf: ,Male,68,155,51,Neutral Good,"[ 09, 11, 14, 08, 06, 12 ]",10.0,Commoner,385
Dwarf: ,Male,66,160,51,Lawful Evil,"[ 06, 10, 11, 07, 10, 09 ]",8.83,Commoner,338
Dwarf: ,Female,70,127,44,Chaotic Neutral,"[ 08, 07, 06, 12, 14, 10 ]",9.5,Commoner,366
Dwarf: ,Male,63,154,44,True Neutral,"[ 10, 05, 08, 10, 09, 13 ]",9.17,Commoner,322
Dwarf: ,Male,82,157,49,Lawful Good,"[ 11, 13, 05, 08, 13, 08 ]",9.67,Commoner,324
Dwarf: ,Male,65,161,44,Chaotic Neutral,"[ 11, 05, 11, 11, 09, 09 ]",9.33,Commoner,358
Dwarf: ,Female,60,120,43,Chaotic Neutral,"[ 07, 13, 10, 08, 09, 14 ]",10.17,Commoner,339
Dwarf: ,Male,59,149,44,Chaotic Good,"[ 10, 06, 08, 08, 09, 06 ]",7.83,Commoner,354
Dwarf: ,Male,88,149,51,Neutral Good,"[ 06, 09, 14, 12, 07, 10 ]",9.67,Commoner,327
Dwarf: ,Male,71,140,48,Chaotic Neutral,"[ 11, 11, 14, 07, 12, 07 ]",10.33,Commoner,361
Dwarf: ,Female,63,124,50,Chaotic Neutral,"[ 08, 05, 11, 05, 09, 11 ]",8.17,Commoner,334
Gnome: ,Male,78,83,39,True Neutral,"[ 15, 13, 09, 13, 16, 12 ]",13.0,Adventurer,477
Dwarf: ,Female,69,126,43,Lawful Evil,"[ 08, 10, 09, 10, 05, 15 ]",9.5,Commoner,413
Dwarf: ,Female,64,118,50,Chaotic Neutral,"[ 04, 07, 12, 05, 15, 07 ]",8.33,Commoner,437
Dwarf: ,Male,68,151,50,Chaotic Good,"[ 08, 12, 08, 10, 10, 08 ]",9.33,Commoner,317
Dwarf: ,Female,56,127,42,Chaotic Evil,"[ 08, 12, 13, 08, 08, 03 ]",8.67,Commoner,386
Dwarf: ,Female,73,116,45,Neutral Good,"[ 09, 08, 12, 12, 13, 07 ]",10.17,Commoner,317
Dwarf: ,Female,69,131,49,Chaotic Evil,"[ 11, 10, 10, 14, 10, 04 ]",9.83,Commoner,366
Dwarf: ,Male,72,157,51,True Neutral,"[ 10, 06, 09, 11, 06, 10 ]",8.67,Commoner,366
Dwarf: ,Male,72,150,52,Chaotic Evil,"[ 05, 09, 09, 08, 07, 12 ]",8.33,Commoner,283
Dwarf: ,Female,75,125,42,Lawful Neutral,"[ 12, 11, 10, 10, 10, 08 ]",10.17,Commoner,345
Dwarf: ,Male,70,158,46,Lawful Neutral,"[ 18, 07, 04, 16, 09, 04 ]",9.67,Commoner,367
Dwarf: ,Female,62,128,47,Neutral Good,"[ 10, 12, 07, 10, 11, 10 ]",10.0,Commoner,417
Dwarf: ,Female,74,125,45,Chaotic Evil,"[ 11, 10, 08, 08, 10, 09 ]",9.33,Commoner,364
Dwarf: ,Female,66,120,48,Chaotic Good,"[ 08, 06, 09, 09, 04, 07 ]",7.17,Commoner,401
Dwarf: ,Female,68,130,49,Chaotic Neutral,"[ 10, 13, 07, 10, 05, 09 ]",9.0,Commoner,341
Dwarf: ,Male,72,153,44,Chaotic Evil,"[ 06, 04, 06, 05, 05, 07 ]",5.5,Commoner,372
Dwarf: ,Female,48,138,44,Chaotic Good,"[ 07, 09, 10, 12, 06, 08 ]",8.67,Commoner,311
Dwarf: ,Male,62,155,46,Chaotic Good,"[ 07, 13, 06, 06, 07, 06 ]",7.5,Commoner,316
Dwarf: ,Female,79,122,43,Chaotic Neutral,"[ 11, 06, 07, 05, 12, 10 ]",8.5,Commoner,342
Dwarf: ,Female,67,122,45,True Neutral,"[ 13, 10, 12, 05, 08, 12 ]",10.0,Commoner,383
Dwarf: ,Female,66,132,49,Lawful Neutral,"[ 09, 10, 09, 04, 11, 09 ]",8.67,Commoner,380
Dwarf: ,Female,76,135,47,Neutral Good,"[ 07, 10, 09, 07, 07, 09 ]",8.17,Commoner,334
Elf: ,Female,120,78,53,Neutral Good,"[ 10, 17, 09, 17, 12, 09 ]",12.33,Elite,489
Half-Elf: ,Female,18,109,64,Lawful Neutral,"[ 12, 09, 15, 16, 13, 10 ]",12.5,Elite,157
Dwarf: ,Female,63,121,51,Neutral Good,"[ 11, 04, 12, 10, 12, 15 ]",10.67,Commoner,312
Dwarf: ,Male,63,137,48,True Neutral,"[ 05, 08, 07, 10, 11, 11 ]",8.67,Commoner,327
Dwarf: ,Female,72,126,45,Neutral Good,"[ 09, 08, 08, 13, 08, 08 ]",9.0,Commoner,292
Dwarf: ,Male,83,147,44,Lawful Good,"[ 10, 10, 14, 07, 07, 09 ]",9.5,Commoner,311
Dwarf: ,Female,72,122,47,True Neutral,"[ 10, 07, 10, 09, 14, 09 ]",9.83,Commoner,313
Dwarf: ,Female,65,117,44,Neutral Evil,"[ 10, 14, 09, 09, 04, 07 ]",8.83,Commoner,278
Dwarf: ,Female,65,130,43,Chaotic Neutral,"[ 17, 06, 16, 16, 06, 03 ]",10.67,Commoner,377
Dwarf: ,Female,76,127,43,Lawful Evil,"[ 09, 08, 12, 09, 07, 08 ]",8.83,Commoner,288
Dwarf: ,Male,64,150,46,Neutral Evil,"[ 08, 15, 05, 06, 17, 13 ]",10.67,Commoner,392
