Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,78,132,51,Chaotic Good,"[ 07, 12, 08, 09, 11, 10 ]",9.5,Commoner,320
Dwarf: ,Male,67,148,52,Lawful Neutral,"[ 06, 10, 06, 08, 07, 05 ]",7.0,Commoner,389
Dwarf: ,Female,66,123,46,True Neutral,"[ 11, 11, 09, 08, 06, 12 ]",9.5,Commoner,346
Dwarf: ,Male,76,156,50,Chaotic Good,"[ 09, 13, 07, 05, 09, 12 ]",9.17,Commoner,290
Dwarf: ,Female,71,118,51,Chaotic Good,"[ 10, 11, 10, 10, 08, 10 ]",9.83,Commoner,400
Dwarf: ,Male,68,159,45,Chaotic Neutral,"[ 08, 07, 15, 08, 11, 13 ]",10.33,Commoner,412
Dwarf: ,Female,60,132,44,True Neutral,"[ 10, 10, 04, 06, 11, 15 ]",9.33,Commoner,260
Dwarf: ,Female,61,123,49,Lawful Neutral,"[ 04, 09, 07, 09, 06, 10 ]",7.5,Commoner,392
Dwarf: ,Female,57,123,48,Lawful Neutral,"[ 07, 05, 15, 14, 09, 14 ]",10.67,Commoner,427
Dwarf: ,Female,56,133,46,Lawful Neutral,"[ 08, 13, 04, 14, 12, 10 ]",10.17,Commoner,347
Dwarf: ,Female,62,131,51,Chaotic Neutral,"[ 11, 08, 06, 11, 08, 05 ]",8.17,Commoner,361
Dwarf: ,Male,54,151,47,Chaotic Evil,"[ 10, 10, 07, 04, 07, 08 ]",7.67,Commoner,387
Dwarf: ,Male,68,153,52,Chaotic Evil,"[ 09, 06, 09, 07, 13, 10 ]",9.0,Commoner,283
Dwarf: ,Male,75,148,49,True Neutral,"[ 10, 10, 06, 17, 10, 10 ]",10.5,Commoner,384
Dwarf: ,Female,73,138,45,Neutral Good,"[ 06, 05, 09, 08, 08, 07 ]",7.17,Commoner,349
Dwarf: ,Male,70,144,48,Chaotic Evil,"[ 12, 07, 11, 06, 05, 08 ]",8.17,Commoner,368
Dwarf: ,Male,63,142,51,Lawful Good,"[ 09, 09, 13, 11, 07, 07 ]",9.33,Commoner,301
Dwarf: ,Female,71,126,46,Lawful Neutral,"[ 14, 09, 06, 08, 09, 15 ]",10.17,Commoner,311
Dwarf: ,Female,66,129,47,Chaotic Evil,"[ 05, 06, 07, 10, 10, 08 ]",7.67,Commoner,432
Dwarf: ,Female,78,126,48,Lawful Evil,"[ 05, 10, 07, 06, 11, 08 ]",7.83,Commoner,358
Dwarf: ,Female,62,126,47,Neutral Good,"[ 10, 09, 07, 10, 07, 10 ]",8.83,Commoner,396
Dwarf: ,Male,67,158,46,Neutral Evil,"[ 11, 10, 06, 07, 05, 07 ]",7.67,Commoner,370
