Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,58,129,50,Lawful Good,"[ 12, 14, 08, 09, 10, 08 ]",10.17,Commoner,348
Dwarf: ,Female,66,126,51,Lawful Good,"[ 06, 12, 11, 10, 04, 10 ]",8.83,Commoner,343
Dwarf: ,Male,78,157,45,Lawful Good,"[ 07, 04, 10, 11, 06, 05 ]",7.17,Commoner,269
Half-Elf: ,Female,18,115,65,Lawful Good,"[ 10, 11, 14, 10, 13, 12 ]",11.67,Elite,158
Dwarf: ,Male,71,154,53,True Neutral,"[ 08, 08, 07, 07, 11, 07 ]",8.0,Commoner,417
Dwarf: ,Male,65,148,46,True Neutral,"[ 10, 09, 12, 13, 11, 10 ]",10.83,Commoner,339
Dwarf: ,Female,66,117,42,Neutral Evil,"[ 08, 11, 05, 11, 12, 11 ]",9.67,Commoner,291
Dwarf: ,Female,70,129,49,Lawful Evil,"[ 09, 10, 09, 06, 09, 07 ]",8.33,Commoner,332
Dwarf: ,Male,68,143,51,Lawful Neutral,"[ 10, 09, 07, 09, 08, 13 ]",9.33,Commoner,289
Halfling: ,Female,28,58,43,True Neutral,"[ 16, 09, 16, 14, 12, 06 ]",12.17,Elite,186
Half-Elf: ,Male,16,133,67,Lawful Neutral,"[ 09, 15, 14, 14, 11, 14 ]",12.83,Adventurer,157
Dwarf: ,Male,69,155,44,Lawful Neutral,"[ 06, 11, 08, 11, 10, 11 ]",9.5,Commoner,408
Dwarf: ,Male,68,140,45,Lawful Evil,"[ 10, 15, 08, 09, 11, 15 ]",11.33,Elite,322
Dwarf: ,Female,70,119,48,Neutral Good,"[ 07, 11, 07, 06, 10, 09 ]",8.33,Commoner,352
Dwarf: ,Female,58,128,45,Lawful Evil,"[ 10, 13, 14, 07, 07, 13 ]",10.67,Commoner,301
Dwarf: ,Female,75,134,44,Neutral Evil,"[ 08, 12, 10, 09, 09, 09 ]",9.5,Commoner,334
Dwarf: ,Male,63,146,44,Chaotic Neutral,"[ 13, 10, 08, 08, 07, 09 ]",9.17,Commoner,377
Dwarf: ,Male,67,153,51,Lawful Neutral,"[ 13, 10, 09, 08, 15, 14 ]",11.5,Elite,376
Dwarf: ,Male,83,159,48,Lawful Evil,"[ 06, 09, 11, 06, 07, 13 ]",8.67,Commoner,409
Gnome: ,Female,68,84,42,Neutral Evil,"[ 14, 13, 14, 09, 10, 13 ]",12.17,Elite,385
Dwarf: ,Female,75,126,50,Chaotic Good,"[ 08, 09, 14, 16, 11, 07 ]",10.83,Commoner,367
Dwarf: ,Male,73,155,45,Lawful Neutral,"[ 13, 06, 10, 13, 13, 04 ]",9.83,Commoner,371
Dwarf: ,Male,68,142,49,Lawful Evil,"[ 03, 10, 08, 07, 06, 08 ]",7.0,Commoner,372
Dwarf: ,Male,68,153,52,Chaotic Evil,"[ 04, 08, 13, 05, 06, 06 ]",7.0,Commoner,365
Dwarf: ,Female,63,133,43,Lawful Neutral,"[ 10, 11, 08, 06, 08, 12 ]",9.17,Commoner,356
Dwarf: ,Female,71,134,42,Chaotic Evil,"[ 08, 06, 10, 03, 10, 08 ]",7.5,Commoner,356
