Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,74,130,50,Lawful Good,"[ 11, 12, 08, 12, 09, 10 ]",10.33,Commoner,331
Dwarf: ,Male,68,161,51,Lawful Good,"[ 05, 07, 09, 06, 08, 13 ]",8.0,Commoner,345
Dwarf: ,Male,81,157,50,True Neutral,"[ 12, 08, 10, 06, 03, 08 ]",7.83,Commoner,314
Dwarf: ,Male,70,138,49,Chaotic Evil,"[ 13, 10, 08, 09, 10, 17 ]",11.17,Commoner,419
Dwarf: ,Female,57,131,43,Lawful Neutral,"[ 13, 14, 05, 10, 08, 06 ]",9.33,Commoner,343
Dwarf: ,Male,64,157,45,Chaotic Evil,"[ 12, 11, 11, 14, 09, 09 ]",11.0,Commoner,344
Dwarf: ,Male,72,156,50,Chaotic Neutral,"[ 11, 12, 08, 04, 10, 03 ]",8.0,Commoner,337
Dwarf: ,Female,58,125,46,Chaotic Evil,"[ 09, 04, 08, 14, 08, 07 ]",8.33,Commoner,385
Dwarf: ,Female,71,138,50,Neutral Good,"[ 08, 07, 08, 08, 08, 11 ]",8.33,Commoner,375
Dwarf: ,Female,78,122,51,Lawful Good,"[ 12, 07, 03, 13, 07, 07 ]",8.17,Commoner,279
Dwarf: ,Male,77,150,46,Lawful Good,"[ 08, 07, 09, 12, 12, 08 ]",9.33,Commoner,371
Half-Elf: ,Male,19,133,66,Lawful Good,"[ 10, 12, 12, 13, 13, 10 ]",11.67,Elite,159
Dwarf: ,Female,61,131,46,True Neutral,"[ 05, 09, 11, 09, 14, 06 ]",9.0,Commoner,394
Dwarf: ,Female,71,136,47,True Neutral,"[ 15, 11, 13, 15, 11, 04 ]",11.5,Elite,334
Dwarf: ,Male,68,164,45,Lawful Neutral,"[ 15, 09, 09, 08, 08, 05 ]",9.0,Commoner,277
Dwarf: ,Male,71,146,46,True Neutral,"[ 11, 12, 09, 13, 12, 08 ]",10.83,Commoner,283
Dwarf: ,Female,70,123,50,Lawful Evil,"[ 06, 09, 11, 09, 09, 08 ]",8.67,Commoner,343
Dwarf: ,Female,73,122,47,Neutral Evil,"[ 10, 05, 07, 10, 11, 08 ]",8.5,Commoner,333
Dwarf: ,Female,65,130,45,True Neutral,"[ 10, 11, 10, 10, 12, 12 ]",10.83,Commoner,292
Dwarf: ,Male,69,153,53,Neutral Good,"[ 06, 13, 11, 15, 13, 11 ]",11.5,Elite,343
Dwarf: ,Female,66,132,44,Neutral Evil,"[ 10, 06, 03, 14, 12, 06 ]",8.5,Commoner,321
Dwarf: ,Female,59,129,46,Lawful Neutral,"[ 08, 08, 06, 14, 11, 11 ]",9.67,Commoner,299
Dwarf: ,Female,69,124,42,Lawful Good,"[ 09, 12, 08, 08, 13, 16 ]",11.0,Commoner,381
Dwarf: ,Female,67,123,51,Neutral Evil,"[ 07, 14, 12, 04, 14, 06 ]",9.5,Commoner,363
Dwarf: ,Female,64,131,47,Neutral Good,"[ 07, 15, 11, 09, 08, 14 ]",10.67,Commoner,410
Dwarf: ,Male,61,156,46,Chaotic Good,"[ 15, 04, 08, 08, 12, 12 ]",9.83,Commoner,404
Dwarf: ,Male,65,153,45,Chaotic Neutral,"[ 11, 09, 10, 07, 11, 05 ]",8.83,Commoner,357
Dwarf: ,Female,71,116,51,Chaotic Neutral,"[ 07, 10, 04, 10, 08, 07 ]",7.67,Commoner,290
Dwarf: ,Male,62,151,48,Chaotic Good,"[ 10, 06, 12, 09, 07, 11 ]",9.17,Commoner,398
Dwarf: ,Female,69,134,50,Lawful Evil,"[ 13, 08, 10, 10, 07, 04 ]",8.67,Commoner,282
Dwarf: ,Male,77,153,50,Chaotic Good,"[ 11, 10, 09, 11, 08, 08 ]",9.5,Commoner,339
Dwarf: ,Male,73,151,50,Lawful Evil,"[ 06, 07, 12, 10, 09, 11 ]",9.17,Commoner,309
Halfling: ,Female,25,62,41,Lawful Neutral,"[ 14, 14, 09, 10, 15, 10 ]",12.0,Elite,117
Dwarf: ,Female,70,130,45,Chaotic Neutral,"[ 08, 14, 08, 11, 10, 10 ]",10.17,Commoner,404
Dwarf: ,Male,65,151,48,True Neutral,"[ 12, 11, 08, 11, 11, 10 ]",10.5,Commoner,311
Dwarf: ,Female,80,127,43,Chaotic Evil,"[ 09, 09, 11, 04, 09, 12 ]",9.0,Commoner,340
Dwarf: ,Male,61,156,46,Lawful Evil,"[ 09, 07, 07, 07, 10, 11 ]",8.5,Commoner,329
Dwarf: ,Male,56,152,51,Lawful Good,"[ 10, 10, 10, 10, 09, 08 ]",9.5,Commoner,387
