Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,73,144,51,Neutral Good,"[ 08, 06, 06, 06, 10, 14 ]",8.33,Commoner,391
Dwarf: ,Male,58,152,44,Chaotic Good,"[ 12, 05, 07, 11, 10, 09 ]",9.0,Commoner,347
Dwarf: ,Female,72,131,45,True Neutral,"[ 08, 11, 08, 08, 07, 08 ]",8.33,Commoner,400
Dwarf: ,Male,68,155,47,Chaotic Neutral,"[ 06, 13, 10, 09, 10, 09 ]",9.5,Commoner,369
Dwarf: ,Female,63,121,51,True Neutral,"[ 07, 10, 06, 06, 05, 10 ]",7.33,Commoner,354
Half-Elf: ,Female,20,94,65,Lawful Evil,"[ 15, 07, 15, 17, 11, 12 ]",12.83,Adventurer,160
Dwarf: ,Male,78,143,45,Lawful Evil,"[ 06, 11, 10, 11, 09, 11 ]",9.67,Commoner,316
Dwarf: ,Male,57,150,51,Chaotic Neutral,"[ 11, 11, 09, 10, 07, 10 ]",9.67,Commoner,329
Dwarf: ,Male,62,151,48,Chaotic Good,"[ 09, 07, 05, 11, 13, 09 ]",9.0,Commoner,348
Dwarf: ,Male,70,143,46,Lawful Evil,"[ 10, 09, 07, 09, 13, 06 ]",9.0,Commoner,287
Dwarf: ,Male,62,151,46,Chaotic Evil,"[ 07, 09, 10, 07, 12, 06 ]",8.5,Commoner,357
Dwarf: ,Female,74,120,48,Neutral Good,"[ 06, 04, 08, 07, 08, 10 ]",7.17,Commoner,340
Dwarf: ,Female,54,125,44,Lawful Neutral,"[ 11, 14, 13, 08, 08, 06 ]",10.0,Commoner,358
Dwarf: ,Male,67,153,46,Chaotic Neutral,"[ 09, 08, 09, 05, 09, 06 ]",7.67,Commoner,380
Dwarf: ,Male,68,153,52,Chaotic Good,"[ 04, 10, 06, 05, 11, 11 ]",7.83,Commoner,351
Dwarf: ,Male,56,144,52,Lawful Good,"[ 10, 10, 05, 06, 08, 06 ]",7.5,Commoner,359
Dwarf: ,Female,64,133,51,Lawful Neutral,"[ 08, 08, 08, 07, 08, 08 ]",7.83,Commoner,340
Dwarf: ,Female,62,128,46,True Neutral,"[ 07, 11, 15, 05, 12, 13 ]",10.5,Commoner,397
Dwarf: ,Male,68,144,47,Chaotic Good,"[ 06, 13, 11, 06, 14, 13 ]",10.5,Commoner,367
