Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,66,156,48,Chaotic Neutral,"[ 13, 07, 09, 09, 06, 10 ]",9.0,Commoner,337
Dwarf: ,Male,65,160,44,Lawful Neutral,"[ 13, 09, 08, 08, 10, 11 ]",9.83,Commoner,346
Dwarf: ,Male,67,149,52,Lawful Good,"[ 10, 08, 09, 10, 11, 09 ]",9.5,Commoner,311
Dwarf: ,Female,66,115,43,Chaotic Good,"[ 07, 12, 10, 06, 10, 14 ]",9.83,Commoner,334
Dwarf: ,Male,74,151,52,Lawful Neutral,"[ 10, 07, 13, 11, 10, 09 ]",10.0,Commoner,300
Dwarf: ,Female,53,124,51,Lawful Evil,"[ 08, 06, 06, 08, 11, 09 ]",8.0,Commoner,341
Dwarf: ,Male,60,153,46,Neutral Good,"[ 11, 13, 10, 09, 14, 10 ]",11.17,Commoner,426
Dwarf: ,Female,63,123,44,Chaotic Neutral,"[ 14, 05, 10, 06, 13, 10 ]",9.67,Commoner,294
Dwarf: ,Male,64,149,51,Chaotic Evil,"[ 08, 06, 08, 12, 11, 10 ]",9.17,Commoner,361
Dwarf: ,Female,75,124,43,Lawful Good,"[ 08, 05, 11, 11, 11, 08 ]",9.0,Commoner,337
Dwarf: ,Female,74,124,46,Chaotic Neutral,"[ 17, 15, 05, 11, 08, 10 ]",11.0,Commoner,326
Dwarf: ,Female,85,138,43,Lawful Evil,"[ 13, 12, 09, 10, 14, 09 ]",11.17,Commoner,386
Human: ,Male,19,154,71,Chaotic Good,"[ 14, 09, 10, 16, 12, 09 ]",11.67,Elite,107
Dwarf: ,Female,62,131,44,Chaotic Neutral,"[ 14, 09, 13, 04, 07, 11 ]",9.67,Commoner,278
Dwarf: ,Female,61,130,42,Neutral Evil,"[ 10, 10, 18, 07, 17, 04 ]",11.0,Commoner,411
Dwarf: ,Male,69,154,52,Chaotic Evil,"[ 10, 12, 08, 10, 05, 05 ]",8.33,Commoner,358
Dwarf: ,Male,75,147,46,Lawful Good,"[ 07, 12, 09, 06, 15, 11 ]",10.0,Commoner,439
Dwarf: ,Male,72,150,52,Neutral Evil,"[ 05, 06, 05, 12, 08, 08 ]",7.33,Commoner,354
Dwarf: ,Male,60,148,44,Lawful Evil,"[ 10, 05, 06, 07, 14, 07 ]",8.17,Commoner,364
Dwarf: ,Male,69,146,46,Chaotic Good,"[ 07, 09, 06, 06, 11, 03 ]",7.0,Commoner,312
Dwarf: ,Female,63,132,46,Neutral Evil,"[ 04, 06, 12, 07, 11, 04 ]",7.33,Commoner,422
Dwarf: ,Female,64,131,43,Chaotic Evil,"[ 08, 10, 06, 11, 08, 08 ]",8.5,Commoner,353
Dwarf: ,Male,72,148,48,Neutral Evil,"[ 15, 07, 05, 12, 14, 03 ]",9.33,Commoner,358
Dwarf: ,Male,69,150,49,Neutral Good,"[ 09, 13, 13, 10, 13, 09 ]",11.17,Commoner,292
Dwarf: ,Male,75,155,49,Chaotic Good,"[ 12, 10, 10, 11, 05, 07 ]",9.17,Commoner,366
Dwarf: ,Female,62,128,42,Chaotic Evil,"[ 13, 15, 11, 06, 12, 08 ]",10.83,Commoner,268
Dwarf: ,Male,76,162,46,Neutral Good,"[ 09, 09, 13, 10, 12, 07 ]",10.0,Commoner,297
Dwarf: ,Male,59,149,49,Chaotic Evil,"[ 13, 06, 07, 12, 13, 03 ]",9.0,Commoner,447
Dwarf: ,Male,71,145,49,Lawful Good,"[ 06, 06, 10, 09, 13, 12 ]",9.33,Commoner,402
Dwarf: ,Male,72,156,45,Chaotic Good,"[ 11, 05, 13, 06, 11, 05 ]",8.5,Commoner,343
Dwarf: ,Female,78,123,51,Chaotic Evil,"[ 06, 11, 10, 09, 09, 13 ]",9.67,Commoner,342
Dwarf: ,Male,74,149,44,Chaotic Evil,"[ 09, 12, 07, 14, 12, 05 ]",9.83,Commoner,425
Dwarf: ,Female,69,133,48,Chaotic Good,"[ 06, 06, 11, 11, 11, 08 ]",8.83,Commoner,268
Dwarf: ,Female,67,120,47,Neutral Good,"[ 09, 14, 09, 07, 06, 09 ]",9.0,Commoner,343
Dwarf: ,Male,69,149,51,Chaotic Good,"[ 11, 04, 05, 05, 12, 12 ]",8.17,Commoner,333
Dwarf: ,Male,64,155,44,Chaotic Neutral,"[ 11, 06, 07, 10, 05, 07 ]",7.67,Commoner,284
Dwarf: ,Female,66,131,46,Neutral Good,"[ 08, 08, 08, 07, 11, 06 ]",8.0,Commoner,324
Dwarf: ,Female,64,131,47,Neutral Evil,"[ 09, 07, 08, 05, 18, 09 ]",9.33,Commoner,321
Dwarf: ,Male,77,161,51,Chaotic Evil,"[ 10, 10, 08, 08, 08, 09 ]",8.83,Commoner,407
Dwarf: ,Male,64,153,49,Chaotic Evil,"[ 04, 07, 08, 08, 12, 08 ]",7.83,Commoner,322
Dwarf: ,Female,66,126,45,Chaotic Neutral,"[ 10, 10, 10, 12, 06, 12 ]",10.0,Commoner,335
Dwarf: ,Female,52,127,51,Neutral Evil,"[ 11, 07, 08, 05, 14, 06 ]",8.5,Commoner,292
Dwarf: ,Male,62,155,45,Neutral Evil,"[ 11, 09, 08, 08, 08, 14 ]",9.67,Commoner,371
Dwarf: ,Male,69,166,50,Neutral Good,"[ 05, 11, 11, 06, 13, 08 ]",9.0,Commoner,325
Dwarf: ,Female,83,126,46,Neutral Good,"[ 12, 08, 13, 04, 13, 07 ]",9.5,Commoner,288
Dwarf: ,Male,76,150,49,Chaotic Good,"[ 06, 15, 08, 12, 10, 14 ]",10.83,Commoner,300
Dwarf: ,Female,76,130,42,Lawful Neutral,"[ 11, 10, 08, 11, 11, 08 ]",9.83,Commoner,315
Dwarf: ,Female,67,121,51,Chaotic Neutral,"[ 12, 08, 09, 10, 09, 08 ]",9.33,Commoner,368
Dwarf: ,Male,64,156,53,Chaotic Good,"[ 14, 07, 09, 11, 09, 09 ]",9.83,Commoner,393
Dwarf: ,Female,59,129,45,Chaotic Evil,"[ 13, 05, 11, 12, 10, 08 ]",9.83,Commoner,370
Dwarf: ,Female,73,117,50,Chaotic Neutral,"[ 04, 08, 06, 04, 08, 10 ]",6.67,Commoner,344
Dwarf: ,Male,66,164,47,Chaotic Evil,"[ 09, 08, 07, 09, 11, 05 ]",8.17,Commoner,280
Dwarf: ,Female,64,116,45,True Neutral,"[ 08, 11, 09, 05, 10, 12 ]",9.17,Commoner,363
Dwarf: ,Female,55,120,42,Neutral Evil,"[ 09, 09, 06, 07, 07, 08 ]",7.67,Commoner,315
Dwarf: ,Male,76,154,45,True Neutral,"[ 10, 12, 07, 09, 05, 11 ]",9.0,Commoner,364
Dwarf: ,Male,58,161,49,Chaotic Good,"[ 06, 08, 06, 16, 10, 11 ]",9.5,Commoner,382
Dwarf: ,Male,58,149,45,Neutral Evil,"[ 08, 08, 10, 08, 05, 07 ]",7.67,Commoner,346
Dwarf: ,Male,65,150,48,True Neutral,"[ 08, 13, 06, 12, 09, 06 ]",9.0,Commoner,349
Dwarf: ,Male,65,159,51,True Neutral,"[ 07, 10, 08, 12, 10, 04 ]",8.5,Commoner,416
Dwarf: ,Female,80,130,47,Neutral Evil,"[ 06, 09, 12, 11, 08, 09 ]",9.17,Commoner,363
Dwarf: ,Male,61,143,47,Chaotic Neutral,"[ 07, 06, 08, 06, 08, 07 ]",7.0,Commoner,309
Dwarf: ,Female,58,120,48,Lawful Good,"[ 13, 13, 11, 08, 06, 10 ]",10.17,Commoner,356
Human: ,Female,16,135,70,True Neutral,"[ 17, 15, 06, 04, 13, 16 ]",11.83,Elite,99
Dwarf: ,Male,62,156,46,Lawful Good,"[ 08, 06, 08, 12, 10, 07 ]",8.5,Commoner,333
Dwarf: ,Male,73,149,44,Chaotic Evil,"[ 10, 07, 10, 11, 14, 12 ]",10.67,Commoner,334
Dwarf: ,Male,72,163,48,Neutral Good,"[ 10, 09, 09, 10, 06, 05 ]",8.17,Commoner,340
Dwarf: ,Male,80,155,51,Lawful Evil,"[ 11, 10, 05, 12, 07, 06 ]",8.5,Commoner,419
Dwarf: ,Female,67,125,48,Lawful Neutral,"[ 11, 10, 08, 08, 06, 10 ]",8.83,Commoner,344
Dwarf: ,Female,60,122,46,Neutral Evil,"[ 12, 09, 06, 13, 13, 05 ]",9.67,Commoner,399
Dwarf: ,Female,79,133,46,Chaotic Evil,"[ 10, 08, 10, 07, 05, 06 ]",7.67,Commoner,411
Dwarf: ,Female,67,126,49,Lawful Good,"[ 04, 07, 06, 08, 11, 09 ]",7.5,Commoner,349
Dwarf: ,Female,67,121,42,Chaotic Good,"[ 13, 09, 05, 05, 09, 10 ]",8.5,Commoner,374
Dwarf: ,Male,69,153,49,Neutral Evil,"[ 09, 07, 05, 09, 09, 09 ]",8.0,Commoner,366
Dwarf: ,Male,71,159,44,Lawful Good,"[ 06, 07, 10, 10, 12, 11 ]",9.33,Commoner,269
Dwarf: ,Female,77,119,48,Chaotic Good,"[ 15, 13, 10, 06, 05, 08 ]",9.5,Commoner,366
