Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Half-Elf: ,Male,16,127,67,Neutral Evil,"[ 15, 18, 13, 12, 15, 15 ]",14.67,Adventurer,178
Dwarf: ,Male,62,151,48,Lawful Evil,"[ 16, 09, 12, 09, 07, 06 ]",9.83,Commoner,290
Dwarf: ,Male,75,149,45,Chaotic Good,"[ 11, 06, 09, 06, 09, 07 ]",8.0,Commoner,285
Dwarf: ,Female,72,140,49,Neutral Good,"[ 08, 05, 08, 07, 09, 10 ]",7.83,Commoner,306
Dwarf: ,Female,74,131,44,Lawful Good,"[ 11, 11, 06, 10, 09, 10 ]",9.5,Commoner,446
Dwarf: ,Male,78,145,44,Chaotic Evil,"[ 09, 08, 05, 11, 04, 06 ]",7.17,Commoner,339
Dwarf: ,Male,73,153,47,Lawful Good,"[ 10, 09, 05, 14, 16, 08 ]",10.33,Commoner,364
Dwarf: ,Male,70,159,49,Lawful Neutral,"[ 11, 08, 12, 09, 08, 08 ]",9.33,Commoner,398
Dwarf: ,Male,68,152,47,Chaotic Evil,"[ 07, 11, 10, 12, 15, 08 ]",10.5,Commoner,285
Dwarf: ,Female,65,128,45,Chaotic Evil,"[ 11, 08, 12, 18, 07, 09 ]",10.83,Commoner,428
Dwarf: ,Female,73,126,49,Lawful Good,"[ 10, 09, 10, 15, 10, 11 ]",10.83,Commoner,280
Dwarf: ,Female,76,124,42,Chaotic Evil,"[ 11, 10, 10, 08, 10, 11 ]",10.0,Commoner,396
Dwarf: ,Male,78,155,48,True Neutral,"[ 06, 08, 11, 10, 07, 12 ]",9.0,Commoner,343
Dwarf: ,Male,73,163,50,Chaotic Good,"[ 10, 09, 08, 07, 09, 09 ]",8.67,Commoner,377
Dwarf: ,Male,75,159,48,Lawful Good,"[ 03, 09, 08, 09, 07, 12 ]",8.0,Commoner,333
Dwarf: ,Female,73,139,47,Chaotic Good,"[ 11, 14, 05, 10, 11, 10 ]",10.17,Commoner,369
Elf: ,Female,122,77,58,Lawful Neutral,"[ 12, 15, 08, 11, 13, 18 ]",12.83,Adventurer,687
Dwarf: ,Female,62,126,48,Chaotic Neutral,"[ 09, 07, 06, 13, 06, 10 ]",8.5,Commoner,304
Human: ,Male,19,181,68,Chaotic Good,"[ 18, 18, 08, 07, 11, 14 ]",12.67,Elite,110
Dwarf: ,Female,76,133,48,Chaotic Good,"[ 11, 07, 04, 05, 07, 09 ]",7.17,Commoner,379
Dwarf: ,Female,67,126,46,Chaotic Evil,"[ 12, 10, 07, 07, 10, 09 ]",9.17,Commoner,352
Dwarf: ,Male,77,148,44,Chaotic Neutral,"[ 07, 09, 11, 06, 03, 09 ]",7.5,Commoner,417
Dwarf: ,Female,71,129,49,Chaotic Neutral,"[ 08, 18, 08, 08, 08, 18 ]",11.33,Elite,343
Dwarf: ,Male,65,147,49,Lawful Neutral,"[ 07, 11, 14, 12, 07, 09 ]",10.0,Commoner,340
Dwarf: ,Male,81,155,49,Neutral Evil,"[ 07, 08, 10, 08, 11, 12 ]",9.33,Commoner,426
Dwarf: ,Male,68,152,44,Neutral Evil,"[ 04, 11, 08, 08, 07, 04 ]",7.0,Commoner,364
Dwarf: ,Male,75,157,44,Lawful Evil,"[ 11, 06, 07, 08, 07, 06 ]",7.5,Commoner,405
Dwarf: ,Female,68,133,49,Neutral Good,"[ 09, 11, 13, 09, 10, 16 ]",11.33,Elite,367
Dwarf: ,Female,62,132,47,Chaotic Good,"[ 10, 11, 05, 06, 10, 06 ]",8.0,Commoner,344
Elf: ,Male,116,98,60,Lawful Evil,"[ 13, 08, 13, 09, 10, 18 ]",11.83,Elite,663
Dwarf: ,Female,61,130,49,Neutral Good,"[ 15, 09, 04, 07, 12, 08 ]",9.17,Commoner,360
Dwarf: ,Male,64,149,50,Chaotic Evil,"[ 09, 12, 12, 10, 12, 12 ]",11.17,Commoner,328
