Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,66,160,49,Neutral Good,"[ 09, 07, 08, 05, 11, 10 ]",8.33,Commoner,379
Dwarf: ,Male,62,147,51,Chaotic Evil,"[ 03, 17, 04, 14, 09, 04 ]",8.5,Commoner,332
Dwarf: ,Male,69,154,49,Chaotic Good,"[ 11, 07, 08, 14, 12, 06 ]",9.67,Commoner,289
Dwarf: ,Male,55,144,50,Chaotic Evil,"[ 08, 06, 08, 12, 06, 09 ]",8.17,Commoner,345
Human: ,Male,17,159,74,Chaotic Good,"[ 14, 09, 11, 13, 18, 08 ]",12.17,Elite,113
Dwarf: ,Male,67,159,49,Lawful Neutral,"[ 09, 11, 08, 11, 06, 07 ]",8.67,Commoner,346
Dwarf: ,Female,73,125,47,Chaotic Neutral,"[ 06, 11, 06, 09, 11, 10 ]",8.83,Commoner,380
Dwarf: ,Male,70,153,47,Chaotic Good,"[ 04, 10, 07, 09, 05, 13 ]",8.0,Commoner,379
Dwarf: ,Male,76,146,48,Chaotic Good,"[ 06, 09, 08, 09, 05, 11 ]",8.0,Commoner,363
Dwarf: ,Female,69,124,46,Lawful Evil,"[ 07, 05, 09, 10, 08, 06 ]",7.5,Commoner,355
Dwarf: ,Female,68,128,45,Lawful Neutral,"[ 06, 05, 09, 07, 06, 11 ]",7.33,Commoner,399
Dwarf: ,Male,71,157,47,Lawful Neutral,"[ 10, 10, 10, 13, 06, 07 ]",9.33,Commoner,400
Dwarf: ,Male,70,149,52,Lawful Evil,"[ 10, 13, 05, 11, 12, 13 ]",10.67,Commoner,403
Dwarf: ,Female,57,126,43,Lawful Evil,"[ 06, 07, 11, 07, 14, 08 ]",8.83,Commoner,403
Dwarf: ,Male,78,152,47,Neutral Good,"[ 14, 06, 12, 11, 12, 05 ]",10.0,Commoner,420
Dwarf: ,Male,66,149,53,Neutral Evil,"[ 12, 09, 08, 04, 11, 13 ]",9.5,Commoner,343
Dwarf: ,Male,76,150,44,True Neutral,"[ 09, 09, 08, 09, 08, 05 ]",8.0,Commoner,284
Half-Elf: ,Male,20,129,64,Neutral Evil,"[ 09, 12, 10, 13, 15, 16 ]",12.5,Elite,165
Dwarf: ,Male,68,148,53,Lawful Neutral,"[ 10, 12, 08, 13, 10, 08 ]",10.17,Commoner,356
Dwarf: ,Female,68,130,50,Lawful Neutral,"[ 06, 10, 06, 06, 06, 12 ]",7.67,Commoner,396
Dwarf: ,Male,65,151,47,Neutral Good,"[ 10, 07, 12, 09, 07, 12 ]",9.5,Commoner,324
Dwarf: ,Male,70,154,49,Lawful Neutral,"[ 10, 06, 05, 10, 08, 12 ]",8.5,Commoner,330
Dwarf: ,Male,67,157,44,True Neutral,"[ 12, 10, 09, 09, 09, 10 ]",9.83,Commoner,332
Dwarf: ,Female,59,127,42,Chaotic Good,"[ 08, 06, 04, 09, 07, 09 ]",7.17,Commoner,362
Dwarf: ,Female,59,138,43,True Neutral,"[ 03, 14, 12, 05, 07, 14 ]",9.17,Commoner,328
Dwarf: ,Female,55,128,48,Chaotic Evil,"[ 09, 11, 14, 13, 09, 11 ]",11.17,Commoner,342
Dwarf: ,Male,73,153,50,Lawful Neutral,"[ 09, 07, 08, 11, 09, 05 ]",8.17,Commoner,369
Dwarf: ,Male,60,150,44,Lawful Good,"[ 06, 14, 12, 10, 11, 11 ]",10.67,Commoner,262
Dwarf: ,Female,65,124,44,Chaotic Good,"[ 05, 08, 06, 13, 09, 09 ]",8.33,Commoner,346
Dwarf: ,Male,64,156,44,Chaotic Neutral,"[ 13, 09, 10, 08, 13, 10 ]",10.5,Commoner,282
Dwarf: ,Male,69,163,46,Lawful Neutral,"[ 11, 03, 06, 09, 13, 07 ]",8.17,Commoner,340
Dwarf: ,Male,58,150,47,Neutral Good,"[ 11, 13, 06, 08, 06, 10 ]",9.0,Commoner,355
Dwarf: ,Female,65,134,50,Chaotic Good,"[ 13, 07, 12, 09, 13, 07 ]",10.17,Commoner,365
Dwarf: ,Male,74,161,44,Chaotic Evil,"[ 12, 12, 11, 12, 09, 10 ]",11.0,Commoner,386
Dwarf: ,Female,76,123,44,Chaotic Evil,"[ 09, 06, 08, 05, 08, 10 ]",7.67,Commoner,361
Dwarf: ,Female,61,129,50,Lawful Neutral,"[ 08, 10, 10, 11, 10, 08 ]",9.5,Commoner,370
Dwarf: ,Male,64,147,52,Lawful Evil,"[ 11, 09, 11, 09, 07, 12 ]",9.83,Commoner,376
Half-Elf: ,Male,16,120,62,Lawful Neutral,"[ 11, 16, 14, 09, 12, 09 ]",11.83,Elite,146
Dwarf: ,Male,76,162,47,Lawful Neutral,"[ 13, 07, 08, 08, 09, 11 ]",9.33,Commoner,384
Dwarf: ,Male,64,157,49,Lawful Neutral,"[ 13, 06, 07, 09, 05, 10 ]",8.33,Commoner,349
Dwarf: ,Female,70,130,49,Chaotic Good,"[ 12, 10, 05, 08, 11, 10 ]",9.33,Commoner,306
Dwarf: ,Male,68,161,45,True Neutral,"[ 09, 09, 08, 07, 07, 05 ]",7.5,Commoner,383
Dwarf: ,Female,63,128,49,Chaotic Neutral,"[ 09, 08, 09, 10, 08, 09 ]",8.83,Commoner,291
Dwarf: ,Female,74,128,44,True Neutral,"[ 13, 14, 10, 13, 09, 09 ]",11.33,Elite,298
Dwarf: ,Female,75,132,51,Chaotic Good,"[ 05, 09, 10, 06, 09, 09 ]",8.0,Commoner,414
Dwarf: ,Female,74,121,49,Chaotic Evil,"[ 06, 04, 09, 08, 09, 15 ]",8.5,Commoner,326
Dwarf: ,Male,82,141,46,True Neutral,"[ 05, 09, 10, 11, 10, 08 ]",8.83,Commoner,394
Dwarf: ,Female,58,119,48,Lawful Evil,"[ 11, 08, 08, 07, 08, 11 ]",8.83,Commoner,363
Dwarf: ,Female,65,127,42,Chaotic Evil,"[ 06, 07, 11, 09, 09, 11 ]",8.83,Commoner,352
Dwarf: ,Female,65,136,45,Chaotic Neutral,"[ 11, 07, 10, 13, 07, 13 ]",10.17,Commoner,324
Dwarf: ,Male,75,154,47,True Neutral,"[ 10, 08, 09, 04, 05, 12 ]",8.0,Commoner,375
Dwarf: ,Male,55,152,51,Lawful Neutral,"[ 09, 11, 07, 08, 08, 06 ]",8.17,Commoner,415
Dwarf: ,Female,61,124,42,Chaotic Neutral,"[ 11, 10, 12, 10, 16, 12 ]",11.83,Elite,344
Dwarf: ,Male,67,156,49,Chaotic Evil,"[ 11, 10, 08, 13, 11, 08 ]",10.17,Commoner,353
Dwarf: ,Male,65,153,52,Chaotic Neutral,"[ 12, 11, 14, 15, 05, 12 ]",11.5,Elite,382
Dwarf: ,Female,71,135,47,Neutral Good,"[ 18, 04, 11, 09, 16, 05 ]",10.5,Commoner,353
Dwarf: ,Male,60,151,47,Lawful Good,"[ 08, 11, 09, 09, 10, 06 ]",8.83,Commoner,328
Dwarf: ,Female,71,122,49,Chaotic Neutral,"[ 10, 08, 08, 07, 04, 04 ]",6.83,Commoner,293
Dwarf: ,Male,62,145,50,Neutral Good,"[ 12, 09, 07, 12, 08, 04 ]",8.67,Commoner,343
Dwarf: ,Female,76,123,49,Chaotic Evil,"[ 05, 11, 11, 04, 07, 07 ]",7.5,Commoner,287
Dwarf: ,Male,67,151,44,True Neutral,"[ 11, 08, 05, 06, 08, 09 ]",7.83,Commoner,338
Dwarf: ,Male,67,142,48,Neutral Good,"[ 05, 06, 10, 09, 08, 06 ]",7.33,Commoner,330
Dwarf: ,Male,60,154,49,Neutral Good,"[ 10, 04, 13, 13, 08, 09 ]",9.5,Commoner,403
Dwarf: ,Male,64,155,46,Lawful Good,"[ 09, 07, 08, 05, 13, 08 ]",8.33,Commoner,419
Dwarf: ,Male,72,154,48,Lawful Evil,"[ 14, 11, 08, 12, 14, 08 ]",11.17,Commoner,310
Gnome: ,Female,75,82,41,Chaotic Neutral,"[ 10, 11, 09, 15, 09, 18 ]",12.0,Elite,366
Dwarf: ,Female,61,124,43,Chaotic Neutral,"[ 09, 17, 12, 08, 07, 09 ]",10.33,Commoner,397
Dwarf: ,Male,82,150,51,Lawful Good,"[ 10, 10, 05, 07, 07, 07 ]",7.67,Commoner,325
Dwarf: ,Male,69,145,46,Neutral Good,"[ 07, 10, 08, 09, 05, 07 ]",7.67,Commoner,322
Dwarf: ,Female,66,125,50,Lawful Neutral,"[ 09, 10, 04, 11, 11, 10 ]",9.17,Commoner,421
Dwarf: ,Female,59,134,42,Chaotic Evil,"[ 11, 11, 08, 10, 06, 11 ]",9.5,Commoner,310
Dwarf: ,Male,67,145,45,Chaotic Neutral,"[ 07, 11, 10, 11, 09, 09 ]",9.5,Commoner,334
Dwarf: ,Male,65,156,46,True Neutral,"[ 10, 09, 08, 10, 12, 09 ]",9.67,Commoner,344
Dwarf: ,Female,70,133,45,Lawful Neutral,"[ 08, 06, 11, 10, 07, 05 ]",7.83,Commoner,331
Dwarf: ,Male,66,148,51,Lawful Evil,"[ 04, 07, 07, 08, 13, 07 ]",7.67,Commoner,390
Dwarf: ,Female,65,122,45,Chaotic Evil,"[ 07, 06, 12, 09, 14, 12 ]",10.0,Commoner,411
Dwarf: ,Female,66,117,44,True Neutral,"[ 12, 11, 06, 09, 07, 03 ]",8.0,Commoner,266
Dwarf: ,Male,64,149,46,Chaotic Neutral,"[ 08, 11, 05, 10, 11, 09 ]",9.0,Commoner,391
Dwarf: ,Male,68,149,44,Neutral Evil,"[ 11, 09, 07, 10, 14, 10 ]",10.17,Commoner,398
Dwarf: ,Male,58,159,50,Neutral Good,"[ 10, 17, 05, 10, 04, 08 ]",9.0,Commoner,329
Dwarf: ,Female,64,125,46,Lawful Good,"[ 09, 09, 10, 10, 11, 10 ]",9.83,Commoner,342
Dwarf: ,Female,59,120,50,True Neutral,"[ 10, 13, 06, 07, 11, 08 ]",9.17,Commoner,312
Dwarf: ,Male,64,163,49,Chaotic Neutral,"[ 06, 13, 08, 06, 09, 09 ]",8.5,Commoner,314
Dwarf: ,Female,75,125,50,Chaotic Neutral,"[ 09, 08, 09, 09, 10, 10 ]",9.17,Commoner,387
Dwarf: ,Female,66,124,51,Neutral Evil,"[ 03, 12, 09, 09, 11, 12 ]",9.33,Commoner,327
Dwarf: ,Female,64,133,49,Neutral Evil,"[ 07, 15, 14, 10, 06, 04 ]",9.33,Commoner,296
Dwarf: ,Female,65,129,51,Lawful Good,"[ 16, 13, 11, 07, 09, 10 ]",11.0,Commoner,334
Dwarf: ,Female,66,122,51,True Neutral,"[ 07, 09, 05, 10, 13, 10 ]",9.0,Commoner,352
Dwarf: ,Female,67,133,50,Neutral Good,"[ 14, 10, 06, 13, 12, 10 ]",10.83,Commoner,376
Dwarf: ,Female,65,121,48,Lawful Neutral,"[ 09, 07, 06, 05, 14, 09 ]",8.33,Commoner,273
Dwarf: ,Female,75,132,48,Lawful Good,"[ 10, 08, 12, 10, 05, 07 ]",8.67,Commoner,423
Dwarf: ,Female,71,130,48,Chaotic Good,"[ 10, 08, 04, 10, 11, 12 ]",9.17,Commoner,329
Dwarf: ,Male,67,157,46,Neutral Good,"[ 07, 08, 08, 11, 10, 13 ]",9.5,Commoner,365
Dwarf: ,Female,67,120,44,Lawful Neutral,"[ 10, 07, 05, 14, 09, 09 ]",9.0,Commoner,301
Dwarf: ,Female,66,135,48,Lawful Evil,"[ 04, 18, 05, 12, 05, 13 ]",9.5,Commoner,324
Dwarf: ,Female,68,126,48,Chaotic Evil,"[ 10, 11, 13, 06, 13, 09 ]",10.33,Commoner,358
Dwarf: ,Female,70,120,42,Chaotic Evil,"[ 10, 08, 07, 07, 07, 05 ]",7.33,Commoner,423
Dwarf: ,Male,69,154,49,Chaotic Neutral,"[ 11, 12, 06, 08, 09, 07 ]",8.83,Commoner,354
Dwarf: ,Male,61,148,49,Lawful Neutral,"[ 11, 12, 10, 09, 08, 14 ]",10.67,Commoner,342
Elf: ,Female,121,84,56,Neutral Evil,"[ 15, 12, 12, 13, 12, 12 ]",12.67,Elite,567
Dwarf: ,Female,68,127,44,Lawful Evil,"[ 14, 11, 09, 12, 08, 10 ]",10.67,Commoner,332
Dwarf: ,Female,55,125,43,Lawful Good,"[ 10, 08, 09, 09, 11, 10 ]",9.5,Commoner,383
Dwarf: ,Female,63,126,51,Chaotic Neutral,"[ 10, 12, 15, 09, 06, 09 ]",10.17,Commoner,378
Dwarf: ,Male,62,159,51,Chaotic Evil,"[ 06, 07, 09, 13, 06, 09 ]",8.33,Commoner,421
Dwarf: ,Male,75,156,51,Neutral Evil,"[ 11, 10, 09, 09, 15, 05 ]",9.83,Commoner,326
Dwarf: ,Female,71,128,51,True Neutral,"[ 13, 07, 07, 09, 08, 08 ]",8.67,Commoner,366
Dwarf: ,Female,65,124,48,Chaotic Good,"[ 08, 11, 07, 08, 13, 10 ]",9.5,Commoner,375
Dwarf: ,Male,70,157,46,True Neutral,"[ 11, 05, 06, 08, 09, 08 ]",7.83,Commoner,413
Dwarf: ,Female,68,121,46,True Neutral,"[ 13, 13, 08, 10, 09, 12 ]",10.83,Commoner,355
Dwarf: ,Female,66,125,45,Chaotic Neutral,"[ 05, 10, 06, 08, 10, 07 ]",7.67,Commoner,371
Dwarf: ,Male,73,161,51,True Neutral,"[ 10, 09, 13, 11, 13, 06 ]",10.33,Commoner,367
Dwarf: ,Male,67,156,52,True Neutral,"[ 06, 03, 07, 09, 09, 09 ]",7.17,Commoner,442
Dwarf: ,Female,60,125,44,True Neutral,"[ 10, 15, 08, 13, 08, 12 ]",11.0,Commoner,338
Dwarf: ,Female,62,129,50,Lawful Neutral,"[ 14, 06, 13, 11, 04, 10 ]",9.67,Commoner,273
Dwarf: ,Female,56,122,50,True Neutral,"[ 14, 10, 11, 05, 09, 08 ]",9.5,Commoner,339
Dwarf: ,Male,72,159,44,Chaotic Good,"[ 09, 08, 12, 11, 05, 10 ]",9.17,Commoner,411
Dwarf: ,Female,74,124,46,Lawful Evil,"[ 05, 09, 08, 06, 06, 09 ]",7.17,Commoner,318
Dwarf: ,Male,56,156,51,True Neutral,"[ 13, 13, 11, 12, 08, 10 ]",11.17,Commoner,385
Dwarf: ,Male,64,146,51,Chaotic Evil,"[ 03, 12, 13, 12, 08, 17 ]",10.83,Commoner,304
Dwarf: ,Male,63,148,52,True Neutral,"[ 07, 12, 06, 10, 12, 14 ]",10.17,Commoner,339
Dwarf: ,Male,60,148,49,Lawful Evil,"[ 13, 11, 09, 03, 12, 06 ]",9.0,Commoner,349
Dwarf: ,Female,76,119,49,Neutral Good,"[ 09, 07, 07, 07, 09, 10 ]",8.17,Commoner,340
Dwarf: ,Female,69,130,42,Lawful Neutral,"[ 07, 10, 13, 07, 04, 05 ]",7.67,Commoner,356
Dwarf: ,Female,59,129,47,Lawful Neutral,"[ 13, 15, 09, 04, 12, 11 ]",10.67,Commoner,367
Dwarf: ,Male,76,148,46,Neutral Good,"[ 06, 04, 06, 13, 03, 07 ]",6.5,Commoner,320
Dwarf: ,Male,55,158,49,Neutral Good,"[ 10, 08, 03, 11, 10, 05 ]",7.83,Commoner,330
Dwarf: ,Female,70,129,46,Neutral Good,"[ 06, 10, 08, 10, 15, 06 ]",9.17,Commoner,364
Dwarf: ,Female,69,130,43,Lawful Good,"[ 12, 11, 11, 05, 05, 14 ]",9.67,Commoner,354
Dwarf: ,Female,60,125,42,Neutral Evil,"[ 05, 09, 11, 07, 07, 12 ]",8.5,Commoner,326
Halfling: ,Female,29,58,36,Neutral Evil,"[ 16, 10, 09, 16, 11, 11 ]",12.17,Elite,140
Dwarf: ,Female,60,126,44,Lawful Evil,"[ 07, 10, 13, 09, 12, 08 ]",9.83,Commoner,310
Dwarf: ,Female,68,134,44,Neutral Good,"[ 08, 12, 11, 13, 09, 13 ]",11.0,Commoner,386
Dwarf: ,Female,68,137,42,Chaotic Neutral,"[ 09, 13, 09, 10, 05, 09 ]",9.17,Commoner,285
Dwarf: ,Female,64,124,51,Chaotic Evil,"[ 07, 08, 12, 09, 09, 05 ]",8.33,Commoner,329
Dwarf: ,Female,55,121,46,Lawful Evil,"[ 07, 03, 07, 12, 08, 12 ]",8.17,Commoner,372
Dwarf: ,Male,75,155,48,Lawful Neutral,"[ 08, 08, 05, 10, 07, 11 ]",8.17,Commoner,398
Dwarf: ,Male,62,160,48,Chaotic Neutral,"[ 04, 11, 05, 05, 06, 08 ]",6.5,Commoner,409
Halfling: ,Male,28,65,34,Lawful Good,"[ 06, 15, 13, 11, 12, 15 ]",12.0,Elite,196
Dwarf: ,Female,69,125,49,Lawful Good,"[ 10, 07, 05, 11, 14, 08 ]",9.17,Commoner,340
Dwarf: ,Female,69,114,42,Lawful Neutral,"[ 09, 10, 03, 09, 12, 09 ]",8.67,Commoner,344
Dwarf: ,Male,67,155,52,Chaotic Evil,"[ 09, 17, 08, 12, 10, 10 ]",11.0,Commoner,405
Dwarf: ,Male,68,147,53,Lawful Evil,"[ 09, 06, 09, 05, 07, 10 ]",7.67,Commoner,338
Dwarf: ,Female,69,124,48,Lawful Good,"[ 07, 07, 10, 07, 10, 14 ]",9.17,Commoner,317
Dwarf: ,Female,64,125,45,Neutral Evil,"[ 09, 09, 14, 10, 13, 13 ]",11.33,Elite,332
Dwarf: ,Male,71,153,46,Neutral Evil,"[ 05, 09, 14, 10, 11, 13 ]",10.33,Commoner,296
Dwarf: ,Female,69,125,50,Neutral Good,"[ 09, 06, 09, 13, 06, 08 ]",8.5,Commoner,346
Dwarf: ,Female,61,137,51,Neutral Good,"[ 08, 11, 12, 15, 13, 08 ]",11.17,Commoner,416
Dwarf: ,Female,57,133,46,Lawful Neutral,"[ 10, 06, 10, 06, 10, 07 ]",8.17,Commoner,287
Dwarf: ,Female,67,128,42,Chaotic Evil,"[ 05, 09, 08, 09, 06, 11 ]",8.0,Commoner,298
Dwarf: ,Female,67,135,43,Lawful Good,"[ 14, 07, 08, 07, 11, 13 ]",10.0,Commoner,353
Dwarf: ,Male,64,152,53,Neutral Evil,"[ 13, 10, 05, 13, 08, 04 ]",8.83,Commoner,368
Dwarf: ,Male,68,151,50,Chaotic Evil,"[ 08, 11, 06, 13, 12, 08 ]",9.67,Commoner,358
Dwarf: ,Female,63,121,48,Lawful Evil,"[ 12, 08, 10, 09, 11, 04 ]",9.0,Commoner,340
Gnome: ,Male,77,81,43,Chaotic Neutral,"[ 08, 12, 16, 12, 12, 18 ]",13.0,Adventurer,361
Dwarf: ,Female,69,115,48,Lawful Neutral,"[ 06, 11, 12, 09, 07, 09 ]",9.0,Commoner,324
Dwarf: ,Female,74,133,45,Chaotic Neutral,"[ 05, 08, 12, 11, 10, 06 ]",8.67,Commoner,283
Dwarf: ,Female,63,117,44,Lawful Good,"[ 09, 11, 11, 12, 13, 12 ]",11.33,Elite,362
Dwarf: ,Male,64,157,52,Chaotic Good,"[ 10, 06, 12, 13, 13, 12 ]",11.0,Commoner,342
Dwarf: ,Male,70,153,46,Chaotic Good,"[ 10, 05, 04, 13, 05, 11 ]",8.0,Commoner,368
Dwarf: ,Male,65,157,48,Neutral Good,"[ 04, 13, 09, 08, 07, 11 ]",8.67,Commoner,401
Dwarf: ,Male,62,158,44,Lawful Good,"[ 08, 10, 12, 07, 08, 08 ]",8.83,Commoner,345
Dwarf: ,Female,64,121,45,Chaotic Neutral,"[ 07, 07, 08, 07, 10, 12 ]",8.5,Commoner,402
Dwarf: ,Male,65,145,44,Chaotic Good,"[ 09, 09, 09, 09, 09, 13 ]",9.67,Commoner,353
Dwarf: ,Male,72,155,50,Lawful Good,"[ 07, 09, 11, 08, 08, 12 ]",9.17,Commoner,349
Dwarf: ,Female,71,120,47,Chaotic Evil,"[ 07, 11, 06, 07, 12, 10 ]",8.83,Commoner,332
Gnome: ,Female,78,81,42,Chaotic Good,"[ 18, 15, 08, 08, 08, 18 ]",12.5,Elite,313
Dwarf: ,Female,75,125,44,Chaotic Neutral,"[ 03, 04, 09, 07, 17, 15 ]",9.17,Commoner,384
Dwarf: ,Female,75,133,48,Neutral Evil,"[ 07, 07, 11, 09, 10, 09 ]",8.83,Commoner,285
Dwarf: ,Female,77,121,50,Lawful Evil,"[ 11, 13, 09, 06, 10, 10 ]",9.83,Commoner,333
Dwarf: ,Male,61,141,48,Neutral Good,"[ 13, 08, 10, 10, 08, 07 ]",9.33,Commoner,380
Dwarf: ,Female,66,134,51,Lawful Good,"[ 03, 12, 14, 07, 17, 03 ]",9.33,Commoner,349
Dwarf: ,Female,63,139,50,Chaotic Neutral,"[ 07, 10, 07, 13, 04, 07 ]",8.0,Commoner,401
Dwarf: ,Female,51,126,50,Neutral Good,"[ 06, 11, 07, 15, 03, 14 ]",9.33,Commoner,397
Dwarf: ,Female,69,128,50,Neutral Good,"[ 03, 09, 09, 10, 08, 06 ]",7.5,Commoner,334
