Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,62,127,46,Lawful Neutral,"[ 09, 10, 07, 06, 10, 13 ]",9.17,Commoner,317
Dwarf: ,Male,61,147,50,Neutral Good,"[ 12, 07, 15, 04, 11, 14 ]",10.5,Commoner,392
Dwarf: ,Female,62,127,46,Lawful Evil,"[ 14, 11, 10, 11, 05, 11 ]",10.33,Commoner,407
Dwarf: ,Male,61,141,50,Neutral Good,"[ 09, 07, 11, 08, 09, 06 ]",8.33,Commoner,338
Dwarf: ,Male,77,160,53,Lawful Evil,"[ 08, 09, 14, 11, 10, 07 ]",9.83,Commoner,358
Dwarf: ,Female,64,124,48,Lawful Neutral,"[ 11, 06, 09, 08, 10, 07 ]",8.5,Commoner,337
Dwarf: ,Female,57,132,43,True Neutral,"[ 11, 07, 08, 09, 11, 08 ]",9.0,Commoner,427
Dwarf: ,Female,64,133,44,True Neutral,"[ 11, 06, 12, 15, 06, 15 ]",10.83,Commoner,369
Dwarf: ,Male,76,156,50,Neutral Evil,"[ 09, 14, 09, 08, 13, 06 ]",9.83,Commoner,304
Dwarf: ,Female,75,129,43,Neutral Evil,"[ 09, 04, 13, 07, 09, 10 ]",8.67,Commoner,353
Dwarf: ,Male,74,150,45,Lawful Good,"[ 07, 06, 09, 10, 11, 08 ]",8.5,Commoner,341
Dwarf: ,Male,62,144,48,Lawful Good,"[ 10, 04, 06, 14, 10, 11 ]",9.17,Commoner,294
Dwarf: ,Female,64,126,42,Neutral Evil,"[ 06, 09, 06, 13, 10, 09 ]",8.83,Commoner,275
Dwarf: ,Male,75,156,51,Lawful Neutral,"[ 03, 09, 08, 09, 11, 11 ]",8.5,Commoner,343
Dwarf: ,Male,77,150,46,Lawful Neutral,"[ 11, 04, 12, 10, 04, 08 ]",8.17,Commoner,310
Dwarf: ,Female,69,114,48,Lawful Neutral,"[ 11, 07, 13, 13, 12, 11 ]",11.17,Commoner,336
Dwarf: ,Female,65,128,45,True Neutral,"[ 09, 15, 13, 12, 10, 08 ]",11.17,Commoner,336
Dwarf: ,Female,69,132,43,Lawful Good,"[ 08, 10, 10, 08, 11, 08 ]",9.17,Commoner,377
Dwarf: ,Male,58,157,47,Chaotic Neutral,"[ 06, 12, 03, 08, 04, 12 ]",7.5,Commoner,349
Dwarf: ,Male,68,151,45,Chaotic Neutral,"[ 08, 10, 07, 13, 12, 14 ]",10.67,Commoner,341
Dwarf: ,Male,59,154,52,Lawful Good,"[ 08, 11, 07, 09, 12, 04 ]",8.5,Commoner,357
Dwarf: ,Male,70,153,50,Neutral Evil,"[ 05, 14, 07, 09, 08, 06 ]",8.17,Commoner,323
Dwarf: ,Male,63,158,51,Lawful Evil,"[ 09, 10, 10, 11, 07, 06 ]",8.83,Commoner,392
Dwarf: ,Male,80,153,52,Chaotic Neutral,"[ 12, 10, 04, 08, 09, 05 ]",8.0,Commoner,258
Dwarf: ,Male,64,157,48,Lawful Good,"[ 13, 06, 10, 10, 12, 08 ]",9.83,Commoner,338
Dwarf: ,Female,69,131,42,Chaotic Good,"[ 13, 06, 12, 10, 09, 07 ]",9.5,Commoner,324
Dwarf: ,Female,69,138,43,Neutral Good,"[ 13, 04, 10, 13, 07, 08 ]",9.17,Commoner,279
Dwarf: ,Male,70,149,51,Lawful Neutral,"[ 05, 07, 08, 08, 11, 10 ]",8.17,Commoner,297
Dwarf: ,Female,68,119,48,True Neutral,"[ 10, 11, 08, 08, 10, 10 ]",9.5,Commoner,400
Dwarf: ,Female,58,135,42,Chaotic Good,"[ 08, 06, 09, 07, 08, 12 ]",8.33,Commoner,413
Dwarf: ,Male,75,169,44,Lawful Neutral,"[ 12, 13, 10, 09, 06, 10 ]",10.0,Commoner,316
Dwarf: ,Female,72,132,45,Chaotic Evil,"[ 09, 08, 05, 12, 11, 11 ]",9.33,Commoner,436
Dwarf: ,Male,77,148,45,Chaotic Neutral,"[ 05, 15, 07, 13, 15, 12 ]",11.17,Commoner,323
Dwarf: ,Male,64,159,44,Chaotic Evil,"[ 12, 11, 10, 03, 07, 08 ]",8.5,Commoner,360
Dwarf: ,Female,66,120,46,Lawful Good,"[ 07, 08, 12, 10, 08, 13 ]",9.67,Commoner,385
Dwarf: ,Male,62,151,52,Lawful Neutral,"[ 08, 08, 08, 04, 13, 15 ]",9.33,Commoner,366
Dwarf: ,Male,56,151,52,Lawful Neutral,"[ 15, 07, 10, 12, 10, 09 ]",10.5,Commoner,274
Dwarf: ,Female,70,117,42,Lawful Neutral,"[ 11, 12, 13, 13, 10, 07 ]",11.0,Commoner,371
Dwarf: ,Female,72,124,48,Lawful Good,"[ 11, 13, 08, 11, 09, 11 ]",10.5,Commoner,339
Dwarf: ,Male,69,147,46,Lawful Neutral,"[ 13, 11, 15, 09, 11, 10 ]",11.5,Elite,382
Dwarf: ,Male,56,141,53,Neutral Good,"[ 04, 06, 18, 11, 11, 16 ]",11.0,Commoner,327
Dwarf: ,Female,57,128,46,Chaotic Neutral,"[ 12, 06, 09, 06, 09, 11 ]",8.83,Commoner,315
Dwarf: ,Female,70,128,44,Lawful Neutral,"[ 10, 11, 06, 12, 07, 09 ]",9.17,Commoner,351
Dwarf: ,Male,71,143,44,Chaotic Good,"[ 05, 09, 05, 06, 07, 10 ]",7.0,Commoner,332
Dwarf: ,Female,71,130,44,True Neutral,"[ 11, 06, 08, 12, 10, 11 ]",9.67,Commoner,335
Dwarf: ,Female,71,137,47,True Neutral,"[ 07, 10, 07, 04, 10, 04 ]",7.0,Commoner,384
Dwarf: ,Female,70,118,43,Chaotic Good,"[ 10, 06, 06, 11, 06, 11 ]",8.33,Commoner,357
Dwarf: ,Male,82,155,53,Lawful Evil,"[ 12, 12, 16, 13, 11, 16 ]",13.33,Adventurer,434
Dwarf: ,Female,81,134,45,Lawful Neutral,"[ 15, 09, 12, 12, 13, 03 ]",10.67,Commoner,399
Dwarf: ,Male,65,141,46,True Neutral,"[ 06, 05, 04, 05, 10, 14 ]",7.33,Commoner,415
Dwarf: ,Male,65,161,51,Chaotic Neutral,"[ 03, 12, 06, 06, 08, 08 ]",7.17,Commoner,360
Dwarf: ,Female,72,133,44,Lawful Neutral,"[ 08, 08, 08, 09, 13, 12 ]",9.67,Commoner,332
Dwarf: ,Male,64,146,45,Lawful Evil,"[ 07, 06, 08, 09, 07, 04 ]",6.83,Commoner,342
Dwarf: ,Male,72,160,50,Chaotic Neutral,"[ 14, 10, 06, 06, 10, 10 ]",9.33,Commoner,382
