Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,72,145,49,True Neutral,"[ 10, 08, 12, 09, 06, 07 ]",8.67,Commoner,365
Dwarf: ,Female,70,126,49,Chaotic Neutral,"[ 06, 10, 09, 09, 10, 12 ]",9.33,Commoner,421
Dwarf: ,Male,60,152,49,Lawful Good,"[ 12, 12, 07, 06, 07, 09 ]",8.83,Commoner,369
Dwarf: ,Male,73,151,50,Chaotic Good,"[ 10, 11, 08, 06, 08, 06 ]",8.17,Commoner,345
Dwarf: ,Female,64,124,51,Lawful Evil,"[ 09, 09, 13, 09, 10, 09 ]",9.83,Commoner,394
Dwarf: ,Male,63,151,46,Chaotic Neutral,"[ 08, 12, 13, 08, 11, 03 ]",9.17,Commoner,339
Dwarf: ,Female,62,113,45,Chaotic Good,"[ 13, 05, 06, 04, 11, 13 ]",8.67,Commoner,436
Dwarf: ,Male,77,145,53,Lawful Good,"[ 09, 10, 11, 10, 12, 17 ]",11.5,Elite,346
Dwarf: ,Male,66,147,53,Chaotic Neutral,"[ 09, 11, 10, 10, 06, 13 ]",9.83,Commoner,352
Dwarf: ,Male,66,138,45,Chaotic Good,"[ 06, 07, 06, 09, 05, 11 ]",7.33,Commoner,334
Dwarf: ,Male,68,157,45,Neutral Good,"[ 12, 09, 09, 04, 07, 11 ]",8.67,Commoner,317
Half-Elf: ,Female,19,94,61,Chaotic Good,"[ 13, 18, 11, 11, 10, 08 ]",11.83,Elite,159
Dwarf: ,Male,69,155,45,Lawful Good,"[ 10, 06, 12, 11, 12, 13 ]",10.67,Commoner,423
Dwarf: ,Male,72,154,49,Chaotic Evil,"[ 07, 08, 09, 11, 07, 12 ]",9.0,Commoner,393
Dwarf: ,Female,68,126,47,Chaotic Good,"[ 09, 09, 08, 11, 11, 14 ]",10.33,Commoner,324
Dwarf: ,Male,68,148,45,Chaotic Good,"[ 10, 06, 09, 15, 06, 10 ]",9.33,Commoner,382
Dwarf: ,Female,72,129,42,True Neutral,"[ 13, 14, 14, 09, 07, 09 ]",11.0,Commoner,325
Dwarf: ,Female,59,125,51,Chaotic Good,"[ 08, 06, 13, 05, 05, 07 ]",7.33,Commoner,332
Dwarf: ,Female,74,127,43,True Neutral,"[ 09, 08, 08, 08, 11, 05 ]",8.17,Commoner,308
Dwarf: ,Male,61,157,45,Neutral Evil,"[ 10, 11, 07, 08, 08, 06 ]",8.33,Commoner,279
Dwarf: ,Male,67,163,48,Chaotic Good,"[ 12, 09, 05, 10, 13, 08 ]",9.5,Commoner,362
Dwarf: ,Female,80,126,45,Neutral Good,"[ 05, 12, 11, 14, 13, 11 ]",11.0,Commoner,260
Dwarf: ,Male,58,150,52,Lawful Neutral,"[ 06, 12, 12, 11, 07, 08 ]",9.33,Commoner,339
Dwarf: ,Male,72,157,53,Lawful Neutral,"[ 09, 10, 08, 14, 11, 10 ]",10.33,Commoner,330
Dwarf: ,Male,62,156,45,Chaotic Good,"[ 08, 06, 07, 07, 08, 09 ]",7.5,Commoner,351
Dwarf: ,Male,61,158,44,Chaotic Good,"[ 10, 08, 09, 12, 12, 12 ]",10.5,Commoner,428
Dwarf: ,Female,59,120,49,Neutral Good,"[ 13, 15, 11, 13, 06, 08 ]",11.0,Commoner,346
Dwarf: ,Female,66,121,46,Lawful Evil,"[ 10, 07, 16, 11, 12, 12 ]",11.33,Elite,331
Dwarf: ,Male,63,150,49,Chaotic Neutral,"[ 05, 11, 15, 13, 11, 13 ]",11.33,Elite,350
Dwarf: ,Female,62,124,51,Chaotic Evil,"[ 07, 04, 09, 10, 08, 11 ]",8.17,Commoner,445
Half-Elf: ,Female,20,106,64,Neutral Evil,"[ 12, 11, 14, 10, 13, 16 ]",12.67,Elite,163
Dwarf: ,Female,73,121,51,Lawful Evil,"[ 09, 10, 09, 12, 10, 06 ]",9.33,Commoner,338
