Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,78,123,48,Chaotic Good,"[ 07, 09, 08, 10, 09, 07 ]",8.33,Commoner,344
Dwarf: ,Female,58,128,48,Lawful Evil,"[ 10, 07, 08, 07, 08, 10 ]",8.33,Commoner,287
Dwarf: ,Male,67,149,48,Lawful Evil,"[ 08, 05, 10, 09, 05, 12 ]",8.17,Commoner,343
Dwarf: ,Female,62,120,43,Chaotic Evil,"[ 08, 14, 09, 08, 13, 08 ]",10.0,Commoner,348
Human: ,Male,17,167,63,Lawful Neutral,"[ 16, 15, 09, 11, 16, 03 ]",11.67,Elite,112
Dwarf: ,Female,71,121,48,Chaotic Evil,"[ 08, 06, 10, 07, 13, 11 ]",9.17,Commoner,319
Dwarf: ,Female,77,127,51,Lawful Evil,"[ 10, 08, 09, 06, 10, 09 ]",8.67,Commoner,344
Dwarf: ,Female,68,130,43,Neutral Good,"[ 11, 09, 11, 11, 08, 08 ]",9.67,Commoner,335
Dwarf: ,Female,56,123,48,Chaotic Neutral,"[ 07, 10, 10, 08, 09, 10 ]",9.0,Commoner,349
Dwarf: ,Female,70,137,46,True Neutral,"[ 10, 08, 10, 11, 11, 10 ]",10.0,Commoner,361
Dwarf: ,Female,65,124,49,Lawful Good,"[ 10, 10, 10, 11, 07, 10 ]",9.67,Commoner,420
Dwarf: ,Male,71,140,48,Neutral Evil,"[ 05, 15, 10, 04, 08, 07 ]",8.17,Commoner,273
Dwarf: ,Male,62,148,48,True Neutral,"[ 08, 11, 10, 07, 11, 07 ]",9.0,Commoner,293
Halfling: ,Female,26,61,37,Chaotic Neutral,"[ 08, 18, 14, 08, 17, 09 ]",12.33,Elite,106
Dwarf: ,Female,84,116,51,Chaotic Good,"[ 09, 11, 09, 08, 12, 08 ]",9.5,Commoner,413
Dwarf: ,Male,65,150,48,Chaotic Evil,"[ 11, 07, 09, 11, 13, 14 ]",10.83,Commoner,296
Dwarf: ,Male,59,145,44,Neutral Evil,"[ 08, 06, 06, 14, 10, 07 ]",8.5,Commoner,382
Dwarf: ,Male,69,149,52,Chaotic Evil,"[ 06, 07, 11, 10, 06, 12 ]",8.67,Commoner,377
Dwarf: ,Female,75,125,51,Neutral Evil,"[ 09, 16, 10, 08, 12, 09 ]",10.67,Commoner,416
Dwarf: ,Male,75,147,53,Lawful Good,"[ 10, 13, 05, 08, 14, 12 ]",10.33,Commoner,350
Dwarf: ,Male,61,155,50,True Neutral,"[ 12, 10, 08, 09, 11, 09 ]",9.83,Commoner,378
Dwarf: ,Male,69,155,49,Chaotic Good,"[ 10, 11, 06, 12, 12, 05 ]",9.33,Commoner,349
Dwarf: ,Male,64,155,44,Neutral Good,"[ 05, 12, 05, 08, 08, 08 ]",7.67,Commoner,427
Dwarf: ,Male,62,154,44,Neutral Good,"[ 10, 06, 08, 12, 10, 12 ]",9.67,Commoner,319
Elf: ,Male,116,104,62,Lawful Good,"[ 14, 15, 13, 14, 12, 13 ]",13.5,Adventurer,507
Dwarf: ,Male,77,152,50,Neutral Evil,"[ 06, 08, 04, 10, 09, 08 ]",7.5,Commoner,364
Dwarf: ,Male,82,150,44,Chaotic Good,"[ 05, 10, 09, 05, 15, 10 ]",9.0,Commoner,351
Dwarf: ,Male,59,156,52,Chaotic Evil,"[ 13, 10, 07, 09, 07, 12 ]",9.67,Commoner,338
Dwarf: ,Female,73,133,45,True Neutral,"[ 13, 08, 06, 06, 10, 09 ]",8.67,Commoner,344
Dwarf: ,Male,71,154,46,Chaotic Neutral,"[ 08, 06, 04, 08, 14, 07 ]",7.83,Commoner,313
Dwarf: ,Male,69,160,49,Chaotic Neutral,"[ 09, 12, 06, 08, 07, 15 ]",9.5,Commoner,367
Dwarf: ,Female,64,132,48,Chaotic Good,"[ 11, 10, 07, 10, 06, 08 ]",8.67,Commoner,385
Dwarf: ,Male,74,146,47,Lawful Neutral,"[ 11, 07, 13, 11, 08, 11 ]",10.17,Commoner,352
Dwarf: ,Female,59,132,42,Neutral Evil,"[ 07, 11, 07, 11, 07, 13 ]",9.33,Commoner,412
Dwarf: ,Female,63,120,48,Neutral Evil,"[ 10, 08, 08, 11, 11, 10 ]",9.67,Commoner,286
Dwarf: ,Female,68,131,46,Chaotic Neutral,"[ 11, 09, 15, 05, 11, 11 ]",10.33,Commoner,267
Dwarf: ,Female,66,125,49,Chaotic Evil,"[ 04, 06, 09, 06, 07, 05 ]",6.17,Commoner,374
Dwarf: ,Female,72,128,45,Neutral Evil,"[ 05, 08, 12, 11, 09, 06 ]",8.5,Commoner,426
Dwarf: ,Male,51,151,45,Chaotic Good,"[ 07, 11, 10, 05, 09, 09 ]",8.5,Commoner,410
Dwarf: ,Male,75,156,51,Chaotic Good,"[ 08, 10, 07, 10, 04, 16 ]",9.17,Commoner,313
Dwarf: ,Female,70,124,49,Chaotic Good,"[ 08, 12, 09, 10, 11, 03 ]",8.83,Commoner,372
Gnome: ,Male,85,83,44,Lawful Good,"[ 08, 14, 15, 09, 13, 12 ]",11.83,Elite,275
Dwarf: ,Female,68,129,49,True Neutral,"[ 07, 11, 11, 06, 09, 11 ]",9.17,Commoner,338
Gnome: ,Female,76,79,41,Neutral Evil,"[ 14, 15, 16, 12, 05, 10 ]",12.0,Elite,309
Dwarf: ,Female,68,127,50,Lawful Neutral,"[ 08, 09, 05, 09, 14, 03 ]",8.0,Commoner,393
Dwarf: ,Male,67,147,50,Lawful Neutral,"[ 06, 10, 10, 08, 10, 14 ]",9.67,Commoner,440
Dwarf: ,Male,62,155,47,Lawful Evil,"[ 09, 10, 07, 14, 11, 07 ]",9.67,Commoner,323
Dwarf: ,Male,60,153,53,Chaotic Good,"[ 08, 09, 06, 06, 06, 08 ]",7.17,Commoner,336
