Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,76,147,50,Chaotic Evil,"[ 11, 10, 06, 07, 11, 10 ]",9.17,Commoner,275
Human: ,Female,17,132,65,Neutral Evil,"[ 11, 13, 10, 17, 07, 12 ]",11.67,Elite,99
Dwarf: ,Male,64,141,47,Neutral Good,"[ 15, 09, 07, 09, 11, 10 ]",10.17,Commoner,361
Dwarf: ,Male,74,147,51,Lawful Neutral,"[ 09, 08, 10, 09, 10, 11 ]",9.5,Commoner,406
Dwarf: ,Male,66,145,48,Neutral Good,"[ 14, 10, 07, 10, 09, 09 ]",9.83,Commoner,396
Dwarf: ,Female,59,128,50,Chaotic Neutral,"[ 07, 12, 10, 12, 11, 11 ]",10.5,Commoner,340
Dwarf: ,Female,67,123,51,Lawful Good,"[ 06, 06, 07, 14, 10, 11 ]",9.0,Commoner,426
Dwarf: ,Male,69,146,51,Lawful Neutral,"[ 11, 08, 09, 13, 05, 10 ]",9.33,Commoner,358
Dwarf: ,Female,70,131,47,True Neutral,"[ 11, 04, 11, 12, 12, 04 ]",9.0,Commoner,345
Dwarf: ,Male,74,147,45,True Neutral,"[ 14, 14, 10, 05, 11, 07 ]",10.17,Commoner,372
Dwarf: ,Male,71,148,45,Chaotic Good,"[ 12, 09, 06, 12, 10, 09 ]",9.67,Commoner,337
Dwarf: ,Male,64,158,44,Lawful Evil,"[ 14, 07, 05, 07, 08, 10 ]",8.5,Commoner,304
Dwarf: ,Male,58,146,45,Chaotic Evil,"[ 09, 05, 12, 10, 09, 06 ]",8.5,Commoner,340
Dwarf: ,Female,65,118,48,Chaotic Neutral,"[ 12, 04, 13, 11, 07, 10 ]",9.5,Commoner,322
Dwarf: ,Male,69,148,53,Chaotic Neutral,"[ 11, 11, 09, 12, 12, 13 ]",11.33,Elite,335
Dwarf: ,Male,69,157,49,Lawful Evil,"[ 06, 07, 06, 13, 09, 09 ]",8.33,Commoner,410
Dwarf: ,Male,69,156,52,Lawful Neutral,"[ 09, 10, 10, 07, 08, 05 ]",8.17,Commoner,411
Dwarf: ,Male,57,140,46,Chaotic Good,"[ 12, 11, 09, 10, 09, 13 ]",10.67,Commoner,360
Dwarf: ,Male,63,142,49,Neutral Evil,"[ 12, 09, 08, 07, 11, 05 ]",8.67,Commoner,429
Dwarf: ,Female,71,133,50,Chaotic Neutral,"[ 07, 08, 13, 05, 07, 11 ]",8.5,Commoner,378
Dwarf: ,Female,63,134,48,Lawful Good,"[ 08, 08, 07, 08, 13, 09 ]",8.83,Commoner,294
