Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Human: ,Male,17,174,70,Chaotic Good,"[ 08, 11, 13, 09, 17, 16 ]",12.33,Elite,98
Half-Elf: ,Female,17,96,65,Chaotic Neutral,"[ 14, 11, 12, 14, 14, 06 ]",11.83,Elite,147
Dwarf: ,Male,73,161,46,True Neutral,"[ 08, 15, 13, 07, 06, 09 ]",9.67,Commoner,316
Dwarf: ,Male,65,143,46,True Neutral,"[ 14, 06, 05, 11, 09, 11 ]",9.33,Commoner,391
Dwarf: ,Female,68,116,45,Neutral Evil,"[ 09, 10, 14, 12, 07, 08 ]",10.0,Commoner,370
Dwarf: ,Male,72,149,47,Neutral Good,"[ 09, 06, 09, 10, 05, 05 ]",7.33,Commoner,418
Dwarf: ,Male,66,163,50,Neutral Evil,"[ 09, 05, 08, 12, 08, 09 ]",8.5,Commoner,358
Dwarf: ,Female,65,122,51,True Neutral,"[ 09, 11, 08, 09, 06, 09 ]",8.67,Commoner,321
Dwarf: ,Male,66,152,52,Lawful Neutral,"[ 11, 13, 13, 16, 12, 14 ]",13.17,Adventurer,385
Dwarf: ,Male,68,153,52,Lawful Neutral,"[ 13, 14, 09, 10, 11, 07 ]",10.67,Commoner,315
Dwarf: ,Male,72,155,47,Neutral Good,"[ 07, 09, 08, 06, 12, 12 ]",9.0,Commoner,327
Human: ,Male,19,157,66,Chaotic Neutral,"[ 11, 14, 12, 08, 14, 12 ]",11.83,Elite,109
Dwarf: ,Male,71,146,44,Chaotic Neutral,"[ 04, 09, 09, 11, 14, 11 ]",9.67,Commoner,307
Human: ,Male,16,164,73,True Neutral,"[ 14, 10, 07, 17, 15, 09 ]",12.0,Elite,112
Dwarf: ,Male,76,147,44,Lawful Evil,"[ 04, 08, 10, 10, 08, 06 ]",7.67,Commoner,297
Dwarf: ,Male,71,144,50,Lawful Neutral,"[ 04, 07, 11, 08, 06, 07 ]",7.17,Commoner,408
Dwarf: ,Female,69,125,45,Chaotic Neutral,"[ 08, 09, 10, 12, 11, 08 ]",9.67,Commoner,346
Dwarf: ,Female,70,121,45,Lawful Evil,"[ 05, 09, 10, 11, 10, 09 ]",9.0,Commoner,400
Dwarf: ,Male,75,145,52,Neutral Good,"[ 11, 06, 09, 11, 07, 11 ]",9.17,Commoner,365
Dwarf: ,Male,65,153,48,Lawful Evil,"[ 15, 15, 09, 11, 05, 14 ]",11.5,Elite,350
Dwarf: ,Male,76,159,44,Chaotic Neutral,"[ 09, 03, 09, 10, 05, 12 ]",8.0,Commoner,274
Dwarf: ,Female,70,131,43,Lawful Good,"[ 10, 08, 15, 11, 06, 10 ]",10.0,Commoner,363
Dwarf: ,Male,68,147,48,Lawful Neutral,"[ 11, 11, 09, 07, 10, 10 ]",9.67,Commoner,389
Dwarf: ,Male,71,146,45,Chaotic Good,"[ 09, 04, 12, 14, 09, 09 ]",9.5,Commoner,302
Dwarf: ,Female,65,124,47,Lawful Neutral,"[ 07, 08, 06, 10, 08, 09 ]",8.0,Commoner,360
Dwarf: ,Male,65,155,45,Lawful Good,"[ 07, 08, 07, 07, 09, 08 ]",7.67,Commoner,329
Dwarf: ,Male,54,153,46,Neutral Evil,"[ 15, 09, 07, 13, 08, 09 ]",10.17,Commoner,373
Dwarf: ,Female,68,119,50,Lawful Neutral,"[ 13, 10, 11, 10, 09, 09 ]",10.33,Commoner,337
Dwarf: ,Female,75,123,50,Chaotic Evil,"[ 11, 13, 09, 08, 11, 07 ]",9.83,Commoner,370
Dwarf: ,Female,59,132,42,Neutral Good,"[ 08, 07, 10, 09, 06, 08 ]",8.0,Commoner,323
Dwarf: ,Female,67,127,51,Lawful Good,"[ 07, 11, 11, 13, 10, 11 ]",10.5,Commoner,386
Dwarf: ,Female,57,120,47,Neutral Good,"[ 06, 12, 05, 10, 14, 09 ]",9.33,Commoner,353
Dwarf: ,Female,63,121,48,Lawful Neutral,"[ 09, 08, 10, 10, 06, 05 ]",8.0,Commoner,427
Dwarf: ,Male,73,152,52,Neutral Evil,"[ 09, 11, 12, 06, 10, 07 ]",9.17,Commoner,293
Dwarf: ,Female,66,138,48,Lawful Neutral,"[ 05, 07, 09, 07, 12, 10 ]",8.33,Commoner,335
Dwarf: ,Female,65,129,51,Neutral Good,"[ 09, 08, 07, 10, 06, 14 ]",9.0,Commoner,420
