Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,65,155,46,Chaotic Good,"[ 10, 06, 13, 10, 15, 11 ]",10.83,Commoner,295
Dwarf: ,Female,52,128,45,Chaotic Neutral,"[ 11, 08, 09, 06, 08, 07 ]",8.17,Commoner,347
Dwarf: ,Male,58,150,53,Lawful Good,"[ 07, 09, 10, 14, 13, 06 ]",9.83,Commoner,349
Dwarf: ,Female,69,128,42,Lawful Good,"[ 10, 07, 05, 08, 10, 07 ]",7.83,Commoner,386
Dwarf: ,Male,67,154,49,Lawful Good,"[ 11, 08, 11, 09, 05, 10 ]",9.0,Commoner,365
Dwarf: ,Female,64,125,43,Lawful Evil,"[ 06, 07, 10, 07, 07, 11 ]",8.0,Commoner,300
Dwarf: ,Female,67,130,43,Lawful Evil,"[ 09, 08, 10, 09, 14, 05 ]",9.17,Commoner,361
Dwarf: ,Female,70,127,46,Chaotic Good,"[ 10, 10, 14, 08, 12, 12 ]",11.0,Commoner,426
Dwarf: ,Male,69,154,46,Chaotic Good,"[ 09, 13, 07, 04, 08, 04 ]",7.5,Commoner,410
Elf: ,Male,126,114,60,Lawful Good,"[ 11, 10, 11, 10, 13, 16 ]",11.83,Elite,553
Dwarf: ,Female,77,124,45,Chaotic Evil,"[ 07, 08, 05, 08, 05, 07 ]",6.67,Commoner,309
Dwarf: ,Male,68,152,47,Chaotic Good,"[ 09, 07, 07, 06, 10, 07 ]",7.67,Commoner,294
Dwarf: ,Female,67,133,46,True Neutral,"[ 11, 10, 08, 09, 12, 04 ]",9.0,Commoner,325
Halfling: ,Female,24,58,40,Lawful Good,"[ 09, 12, 09, 13, 14, 14 ]",11.83,Elite,149
Halfling: ,Male,26,60,37,True Neutral,"[ 18, 18, 16, 12, 09, 08 ]",13.5,Adventurer,117
Dwarf: ,Male,65,159,46,Lawful Neutral,"[ 10, 11, 10, 12, 07, 04 ]",9.0,Commoner,323
Dwarf: ,Female,61,128,45,Neutral Good,"[ 03, 09, 07, 07, 05, 09 ]",6.67,Commoner,343
Dwarf: ,Male,65,158,50,Neutral Evil,"[ 11, 07, 04, 11, 12, 08 ]",8.83,Commoner,336
Dwarf: ,Female,60,132,51,Chaotic Neutral,"[ 09, 10, 07, 10, 10, 09 ]",9.17,Commoner,419
Dwarf: ,Male,71,161,49,Chaotic Evil,"[ 13, 09, 15, 14, 06, 08 ]",10.83,Commoner,368
Human: ,Female,19,132,66,Chaotic Good,"[ 13, 11, 10, 15, 11, 12 ]",12.0,Elite,110
Dwarf: ,Female,60,135,49,Chaotic Good,"[ 04, 12, 07, 07, 13, 11 ]",9.0,Commoner,291
Dwarf: ,Female,73,126,42,Chaotic Good,"[ 11, 13, 13, 11, 10, 09 ]",11.17,Commoner,309
Dwarf: ,Female,75,117,48,True Neutral,"[ 08, 10, 11, 10, 05, 12 ]",9.33,Commoner,296
Dwarf: ,Female,74,127,48,Chaotic Neutral,"[ 08, 08, 11, 06, 06, 09 ]",8.0,Commoner,268
Dwarf: ,Female,49,117,43,True Neutral,"[ 13, 12, 12, 08, 11, 12 ]",11.33,Elite,368
Dwarf: ,Female,63,127,43,Lawful Neutral,"[ 12, 07, 08, 07, 05, 04 ]",7.17,Commoner,383
Dwarf: ,Male,68,158,53,Chaotic Evil,"[ 09, 11, 16, 06, 05, 13 ]",10.0,Commoner,429
Dwarf: ,Male,60,150,50,Neutral Evil,"[ 12, 09, 08, 12, 03, 11 ]",9.17,Commoner,305
Dwarf: ,Male,73,157,49,True Neutral,"[ 08, 12, 07, 04, 11, 07 ]",8.17,Commoner,365
Dwarf: ,Male,72,167,44,Lawful Evil,"[ 14, 06, 11, 06, 13, 14 ]",10.67,Commoner,367
Dwarf: ,Female,75,129,42,True Neutral,"[ 10, 07, 08, 13, 08, 04 ]",8.33,Commoner,357
Dwarf: ,Male,55,152,50,Lawful Good,"[ 10, 10, 10, 08, 09, 08 ]",9.17,Commoner,434
Dwarf: ,Male,65,144,50,Chaotic Good,"[ 09, 11, 08, 10, 10, 14 ]",10.33,Commoner,351
Gnome: ,Female,73,77,39,Lawful Evil,"[ 17, 10, 10, 17, 17, 05 ]",12.67,Elite,343
Dwarf: ,Female,81,129,49,Neutral Evil,"[ 10, 08, 08, 09, 10, 05 ]",8.33,Commoner,407
Dwarf: ,Male,74,155,46,Neutral Good,"[ 08, 09, 05, 09, 08, 07 ]",7.67,Commoner,316
Dwarf: ,Female,60,126,51,Chaotic Evil,"[ 07, 08, 11, 07, 07, 11 ]",8.5,Commoner,435
Dwarf: ,Male,67,148,53,Chaotic Evil,"[ 10, 11, 06, 09, 08, 08 ]",8.67,Commoner,387
Dwarf: ,Male,75,154,46,Neutral Good,"[ 08, 06, 10, 11, 08, 12 ]",9.17,Commoner,364
Dwarf: ,Male,73,145,52,Neutral Evil,"[ 07, 14, 12, 09, 09, 09 ]",10.0,Commoner,341
Dwarf: ,Female,67,130,49,Lawful Neutral,"[ 04, 08, 09, 11, 09, 10 ]",8.5,Commoner,376
Dwarf: ,Male,75,159,47,Neutral Evil,"[ 08, 06, 11, 07, 07, 09 ]",8.0,Commoner,426
Dwarf: ,Male,72,148,53,Neutral Good,"[ 10, 07, 07, 10, 10, 08 ]",8.67,Commoner,326
Dwarf: ,Female,64,125,43,Chaotic Evil,"[ 07, 08, 09, 07, 09, 07 ]",7.83,Commoner,298
Dwarf: ,Female,70,114,47,Chaotic Evil,"[ 09, 07, 06, 11, 08, 07 ]",8.0,Commoner,385
Dwarf: ,Male,65,146,45,Neutral Good,"[ 08, 10, 05, 10, 08, 12 ]",8.83,Commoner,411
Dwarf: ,Male,76,141,48,Chaotic Evil,"[ 07, 06, 05, 08, 12, 07 ]",7.5,Commoner,352
Dwarf: ,Male,67,146,48,Chaotic Neutral,"[ 08, 13, 13, 09, 05, 13 ]",10.17,Commoner,332
Dwarf: ,Female,72,140,49,True Neutral,"[ 16, 15, 07, 13, 11, 07 ]",11.5,Elite,324
Half-Elf: ,Male,16,130,67,Neutral Good,"[ 08, 08, 16, 08, 18, 18 ]",12.67,Elite,161
Dwarf: ,Female,64,127,45,Chaotic Good,"[ 05, 11, 07, 09, 05, 12 ]",8.17,Commoner,373
Dwarf: ,Male,66,150,48,Lawful Neutral,"[ 11, 12, 08, 08, 15, 04 ]",9.67,Commoner,291
Dwarf: ,Female,68,128,42,Neutral Evil,"[ 12, 12, 08, 08, 10, 09 ]",9.83,Commoner,341
Dwarf: ,Male,72,149,49,Chaotic Good,"[ 08, 09, 03, 07, 12, 07 ]",7.67,Commoner,423
Human: ,Male,16,184,75,Chaotic Evil,"[ 08, 10, 13, 10, 16, 15 ]",12.0,Elite,105
Gnome: ,Female,84,82,37,Lawful Evil,"[ 14, 18, 11, 15, 09, 17 ]",14.0,Adventurer,266
Dwarf: ,Male,66,156,45,Lawful Evil,"[ 06, 06, 06, 10, 08, 08 ]",7.33,Commoner,321
Dwarf: ,Male,83,148,51,Lawful Neutral,"[ 14, 12, 06, 06, 15, 12 ]",10.83,Commoner,363
Elf: ,Male,119,115,60,True Neutral,"[ 18, 09, 11, 11, 14, 10 ]",12.17,Elite,555
Dwarf: ,Male,71,144,51,Lawful Good,"[ 07, 10, 07, 13, 08, 09 ]",9.0,Commoner,332
Dwarf: ,Male,69,164,44,Lawful Evil,"[ 04, 08, 09, 10, 05, 09 ]",7.5,Commoner,423
Dwarf: ,Female,68,136,42,Chaotic Good,"[ 10, 07, 06, 09, 13, 13 ]",9.67,Commoner,408
Elf: ,Male,119,103,61,Chaotic Evil,"[ 17, 09, 06, 13, 10, 17 ]",12.0,Elite,518
Dwarf: ,Male,62,148,47,Chaotic Good,"[ 10, 12, 13, 07, 08, 06 ]",9.33,Commoner,346
Dwarf: ,Male,70,156,47,Chaotic Neutral,"[ 06, 04, 09, 09, 10, 07 ]",7.5,Commoner,430
