Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,75,164,48,Neutral Good,"[ 10, 09, 03, 05, 13, 07 ]",7.83,Commoner,387
Dwarf: ,Female,58,121,42,Lawful Good,"[ 05, 11, 11, 12, 07, 06 ]",8.67,Commoner,299
Dwarf: ,Female,65,133,42,Chaotic Evil,"[ 09, 10, 13, 11, 10, 05 ]",9.67,Commoner,351
Dwarf: ,Female,68,140,51,Lawful Good,"[ 07, 11, 09, 13, 07, 07 ]",9.0,Commoner,369
Dwarf: ,Female,72,131,48,True Neutral,"[ 12, 12, 14, 07, 06, 05 ]",9.33,Commoner,359
Dwarf: ,Female,65,119,43,Lawful Evil,"[ 09, 07, 10, 08, 10, 11 ]",9.17,Commoner,375
Dwarf: ,Female,61,134,43,Chaotic Good,"[ 15, 08, 13, 07, 09, 09 ]",10.17,Commoner,278
Dwarf: ,Female,58,123,43,Lawful Good,"[ 08, 08, 05, 09, 08, 13 ]",8.5,Commoner,334
Halfling: ,Male,27,65,41,Neutral Good,"[ 08, 11, 17, 12, 13, 11 ]",12.0,Elite,184
Dwarf: ,Male,68,163,46,Lawful Good,"[ 07, 08, 14, 13, 09, 07 ]",9.67,Commoner,349
Dwarf: ,Male,74,151,45,Chaotic Neutral,"[ 13, 13, 15, 08, 11, 09 ]",11.5,Elite,369
Dwarf: ,Female,70,125,46,Neutral Good,"[ 09, 11, 10, 11, 12, 14 ]",11.17,Commoner,348
Dwarf: ,Male,70,151,53,Lawful Good,"[ 08, 11, 09, 05, 11, 07 ]",8.5,Commoner,345
Dwarf: ,Female,70,127,49,Chaotic Neutral,"[ 07, 09, 08, 10, 11, 12 ]",9.5,Commoner,324
Dwarf: ,Male,62,145,47,Chaotic Neutral,"[ 08, 05, 05, 12, 15, 09 ]",9.0,Commoner,361
Dwarf: ,Female,61,121,51,Chaotic Neutral,"[ 06, 03, 09, 14, 13, 10 ]",9.17,Commoner,359
Dwarf: ,Female,74,128,51,Lawful Neutral,"[ 13, 03, 10, 09, 10, 07 ]",8.67,Commoner,334
Dwarf: ,Male,80,155,48,Lawful Good,"[ 08, 09, 07, 11, 13, 12 ]",10.0,Commoner,305
Dwarf: ,Female,62,130,42,Chaotic Neutral,"[ 12, 13, 07, 09, 10, 07 ]",9.67,Commoner,346
Dwarf: ,Male,76,144,53,Lawful Evil,"[ 09, 05, 09, 08, 11, 09 ]",8.5,Commoner,401
Dwarf: ,Male,82,162,53,Chaotic Neutral,"[ 05, 09, 09, 11, 07, 10 ]",8.5,Commoner,406
Dwarf: ,Male,64,155,48,Lawful Evil,"[ 11, 09, 12, 10, 09, 05 ]",9.33,Commoner,325
Dwarf: ,Female,62,120,51,Neutral Good,"[ 13, 11, 10, 09, 09, 03 ]",9.17,Commoner,442
Dwarf: ,Female,68,122,48,Lawful Neutral,"[ 15, 08, 12, 07, 07, 15 ]",10.67,Commoner,332
