Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,67,147,47,Chaotic Evil,"[ 07, 08, 10, 10, 06, 08 ]",8.17,Commoner,297
Dwarf: ,Male,67,152,51,Lawful Good,"[ 04, 08, 07, 09, 03, 11 ]",7.0,Commoner,416
Dwarf: ,Female,82,126,50,True Neutral,"[ 05, 06, 12, 10, 11, 12 ]",9.33,Commoner,331
Dwarf: ,Male,80,154,53,Neutral Evil,"[ 04, 07, 14, 10, 11, 09 ]",9.17,Commoner,308
Dwarf: ,Male,74,157,49,Chaotic Good,"[ 10, 08, 07, 13, 11, 11 ]",10.0,Commoner,343
Dwarf: ,Female,57,124,45,Neutral Evil,"[ 11, 10, 11, 06, 08, 12 ]",9.67,Commoner,379
Dwarf: ,Male,69,147,44,Lawful Neutral,"[ 10, 08, 18, 05, 14, 12 ]",11.17,Commoner,309
Dwarf: ,Male,74,158,47,Chaotic Evil,"[ 06, 07, 11, 11, 09, 09 ]",8.83,Commoner,352
Dwarf: ,Female,61,129,45,Lawful Good,"[ 15, 06, 11, 12, 10, 11 ]",10.83,Commoner,281
Dwarf: ,Male,56,149,44,Neutral Good,"[ 07, 15, 13, 10, 10, 05 ]",10.0,Commoner,409
Dwarf: ,Male,77,147,44,Lawful Good,"[ 09, 07, 10, 12, 07, 10 ]",9.17,Commoner,437
Dwarf: ,Female,79,128,50,Lawful Neutral,"[ 07, 06, 06, 07, 08, 04 ]",6.33,Commoner,356
Dwarf: ,Female,74,120,48,Chaotic Good,"[ 10, 10, 06, 10, 08, 07 ]",8.5,Commoner,344
Dwarf: ,Male,68,146,49,Chaotic Good,"[ 11, 10, 07, 07, 08, 07 ]",8.33,Commoner,376
Dwarf: ,Male,62,151,51,True Neutral,"[ 06, 10, 05, 14, 08, 12 ]",9.17,Commoner,331
Dwarf: ,Female,66,130,42,True Neutral,"[ 10, 08, 09, 15, 09, 08 ]",9.83,Commoner,310
Dwarf: ,Male,52,152,45,Chaotic Good,"[ 14, 10, 09, 11, 10, 08 ]",10.33,Commoner,399
Dwarf: ,Male,72,160,51,Chaotic Good,"[ 09, 07, 14, 10, 07, 11 ]",9.67,Commoner,278
Dwarf: ,Male,80,150,52,Neutral Evil,"[ 09, 09, 10, 06, 14, 12 ]",10.0,Commoner,317
Dwarf: ,Male,74,145,53,Lawful Neutral,"[ 07, 07, 07, 11, 11, 11 ]",9.0,Commoner,413
Dwarf: ,Female,71,132,49,Neutral Evil,"[ 15, 11, 13, 03, 08, 10 ]",10.0,Commoner,405
Dwarf: ,Female,73,134,42,Neutral Evil,"[ 09, 09, 09, 09, 06, 10 ]",8.67,Commoner,350
Dwarf: ,Male,66,146,50,Lawful Good,"[ 05, 11, 06, 09, 10, 06 ]",7.83,Commoner,377
Dwarf: ,Female,69,143,42,Lawful Good,"[ 04, 11, 09, 09, 09, 12 ]",9.0,Commoner,332
Dwarf: ,Male,65,151,45,Lawful Evil,"[ 12, 10, 10, 14, 09, 10 ]",10.83,Commoner,404
Dwarf: ,Male,63,150,47,True Neutral,"[ 13, 10, 10, 08, 12, 09 ]",10.33,Commoner,395
Dwarf: ,Female,58,126,43,Lawful Neutral,"[ 06, 10, 08, 09, 04, 12 ]",8.17,Commoner,283
Dwarf: ,Female,70,131,48,Lawful Evil,"[ 12, 08, 07, 08, 09, 09 ]",8.83,Commoner,356
Dwarf: ,Male,59,148,48,Neutral Evil,"[ 09, 11, 09, 06, 10, 09 ]",9.0,Commoner,356
Dwarf: ,Male,71,135,48,Neutral Evil,"[ 12, 11, 09, 06, 08, 05 ]",8.5,Commoner,318
Dwarf: ,Male,78,162,48,Neutral Evil,"[ 05, 10, 09, 03, 05, 05 ]",6.17,Commoner,342
Dwarf: ,Female,74,142,51,Lawful Evil,"[ 05, 06, 12, 12, 08, 08 ]",8.5,Commoner,413
Dwarf: ,Male,69,152,52,Neutral Evil,"[ 06, 09, 14, 09, 09, 11 ]",9.67,Commoner,317
Dwarf: ,Female,68,123,50,Lawful Neutral,"[ 07, 13, 11, 10, 12, 12 ]",10.83,Commoner,408
Elf: ,Female,117,97,55,Neutral Good,"[ 13, 12, 14, 15, 13, 04 ]",11.83,Elite,549
Dwarf: ,Male,63,160,50,Chaotic Good,"[ 08, 08, 07, 07, 08, 05 ]",7.17,Commoner,296
Dwarf: ,Female,69,128,43,Chaotic Good,"[ 10, 06, 09, 14, 12, 12 ]",10.5,Commoner,325
Dwarf: ,Female,68,124,50,Lawful Evil,"[ 08, 16, 13, 09, 11, 12 ]",11.5,Elite,322
Gnome: ,Female,70,84,41,Lawful Neutral,"[ 11, 13, 11, 10, 11, 14 ]",11.67,Elite,412
Dwarf: ,Female,63,121,46,Lawful Evil,"[ 13, 05, 10, 12, 06, 05 ]",8.5,Commoner,413
Dwarf: ,Female,84,127,51,True Neutral,"[ 12, 06, 10, 09, 07, 12 ]",9.33,Commoner,368
Dwarf: ,Male,60,154,52,Chaotic Good,"[ 07, 10, 07, 10, 10, 06 ]",8.33,Commoner,288
Dwarf: ,Male,73,148,49,Lawful Good,"[ 11, 10, 13, 13, 09, 09 ]",10.83,Commoner,332
Dwarf: ,Female,54,128,50,Lawful Good,"[ 09, 09, 07, 11, 09, 12 ]",9.5,Commoner,359
Dwarf: ,Male,79,148,45,Chaotic Neutral,"[ 08, 09, 05, 05, 06, 09 ]",7.0,Commoner,372
Dwarf: ,Male,56,149,49,Lawful Good,"[ 11, 09, 11, 12, 06, 12 ]",10.17,Commoner,340
Dwarf: ,Male,60,151,53,Lawful Good,"[ 08, 09, 08, 11, 11, 10 ]",9.5,Commoner,271
Dwarf: ,Male,64,150,50,Neutral Good,"[ 07, 10, 09, 13, 10, 13 ]",10.33,Commoner,381
Dwarf: ,Male,77,151,48,Chaotic Evil,"[ 10, 08, 10, 08, 09, 09 ]",9.0,Commoner,322
Dwarf: ,Male,58,147,44,Chaotic Good,"[ 07, 11, 09, 10, 07, 10 ]",9.0,Commoner,415
Dwarf: ,Female,59,125,47,Lawful Good,"[ 09, 04, 09, 09, 14, 08 ]",8.83,Commoner,344
Half-Elf: ,Male,19,139,71,Lawful Good,"[ 17, 04, 15, 16, 07, 13 ]",12.0,Elite,152
Half-Elf: ,Female,20,94,63,Neutral Good,"[ 10, 10, 08, 12, 16, 17 ]",12.17,Elite,158
Dwarf: ,Male,69,163,48,Neutral Evil,"[ 12, 06, 10, 10, 08, 11 ]",9.5,Commoner,415
Dwarf: ,Female,71,134,45,Chaotic Neutral,"[ 06, 10, 07, 03, 13, 13 ]",8.67,Commoner,404
Dwarf: ,Female,52,126,45,Chaotic Neutral,"[ 07, 06, 06, 09, 10, 11 ]",8.17,Commoner,291
Dwarf: ,Male,69,159,45,Chaotic Good,"[ 10, 09, 11, 10, 10, 06 ]",9.33,Commoner,350
