Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,63,128,50,Lawful Good,"[ 04, 09, 11, 07, 08, 08 ]",7.83,Commoner,342
Dwarf: ,Female,75,131,43,Neutral Evil,"[ 07, 10, 10, 11, 11, 08 ]",9.5,Commoner,302
Dwarf: ,Female,69,124,43,Lawful Evil,"[ 06, 06, 09, 07, 10, 06 ]",7.33,Commoner,398
Dwarf: ,Male,70,157,52,Lawful Evil,"[ 08, 09, 08, 06, 10, 12 ]",8.83,Commoner,310
Dwarf: ,Male,68,164,46,Chaotic Good,"[ 08, 13, 12, 07, 09, 08 ]",9.5,Commoner,390
Dwarf: ,Female,54,122,46,Lawful Evil,"[ 07, 05, 11, 06, 06, 08 ]",7.17,Commoner,288
Dwarf: ,Male,66,152,46,Neutral Evil,"[ 08, 09, 11, 10, 09, 08 ]",9.17,Commoner,282
Dwarf: ,Male,56,153,50,Neutral Good,"[ 10, 11, 09, 13, 06, 12 ]",10.17,Commoner,380
Dwarf: ,Female,64,121,51,Neutral Good,"[ 09, 08, 08, 12, 12, 07 ]",9.33,Commoner,277
Dwarf: ,Female,67,127,44,True Neutral,"[ 13, 06, 09, 09, 06, 09 ]",8.67,Commoner,320
Dwarf: ,Male,73,162,44,Neutral Evil,"[ 07, 11, 07, 06, 10, 10 ]",8.5,Commoner,365
Dwarf: ,Female,78,127,46,Lawful Evil,"[ 05, 12, 14, 10, 09, 11 ]",10.17,Commoner,308
Dwarf: ,Male,63,148,53,Neutral Evil,"[ 12, 07, 05, 15, 07, 11 ]",9.5,Commoner,328
Dwarf: ,Male,69,154,53,Neutral Evil,"[ 14, 11, 08, 11, 07, 04 ]",9.17,Commoner,273
Dwarf: ,Female,58,127,49,Lawful Neutral,"[ 06, 07, 14, 06, 11, 09 ]",8.83,Commoner,317
Dwarf: ,Female,65,131,47,Chaotic Neutral,"[ 13, 13, 16, 17, 10, 16 ]",14.17,Adventurer,386
Dwarf: ,Male,78,156,46,Neutral Good,"[ 07, 15, 09, 06, 08, 09 ]",9.0,Commoner,338
Dwarf: ,Female,67,127,43,Chaotic Evil,"[ 12, 12, 08, 09, 10, 07 ]",9.67,Commoner,333
Dwarf: ,Female,60,115,51,Chaotic Neutral,"[ 10, 06, 10, 10, 10, 10 ]",9.33,Commoner,319
Dwarf: ,Male,59,156,53,Neutral Evil,"[ 09, 06, 09, 10, 07, 08 ]",8.17,Commoner,421
Dwarf: ,Male,61,153,48,Lawful Good,"[ 03, 14, 04, 14, 14, 09 ]",9.67,Commoner,309
Dwarf: ,Female,68,126,44,Neutral Evil,"[ 13, 08, 06, 11, 11, 12 ]",10.17,Commoner,379
Dwarf: ,Male,60,150,47,Chaotic Good,"[ 06, 08, 06, 07, 13, 05 ]",7.5,Commoner,361
Dwarf: ,Female,68,126,43,Neutral Good,"[ 15, 07, 08, 18, 03, 16 ]",11.17,Commoner,275
Dwarf: ,Male,71,149,44,Lawful Good,"[ 13, 09, 07, 11, 11, 08 ]",9.83,Commoner,401
Dwarf: ,Male,65,146,45,Lawful Good,"[ 08, 12, 14, 09, 08, 06 ]",9.5,Commoner,317
Dwarf: ,Male,69,152,44,Neutral Good,"[ 11, 11, 08, 08, 09, 04 ]",8.5,Commoner,291
Dwarf: ,Female,67,126,51,Chaotic Neutral,"[ 10, 16, 07, 18, 06, 06 ]",10.5,Commoner,408
Dwarf: ,Male,72,150,52,Chaotic Neutral,"[ 09, 06, 06, 14, 12, 09 ]",9.33,Commoner,351
Dwarf: ,Male,65,145,52,Neutral Evil,"[ 08, 14, 04, 11, 13, 06 ]",9.33,Commoner,296
Dwarf: ,Female,70,132,42,True Neutral,"[ 08, 13, 09, 11, 07, 12 ]",10.0,Commoner,317
Dwarf: ,Male,65,142,50,Chaotic Good,"[ 10, 14, 09, 09, 13, 07 ]",10.33,Commoner,350
Dwarf: ,Female,67,122,44,Chaotic Good,"[ 10, 12, 12, 04, 08, 10 ]",9.33,Commoner,332
Dwarf: ,Male,68,142,53,Lawful Evil,"[ 08, 14, 12, 10, 10, 09 ]",10.5,Commoner,421
Dwarf: ,Female,75,137,43,True Neutral,"[ 04, 08, 08, 09, 09, 11 ]",8.17,Commoner,409
Dwarf: ,Female,58,121,47,Neutral Good,"[ 07, 08, 08, 12, 10, 12 ]",9.5,Commoner,350
Dwarf: ,Male,60,148,49,Lawful Neutral,"[ 08, 12, 11, 07, 04, 11 ]",8.83,Commoner,362
