Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,74,148,47,Chaotic Evil,"[ 05, 06, 09, 08, 09, 08 ]",7.5,Commoner,352
Dwarf: ,Male,73,159,47,Chaotic Evil,"[ 09, 07, 08, 10, 03, 11 ]",8.0,Commoner,396
Dwarf: ,Male,64,148,53,True Neutral,"[ 12, 05, 12, 07, 11, 09 ]",9.33,Commoner,363
Elf: ,Female,121,86,58,Lawful Neutral,"[ 10, 10, 13, 13, 13, 14 ]",12.17,Elite,476
Dwarf: ,Male,70,140,46,Chaotic Good,"[ 07, 11, 07, 06, 08, 09 ]",8.0,Commoner,281
Elf: ,Female,114,88,58,Chaotic Neutral,"[ 12, 15, 13, 12, 17, 15 ]",14.0,Adventurer,501
Dwarf: ,Female,67,134,44,Chaotic Evil,"[ 10, 11, 09, 10, 09, 06 ]",9.17,Commoner,346
Dwarf: ,Female,66,125,50,Chaotic Neutral,"[ 09, 04, 10, 08, 07, 11 ]",8.17,Commoner,298
Dwarf: ,Female,69,131,43,Lawful Neutral,"[ 12, 05, 15, 07, 05, 10 ]",9.0,Commoner,300
Dwarf: ,Male,71,152,44,Chaotic Evil,"[ 08, 12, 11, 11, 11, 12 ]",10.83,Commoner,373
Dwarf: ,Male,77,143,45,Chaotic Evil,"[ 10, 11, 12, 13, 07, 06 ]",9.83,Commoner,345
Dwarf: ,Female,73,126,49,Lawful Evil,"[ 09, 17, 12, 11, 11, 08 ]",11.33,Elite,351
Dwarf: ,Female,66,128,49,Neutral Evil,"[ 09, 09, 08, 12, 14, 09 ]",10.17,Commoner,394
Gnome: ,Female,74,80,37,Chaotic Neutral,"[ 13, 09, 12, 15, 11, 14 ]",12.33,Elite,315
Dwarf: ,Female,81,133,49,Chaotic Neutral,"[ 06, 10, 10, 09, 09, 04 ]",8.0,Commoner,397
Dwarf: ,Female,75,131,48,Chaotic Evil,"[ 08, 09, 10, 11, 09, 09 ]",9.33,Commoner,312
Dwarf: ,Male,75,145,46,True Neutral,"[ 10, 13, 11, 05, 10, 10 ]",9.83,Commoner,309
Dwarf: ,Male,64,151,49,Lawful Evil,"[ 14, 05, 09, 04, 07, 10 ]",8.17,Commoner,313
Dwarf: ,Male,57,152,51,Lawful Neutral,"[ 10, 03, 05, 08, 06, 04 ]",6.0,Commoner,272
Dwarf: ,Female,76,123,51,Chaotic Good,"[ 08, 09, 13, 11, 13, 12 ]",11.0,Commoner,384
Dwarf: ,Male,69,141,45,Lawful Neutral,"[ 14, 09, 11, 05, 13, 15 ]",11.17,Commoner,361
Dwarf: ,Female,64,130,51,True Neutral,"[ 12, 05, 10, 11, 10, 08 ]",9.33,Commoner,416
Dwarf: ,Female,70,132,46,Neutral Good,"[ 14, 06, 10, 08, 03, 17 ]",9.67,Commoner,326
Dwarf: ,Male,60,149,52,Lawful Good,"[ 11, 10, 05, 07, 08, 09 ]",8.33,Commoner,284
Dwarf: ,Male,61,167,48,Chaotic Good,"[ 09, 11, 13, 05, 13, 12 ]",10.5,Commoner,362
Dwarf: ,Male,65,164,53,Lawful Evil,"[ 06, 12, 10, 06, 10, 13 ]",9.5,Commoner,361
Dwarf: ,Male,72,149,50,Chaotic Evil,"[ 07, 08, 11, 05, 06, 07 ]",7.33,Commoner,349
Dwarf: ,Male,56,151,50,True Neutral,"[ 04, 12, 12, 07, 08, 08 ]",8.5,Commoner,407
Halfling: ,Male,29,61,41,Chaotic Neutral,"[ 09, 09, 15, 12, 10, 16 ]",11.83,Elite,111
Dwarf: ,Female,65,136,48,Lawful Good,"[ 11, 09, 07, 06, 11, 06 ]",8.33,Commoner,274
Dwarf: ,Male,71,152,53,Lawful Good,"[ 10, 07, 11, 10, 10, 07 ]",9.17,Commoner,316
Dwarf: ,Female,66,127,46,True Neutral,"[ 10, 08, 12, 08, 10, 09 ]",9.5,Commoner,303
Dwarf: ,Female,63,125,44,Chaotic Evil,"[ 05, 07, 09, 09, 08, 11 ]",8.17,Commoner,344
Dwarf: ,Female,63,125,49,Lawful Neutral,"[ 09, 11, 09, 07, 09, 11 ]",9.33,Commoner,297
Dwarf: ,Male,77,160,48,Lawful Good,"[ 09, 13, 09, 14, 12, 07 ]",10.67,Commoner,363
Dwarf: ,Male,66,145,44,Lawful Evil,"[ 13, 06, 07, 13, 05, 09 ]",8.83,Commoner,329
Dwarf: ,Female,67,128,49,Lawful Neutral,"[ 10, 05, 07, 13, 04, 04 ]",7.17,Commoner,425
Dwarf: ,Female,68,120,43,Neutral Good,"[ 12, 10, 09, 06, 14, 13 ]",10.67,Commoner,354
Dwarf: ,Male,56,155,50,Neutral Evil,"[ 10, 08, 11, 08, 09, 12 ]",9.67,Commoner,334
Elf: ,Female,112,94,53,True Neutral,"[ 15, 15, 08, 14, 16, 10 ]",13.0,Adventurer,610
Dwarf: ,Female,67,134,47,Lawful Evil,"[ 15, 10, 11, 04, 05, 06 ]",8.5,Commoner,271
Dwarf: ,Female,62,111,49,True Neutral,"[ 11, 09, 11, 12, 11, 15 ]",11.5,Elite,363
Dwarf: ,Female,69,119,44,Chaotic Neutral,"[ 12, 07, 05, 06, 13, 09 ]",8.67,Commoner,303
Dwarf: ,Male,67,156,50,Lawful Neutral,"[ 13, 07, 10, 09, 15, 09 ]",10.5,Commoner,374
Dwarf: ,Female,58,129,50,Chaotic Neutral,"[ 13, 09, 10, 09, 08, 10 ]",9.83,Commoner,383
Dwarf: ,Male,62,157,45,Chaotic Good,"[ 09, 14, 09, 09, 11, 10 ]",10.33,Commoner,438
Dwarf: ,Male,62,154,45,Chaotic Good,"[ 08, 11, 08, 09, 12, 05 ]",8.83,Commoner,290
Dwarf: ,Male,62,143,49,Chaotic Neutral,"[ 10, 08, 13, 05, 04, 09 ]",8.17,Commoner,300
Dwarf: ,Male,64,153,44,Lawful Neutral,"[ 10, 10, 07, 10, 14, 07 ]",9.67,Commoner,301
Halfling: ,Male,27,61,42,Lawful Good,"[ 08, 10, 14, 11, 13, 14 ]",11.67,Elite,122
Dwarf: ,Female,66,122,42,Neutral Evil,"[ 07, 05, 08, 10, 12, 10 ]",8.67,Commoner,340
Dwarf: ,Male,61,148,52,Chaotic Good,"[ 12, 10, 08, 08, 09, 10 ]",9.5,Commoner,374
Dwarf: ,Male,68,155,46,Lawful Good,"[ 09, 09, 11, 08, 12, 12 ]",10.17,Commoner,299
Dwarf: ,Male,71,153,52,Chaotic Neutral,"[ 07, 07, 10, 06, 10, 10 ]",8.33,Commoner,337
Dwarf: ,Male,65,155,52,Chaotic Good,"[ 10, 08, 07, 09, 09, 11 ]",9.0,Commoner,268
Dwarf: ,Male,67,153,52,Neutral Evil,"[ 15, 11, 05, 09, 04, 06 ]",8.33,Commoner,332
Dwarf: ,Male,63,146,53,Chaotic Evil,"[ 12, 08, 11, 08, 10, 12 ]",10.17,Commoner,287
Dwarf: ,Female,65,132,50,Chaotic Good,"[ 07, 05, 05, 08, 14, 08 ]",7.83,Commoner,353
Dwarf: ,Male,68,156,45,Lawful Good,"[ 09, 07, 12, 05, 05, 12 ]",8.33,Commoner,293
Dwarf: ,Female,65,124,47,Lawful Good,"[ 05, 12, 07, 12, 11, 07 ]",9.0,Commoner,348
Dwarf: ,Male,62,157,51,Lawful Good,"[ 05, 09, 08, 08, 12, 14 ]",9.33,Commoner,315
Dwarf: ,Male,71,148,44,True Neutral,"[ 08, 07, 12, 11, 13, 08 ]",9.83,Commoner,372
Dwarf: ,Male,65,152,53,Neutral Evil,"[ 12, 10, 10, 09, 06, 07 ]",9.0,Commoner,267
Dwarf: ,Female,64,133,48,Lawful Good,"[ 11, 07, 12, 12, 10, 08 ]",10.0,Commoner,391
Dwarf: ,Female,73,126,43,Lawful Evil,"[ 07, 10, 09, 12, 10, 11 ]",9.83,Commoner,360
Dwarf: ,Male,54,147,46,Neutral Evil,"[ 07, 06, 06, 07, 14, 06 ]",7.67,Commoner,356
Dwarf: ,Male,56,153,44,Chaotic Good,"[ 11, 08, 10, 13, 12, 17 ]",11.83,Elite,346
Dwarf: ,Female,66,125,51,Chaotic Good,"[ 07, 12, 09, 14, 08, 08 ]",9.67,Commoner,361
Dwarf: ,Female,72,133,49,Chaotic Evil,"[ 08, 16, 09, 11, 11, 14 ]",11.5,Elite,414
Dwarf: ,Male,73,158,49,Chaotic Good,"[ 14, 08, 09, 11, 13, 09 ]",10.67,Commoner,302
Gnome: ,Male,85,87,41,Lawful Good,"[ 08, 12, 14, 08, 16, 12 ]",11.67,Elite,371
Dwarf: ,Male,76,152,49,True Neutral,"[ 06, 06, 07, 05, 10, 06 ]",6.67,Commoner,318
Dwarf: ,Female,68,129,42,Neutral Evil,"[ 09, 12, 06, 07, 12, 06 ]",8.67,Commoner,331
Dwarf: ,Male,70,146,48,True Neutral,"[ 09, 05, 09, 08, 06, 06 ]",7.17,Commoner,356
Dwarf: ,Male,61,157,50,True Neutral,"[ 06, 06, 08, 04, 06, 06 ]",6.0,Commoner,285
Dwarf: ,Female,66,130,43,Chaotic Neutral,"[ 11, 11, 10, 08, 07, 08 ]",9.17,Commoner,307
Dwarf: ,Female,60,123,51,Neutral Good,"[ 10, 12, 05, 05, 10, 09 ]",8.5,Commoner,348
Dwarf: ,Male,68,147,53,Chaotic Evil,"[ 15, 06, 09, 05, 13, 10 ]",9.67,Commoner,341
Dwarf: ,Male,64,153,53,True Neutral,"[ 10, 09, 12, 05, 06, 08 ]",8.33,Commoner,385
Dwarf: ,Male,71,144,45,Lawful Good,"[ 11, 11, 09, 11, 08, 15 ]",10.83,Commoner,367
Dwarf: ,Male,63,155,51,Lawful Good,"[ 08, 10, 09, 15, 08, 07 ]",9.5,Commoner,390
Gnome: ,Female,77,83,41,Chaotic Evil,"[ 18, 08, 08, 18, 11, 08 ]",11.83,Elite,300
Dwarf: ,Male,70,146,45,Neutral Good,"[ 07, 12, 12, 09, 11, 13 ]",10.67,Commoner,338
Dwarf: ,Female,71,121,49,Chaotic Neutral,"[ 08, 10, 13, 11, 12, 14 ]",11.33,Elite,317
Dwarf: ,Male,60,147,47,Lawful Good,"[ 15, 12, 13, 09, 11, 09 ]",11.5,Elite,314
Dwarf: ,Female,68,112,45,Lawful Evil,"[ 09, 12, 05, 11, 12, 11 ]",10.0,Commoner,368
Dwarf: ,Female,68,124,45,Chaotic Good,"[ 07, 03, 12, 06, 06, 11 ]",7.5,Commoner,279
Gnome: ,Female,73,84,42,Chaotic Neutral,"[ 09, 10, 13, 17, 09, 15 ]",12.17,Elite,376
Dwarf: ,Male,70,145,51,Lawful Evil,"[ 07, 10, 11, 12, 09, 07 ]",9.33,Commoner,387
Dwarf: ,Female,69,126,43,Chaotic Good,"[ 07, 09, 06, 10, 13, 06 ]",8.5,Commoner,371
Dwarf: ,Male,60,154,50,Neutral Evil,"[ 09, 07, 10, 12, 11, 09 ]",9.67,Commoner,343
Dwarf: ,Male,72,144,48,Chaotic Good,"[ 10, 06, 10, 06, 09, 10 ]",8.5,Commoner,381
Dwarf: ,Male,62,156,47,Neutral Good,"[ 08, 09, 06, 09, 10, 06 ]",8.0,Commoner,332
Dwarf: ,Male,67,150,51,True Neutral,"[ 13, 07, 09, 07, 14, 07 ]",9.5,Commoner,412
Dwarf: ,Female,76,128,48,Neutral Evil,"[ 04, 11, 07, 08, 05, 07 ]",7.0,Commoner,313
Dwarf: ,Male,73,150,47,True Neutral,"[ 09, 08, 09, 05, 07, 10 ]",8.0,Commoner,349
Dwarf: ,Male,64,148,45,Chaotic Neutral,"[ 10, 07, 08, 11, 07, 06 ]",8.17,Commoner,432
Dwarf: ,Male,72,153,48,Chaotic Evil,"[ 09, 08, 06, 10, 08, 09 ]",8.33,Commoner,419
Dwarf: ,Male,65,148,46,True Neutral,"[ 13, 09, 12, 12, 06, 11 ]",10.5,Commoner,347
Dwarf: ,Female,73,125,49,Neutral Good,"[ 14, 08, 14, 12, 11, 08 ]",11.17,Commoner,330
Dwarf: ,Female,60,121,51,Lawful Neutral,"[ 12, 09, 10, 10, 08, 05 ]",9.0,Commoner,357
Dwarf: ,Male,66,152,48,Chaotic Neutral,"[ 03, 04, 11, 09, 12, 07 ]",7.67,Commoner,401
Dwarf: ,Female,59,136,45,True Neutral,"[ 06, 10, 07, 12, 09, 07 ]",8.5,Commoner,364
Dwarf: ,Male,60,147,51,Lawful Evil,"[ 10, 13, 11, 11, 07, 08 ]",10.0,Commoner,284
Dwarf: ,Male,71,157,47,Neutral Evil,"[ 13, 07, 07, 10, 12, 12 ]",10.17,Commoner,368
Dwarf: ,Female,71,133,42,Lawful Neutral,"[ 09, 11, 10, 05, 08, 10 ]",8.83,Commoner,352
Dwarf: ,Male,71,163,46,True Neutral,"[ 07, 05, 10, 11, 10, 11 ]",9.0,Commoner,398
Dwarf: ,Male,63,153,53,Chaotic Neutral,"[ 10, 10, 18, 10, 12, 09 ]",11.5,Elite,317
Dwarf: ,Female,70,139,43,Neutral Good,"[ 09, 10, 09, 07, 09, 09 ]",8.83,Commoner,314
Dwarf: ,Male,68,156,48,Chaotic Evil,"[ 09, 10, 08, 08, 09, 05 ]",8.17,Commoner,378
Dwarf: ,Male,67,155,52,Chaotic Evil,"[ 07, 18, 08, 07, 16, 04 ]",10.0,Commoner,374
Dwarf: ,Male,71,157,50,Chaotic Neutral,"[ 09, 09, 06, 11, 10, 11 ]",9.33,Commoner,330
Dwarf: ,Female,68,124,50,Neutral Evil,"[ 08, 07, 05, 09, 06, 07 ]",7.0,Commoner,350
Dwarf: ,Male,67,152,49,Neutral Good,"[ 07, 07, 10, 10, 14, 06 ]",9.0,Commoner,396
Dwarf: ,Female,63,134,42,Chaotic Neutral,"[ 08, 13, 09, 15, 05, 10 ]",10.0,Commoner,297
Dwarf: ,Female,63,126,48,Neutral Evil,"[ 12, 14, 08, 09, 14, 07 ]",10.67,Commoner,352
Dwarf: ,Female,64,128,43,Lawful Neutral,"[ 12, 13, 07, 11, 09, 11 ]",10.5,Commoner,340
Dwarf: ,Female,62,133,43,Chaotic Good,"[ 11, 04, 12, 11, 12, 11 ]",10.17,Commoner,360
Dwarf: ,Female,69,117,47,Neutral Good,"[ 10, 06, 10, 14, 12, 07 ]",9.83,Commoner,371
Dwarf: ,Male,65,146,47,Neutral Evil,"[ 07, 11, 08, 11, 09, 10 ]",9.33,Commoner,384
Dwarf: ,Female,60,132,45,Neutral Evil,"[ 10, 13, 07, 14, 12, 08 ]",10.67,Commoner,394
Dwarf: ,Female,81,131,42,Lawful Neutral,"[ 06, 14, 09, 12, 13, 09 ]",10.5,Commoner,288
Dwarf: ,Male,66,149,48,Lawful Good,"[ 06, 09, 08, 08, 14, 12 ]",9.5,Commoner,356
Dwarf: ,Female,68,123,47,Chaotic Good,"[ 18, 13, 15, 04, 05, 11 ]",11.0,Commoner,330
Dwarf: ,Female,70,135,45,Lawful Neutral,"[ 04, 12, 10, 06, 07, 13 ]",8.67,Commoner,326
Dwarf: ,Male,80,146,53,Chaotic Good,"[ 06, 08, 10, 11, 07, 10 ]",8.67,Commoner,406
Dwarf: ,Female,66,130,43,Lawful Neutral,"[ 15, 11, 12, 13, 07, 15 ]",12.17,Elite,338
Dwarf: ,Male,68,156,49,Lawful Neutral,"[ 03, 10, 07, 05, 10, 05 ]",6.67,Commoner,307
Dwarf: ,Female,58,127,43,Lawful Evil,"[ 12, 05, 08, 09, 11, 06 ]",8.5,Commoner,400
Dwarf: ,Female,78,126,43,Lawful Good,"[ 11, 09, 11, 06, 11, 10 ]",9.67,Commoner,312
Dwarf: ,Female,59,121,42,Lawful Neutral,"[ 10, 13, 10, 05, 08, 05 ]",8.5,Commoner,297
Dwarf: ,Male,73,150,50,Lawful Neutral,"[ 13, 10, 09, 15, 16, 11 ]",12.33,Elite,352
Dwarf: ,Female,80,132,45,Neutral Good,"[ 11, 12, 11, 14, 08, 11 ]",11.17,Commoner,384
Dwarf: ,Male,71,157,48,Neutral Good,"[ 07, 14, 13, 07, 14, 07 ]",10.33,Commoner,317
Dwarf: ,Female,67,127,49,Neutral Good,"[ 10, 10, 09, 07, 10, 07 ]",8.83,Commoner,431
Dwarf: ,Male,62,158,44,Chaotic Evil,"[ 09, 10, 09, 03, 09, 10 ]",8.33,Commoner,402
Dwarf: ,Male,67,145,48,Neutral Evil,"[ 09, 08, 08, 10, 11, 08 ]",9.0,Commoner,341
Dwarf: ,Female,77,128,43,Lawful Good,"[ 09, 08, 11, 11, 13, 04 ]",9.33,Commoner,304
Dwarf: ,Female,76,122,49,Lawful Evil,"[ 07, 09, 14, 09, 09, 08 ]",9.33,Commoner,374
Dwarf: ,Male,70,146,51,Chaotic Good,"[ 05, 09, 09, 10, 07, 12 ]",8.67,Commoner,327
Elf: ,Male,127,112,65,Chaotic Neutral,"[ 12, 08, 14, 13, 15, 13 ]",12.5,Elite,459
Dwarf: ,Female,63,140,49,Chaotic Evil,"[ 10, 06, 13, 15, 10, 05 ]",9.83,Commoner,321
Dwarf: ,Female,76,117,42,Chaotic Evil,"[ 05, 06, 12, 09, 13, 13 ]",9.67,Commoner,337
Dwarf: ,Female,67,125,46,Lawful Good,"[ 15, 12, 06, 10, 09, 07 ]",9.83,Commoner,264
Dwarf: ,Female,64,128,42,Chaotic Evil,"[ 06, 07, 12, 04, 05, 11 ]",7.5,Commoner,334
Dwarf: ,Male,70,166,45,Chaotic Good,"[ 09, 09, 08, 07, 08, 12 ]",8.83,Commoner,301
Dwarf: ,Female,66,131,44,Chaotic Evil,"[ 08, 09, 10, 08, 10, 09 ]",9.0,Commoner,350
Dwarf: ,Male,74,150,51,Neutral Evil,"[ 06, 11, 11, 10, 10, 11 ]",9.83,Commoner,412
Dwarf: ,Male,68,151,51,Chaotic Good,"[ 10, 10, 07, 08, 09, 07 ]",8.5,Commoner,347
Dwarf: ,Male,62,148,46,True Neutral,"[ 06, 08, 13, 13, 11, 07 ]",9.67,Commoner,394
Dwarf: ,Male,69,162,48,Chaotic Evil,"[ 08, 10, 05, 10, 07, 10 ]",8.33,Commoner,374
Human: ,Male,19,177,67,Lawful Neutral,"[ 08, 17, 12, 14, 07, 12 ]",11.67,Elite,119
Dwarf: ,Male,68,160,44,Neutral Good,"[ 07, 09, 15, 08, 07, 08 ]",9.0,Commoner,319
Dwarf: ,Female,60,135,50,Lawful Good,"[ 11, 05, 07, 17, 14, 14 ]",11.33,Elite,327
Dwarf: ,Female,74,126,46,Chaotic Evil,"[ 10, 09, 07, 08, 11, 07 ]",8.67,Commoner,388
Dwarf: ,Female,73,127,51,Lawful Evil,"[ 08, 09, 10, 07, 10, 14 ]",9.67,Commoner,377
Dwarf: ,Male,68,155,51,Chaotic Evil,"[ 08, 09, 09, 12, 09, 14 ]",10.17,Commoner,436
Dwarf: ,Female,71,132,44,Chaotic Good,"[ 12, 10, 14, 11, 12, 06 ]",10.83,Commoner,390
Dwarf: ,Female,57,127,45,Neutral Evil,"[ 12, 13, 10, 07, 08, 07 ]",9.5,Commoner,265
