Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,67,116,49,Lawful Neutral,"[ 09, 06, 09, 14, 14, 15 ]",11.17,Commoner,341
Dwarf: ,Male,62,155,51,Lawful Good,"[ 09, 13, 07, 10, 14, 06 ]",9.83,Commoner,333
Dwarf: ,Female,69,124,43,Neutral Good,"[ 13, 08, 12, 10, 09, 10 ]",10.33,Commoner,382
Dwarf: ,Male,70,144,53,Neutral Evil,"[ 06, 08, 06, 08, 11, 11 ]",8.33,Commoner,322
Dwarf: ,Male,73,141,44,Lawful Evil,"[ 15, 12, 11, 04, 08, 18 ]",11.33,Elite,383
Dwarf: ,Female,72,116,51,Neutral Evil,"[ 05, 12, 13, 11, 14, 12 ]",11.17,Commoner,322
Dwarf: ,Female,66,130,46,Chaotic Good,"[ 09, 11, 10, 06, 08, 08 ]",8.67,Commoner,411
Dwarf: ,Male,74,152,46,Chaotic Evil,"[ 10, 09, 09, 09, 13, 15 ]",10.83,Commoner,289
Dwarf: ,Male,64,159,46,True Neutral,"[ 11, 08, 04, 09, 10, 12 ]",9.0,Commoner,294
Dwarf: ,Male,60,151,45,Lawful Neutral,"[ 08, 07, 10, 08, 06, 15 ]",9.0,Commoner,353
Dwarf: ,Female,56,131,43,True Neutral,"[ 11, 09, 10, 11, 12, 07 ]",10.0,Commoner,360
Dwarf: ,Female,56,128,48,Lawful Evil,"[ 09, 12, 09, 05, 05, 11 ]",8.5,Commoner,398
Dwarf: ,Male,65,164,48,Chaotic Good,"[ 05, 11, 05, 11, 05, 05 ]",7.0,Commoner,349
Dwarf: ,Male,68,157,50,Neutral Evil,"[ 06, 07, 09, 12, 08, 09 ]",8.5,Commoner,334
Dwarf: ,Male,64,145,47,Chaotic Good,"[ 09, 10, 11, 09, 09, 09 ]",9.5,Commoner,383
Dwarf: ,Male,59,147,50,Lawful Good,"[ 11, 12, 04, 05, 11, 09 ]",8.67,Commoner,350
Dwarf: ,Male,70,159,44,True Neutral,"[ 12, 07, 12, 08, 09, 08 ]",9.33,Commoner,295
Dwarf: ,Female,63,125,49,Lawful Good,"[ 04, 06, 10, 09, 10, 10 ]",8.17,Commoner,306
Dwarf: ,Female,69,121,43,Neutral Evil,"[ 08, 10, 10, 11, 09, 09 ]",9.5,Commoner,441
Dwarf: ,Female,57,131,48,True Neutral,"[ 05, 08, 07, 13, 09, 08 ]",8.33,Commoner,344
Dwarf: ,Male,68,152,45,Lawful Evil,"[ 10, 09, 12, 08, 10, 08 ]",9.5,Commoner,408
Dwarf: ,Male,67,153,44,True Neutral,"[ 10, 09, 10, 11, 08, 06 ]",9.0,Commoner,344
Dwarf: ,Male,58,156,51,Lawful Good,"[ 10, 10, 05, 10, 11, 12 ]",9.67,Commoner,370
Dwarf: ,Female,66,127,50,Lawful Evil,"[ 10, 05, 06, 11, 10, 07 ]",8.17,Commoner,335
Dwarf: ,Female,68,121,43,Lawful Good,"[ 10, 10, 08, 09, 14, 12 ]",10.5,Commoner,339
Dwarf: ,Male,79,156,52,Neutral Good,"[ 05, 08, 07, 06, 11, 09 ]",7.67,Commoner,322
Dwarf: ,Female,70,134,43,Lawful Good,"[ 10, 14, 08, 07, 08, 07 ]",9.0,Commoner,351
Dwarf: ,Male,80,160,47,Lawful Evil,"[ 07, 15, 10, 11, 06, 08 ]",9.5,Commoner,351
Gnome: ,Female,80,77,37,Neutral Evil,"[ 11, 14, 12, 16, 13, 11 ]",12.83,Adventurer,360
Dwarf: ,Male,58,158,50,Neutral Good,"[ 07, 05, 09, 10, 09, 10 ]",8.33,Commoner,372
Dwarf: ,Male,66,157,48,Neutral Evil,"[ 10, 11, 08, 08, 12, 08 ]",9.5,Commoner,346
Dwarf: ,Male,67,153,45,Neutral Good,"[ 09, 09, 13, 07, 08, 12 ]",9.67,Commoner,367
Dwarf: ,Female,65,126,48,Chaotic Neutral,"[ 13, 14, 08, 08, 10, 08 ]",10.17,Commoner,328
Dwarf: ,Male,76,162,52,Lawful Neutral,"[ 07, 07, 09, 05, 11, 06 ]",7.5,Commoner,356
Dwarf: ,Female,61,122,47,Chaotic Good,"[ 08, 05, 11, 09, 12, 09 ]",9.0,Commoner,348
Dwarf: ,Female,69,128,45,Chaotic Evil,"[ 09, 09, 06, 10, 13, 09 ]",9.33,Commoner,333
Dwarf: ,Male,70,150,48,Chaotic Neutral,"[ 13, 09, 06, 07, 08, 06 ]",8.17,Commoner,298
Dwarf: ,Female,69,124,48,Chaotic Evil,"[ 14, 08, 11, 11, 07, 12 ]",10.5,Commoner,329
Dwarf: ,Female,72,130,43,Chaotic Evil,"[ 08, 08, 13, 09, 12, 09 ]",9.83,Commoner,393
Dwarf: ,Male,71,149,45,Lawful Evil,"[ 13, 07, 10, 04, 07, 09 ]",8.33,Commoner,336
Dwarf: ,Male,69,162,48,Neutral Good,"[ 15, 09, 08, 14, 11, 12 ]",11.5,Elite,390
Dwarf: ,Female,67,127,48,Neutral Good,"[ 11, 10, 16, 12, 07, 10 ]",11.0,Commoner,359
Dwarf: ,Male,75,150,47,Lawful Neutral,"[ 07, 08, 11, 11, 13, 13 ]",10.5,Commoner,316
Dwarf: ,Female,74,123,47,Lawful Evil,"[ 09, 14, 11, 10, 10, 13 ]",11.17,Commoner,423
Dwarf: ,Male,70,156,53,Lawful Evil,"[ 09, 06, 10, 12, 09, 12 ]",9.67,Commoner,291
