Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,59,148,50,Neutral Good,"[ 07, 11, 09, 12, 08, 07 ]",9.0,Commoner,349
Dwarf: ,Male,68,157,48,Neutral Evil,"[ 11, 10, 09, 14, 07, 15 ]",11.0,Commoner,340
Dwarf: ,Female,64,131,47,Lawful Good,"[ 07, 06, 09, 07, 14, 13 ]",9.33,Commoner,377
Dwarf: ,Female,73,116,43,Lawful Evil,"[ 11, 10, 09, 11, 11, 10 ]",10.33,Commoner,402
Dwarf: ,Male,59,158,46,Neutral Good,"[ 10, 13, 07, 12, 05, 13 ]",10.0,Commoner,349
Dwarf: ,Female,65,124,48,True Neutral,"[ 10, 09, 09, 07, 10, 07 ]",8.67,Commoner,360
Halfling: ,Male,28,66,42,Neutral Evil,"[ 13, 16, 12, 10, 15, 08 ]",12.33,Elite,199
Dwarf: ,Male,73,149,45,Chaotic Neutral,"[ 06, 09, 14, 09, 12, 11 ]",10.17,Commoner,403
Dwarf: ,Female,73,126,42,Lawful Neutral,"[ 07, 13, 06, 12, 14, 14 ]",11.0,Commoner,417
Dwarf: ,Male,54,147,44,Chaotic Good,"[ 09, 07, 09, 04, 09, 06 ]",7.33,Commoner,385
Dwarf: ,Female,59,132,46,Neutral Evil,"[ 10, 09, 09, 11, 12, 08 ]",9.83,Commoner,307
Dwarf: ,Female,67,128,47,Lawful Neutral,"[ 08, 10, 09, 10, 13, 09 ]",9.83,Commoner,353
Dwarf: ,Male,73,154,53,True Neutral,"[ 08, 13, 08, 12, 07, 12 ]",10.0,Commoner,331
Half-Elf: ,Male,17,122,70,True Neutral,"[ 17, 16, 12, 11, 11, 13 ]",13.33,Adventurer,153
Dwarf: ,Female,69,125,48,Chaotic Good,"[ 07, 06, 11, 13, 09, 10 ]",9.33,Commoner,344
Dwarf: ,Female,76,128,42,Lawful Good,"[ 03, 06, 05, 11, 05, 12 ]",7.0,Commoner,358
Dwarf: ,Male,77,155,45,Lawful Good,"[ 09, 15, 09, 07, 10, 15 ]",10.83,Commoner,395
Dwarf: ,Male,69,153,53,Chaotic Evil,"[ 08, 09, 13, 12, 11, 12 ]",10.83,Commoner,326
Dwarf: ,Female,69,126,46,True Neutral,"[ 08, 06, 08, 06, 13, 13 ]",9.0,Commoner,298
Dwarf: ,Male,74,145,53,Neutral Good,"[ 05, 04, 10, 11, 09, 08 ]",7.83,Commoner,350
Dwarf: ,Male,65,163,46,Chaotic Good,"[ 14, 12, 13, 06, 12, 08 ]",10.83,Commoner,387
Dwarf: ,Male,61,144,49,Chaotic Evil,"[ 10, 10, 05, 08, 03, 10 ]",7.67,Commoner,327
Dwarf: ,Female,60,120,43,Lawful Evil,"[ 08, 09, 06, 07, 09, 06 ]",7.5,Commoner,362
Dwarf: ,Male,72,144,49,Chaotic Evil,"[ 11, 07, 11, 07, 12, 08 ]",9.33,Commoner,308
Dwarf: ,Female,62,132,45,Lawful Neutral,"[ 04, 07, 09, 07, 10, 12 ]",8.17,Commoner,357
Dwarf: ,Female,64,126,51,Chaotic Evil,"[ 11, 08, 13, 13, 10, 09 ]",10.67,Commoner,420
Dwarf: ,Male,70,162,44,Chaotic Evil,"[ 08, 08, 09, 11, 10, 07 ]",8.83,Commoner,280
Dwarf: ,Female,64,124,51,Chaotic Evil,"[ 09, 10, 09, 09, 11, 08 ]",9.33,Commoner,367
Dwarf: ,Male,69,147,51,Neutral Good,"[ 10, 09, 12, 11, 11, 11 ]",10.67,Commoner,340
Dwarf: ,Female,66,122,49,True Neutral,"[ 11, 12, 10, 11, 08, 06 ]",9.67,Commoner,330
Dwarf: ,Female,67,116,48,True Neutral,"[ 04, 08, 12, 12, 14, 07 ]",9.5,Commoner,380
Dwarf: ,Female,60,125,42,Neutral Good,"[ 06, 13, 09, 07, 09, 09 ]",8.83,Commoner,332
Dwarf: ,Male,64,154,51,Chaotic Evil,"[ 14, 12, 08, 06, 06, 07 ]",8.83,Commoner,411
Dwarf: ,Male,71,160,48,Lawful Evil,"[ 08, 09, 08, 05, 10, 10 ]",8.33,Commoner,313
Dwarf: ,Male,60,145,48,True Neutral,"[ 10, 05, 10, 08, 12, 10 ]",9.17,Commoner,360
Dwarf: ,Female,67,126,44,Chaotic Neutral,"[ 15, 13, 10, 09, 11, 11 ]",11.5,Elite,321
Dwarf: ,Male,71,149,53,Chaotic Good,"[ 10, 07, 09, 06, 11, 11 ]",9.0,Commoner,361
Dwarf: ,Male,72,150,46,Chaotic Evil,"[ 09, 07, 09, 07, 09, 07 ]",8.0,Commoner,280
Dwarf: ,Female,58,135,50,Chaotic Neutral,"[ 07, 06, 09, 11, 12, 12 ]",9.5,Commoner,394
Dwarf: ,Female,69,137,49,Chaotic Neutral,"[ 06, 06, 12, 07, 10, 08 ]",8.17,Commoner,336
Dwarf: ,Male,84,155,50,Neutral Evil,"[ 07, 05, 09, 12, 09, 06 ]",8.0,Commoner,412
Dwarf: ,Female,66,127,50,Lawful Neutral,"[ 11, 12, 10, 10, 15, 09 ]",11.17,Commoner,278
Halfling: ,Male,31,66,42,Lawful Neutral,"[ 12, 12, 16, 09, 10, 14 ]",12.17,Elite,157
Dwarf: ,Male,66,163,46,Chaotic Good,"[ 11, 12, 08, 06, 12, 11 ]",10.0,Commoner,376
Dwarf: ,Female,74,127,51,Chaotic Good,"[ 10, 09, 06, 09, 13, 11 ]",9.67,Commoner,337
Dwarf: ,Male,75,155,45,Lawful Evil,"[ 06, 10, 14, 13, 09, 14 ]",11.0,Commoner,334
Dwarf: ,Male,70,143,52,Chaotic Good,"[ 10, 07, 10, 06, 11, 07 ]",8.5,Commoner,344
Dwarf: ,Male,64,148,52,Neutral Evil,"[ 09, 09, 09, 10, 11, 11 ]",9.83,Commoner,370
Dwarf: ,Male,66,155,48,Chaotic Good,"[ 09, 08, 06, 08, 07, 04 ]",7.0,Commoner,323
Dwarf: ,Female,76,110,46,Chaotic Evil,"[ 07, 09, 10, 12, 11, 07 ]",9.33,Commoner,318
Dwarf: ,Male,71,153,50,Neutral Evil,"[ 12, 10, 08, 09, 07, 06 ]",8.67,Commoner,397
Dwarf: ,Male,72,161,53,True Neutral,"[ 04, 11, 10, 09, 07, 14 ]",9.17,Commoner,352
Dwarf: ,Male,69,160,51,Lawful Neutral,"[ 13, 08, 06, 08, 11, 10 ]",9.33,Commoner,352
Dwarf: ,Male,67,151,48,Lawful Good,"[ 15, 12, 09, 08, 13, 10 ]",11.17,Commoner,315
Dwarf: ,Female,64,132,48,Chaotic Evil,"[ 06, 08, 09, 09, 12, 10 ]",9.0,Commoner,365
Dwarf: ,Female,68,127,42,Lawful Neutral,"[ 10, 10, 11, 13, 11, 14 ]",11.5,Elite,361
Dwarf: ,Female,60,137,47,Lawful Neutral,"[ 14, 06, 08, 07, 14, 09 ]",9.67,Commoner,387
Dwarf: ,Female,78,123,48,Lawful Evil,"[ 05, 10, 13, 10, 10, 09 ]",9.5,Commoner,358
Dwarf: ,Male,73,159,53,True Neutral,"[ 10, 17, 05, 09, 17, 11 ]",11.5,Elite,321
Dwarf: ,Male,57,153,45,Lawful Good,"[ 10, 07, 11, 11, 10, 08 ]",9.5,Commoner,375
Dwarf: ,Female,68,122,43,True Neutral,"[ 07, 09, 05, 08, 05, 10 ]",7.33,Commoner,342
Dwarf: ,Male,73,164,52,Neutral Evil,"[ 09, 15, 11, 09, 06, 10 ]",10.0,Commoner,351
Dwarf: ,Female,70,137,43,Chaotic Evil,"[ 06, 03, 06, 10, 12, 13 ]",8.33,Commoner,365
Dwarf: ,Female,61,114,50,Lawful Evil,"[ 10, 10, 08, 15, 07, 11 ]",10.17,Commoner,361
Dwarf: ,Female,70,139,49,Lawful Evil,"[ 10, 07, 05, 08, 04, 06 ]",6.67,Commoner,305
Dwarf: ,Female,63,126,49,Neutral Evil,"[ 09, 10, 09, 11, 03, 13 ]",9.17,Commoner,337
Dwarf: ,Female,63,120,48,Chaotic Good,"[ 10, 09, 11, 11, 10, 12 ]",10.5,Commoner,333
Dwarf: ,Male,67,143,50,Chaotic Neutral,"[ 10, 07, 11, 05, 06, 09 ]",8.0,Commoner,317
Dwarf: ,Female,63,126,49,Chaotic Evil,"[ 06, 08, 08, 12, 17, 08 ]",9.83,Commoner,370
Dwarf: ,Female,70,133,48,True Neutral,"[ 10, 07, 07, 10, 10, 09 ]",8.83,Commoner,399
Dwarf: ,Female,67,127,46,Lawful Good,"[ 07, 10, 11, 12, 09, 06 ]",9.17,Commoner,371
Dwarf: ,Female,80,132,44,Chaotic Evil,"[ 15, 07, 10, 09, 11, 08 ]",10.0,Commoner,357
Dwarf: ,Male,65,146,51,Chaotic Good,"[ 05, 11, 10, 13, 10, 11 ]",10.0,Commoner,333
Dwarf: ,Male,58,152,52,Lawful Good,"[ 04, 07, 07, 11, 10, 09 ]",8.0,Commoner,370
Dwarf: ,Male,63,140,48,Neutral Good,"[ 12, 10, 09, 09, 08, 09 ]",9.5,Commoner,357
Dwarf: ,Female,71,121,48,Lawful Evil,"[ 07, 07, 09, 07, 11, 10 ]",8.5,Commoner,357
Dwarf: ,Male,69,154,48,Lawful Good,"[ 05, 12, 12, 11, 08, 08 ]",9.33,Commoner,356
Dwarf: ,Male,56,149,45,Lawful Evil,"[ 09, 07, 08, 07, 13, 08 ]",8.67,Commoner,361
Dwarf: ,Male,74,157,52,Lawful Neutral,"[ 06, 12, 10, 09, 10, 10 ]",9.5,Commoner,352
Dwarf: ,Female,65,116,43,Chaotic Good,"[ 09, 09, 09, 12, 15, 13 ]",11.17,Commoner,329
Dwarf: ,Female,81,135,50,Chaotic Evil,"[ 11, 09, 14, 07, 11, 08 ]",10.0,Commoner,334
Dwarf: ,Male,58,142,45,Chaotic Evil,"[ 11, 07, 10, 06, 08, 06 ]",8.0,Commoner,406
Dwarf: ,Male,66,143,46,Chaotic Evil,"[ 09, 08, 10, 07, 07, 12 ]",8.83,Commoner,413
Dwarf: ,Female,70,126,50,Chaotic Neutral,"[ 09, 07, 10, 10, 06, 09 ]",8.5,Commoner,375
Dwarf: ,Male,58,149,46,Neutral Evil,"[ 07, 10, 13, 07, 08, 10 ]",9.17,Commoner,336
Dwarf: ,Male,69,147,51,Lawful Evil,"[ 09, 09, 09, 10, 06, 06 ]",8.17,Commoner,430
Dwarf: ,Female,72,121,47,True Neutral,"[ 09, 09, 13, 09, 06, 11 ]",9.5,Commoner,425
Dwarf: ,Female,80,128,45,Chaotic Good,"[ 08, 09, 12, 13, 10, 08 ]",10.0,Commoner,376
Dwarf: ,Male,71,154,53,Chaotic Neutral,"[ 08, 13, 06, 09, 12, 09 ]",9.5,Commoner,305
Dwarf: ,Male,71,155,52,Neutral Good,"[ 11, 10, 10, 08, 03, 08 ]",8.33,Commoner,316
Dwarf: ,Male,71,141,45,Chaotic Good,"[ 04, 12, 08, 09, 06, 10 ]",8.17,Commoner,358
Dwarf: ,Female,66,120,51,Lawful Good,"[ 11, 11, 09, 11, 07, 09 ]",9.67,Commoner,293
Dwarf: ,Female,67,128,51,Chaotic Evil,"[ 09, 07, 11, 12, 09, 12 ]",10.0,Commoner,288
Dwarf: ,Female,55,122,45,Neutral Good,"[ 09, 11, 08, 06, 05, 12 ]",8.5,Commoner,348
Dwarf: ,Male,67,142,45,Lawful Neutral,"[ 07, 07, 13, 09, 08, 11 ]",9.17,Commoner,399
Dwarf: ,Male,67,152,46,Chaotic Evil,"[ 09, 13, 09, 04, 08, 06 ]",8.17,Commoner,307
Dwarf: ,Female,75,128,47,Neutral Evil,"[ 06, 09, 11, 08, 06, 13 ]",8.83,Commoner,335
Dwarf: ,Female,64,114,49,True Neutral,"[ 06, 10, 08, 08, 10, 13 ]",9.17,Commoner,381
Dwarf: ,Female,75,127,50,Lawful Good,"[ 09, 12, 12, 06, 13, 05 ]",9.5,Commoner,341
Dwarf: ,Male,58,157,46,Lawful Good,"[ 10, 07, 08, 14, 08, 09 ]",9.33,Commoner,381
Dwarf: ,Female,85,123,49,Chaotic Evil,"[ 07, 12, 05, 09, 14, 10 ]",9.5,Commoner,383
Dwarf: ,Male,61,155,46,True Neutral,"[ 11, 12, 09, 09, 08, 10 ]",9.83,Commoner,396
Dwarf: ,Female,56,131,45,Lawful Neutral,"[ 05, 06, 09, 07, 09, 09 ]",7.5,Commoner,326
Dwarf: ,Male,66,149,53,True Neutral,"[ 04, 12, 11, 09, 09, 06 ]",8.5,Commoner,388
Dwarf: ,Male,67,162,45,Lawful Neutral,"[ 14, 11, 09, 12, 12, 09 ]",11.17,Commoner,349
Dwarf: ,Female,72,124,49,Chaotic Evil,"[ 09, 07, 10, 08, 08, 10 ]",8.67,Commoner,294
Dwarf: ,Female,72,129,51,Lawful Evil,"[ 07, 11, 08, 14, 06, 09 ]",9.17,Commoner,365
Dwarf: ,Male,73,153,44,Neutral Good,"[ 12, 11, 11, 07, 09, 09 ]",9.83,Commoner,402
Dwarf: ,Female,65,126,51,Chaotic Evil,"[ 10, 04, 13, 14, 12, 16 ]",11.5,Elite,338
Dwarf: ,Male,75,161,49,Lawful Neutral,"[ 08, 11, 09, 06, 07, 11 ]",8.67,Commoner,329
Dwarf: ,Female,74,130,48,Chaotic Evil,"[ 09, 10, 11, 13, 10, 08 ]",10.17,Commoner,369
Dwarf: ,Male,63,154,45,Lawful Neutral,"[ 10, 14, 10, 11, 10, 16 ]",11.83,Elite,322
Dwarf: ,Male,68,154,52,True Neutral,"[ 11, 08, 06, 07, 07, 07 ]",7.67,Commoner,350
Dwarf: ,Male,70,162,53,Chaotic Neutral,"[ 10, 06, 11, 09, 03, 07 ]",7.67,Commoner,425
Dwarf: ,Female,69,120,45,Chaotic Evil,"[ 12, 10, 08, 09, 06, 13 ]",9.67,Commoner,357
Halfling: ,Female,23,58,33,Neutral Good,"[ 09, 13, 13, 12, 12, 12 ]",11.83,Elite,146
Dwarf: ,Male,69,150,51,Neutral Good,"[ 12, 08, 10, 09, 09, 12 ]",10.0,Commoner,360
Dwarf: ,Female,73,127,46,True Neutral,"[ 10, 06, 07, 06, 09, 09 ]",7.83,Commoner,334
Dwarf: ,Female,58,129,44,Lawful Neutral,"[ 09, 11, 04, 07, 09, 09 ]",8.17,Commoner,381
Dwarf: ,Female,64,128,45,True Neutral,"[ 07, 09, 06, 10, 07, 10 ]",8.17,Commoner,329
Dwarf: ,Female,68,134,51,Chaotic Evil,"[ 12, 09, 13, 11, 09, 04 ]",9.67,Commoner,349
Dwarf: ,Male,68,145,47,Neutral Evil,"[ 12, 08, 08, 13, 08, 13 ]",10.33,Commoner,297
Elf: ,Male,119,102,61,Neutral Evil,"[ 15, 12, 13, 10, 10, 10 ]",11.67,Elite,522
Dwarf: ,Male,58,146,46,Chaotic Evil,"[ 09, 13, 12, 10, 05, 10 ]",9.83,Commoner,412
Dwarf: ,Female,63,132,50,Chaotic Good,"[ 09, 07, 04, 05, 08, 10 ]",7.17,Commoner,273
Dwarf: ,Male,72,163,44,Chaotic Neutral,"[ 16, 13, 11, 08, 08, 14 ]",11.67,Elite,351
Dwarf: ,Female,72,121,44,Lawful Neutral,"[ 04, 10, 11, 04, 06, 07 ]",7.0,Commoner,350
Dwarf: ,Male,75,153,47,Lawful Evil,"[ 12, 09, 10, 10, 10, 05 ]",9.33,Commoner,299
Dwarf: ,Male,70,149,50,Chaotic Neutral,"[ 17, 10, 04, 14, 04, 06 ]",9.17,Commoner,340
Dwarf: ,Female,71,114,42,Chaotic Neutral,"[ 05, 07, 09, 07, 13, 03 ]",7.33,Commoner,331
Dwarf: ,Female,52,137,51,Lawful Evil,"[ 10, 07, 15, 08, 12, 08 ]",10.0,Commoner,342
Dwarf: ,Female,64,130,46,Chaotic Evil,"[ 05, 11, 10, 06, 13, 08 ]",8.83,Commoner,384
Dwarf: ,Female,69,131,49,Lawful Good,"[ 05, 07, 08, 10, 12, 05 ]",7.83,Commoner,292
Dwarf: ,Female,63,127,43,True Neutral,"[ 07, 11, 06, 09, 07, 06 ]",7.67,Commoner,277
Dwarf: ,Male,59,156,53,Lawful Good,"[ 10, 05, 06, 13, 07, 11 ]",8.67,Commoner,400
Dwarf: ,Female,59,135,46,Chaotic Good,"[ 08, 08, 09, 09, 10, 06 ]",8.33,Commoner,313
Dwarf: ,Female,66,112,45,Lawful Evil,"[ 11, 10, 11, 15, 14, 05 ]",11.0,Commoner,353
Gnome: ,Female,91,76,38,Lawful Evil,"[ 07, 13, 16, 10, 13, 12 ]",11.83,Elite,245
Dwarf: ,Female,67,130,48,Lawful Neutral,"[ 07, 05, 11, 11, 08, 08 ]",8.33,Commoner,398
Dwarf: ,Female,67,127,46,Chaotic Evil,"[ 12, 12, 10, 06, 09, 08 ]",9.5,Commoner,331
Dwarf: ,Female,61,132,50,Chaotic Neutral,"[ 10, 08, 09, 09, 08, 07 ]",8.5,Commoner,317
Dwarf: ,Female,69,137,48,Chaotic Good,"[ 08, 10, 13, 10, 08, 13 ]",10.33,Commoner,372
Dwarf: ,Female,73,118,43,Lawful Evil,"[ 14, 05, 10, 04, 04, 08 ]",7.5,Commoner,335
Dwarf: ,Female,69,127,50,True Neutral,"[ 09, 07, 11, 08, 12, 07 ]",9.0,Commoner,382
Dwarf: ,Female,71,126,49,Lawful Good,"[ 11, 07, 10, 10, 10, 10 ]",9.67,Commoner,386
Dwarf: ,Female,67,131,51,Neutral Evil,"[ 10, 14, 06, 07, 12, 12 ]",10.17,Commoner,258
Dwarf: ,Female,72,128,51,Chaotic Neutral,"[ 11, 06, 08, 10, 12, 07 ]",9.0,Commoner,404
Dwarf: ,Female,57,128,44,Chaotic Neutral,"[ 07, 10, 07, 07, 11, 13 ]",9.17,Commoner,399
Half-Elf: ,Female,19,103,60,Lawful Good,"[ 16, 14, 06, 12, 12, 13 ]",12.17,Elite,173
Dwarf: ,Male,63,161,46,Neutral Good,"[ 06, 08, 10, 05, 08, 07 ]",7.33,Commoner,273
Dwarf: ,Female,64,128,43,Chaotic Neutral,"[ 06, 08, 11, 09, 13, 10 ]",9.5,Commoner,346
Dwarf: ,Male,62,151,48,Lawful Neutral,"[ 06, 06, 07, 08, 05, 06 ]",6.33,Commoner,431
Dwarf: ,Male,78,156,49,Chaotic Good,"[ 08, 13, 09, 08, 11, 05 ]",9.0,Commoner,359
Dwarf: ,Male,68,152,46,True Neutral,"[ 10, 13, 07, 08, 13, 13 ]",10.67,Commoner,357
Dwarf: ,Female,64,123,44,Lawful Evil,"[ 09, 06, 10, 11, 12, 09 ]",9.5,Commoner,278
