Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,66,155,50,Neutral Good,"[ 08, 09, 06, 06, 10, 05 ]",7.33,Commoner,434
Dwarf: ,Male,72,155,46,Chaotic Evil,"[ 08, 09, 11, 10, 11, 12 ]",10.17,Commoner,313
Gnome: ,Male,88,83,41,True Neutral,"[ 12, 15, 17, 08, 11, 13 ]",12.67,Elite,329
Dwarf: ,Male,66,154,51,Lawful Evil,"[ 11, 08, 09, 08, 11, 09 ]",9.33,Commoner,408
Dwarf: ,Male,73,150,52,Chaotic Neutral,"[ 12, 05, 07, 08, 09, 09 ]",8.33,Commoner,321
Dwarf: ,Female,71,134,48,Lawful Evil,"[ 08, 10, 10, 11, 09, 12 ]",10.0,Commoner,296
Dwarf: ,Male,71,145,48,True Neutral,"[ 07, 07, 04, 06, 09, 13 ]",7.67,Commoner,396
Dwarf: ,Female,61,128,43,Neutral Good,"[ 09, 12, 07, 10, 10, 09 ]",9.5,Commoner,287
Dwarf: ,Male,68,151,50,Lawful Neutral,"[ 12, 14, 05, 07, 06, 11 ]",9.17,Commoner,345
Dwarf: ,Male,67,144,47,Lawful Evil,"[ 08, 08, 13, 10, 09, 07 ]",9.17,Commoner,345
Dwarf: ,Female,62,126,44,Lawful Neutral,"[ 08, 14, 07, 07, 06, 06 ]",8.0,Commoner,287
Dwarf: ,Female,67,133,51,True Neutral,"[ 07, 09, 12, 09, 03, 11 ]",8.5,Commoner,314
Dwarf: ,Female,56,125,45,Neutral Good,"[ 07, 07, 07, 10, 09, 12 ]",8.67,Commoner,370
Dwarf: ,Male,80,159,47,Chaotic Good,"[ 09, 12, 12, 13, 07, 11 ]",10.67,Commoner,358
Dwarf: ,Female,62,123,46,Lawful Evil,"[ 10, 12, 11, 10, 16, 06 ]",10.83,Commoner,324
Dwarf: ,Male,66,154,46,Chaotic Good,"[ 08, 10, 10, 10, 08, 06 ]",8.67,Commoner,319
Dwarf: ,Female,61,139,49,Chaotic Evil,"[ 11, 15, 12, 07, 06, 09 ]",10.0,Commoner,316
Dwarf: ,Male,72,149,51,Lawful Good,"[ 07, 08, 14, 10, 09, 12 ]",10.0,Commoner,321
Dwarf: ,Female,64,120,42,Lawful Neutral,"[ 15, 04, 11, 08, 10, 10 ]",9.67,Commoner,368
Dwarf: ,Female,61,130,49,Neutral Good,"[ 08, 08, 12, 11, 09, 08 ]",9.33,Commoner,332
Dwarf: ,Female,71,127,50,Chaotic Neutral,"[ 09, 06, 10, 10, 11, 08 ]",9.0,Commoner,391
Dwarf: ,Male,64,158,51,Chaotic Neutral,"[ 09, 11, 05, 08, 14, 05 ]",8.67,Commoner,411
Dwarf: ,Male,64,154,45,Lawful Neutral,"[ 12, 10, 09, 13, 08, 10 ]",10.33,Commoner,372
Dwarf: ,Female,61,122,50,Neutral Good,"[ 07, 13, 11, 06, 08, 10 ]",9.17,Commoner,340
Dwarf: ,Female,66,129,47,Lawful Good,"[ 03, 05, 04, 12, 11, 06 ]",6.83,Commoner,359
Dwarf: ,Male,65,153,46,Lawful Neutral,"[ 04, 05, 08, 08, 12, 08 ]",7.5,Commoner,308
Half-Elf: ,Female,17,99,63,Chaotic Evil,"[ 14, 18, 17, 11, 04, 06 ]",11.67,Elite,173
Dwarf: ,Male,73,148,47,Chaotic Neutral,"[ 06, 07, 04, 11, 12, 08 ]",8.0,Commoner,338
Dwarf: ,Male,56,154,49,Chaotic Good,"[ 08, 03, 09, 08, 11, 14 ]",8.83,Commoner,373
Dwarf: ,Female,72,119,44,Chaotic Evil,"[ 10, 08, 10, 12, 08, 08 ]",9.33,Commoner,322
Dwarf: ,Male,67,160,51,Chaotic Good,"[ 09, 06, 08, 06, 06, 15 ]",8.33,Commoner,327
Dwarf: ,Female,73,132,47,Chaotic Neutral,"[ 06, 05, 07, 07, 09, 08 ]",7.0,Commoner,422
Dwarf: ,Male,72,158,49,Neutral Evil,"[ 12, 10, 11, 14, 10, 09 ]",11.0,Commoner,378
Dwarf: ,Male,70,152,49,Neutral Good,"[ 08, 09, 11, 06, 06, 09 ]",8.17,Commoner,353
Dwarf: ,Female,73,128,50,Neutral Evil,"[ 13, 09, 09, 05, 12, 04 ]",8.67,Commoner,371
Dwarf: ,Female,59,116,44,Lawful Evil,"[ 09, 05, 11, 06, 07, 11 ]",8.17,Commoner,292
Dwarf: ,Female,76,121,44,Lawful Neutral,"[ 04, 11, 05, 13, 12, 04 ]",8.17,Commoner,377
Dwarf: ,Male,62,156,48,Neutral Good,"[ 11, 09, 14, 04, 08, 12 ]",9.67,Commoner,438
Dwarf: ,Female,61,134,51,Chaotic Neutral,"[ 12, 09, 11, 10, 07, 14 ]",10.5,Commoner,357
Dwarf: ,Male,62,150,45,Neutral Evil,"[ 10, 07, 11, 06, 05, 10 ]",8.17,Commoner,429
Dwarf: ,Female,71,119,43,Chaotic Good,"[ 15, 11, 11, 07, 06, 06 ]",9.33,Commoner,324
Dwarf: ,Male,62,147,45,Lawful Evil,"[ 08, 09, 09, 05, 13, 10 ]",9.0,Commoner,350
Dwarf: ,Male,59,156,50,Chaotic Good,"[ 08, 08, 06, 07, 05, 06 ]",6.67,Commoner,415
Dwarf: ,Male,65,149,47,Lawful Good,"[ 09, 05, 11, 09, 11, 13 ]",9.67,Commoner,301
Dwarf: ,Female,64,126,44,Chaotic Good,"[ 07, 09, 12, 11, 11, 07 ]",9.5,Commoner,358
Dwarf: ,Male,67,161,49,Lawful Neutral,"[ 08, 12, 13, 15, 08, 09 ]",10.83,Commoner,360
Dwarf: ,Female,75,136,50,Lawful Neutral,"[ 10, 09, 12, 07, 11, 08 ]",9.5,Commoner,351
Dwarf: ,Female,60,130,42,Chaotic Neutral,"[ 09, 08, 08, 09, 09, 10 ]",8.83,Commoner,427
Halfling: ,Female,30,59,46,Lawful Evil,"[ 14, 12, 13, 13, 15, 08 ]",12.5,Elite,179
Dwarf: ,Male,72,151,47,Chaotic Neutral,"[ 06, 05, 03, 04, 08, 10 ]",6.0,Commoner,372
Dwarf: ,Male,69,150,52,True Neutral,"[ 10, 12, 08, 08, 08, 11 ]",9.5,Commoner,288
Dwarf: ,Male,70,154,53,Lawful Evil,"[ 14, 06, 07, 11, 10, 08 ]",9.33,Commoner,369
Dwarf: ,Male,56,151,46,Chaotic Neutral,"[ 09, 13, 13, 09, 06, 03 ]",8.83,Commoner,359
Dwarf: ,Male,76,157,52,Lawful Evil,"[ 13, 12, 12, 08, 09, 06 ]",10.0,Commoner,326
Dwarf: ,Male,70,150,48,Neutral Good,"[ 10, 09, 08, 03, 06, 15 ]",8.5,Commoner,319
Dwarf: ,Male,56,163,50,Lawful Good,"[ 13, 09, 06, 08, 12, 06 ]",9.0,Commoner,360
Dwarf: ,Female,68,131,45,Chaotic Neutral,"[ 06, 14, 12, 12, 12, 10 ]",11.0,Commoner,421
Dwarf: ,Male,63,153,48,Chaotic Good,"[ 12, 09, 07, 09, 08, 12 ]",9.5,Commoner,359
Dwarf: ,Female,64,122,51,True Neutral,"[ 04, 09, 09, 11, 07, 12 ]",8.67,Commoner,357
Dwarf: ,Male,66,158,50,Chaotic Neutral,"[ 09, 08, 10, 14, 04, 07 ]",8.67,Commoner,311
Halfling: ,Male,27,60,45,Chaotic Good,"[ 08, 18, 14, 08, 08, 18 ]",12.33,Elite,161
Dwarf: ,Female,59,121,47,Lawful Evil,"[ 09, 15, 12, 10, 07, 07 ]",10.0,Commoner,447
Dwarf: ,Male,77,151,45,True Neutral,"[ 06, 07, 09, 11, 10, 08 ]",8.5,Commoner,325
Dwarf: ,Male,69,149,48,Chaotic Good,"[ 09, 09, 08, 07, 10, 13 ]",9.33,Commoner,311
Dwarf: ,Male,69,147,53,Lawful Neutral,"[ 08, 09, 13, 12, 09, 12 ]",10.5,Commoner,419
Dwarf: ,Male,71,163,51,Neutral Good,"[ 07, 11, 06, 05, 08, 09 ]",7.67,Commoner,321
Dwarf: ,Female,74,130,47,Chaotic Neutral,"[ 06, 11, 06, 10, 10, 08 ]",8.5,Commoner,416
Dwarf: ,Female,60,130,50,Chaotic Good,"[ 08, 06, 13, 10, 06, 12 ]",9.17,Commoner,269
Dwarf: ,Male,74,155,51,Lawful Neutral,"[ 08, 13, 08, 13, 05, 07 ]",9.0,Commoner,361
Dwarf: ,Female,60,125,49,True Neutral,"[ 08, 04, 09, 12, 06, 07 ]",7.67,Commoner,350
Dwarf: ,Female,59,130,49,Neutral Evil,"[ 09, 13, 06, 09, 06, 08 ]",8.5,Commoner,420
Dwarf: ,Female,68,124,50,True Neutral,"[ 10, 05, 10, 10, 08, 09 ]",8.67,Commoner,326
Elf: ,Male,113,100,58,Lawful Good,"[ 17, 14, 07, 15, 17, 05 ]",12.5,Elite,504
Dwarf: ,Female,62,122,50,Neutral Good,"[ 12, 08, 09, 11, 11, 12 ]",10.5,Commoner,335
Dwarf: ,Male,57,146,53,Neutral Evil,"[ 05, 14, 05, 12, 14, 10 ]",10.0,Commoner,396
Dwarf: ,Male,69,153,44,Chaotic Evil,"[ 11, 05, 12, 08, 04, 09 ]",8.17,Commoner,265
Dwarf: ,Male,61,151,52,Lawful Neutral,"[ 07, 10, 10, 07, 07, 08 ]",8.17,Commoner,360
Dwarf: ,Female,58,114,47,True Neutral,"[ 12, 09, 10, 07, 08, 10 ]",9.33,Commoner,338
Dwarf: ,Female,65,121,45,Neutral Evil,"[ 11, 06, 09, 05, 09, 07 ]",7.83,Commoner,392
Dwarf: ,Male,72,162,47,Lawful Evil,"[ 12, 13, 08, 12, 07, 08 ]",10.0,Commoner,335
Dwarf: ,Female,63,118,50,Neutral Good,"[ 06, 08, 09, 14, 11, 05 ]",8.83,Commoner,301
Dwarf: ,Female,74,136,44,Neutral Good,"[ 07, 10, 05, 06, 12, 11 ]",8.5,Commoner,339
Dwarf: ,Female,84,119,46,Lawful Neutral,"[ 10, 10, 12, 10, 10, 12 ]",10.67,Commoner,355
Dwarf: ,Male,60,144,47,Neutral Good,"[ 04, 11, 10, 05, 09, 08 ]",7.83,Commoner,337
Dwarf: ,Female,79,138,48,Chaotic Evil,"[ 14, 12, 07, 10, 15, 12 ]",11.67,Elite,373
Dwarf: ,Male,75,157,44,True Neutral,"[ 10, 11, 08, 09, 08, 09 ]",9.17,Commoner,286
Dwarf: ,Female,62,132,48,Neutral Evil,"[ 08, 16, 11, 10, 10, 17 ]",12.0,Elite,373
Dwarf: ,Female,65,131,49,Neutral Good,"[ 10, 11, 08, 06, 10, 10 ]",9.17,Commoner,386
Dwarf: ,Female,75,130,46,Lawful Neutral,"[ 06, 10, 07, 07, 14, 05 ]",8.17,Commoner,327
Dwarf: ,Male,69,149,47,True Neutral,"[ 06, 09, 05, 06, 07, 13 ]",7.67,Commoner,429
Dwarf: ,Female,57,121,42,Chaotic Neutral,"[ 12, 11, 11, 12, 10, 13 ]",11.5,Elite,394
Dwarf: ,Male,57,152,44,Lawful Neutral,"[ 04, 07, 06, 08, 10, 08 ]",7.17,Commoner,331
Dwarf: ,Male,73,146,53,Chaotic Evil,"[ 09, 09, 07, 08, 08, 10 ]",8.5,Commoner,314
Dwarf: ,Male,76,152,44,Neutral Good,"[ 08, 11, 11, 11, 05, 11 ]",9.5,Commoner,409
Dwarf: ,Male,61,145,50,Lawful Evil,"[ 12, 13, 07, 06, 09, 08 ]",9.17,Commoner,297
Dwarf: ,Female,62,119,48,Lawful Good,"[ 11, 14, 10, 06, 13, 09 ]",10.5,Commoner,305
Dwarf: ,Female,64,125,44,Lawful Neutral,"[ 10, 09, 08, 13, 07, 09 ]",9.33,Commoner,296
Dwarf: ,Male,61,149,44,Neutral Good,"[ 06, 08, 08, 08, 07, 12 ]",8.17,Commoner,366
Dwarf: ,Female,72,114,43,True Neutral,"[ 10, 07, 03, 06, 10, 09 ]",7.5,Commoner,395
Dwarf: ,Male,66,147,48,Chaotic Good,"[ 12, 10, 08, 07, 06, 05 ]",8.0,Commoner,374
Human: ,Male,18,161,70,Chaotic Good,"[ 11, 14, 10, 10, 13, 12 ]",11.67,Elite,103
Dwarf: ,Female,77,117,50,Chaotic Good,"[ 06, 08, 08, 05, 12, 05 ]",7.33,Commoner,368
Dwarf: ,Female,77,125,51,Neutral Evil,"[ 05, 09, 10, 06, 05, 05 ]",6.67,Commoner,400
Dwarf: ,Female,56,132,43,Neutral Good,"[ 10, 08, 09, 09, 08, 07 ]",8.5,Commoner,364
Dwarf: ,Male,63,153,50,Chaotic Evil,"[ 10, 09, 10, 12, 07, 06 ]",9.0,Commoner,298
Dwarf: ,Female,68,120,43,Lawful Neutral,"[ 10, 10, 08, 04, 11, 08 ]",8.5,Commoner,332
Elf: ,Male,122,114,62,Lawful Neutral,"[ 10, 15, 11, 12, 14, 16 ]",13.0,Adventurer,427
Dwarf: ,Female,68,123,48,Chaotic Neutral,"[ 18, 04, 14, 11, 14, 12 ]",12.17,Elite,380
Dwarf: ,Female,60,133,45,Chaotic Good,"[ 07, 09, 09, 06, 13, 07 ]",8.5,Commoner,270
Dwarf: ,Female,72,121,46,Lawful Evil,"[ 14, 18, 11, 10, 07, 06 ]",11.0,Commoner,336
Dwarf: ,Female,75,114,45,Lawful Evil,"[ 08, 10, 05, 09, 11, 09 ]",8.67,Commoner,303
Dwarf: ,Male,58,161,52,Lawful Good,"[ 10, 05, 11, 17, 12, 14 ]",11.5,Elite,339
Dwarf: ,Male,68,150,49,True Neutral,"[ 08, 07, 12, 13, 13, 15 ]",11.33,Elite,364
Dwarf: ,Female,68,121,47,Lawful Neutral,"[ 05, 09, 08, 08, 11, 07 ]",8.0,Commoner,270
Dwarf: ,Male,61,153,52,True Neutral,"[ 12, 09, 09, 09, 13, 10 ]",10.33,Commoner,354
Dwarf: ,Male,62,157,52,True Neutral,"[ 12, 04, 07, 18, 04, 15 ]",10.0,Commoner,370
Dwarf: ,Female,75,135,45,Lawful Neutral,"[ 09, 15, 08, 11, 09, 10 ]",10.33,Commoner,317
Dwarf: ,Male,65,150,47,Lawful Evil,"[ 11, 11, 11, 09, 09, 09 ]",10.0,Commoner,343
Dwarf: ,Male,58,157,47,Chaotic Neutral,"[ 08, 11, 09, 10, 06, 10 ]",9.0,Commoner,280
Dwarf: ,Male,63,155,48,Chaotic Good,"[ 08, 08, 09, 10, 07, 06 ]",8.0,Commoner,313
Dwarf: ,Female,60,135,42,Lawful Good,"[ 10, 15, 06, 12, 11, 12 ]",11.0,Commoner,418
Dwarf: ,Male,69,134,53,Chaotic Good,"[ 09, 10, 12, 10, 08, 11 ]",10.0,Commoner,339
Dwarf: ,Male,64,154,48,Chaotic Evil,"[ 10, 11, 08, 04, 07, 12 ]",8.67,Commoner,308
Dwarf: ,Male,64,146,52,Chaotic Evil,"[ 05, 06, 05, 10, 13, 12 ]",8.5,Commoner,358
Gnome: ,Female,85,75,39,Lawful Good,"[ 09, 14, 13, 17, 06, 11 ]",11.67,Elite,334
Dwarf: ,Male,62,145,49,Chaotic Neutral,"[ 11, 11, 09, 06, 14, 13 ]",10.67,Commoner,313
Dwarf: ,Female,76,119,45,Neutral Evil,"[ 06, 05, 11, 11, 04, 06 ]",7.17,Commoner,362
Dwarf: ,Male,73,140,46,Lawful Evil,"[ 10, 06, 03, 08, 10, 11 ]",8.0,Commoner,338
Dwarf: ,Male,74,149,52,Lawful Neutral,"[ 07, 10, 06, 08, 09, 10 ]",8.33,Commoner,391
Dwarf: ,Female,68,135,48,Neutral Evil,"[ 11, 10, 14, 09, 10, 08 ]",10.33,Commoner,260
Dwarf: ,Female,55,124,46,Neutral Evil,"[ 13, 04, 10, 09, 08, 08 ]",8.67,Commoner,388
Dwarf: ,Male,67,147,52,Chaotic Good,"[ 06, 09, 12, 08, 06, 12 ]",8.83,Commoner,273
Dwarf: ,Female,63,126,50,Chaotic Evil,"[ 12, 04, 09, 11, 05, 12 ]",8.83,Commoner,398
Dwarf: ,Female,56,123,45,Chaotic Neutral,"[ 10, 07, 12, 16, 07, 12 ]",10.67,Commoner,372
Dwarf: ,Male,69,157,47,True Neutral,"[ 08, 08, 10, 07, 12, 10 ]",9.17,Commoner,322
Dwarf: ,Female,76,125,49,Chaotic Evil,"[ 14, 10, 08, 08, 12, 11 ]",10.5,Commoner,336
Half-Elf: ,Male,16,135,67,True Neutral,"[ 07, 17, 16, 08, 16, 06 ]",11.67,Elite,151
Dwarf: ,Female,77,130,44,Chaotic Neutral,"[ 06, 10, 10, 10, 08, 09 ]",8.83,Commoner,340
Dwarf: ,Male,63,152,51,Chaotic Evil,"[ 09, 11, 12, 09, 13, 07 ]",10.17,Commoner,330
Dwarf: ,Female,62,120,45,Chaotic Neutral,"[ 10, 11, 07, 08, 08, 12 ]",9.33,Commoner,362
Dwarf: ,Male,71,157,47,Chaotic Neutral,"[ 10, 10, 09, 09, 07, 08 ]",8.83,Commoner,283
Dwarf: ,Female,70,125,49,Chaotic Neutral,"[ 11, 09, 16, 09, 11, 13 ]",11.5,Elite,359
Dwarf: ,Male,69,144,52,Lawful Evil,"[ 13, 07, 03, 10, 10, 09 ]",8.67,Commoner,353
Dwarf: ,Male,66,158,53,Neutral Evil,"[ 06, 08, 11, 09, 12, 08 ]",9.0,Commoner,399
Dwarf: ,Male,53,151,49,Neutral Evil,"[ 05, 06, 07, 07, 09, 11 ]",7.5,Commoner,265
Dwarf: ,Female,66,130,49,Neutral Good,"[ 10, 07, 12, 06, 15, 08 ]",9.67,Commoner,403
Dwarf: ,Female,73,127,50,True Neutral,"[ 09, 08, 09, 14, 05, 08 ]",8.83,Commoner,337
Dwarf: ,Female,62,123,51,Lawful Neutral,"[ 12, 07, 11, 13, 08, 08 ]",9.83,Commoner,417
Dwarf: ,Male,71,150,52,Chaotic Neutral,"[ 10, 11, 12, 12, 09, 14 ]",11.33,Elite,295
Gnome: ,Male,94,83,40,Chaotic Neutral,"[ 08, 12, 16, 15, 14, 09 ]",12.33,Elite,391
Dwarf: ,Male,73,157,52,Neutral Good,"[ 14, 10, 08, 04, 03, 07 ]",7.67,Commoner,427
Dwarf: ,Male,75,156,53,Lawful Good,"[ 06, 13, 12, 05, 05, 06 ]",7.83,Commoner,369
Dwarf: ,Male,67,150,53,Neutral Good,"[ 11, 09, 08, 14, 16, 07 ]",10.83,Commoner,345
Dwarf: ,Male,63,157,53,Neutral Good,"[ 07, 06, 12, 09, 11, 14 ]",9.83,Commoner,362
