Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,68,127,47,True Neutral,"[ 12, 13, 07, 12, 10, 08 ]",10.33,Commoner,383
Dwarf: ,Female,66,126,42,Chaotic Evil,"[ 14, 05, 09, 08, 14, 13 ]",10.5,Commoner,286
Dwarf: ,Female,66,132,45,Chaotic Evil,"[ 11, 12, 12, 09, 07, 08 ]",9.83,Commoner,372
Dwarf: ,Female,67,119,45,Lawful Neutral,"[ 07, 16, 14, 15, 04, 07 ]",10.5,Commoner,258
Dwarf: ,Male,63,146,46,Neutral Evil,"[ 09, 10, 04, 09, 04, 09 ]",7.5,Commoner,420
Gnome: ,Female,78,84,38,True Neutral,"[ 10, 18, 13, 13, 14, 03 ]",11.83,Elite,357
Dwarf: ,Female,60,124,45,Neutral Good,"[ 06, 08, 09, 07, 09, 07 ]",7.67,Commoner,340
Dwarf: ,Male,67,149,51,Neutral Evil,"[ 07, 08, 04, 10, 13, 11 ]",8.83,Commoner,346
Dwarf: ,Female,52,131,51,True Neutral,"[ 08, 09, 11, 10, 11, 12 ]",10.17,Commoner,427
Dwarf: ,Female,56,133,48,Neutral Good,"[ 07, 10, 12, 06, 09, 09 ]",8.83,Commoner,401
Dwarf: ,Female,70,126,51,Chaotic Neutral,"[ 14, 13, 05, 08, 12, 12 ]",10.67,Commoner,324
Dwarf: ,Female,67,135,43,Chaotic Neutral,"[ 09, 11, 08, 07, 09, 09 ]",8.83,Commoner,415
Dwarf: ,Female,69,123,48,Neutral Evil,"[ 15, 10, 06, 14, 05, 11 ]",10.17,Commoner,369
Dwarf: ,Male,70,161,44,Neutral Evil,"[ 12, 07, 09, 09, 12, 08 ]",9.5,Commoner,363
Dwarf: ,Female,59,130,47,Chaotic Evil,"[ 07, 08, 07, 09, 12, 08 ]",8.5,Commoner,370
Dwarf: ,Male,73,153,52,Chaotic Neutral,"[ 06, 12, 11, 08, 15, 06 ]",9.67,Commoner,313
Dwarf: ,Female,55,122,51,Neutral Evil,"[ 05, 09, 09, 06, 08, 04 ]",6.83,Commoner,328
Dwarf: ,Female,78,125,50,Lawful Neutral,"[ 13, 09, 11, 13, 12, 09 ]",11.17,Commoner,379
Dwarf: ,Male,69,143,48,Neutral Evil,"[ 11, 11, 06, 13, 04, 08 ]",8.83,Commoner,316
Dwarf: ,Male,64,151,44,Chaotic Neutral,"[ 07, 10, 07, 12, 06, 11 ]",8.83,Commoner,355
Dwarf: ,Male,65,156,51,True Neutral,"[ 09, 09, 12, 08, 10, 08 ]",9.33,Commoner,330
Dwarf: ,Female,62,123,44,Chaotic Evil,"[ 12, 10, 12, 08, 09, 07 ]",9.67,Commoner,315
Dwarf: ,Male,69,152,51,Neutral Good,"[ 05, 08, 05, 10, 11, 11 ]",8.33,Commoner,314
Dwarf: ,Female,60,132,49,Lawful Neutral,"[ 10, 09, 11, 03, 04, 12 ]",8.17,Commoner,384
Dwarf: ,Female,65,136,42,Lawful Good,"[ 12, 07, 05, 06, 12, 05 ]",7.83,Commoner,384
Dwarf: ,Female,67,127,43,Neutral Good,"[ 07, 11, 10, 04, 08, 10 ]",8.33,Commoner,402
Dwarf: ,Male,58,149,52,Lawful Evil,"[ 04, 11, 09, 06, 12, 11 ]",8.83,Commoner,358
Dwarf: ,Male,73,154,50,Lawful Good,"[ 04, 12, 12, 10, 08, 08 ]",9.0,Commoner,306
Dwarf: ,Male,70,143,50,Chaotic Evil,"[ 09, 13, 08, 09, 10, 12 ]",10.17,Commoner,322
Dwarf: ,Female,68,131,44,Chaotic Neutral,"[ 08, 07, 11, 15, 07, 13 ]",10.17,Commoner,407
Dwarf: ,Male,72,144,48,Chaotic Evil,"[ 10, 11, 07, 06, 05, 09 ]",8.0,Commoner,388
Dwarf: ,Female,59,116,50,Lawful Good,"[ 07, 09, 07, 10, 09, 10 ]",8.67,Commoner,278
Dwarf: ,Male,73,157,44,Lawful Neutral,"[ 10, 11, 06, 14, 13, 09 ]",10.5,Commoner,375
Dwarf: ,Female,74,134,47,Lawful Neutral,"[ 07, 12, 14, 10, 14, 07 ]",10.67,Commoner,374
Dwarf: ,Male,81,141,48,Lawful Evil,"[ 11, 05, 07, 05, 12, 12 ]",8.67,Commoner,391
Human: ,Male,16,180,71,Chaotic Neutral,"[ 13, 15, 08, 14, 14, 09 ]",12.17,Elite,116
Dwarf: ,Male,78,140,45,Lawful Evil,"[ 07, 08, 10, 11, 10, 06 ]",8.67,Commoner,397
Dwarf: ,Male,67,149,46,True Neutral,"[ 11, 10, 09, 13, 13, 09 ]",10.83,Commoner,409
Dwarf: ,Male,59,150,46,Chaotic Good,"[ 10, 11, 18, 08, 10, 05 ]",10.33,Commoner,366
Dwarf: ,Male,61,143,53,Neutral Evil,"[ 12, 08, 09, 13, 13, 07 ]",10.33,Commoner,337
Dwarf: ,Female,69,121,42,Neutral Good,"[ 12, 09, 10, 08, 11, 10 ]",10.0,Commoner,357
Dwarf: ,Male,68,143,53,Chaotic Evil,"[ 09, 05, 07, 08, 05, 13 ]",7.83,Commoner,375
Dwarf: ,Male,76,143,51,True Neutral,"[ 11, 07, 11, 05, 11, 09 ]",9.0,Commoner,336
Dwarf: ,Female,64,131,50,Chaotic Neutral,"[ 13, 07, 10, 07, 10, 09 ]",9.33,Commoner,354
Dwarf: ,Male,58,147,46,Lawful Neutral,"[ 03, 07, 12, 07, 08, 11 ]",8.0,Commoner,407
Dwarf: ,Male,66,152,48,Lawful Good,"[ 10, 13, 14, 13, 08, 08 ]",11.0,Commoner,398
Dwarf: ,Female,79,137,50,Lawful Neutral,"[ 06, 07, 11, 14, 05, 11 ]",9.0,Commoner,400
Dwarf: ,Female,66,118,44,Neutral Evil,"[ 10, 12, 13, 09, 18, 06 ]",11.33,Elite,293
Dwarf: ,Female,68,127,51,Lawful Neutral,"[ 11, 09, 09, 12, 06, 11 ]",9.67,Commoner,371
Dwarf: ,Female,60,141,47,Chaotic Evil,"[ 09, 12, 16, 06, 11, 05 ]",9.83,Commoner,384
Dwarf: ,Female,64,132,45,Lawful Evil,"[ 04, 12, 10, 03, 09, 09 ]",7.83,Commoner,390
Dwarf: ,Male,62,151,50,Neutral Good,"[ 10, 09, 08, 09, 11, 07 ]",9.0,Commoner,302
Dwarf: ,Male,65,153,47,True Neutral,"[ 07, 07, 08, 12, 05, 13 ]",8.67,Commoner,306
Dwarf: ,Female,69,131,47,True Neutral,"[ 10, 10, 13, 12, 13, 15 ]",12.17,Elite,293
Dwarf: ,Female,57,134,49,True Neutral,"[ 12, 10, 09, 11, 09, 05 ]",9.33,Commoner,269
Dwarf: ,Female,69,126,50,Chaotic Neutral,"[ 10, 13, 11, 09, 06, 09 ]",9.67,Commoner,378
Dwarf: ,Female,73,127,46,Chaotic Neutral,"[ 07, 12, 09, 10, 10, 06 ]",9.0,Commoner,354
