Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,72,123,47,Chaotic Evil,"[ 14, 08, 09, 05, 08, 11 ]",9.17,Commoner,305
Dwarf: ,Female,60,130,42,Chaotic Evil,"[ 04, 05, 06, 06, 08, 11 ]",6.67,Commoner,403
Dwarf: ,Male,70,148,44,True Neutral,"[ 10, 06, 09, 06, 13, 12 ]",9.33,Commoner,392
Dwarf: ,Male,62,161,49,Lawful Neutral,"[ 11, 11, 08, 09, 13, 12 ]",10.67,Commoner,295
Dwarf: ,Male,62,157,44,Chaotic Neutral,"[ 10, 08, 08, 08, 08, 12 ]",9.0,Commoner,316
Dwarf: ,Male,75,150,46,Chaotic Neutral,"[ 07, 08, 15, 11, 16, 07 ]",10.67,Commoner,372
Dwarf: ,Female,65,121,46,Chaotic Neutral,"[ 14, 11, 09, 10, 11, 10 ]",10.83,Commoner,314
Dwarf: ,Female,60,126,50,Neutral Evil,"[ 11, 07, 08, 05, 08, 13 ]",8.67,Commoner,398
Dwarf: ,Female,70,124,50,True Neutral,"[ 07, 08, 09, 10, 05, 07 ]",7.67,Commoner,361
Dwarf: ,Male,79,151,52,Lawful Evil,"[ 03, 13, 07, 07, 10, 07 ]",7.83,Commoner,357
Gnome: ,Female,73,76,42,Neutral Evil,"[ 17, 16, 10, 09, 09, 09 ]",11.67,Elite,338
Dwarf: ,Female,66,141,42,Chaotic Good,"[ 08, 07, 10, 09, 07, 09 ]",8.33,Commoner,414
Dwarf: ,Male,69,150,49,True Neutral,"[ 12, 11, 15, 08, 08, 07 ]",10.17,Commoner,350
Dwarf: ,Male,55,151,49,Neutral Good,"[ 08, 10, 10, 12, 07, 06 ]",8.83,Commoner,311
Halfling: ,Male,29,62,39,True Neutral,"[ 17, 09, 15, 11, 13, 10 ]",12.5,Elite,173
Dwarf: ,Male,66,157,50,True Neutral,"[ 09, 05, 14, 11, 06, 11 ]",9.33,Commoner,296
Dwarf: ,Female,64,129,46,Lawful Neutral,"[ 08, 08, 14, 11, 12, 08 ]",10.17,Commoner,351
Dwarf: ,Male,68,151,52,Lawful Evil,"[ 14, 09, 06, 14, 11, 08 ]",10.33,Commoner,368
Dwarf: ,Male,72,148,47,Lawful Evil,"[ 09, 12, 09, 04, 05, 08 ]",7.83,Commoner,303
Dwarf: ,Female,83,125,42,Chaotic Good,"[ 10, 10, 09, 11, 08, 11 ]",9.83,Commoner,376
Dwarf: ,Male,61,143,45,True Neutral,"[ 07, 12, 08, 09, 12, 12 ]",10.0,Commoner,285
Dwarf: ,Male,66,156,51,Chaotic Evil,"[ 05, 11, 11, 08, 07, 07 ]",8.17,Commoner,413
Dwarf: ,Female,71,117,50,Neutral Good,"[ 09, 12, 10, 11, 07, 09 ]",9.67,Commoner,337
Dwarf: ,Female,68,118,46,Lawful Good,"[ 11, 10, 11, 13, 08, 10 ]",10.5,Commoner,367
Dwarf: ,Female,68,131,49,Lawful Neutral,"[ 07, 04, 11, 10, 13, 08 ]",8.83,Commoner,390
Dwarf: ,Male,72,151,51,Neutral Evil,"[ 13, 10, 09, 10, 11, 05 ]",9.67,Commoner,301
Dwarf: ,Female,62,125,46,Chaotic Neutral,"[ 08, 12, 04, 09, 08, 08 ]",8.17,Commoner,341
Dwarf: ,Male,67,160,46,Lawful Evil,"[ 10, 09, 06, 12, 09, 07 ]",8.83,Commoner,369
Dwarf: ,Male,72,146,51,Neutral Good,"[ 07, 11, 09, 09, 07, 11 ]",9.0,Commoner,351
