Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,55,161,53,Neutral Evil,"[ 07, 05, 06, 07, 11, 11 ]",7.83,Commoner,340
Dwarf: ,Female,65,123,42,True Neutral,"[ 07, 12, 10, 05, 06, 11 ]",8.5,Commoner,338
Dwarf: ,Female,64,120,42,Chaotic Neutral,"[ 08, 12, 10, 12, 07, 09 ]",9.67,Commoner,417
Dwarf: ,Female,75,128,46,Neutral Good,"[ 10, 12, 06, 08, 09, 12 ]",9.5,Commoner,366
Dwarf: ,Female,82,125,44,Lawful Good,"[ 07, 12, 13, 12, 11, 06 ]",10.17,Commoner,331
Dwarf: ,Male,74,159,48,Lawful Neutral,"[ 09, 07, 13, 08, 11, 10 ]",9.67,Commoner,407
Dwarf: ,Male,69,165,46,Neutral Evil,"[ 10, 13, 07, 07, 10, 08 ]",9.17,Commoner,308
Dwarf: ,Female,66,138,44,Neutral Good,"[ 08, 11, 09, 09, 12, 09 ]",9.67,Commoner,303
Dwarf: ,Male,56,151,51,True Neutral,"[ 14, 12, 07, 11, 09, 08 ]",10.17,Commoner,345
Dwarf: ,Female,62,138,50,Neutral Evil,"[ 12, 07, 07, 08, 13, 10 ]",9.5,Commoner,374
Dwarf: ,Female,61,132,47,Lawful Evil,"[ 13, 06, 05, 09, 13, 10 ]",9.33,Commoner,348
Dwarf: ,Male,59,158,50,Lawful Neutral,"[ 09, 05, 08, 12, 08, 08 ]",8.33,Commoner,347
Dwarf: ,Female,71,127,50,Lawful Good,"[ 13, 06, 11, 09, 04, 14 ]",9.5,Commoner,335
Dwarf: ,Male,67,156,50,Neutral Evil,"[ 05, 04, 10, 04, 05, 05 ]",5.5,Commoner,351
Dwarf: ,Female,65,125,44,Chaotic Neutral,"[ 09, 07, 06, 09, 08, 05 ]",7.33,Commoner,350
Elf: ,Female,123,84,56,Lawful Evil,"[ 14, 15, 08, 14, 11, 13 ]",12.5,Elite,562
Dwarf: ,Female,56,128,50,Lawful Evil,"[ 04, 12, 09, 07, 12, 06 ]",8.33,Commoner,296
Human: ,Female,17,132,77,Lawful Good,"[ 10, 11, 12, 15, 14, 09 ]",11.83,Elite,122
Dwarf: ,Male,62,148,50,Lawful Evil,"[ 09, 13, 09, 13, 11, 05 ]",10.0,Commoner,431
Dwarf: ,Male,61,134,47,Lawful Evil,"[ 09, 13, 06, 13, 10, 10 ]",10.17,Commoner,380
Dwarf: ,Female,69,128,46,Neutral Good,"[ 11, 17, 11, 13, 05, 06 ]",10.5,Commoner,339
Dwarf: ,Male,74,154,44,Chaotic Evil,"[ 06, 11, 08, 11, 11, 09 ]",9.33,Commoner,384
Dwarf: ,Male,74,162,48,Chaotic Evil,"[ 11, 10, 09, 06, 06, 09 ]",8.5,Commoner,441
Dwarf: ,Female,60,129,46,True Neutral,"[ 12, 08, 10, 11, 05, 06 ]",8.67,Commoner,347
Dwarf: ,Female,79,138,46,Chaotic Neutral,"[ 08, 10, 14, 11, 08, 06 ]",9.5,Commoner,404
Dwarf: ,Male,64,157,52,Lawful Evil,"[ 06, 10, 08, 09, 06, 07 ]",7.67,Commoner,324
Halfling: ,Male,29,67,42,Lawful Good,"[ 12, 12, 14, 11, 13, 13 ]",12.5,Elite,106
Dwarf: ,Male,65,146,48,Neutral Good,"[ 11, 08, 12, 08, 09, 13 ]",10.17,Commoner,341
Dwarf: ,Male,69,153,52,True Neutral,"[ 08, 14, 06, 11, 10, 12 ]",10.17,Commoner,350
Dwarf: ,Female,62,120,46,Lawful Good,"[ 08, 05, 15, 12, 10, 11 ]",10.17,Commoner,370
Dwarf: ,Male,67,152,48,Lawful Evil,"[ 07, 07, 07, 12, 08, 08 ]",8.17,Commoner,291
Dwarf: ,Female,60,128,49,Lawful Neutral,"[ 12, 10, 07, 10, 13, 14 ]",11.0,Commoner,378
Dwarf: ,Male,72,153,44,Neutral Good,"[ 08, 10, 06, 05, 08, 12 ]",8.17,Commoner,321
Dwarf: ,Female,57,126,43,Lawful Neutral,"[ 09, 12, 09, 11, 08, 11 ]",10.0,Commoner,387
Dwarf: ,Male,61,148,47,Neutral Good,"[ 06, 08, 06, 10, 08, 05 ]",7.17,Commoner,301
Dwarf: ,Female,69,130,43,Chaotic Good,"[ 07, 12, 08, 07, 07, 10 ]",8.5,Commoner,390
Dwarf: ,Male,60,155,48,True Neutral,"[ 11, 08, 05, 09, 05, 10 ]",8.0,Commoner,296
Dwarf: ,Male,84,153,44,Neutral Good,"[ 07, 09, 12, 05, 06, 03 ]",7.0,Commoner,320
Dwarf: ,Female,55,123,51,Chaotic Neutral,"[ 12, 10, 09, 09, 09, 10 ]",9.83,Commoner,310
Dwarf: ,Female,64,125,45,Lawful Neutral,"[ 11, 09, 08, 07, 10, 08 ]",8.83,Commoner,439
Dwarf: ,Female,81,124,50,Chaotic Good,"[ 15, 06, 08, 11, 11, 13 ]",10.67,Commoner,343
Dwarf: ,Female,68,121,50,Lawful Neutral,"[ 07, 12, 09, 09, 10, 07 ]",9.0,Commoner,421
Dwarf: ,Male,71,155,47,True Neutral,"[ 09, 10, 07, 09, 11, 12 ]",9.67,Commoner,361
Dwarf: ,Male,59,148,52,Lawful Good,"[ 08, 11, 13, 10, 05, 12 ]",9.83,Commoner,352
Dwarf: ,Male,69,150,44,Neutral Evil,"[ 11, 14, 08, 07, 12, 11 ]",10.5,Commoner,437
Dwarf: ,Male,63,152,45,True Neutral,"[ 10, 07, 09, 07, 11, 08 ]",8.67,Commoner,401
Gnome: ,Male,80,83,39,Lawful Neutral,"[ 10, 09, 10, 16, 15, 11 ]",11.83,Elite,386
Dwarf: ,Male,73,151,47,Neutral Good,"[ 09, 07, 08, 09, 05, 04 ]",7.0,Commoner,351
Dwarf: ,Female,55,126,43,Neutral Good,"[ 07, 09, 07, 14, 06, 10 ]",8.83,Commoner,312
Dwarf: ,Female,68,129,42,Chaotic Neutral,"[ 08, 11, 09, 14, 07, 09 ]",9.67,Commoner,369
Dwarf: ,Female,72,124,43,Lawful Good,"[ 10, 13, 08, 11, 07, 09 ]",9.67,Commoner,381
Dwarf: ,Male,64,149,49,Lawful Good,"[ 14, 04, 07, 09, 12, 08 ]",9.0,Commoner,414
Dwarf: ,Male,63,147,53,Lawful Evil,"[ 07, 13, 11, 08, 16, 12 ]",11.17,Commoner,380
Dwarf: ,Male,66,163,44,Chaotic Neutral,"[ 06, 07, 06, 07, 05, 03 ]",5.67,Commoner,402
Dwarf: ,Female,67,136,49,Lawful Evil,"[ 12, 11, 09, 05, 07, 08 ]",8.67,Commoner,376
Dwarf: ,Female,81,127,42,Chaotic Good,"[ 06, 10, 09, 11, 13, 12 ]",10.17,Commoner,286
Dwarf: ,Male,71,146,44,Neutral Evil,"[ 09, 06, 10, 11, 10, 08 ]",9.0,Commoner,282
Dwarf: ,Male,64,148,51,Lawful Good,"[ 11, 04, 09, 09, 07, 04 ]",7.33,Commoner,308
Dwarf: ,Female,71,134,46,Lawful Neutral,"[ 10, 07, 13, 10, 10, 11 ]",10.17,Commoner,279
Dwarf: ,Female,72,138,48,Chaotic Good,"[ 07, 09, 07, 12, 07, 13 ]",9.17,Commoner,401
Dwarf: ,Male,67,156,49,Neutral Good,"[ 03, 05, 07, 09, 07, 08 ]",6.5,Commoner,420
Dwarf: ,Male,71,162,47,Lawful Evil,"[ 08, 13, 09, 06, 08, 06 ]",8.33,Commoner,360
Dwarf: ,Female,79,128,45,Neutral Evil,"[ 04, 07, 09, 08, 15, 08 ]",8.5,Commoner,384
Dwarf: ,Male,68,148,50,Lawful Neutral,"[ 11, 10, 09, 09, 12, 11 ]",10.33,Commoner,357
Dwarf: ,Female,71,122,46,Lawful Evil,"[ 06, 06, 12, 14, 13, 14 ]",10.83,Commoner,383
Dwarf: ,Male,72,147,52,Lawful Evil,"[ 11, 05, 08, 10, 12, 08 ]",9.0,Commoner,326
Dwarf: ,Male,66,156,53,Neutral Good,"[ 10, 09, 13, 10, 04, 10 ]",9.33,Commoner,343
