Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,61,123,43,Neutral Good,"[ 08, 08, 10, 04, 06, 09 ]",7.5,Commoner,355
Dwarf: ,Female,72,135,49,Lawful Good,"[ 13, 08, 11, 15, 04, 11 ]",10.33,Commoner,292
Dwarf: ,Male,75,159,48,Lawful Neutral,"[ 07, 09, 12, 06, 12, 04 ]",8.33,Commoner,414
Dwarf: ,Male,67,143,44,Chaotic Good,"[ 06, 10, 11, 10, 12, 08 ]",9.5,Commoner,352
Dwarf: ,Male,59,150,52,Chaotic Good,"[ 06, 08, 12, 06, 08, 08 ]",8.0,Commoner,324
Dwarf: ,Male,66,152,47,Neutral Good,"[ 09, 09, 08, 07, 10, 07 ]",8.33,Commoner,358
Dwarf: ,Female,72,123,43,Chaotic Good,"[ 11, 12, 12, 05, 10, 10 ]",10.0,Commoner,347
Dwarf: ,Male,71,154,47,Neutral Good,"[ 12, 11, 10, 11, 10, 11 ]",10.83,Commoner,341
Dwarf: ,Female,67,132,47,Chaotic Neutral,"[ 06, 10, 06, 10, 05, 12 ]",8.17,Commoner,319
Dwarf: ,Female,70,129,45,True Neutral,"[ 06, 10, 08, 12, 09, 08 ]",8.83,Commoner,372
Dwarf: ,Male,66,158,44,Chaotic Good,"[ 13, 05, 11, 10, 09, 03 ]",8.5,Commoner,317
Dwarf: ,Female,75,125,48,True Neutral,"[ 12, 03, 06, 06, 13, 11 ]",8.5,Commoner,375
Dwarf: ,Male,71,146,47,Chaotic Evil,"[ 13, 10, 14, 09, 09, 10 ]",10.83,Commoner,395
Dwarf: ,Female,72,123,44,Neutral Good,"[ 07, 05, 09, 14, 12, 09 ]",9.33,Commoner,294
Dwarf: ,Male,70,150,48,Neutral Evil,"[ 05, 13, 11, 10, 10, 11 ]",10.0,Commoner,344
Dwarf: ,Female,67,125,50,True Neutral,"[ 07, 11, 04, 09, 07, 08 ]",7.67,Commoner,431
Dwarf: ,Male,76,155,44,Neutral Evil,"[ 12, 09, 10, 08, 10, 08 ]",9.5,Commoner,267
Dwarf: ,Female,63,136,51,Chaotic Good,"[ 08, 13, 18, 15, 09, 10 ]",12.17,Elite,295
Dwarf: ,Male,69,150,52,Neutral Evil,"[ 08, 12, 08, 10, 08, 08 ]",9.0,Commoner,342
Dwarf: ,Female,65,123,45,Lawful Good,"[ 07, 07, 04, 12, 06, 09 ]",7.5,Commoner,436
Dwarf: ,Female,60,127,48,Chaotic Neutral,"[ 08, 14, 09, 08, 06, 07 ]",8.67,Commoner,321
Dwarf: ,Female,72,130,44,True Neutral,"[ 10, 06, 07, 06, 08, 09 ]",7.67,Commoner,416
Dwarf: ,Female,81,130,48,Neutral Good,"[ 10, 05, 11, 08, 04, 09 ]",7.83,Commoner,341
Dwarf: ,Male,77,154,51,True Neutral,"[ 11, 06, 06, 12, 10, 05 ]",8.33,Commoner,289
Dwarf: ,Female,75,120,44,Neutral Good,"[ 12, 05, 07, 13, 06, 09 ]",8.67,Commoner,374
Gnome: ,Male,81,86,39,Lawful Evil,"[ 17, 08, 12, 08, 15, 14 ]",12.33,Elite,392
Gnome: ,Male,86,84,42,Neutral Evil,"[ 13, 08, 16, 12, 09, 18 ]",12.67,Elite,349
Dwarf: ,Male,61,162,53,Chaotic Neutral,"[ 07, 08, 06, 10, 05, 09 ]",7.5,Commoner,305
Dwarf: ,Female,57,131,44,Neutral Good,"[ 13, 07, 12, 11, 07, 09 ]",9.83,Commoner,430
Dwarf: ,Female,63,131,43,Chaotic Evil,"[ 10, 08, 09, 11, 13, 11 ]",10.33,Commoner,312
Dwarf: ,Male,67,145,53,Lawful Good,"[ 06, 07, 10, 09, 07, 11 ]",8.33,Commoner,354
Dwarf: ,Female,56,133,42,Chaotic Evil,"[ 10, 18, 12, 07, 11, 04 ]",10.33,Commoner,267
Halfling: ,Male,32,66,42,Neutral Evil,"[ 04, 16, 18, 09, 12, 16 ]",12.5,Elite,154
Dwarf: ,Female,71,125,51,True Neutral,"[ 08, 11, 12, 09, 08, 13 ]",10.17,Commoner,291
Dwarf: ,Male,72,160,49,Neutral Evil,"[ 03, 04, 09, 10, 12, 08 ]",7.67,Commoner,337
Dwarf: ,Male,74,153,47,Lawful Good,"[ 11, 08, 12, 08, 07, 09 ]",9.17,Commoner,292
Dwarf: ,Male,74,155,53,True Neutral,"[ 10, 08, 09, 06, 07, 08 ]",8.0,Commoner,351
Dwarf: ,Male,79,147,48,Neutral Evil,"[ 10, 07, 12, 09, 08, 14 ]",10.0,Commoner,316
Dwarf: ,Male,72,158,52,Chaotic Evil,"[ 07, 09, 17, 09, 07, 13 ]",10.33,Commoner,322
Dwarf: ,Male,72,149,50,Chaotic Good,"[ 09, 08, 14, 12, 16, 09 ]",11.33,Elite,342
Dwarf: ,Female,67,130,43,Neutral Evil,"[ 08, 06, 10, 11, 06, 10 ]",8.5,Commoner,315
Dwarf: ,Female,76,122,42,Lawful Neutral,"[ 12, 09, 11, 11, 07, 09 ]",9.83,Commoner,331
Dwarf: ,Female,66,130,47,Chaotic Good,"[ 12, 09, 09, 14, 12, 12 ]",11.33,Elite,343
Dwarf: ,Male,58,153,46,Lawful Neutral,"[ 13, 11, 08, 09, 05, 12 ]",9.67,Commoner,269
Dwarf: ,Female,65,122,50,Chaotic Evil,"[ 05, 06, 06, 11, 10, 09 ]",7.83,Commoner,344
Dwarf: ,Female,67,124,46,Neutral Evil,"[ 09, 12, 07, 11, 08, 12 ]",9.83,Commoner,337
Dwarf: ,Male,66,159,47,Neutral Good,"[ 09, 10, 07, 08, 07, 06 ]",7.83,Commoner,326
Dwarf: ,Female,79,128,44,Neutral Good,"[ 09, 10, 11, 06, 03, 11 ]",8.33,Commoner,288
Dwarf: ,Male,74,146,52,True Neutral,"[ 08, 11, 12, 09, 08, 12 ]",10.0,Commoner,346
