Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,72,143,46,Chaotic Good,"[ 09, 10, 08, 06, 10, 12 ]",9.17,Commoner,316
Dwarf: ,Female,65,121,50,Neutral Evil,"[ 04, 07, 08, 06, 09, 09 ]",7.17,Commoner,328
Dwarf: ,Male,71,144,45,Neutral Good,"[ 06, 13, 09, 17, 09, 13 ]",11.17,Commoner,411
Dwarf: ,Male,59,152,49,Neutral Good,"[ 09, 11, 11, 09, 10, 08 ]",9.67,Commoner,329
Dwarf: ,Female,60,126,51,Neutral Evil,"[ 14, 09, 10, 11, 11, 04 ]",9.83,Commoner,349
Dwarf: ,Female,65,114,51,Lawful Neutral,"[ 07, 06, 07, 08, 07, 09 ]",7.33,Commoner,351
Dwarf: ,Female,76,139,49,Lawful Evil,"[ 08, 13, 14, 06, 07, 07 ]",9.17,Commoner,374
Dwarf: ,Female,64,121,43,Neutral Evil,"[ 10, 11, 11, 10, 07, 08 ]",9.5,Commoner,386
Dwarf: ,Male,68,160,52,Chaotic Neutral,"[ 07, 09, 09, 05, 06, 11 ]",7.83,Commoner,336
Dwarf: ,Male,80,152,47,Chaotic Good,"[ 09, 07, 07, 09, 15, 09 ]",9.33,Commoner,280
Dwarf: ,Female,72,130,42,Neutral Evil,"[ 05, 07, 08, 09, 09, 06 ]",7.33,Commoner,290
Dwarf: ,Male,75,153,45,Chaotic Good,"[ 10, 07, 08, 08, 14, 10 ]",9.5,Commoner,345
Dwarf: ,Male,56,148,48,True Neutral,"[ 08, 06, 12, 05, 13, 06 ]",8.33,Commoner,359
Dwarf: ,Female,76,134,50,Chaotic Good,"[ 13, 11, 11, 08, 16, 09 ]",11.33,Elite,337
Dwarf: ,Female,71,129,43,True Neutral,"[ 10, 10, 11, 11, 07, 08 ]",9.5,Commoner,322
Dwarf: ,Female,73,118,49,Lawful Neutral,"[ 08, 10, 09, 12, 08, 10 ]",9.5,Commoner,352
Dwarf: ,Male,71,154,44,Chaotic Evil,"[ 10, 08, 13, 10, 07, 07 ]",9.17,Commoner,294
Gnome: ,Female,80,84,37,Neutral Good,"[ 14, 11, 09, 10, 16, 14 ]",12.33,Elite,362
Dwarf: ,Female,69,118,47,Lawful Good,"[ 06, 09, 10, 10, 07, 06 ]",8.0,Commoner,307
Dwarf: ,Female,56,126,51,Chaotic Neutral,"[ 11, 10, 08, 08, 05, 10 ]",8.67,Commoner,378
Dwarf: ,Female,78,128,44,Neutral Good,"[ 10, 12, 11, 10, 07, 08 ]",9.67,Commoner,397
Dwarf: ,Female,61,124,47,Chaotic Neutral,"[ 11, 09, 11, 07, 12, 10 ]",10.0,Commoner,404
Dwarf: ,Female,74,128,48,Lawful Good,"[ 10, 15, 11, 04, 12, 06 ]",9.67,Commoner,331
Dwarf: ,Female,52,125,44,Chaotic Evil,"[ 07, 06, 04, 11, 12, 12 ]",8.67,Commoner,263
Dwarf: ,Female,60,134,43,Lawful Evil,"[ 12, 09, 11, 09, 08, 08 ]",9.5,Commoner,341
Dwarf: ,Female,63,122,42,True Neutral,"[ 07, 06, 04, 12, 10, 08 ]",7.83,Commoner,295
Dwarf: ,Male,67,148,48,True Neutral,"[ 08, 09, 10, 08, 08, 08 ]",8.5,Commoner,386
Gnome: ,Female,76,82,42,True Neutral,"[ 08, 08, 18, 14, 08, 18 ]",12.33,Elite,406
Dwarf: ,Male,55,149,46,Lawful Good,"[ 06, 12, 10, 09, 13, 10 ]",10.0,Commoner,372
Dwarf: ,Female,74,128,42,Lawful Neutral,"[ 10, 11, 08, 10, 08, 08 ]",9.17,Commoner,364
Dwarf: ,Female,55,133,43,Chaotic Evil,"[ 10, 09, 06, 10, 10, 15 ]",10.0,Commoner,377
Dwarf: ,Male,78,150,48,Lawful Evil,"[ 13, 08, 09, 08, 09, 12 ]",9.83,Commoner,363
Human: ,Female,18,130,74,Neutral Good,"[ 08, 14, 14, 12, 13, 10 ]",11.83,Elite,118
Dwarf: ,Male,62,149,47,Neutral Good,"[ 06, 07, 05, 09, 09, 12 ]",8.0,Commoner,415
Human: ,Male,16,163,75,Lawful Neutral,"[ 13, 13, 15, 16, 07, 14 ]",13.0,Adventurer,123
Dwarf: ,Male,63,147,53,Lawful Evil,"[ 10, 11, 08, 09, 12, 03 ]",8.83,Commoner,349
Dwarf: ,Female,66,131,46,Neutral Good,"[ 06, 12, 06, 10, 09, 07 ]",8.33,Commoner,346
Dwarf: ,Male,67,152,48,True Neutral,"[ 05, 08, 06, 06, 09, 05 ]",6.5,Commoner,328
Dwarf: ,Female,70,127,49,Chaotic Good,"[ 11, 13, 14, 12, 10, 07 ]",11.17,Commoner,380
Dwarf: ,Male,67,154,49,Chaotic Good,"[ 07, 08, 07, 10, 05, 08 ]",7.5,Commoner,357
Dwarf: ,Female,57,121,46,True Neutral,"[ 12, 11, 07, 05, 09, 12 ]",9.33,Commoner,337
Dwarf: ,Male,71,153,53,Lawful Neutral,"[ 10, 04, 18, 13, 11, 05 ]",10.17,Commoner,300
Dwarf: ,Female,52,123,49,Lawful Neutral,"[ 10, 08, 12, 10, 11, 10 ]",10.17,Commoner,316
Dwarf: ,Male,59,150,44,Neutral Evil,"[ 10, 10, 08, 07, 09, 04 ]",8.0,Commoner,297
Dwarf: ,Male,66,161,51,Chaotic Good,"[ 13, 07, 07, 10, 10, 10 ]",9.5,Commoner,358
Dwarf: ,Male,65,156,53,Lawful Evil,"[ 12, 06, 14, 07, 04, 11 ]",9.0,Commoner,308
Dwarf: ,Female,79,122,47,True Neutral,"[ 10, 12, 07, 15, 10, 11 ]",10.83,Commoner,321
Dwarf: ,Male,59,156,46,Chaotic Evil,"[ 03, 05, 08, 12, 06, 09 ]",7.17,Commoner,383
Dwarf: ,Male,67,152,45,True Neutral,"[ 06, 08, 07, 10, 10, 06 ]",7.83,Commoner,295
Dwarf: ,Female,77,128,47,Chaotic Good,"[ 09, 06, 11, 11, 11, 08 ]",9.33,Commoner,369
Dwarf: ,Female,66,131,51,Chaotic Good,"[ 10, 07, 11, 10, 08, 08 ]",9.0,Commoner,348
Dwarf: ,Male,58,158,51,Chaotic Evil,"[ 09, 11, 10, 07, 13, 08 ]",9.67,Commoner,347
Dwarf: ,Male,66,151,49,Chaotic Good,"[ 06, 14, 10, 06, 11, 10 ]",9.5,Commoner,288
Dwarf: ,Female,69,134,49,Chaotic Evil,"[ 08, 09, 08, 13, 05, 06 ]",8.17,Commoner,387
Dwarf: ,Female,77,125,43,Lawful Neutral,"[ 11, 10, 07, 06, 06, 10 ]",8.33,Commoner,363
Dwarf: ,Male,70,149,53,Neutral Evil,"[ 10, 03, 08, 08, 11, 07 ]",7.83,Commoner,343
Dwarf: ,Male,80,147,51,Lawful Good,"[ 15, 14, 11, 07, 06, 15 ]",11.33,Elite,366
Dwarf: ,Male,73,146,44,Lawful Good,"[ 09, 06, 04, 13, 09, 06 ]",7.83,Commoner,357
Dwarf: ,Female,74,118,47,Lawful Evil,"[ 07, 04, 08, 13, 15, 05 ]",8.67,Commoner,375
Dwarf: ,Male,71,147,52,Chaotic Evil,"[ 03, 10, 07, 06, 07, 08 ]",6.83,Commoner,378
Dwarf: ,Male,59,146,50,Lawful Good,"[ 10, 09, 13, 11, 07, 09 ]",9.83,Commoner,333
Dwarf: ,Male,56,153,46,Lawful Evil,"[ 05, 14, 10, 13, 12, 09 ]",10.5,Commoner,390
Dwarf: ,Male,72,149,52,Lawful Evil,"[ 11, 05, 06, 14, 10, 09 ]",9.17,Commoner,388
Dwarf: ,Female,61,126,45,Neutral Evil,"[ 06, 08, 12, 12, 11, 07 ]",9.33,Commoner,351
Dwarf: ,Female,67,130,49,Chaotic Neutral,"[ 11, 09, 11, 09, 10, 11 ]",10.17,Commoner,262
Dwarf: ,Male,71,157,46,Chaotic Neutral,"[ 11, 12, 07, 08, 09, 09 ]",9.33,Commoner,304
Dwarf: ,Male,71,157,48,Neutral Evil,"[ 08, 11, 10, 11, 09, 05 ]",9.0,Commoner,259
Dwarf: ,Male,68,155,49,Lawful Good,"[ 08, 12, 12, 10, 09, 08 ]",9.83,Commoner,289
Dwarf: ,Female,58,132,44,Lawful Good,"[ 17, 09, 14, 12, 15, 11 ]",13.0,Adventurer,329
Dwarf: ,Female,73,127,49,Neutral Evil,"[ 08, 10, 11, 06, 05, 09 ]",8.17,Commoner,282
Dwarf: ,Male,63,147,46,Chaotic Neutral,"[ 04, 11, 11, 04, 07, 06 ]",7.17,Commoner,340
Dwarf: ,Female,64,128,45,True Neutral,"[ 05, 07, 03, 10, 07, 06 ]",6.33,Commoner,320
Dwarf: ,Male,64,151,53,Lawful Neutral,"[ 09, 05, 04, 07, 08, 09 ]",7.0,Commoner,316
Dwarf: ,Male,67,155,45,Neutral Evil,"[ 08, 03, 08, 04, 11, 12 ]",7.67,Commoner,344
Dwarf: ,Male,64,147,48,Lawful Good,"[ 11, 09, 10, 11, 08, 12 ]",10.17,Commoner,308
Dwarf: ,Female,63,113,43,Chaotic Neutral,"[ 07, 08, 06, 13, 09, 08 ]",8.5,Commoner,341
Dwarf: ,Male,61,162,50,True Neutral,"[ 09, 06, 10, 08, 11, 08 ]",8.67,Commoner,319
