Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,59,128,49,Chaotic Evil,"[ 13, 13, 11, 08, 08, 05 ]",9.67,Commoner,388
Dwarf: ,Male,69,144,44,Chaotic Evil,"[ 09, 10, 08, 11, 05, 09 ]",8.67,Commoner,432
Elf: ,Female,118,82,55,Neutral Evil,"[ 18, 08, 08, 11, 18, 08 ]",11.83,Elite,569
Dwarf: ,Male,65,146,50,Chaotic Neutral,"[ 08, 07, 08, 14, 11, 11 ]",9.83,Commoner,280
Half-Elf: ,Female,17,90,70,Lawful Evil,"[ 18, 10, 14, 09, 17, 03 ]",11.83,Elite,166
Dwarf: ,Female,64,128,50,True Neutral,"[ 12, 07, 05, 09, 09, 13 ]",9.17,Commoner,309
Dwarf: ,Female,66,123,45,Chaotic Evil,"[ 04, 05, 06, 09, 03, 11 ]",6.33,Commoner,404
Dwarf: ,Female,65,140,46,Neutral Good,"[ 09, 07, 08, 12, 08, 06 ]",8.33,Commoner,389
Dwarf: ,Female,59,133,49,Chaotic Neutral,"[ 07, 04, 08, 08, 10, 12 ]",8.17,Commoner,326
Dwarf: ,Female,82,122,43,Lawful Evil,"[ 07, 11, 11, 08, 11, 10 ]",9.67,Commoner,381
Dwarf: ,Male,68,146,53,Chaotic Good,"[ 08, 09, 10, 06, 08, 09 ]",8.33,Commoner,337
Half-Elf: ,Male,17,131,64,Chaotic Neutral,"[ 07, 17, 08, 18, 10, 11 ]",11.83,Elite,161
Dwarf: ,Female,63,126,42,True Neutral,"[ 06, 10, 08, 10, 10, 10 ]",9.0,Commoner,334
Dwarf: ,Female,63,135,47,Lawful Neutral,"[ 07, 08, 10, 12, 08, 12 ]",9.5,Commoner,398
Dwarf: ,Female,73,131,46,Chaotic Evil,"[ 10, 12, 14, 05, 08, 10 ]",9.83,Commoner,344
Halfling: ,Male,26,64,42,Neutral Good,"[ 11, 16, 07, 15, 13, 10 ]",12.0,Elite,167
Dwarf: ,Male,66,143,53,Chaotic Evil,"[ 13, 05, 05, 08, 06, 06 ]",7.17,Commoner,369
Dwarf: ,Male,57,156,51,Chaotic Good,"[ 11, 09, 10, 12, 14, 05 ]",10.17,Commoner,304
Dwarf: ,Female,65,121,49,Chaotic Neutral,"[ 12, 08, 12, 09, 11, 11 ]",10.5,Commoner,397
Dwarf: ,Male,65,162,45,Chaotic Good,"[ 10, 12, 11, 09, 10, 09 ]",10.17,Commoner,318
Dwarf: ,Male,64,158,44,Chaotic Good,"[ 04, 08, 12, 09, 10, 07 ]",8.33,Commoner,334
Dwarf: ,Male,82,156,53,Chaotic Evil,"[ 09, 11, 08, 10, 09, 14 ]",10.17,Commoner,364
Dwarf: ,Male,63,147,52,Chaotic Evil,"[ 07, 10, 07, 10, 03, 09 ]",7.67,Commoner,337
Dwarf: ,Male,79,147,50,Chaotic Good,"[ 05, 06, 13, 12, 13, 15 ]",10.67,Commoner,317
Dwarf: ,Female,59,128,48,Chaotic Good,"[ 05, 10, 09, 10, 12, 12 ]",9.67,Commoner,282
Dwarf: ,Male,63,148,51,Chaotic Evil,"[ 13, 10, 05, 06, 10, 12 ]",9.33,Commoner,352
Dwarf: ,Female,75,128,51,Neutral Good,"[ 09, 08, 10, 12, 14, 11 ]",10.67,Commoner,398
Dwarf: ,Male,79,159,44,Lawful Good,"[ 14, 06, 10, 07, 08, 09 ]",9.0,Commoner,353
Dwarf: ,Female,75,127,48,Chaotic Evil,"[ 08, 09, 08, 06, 08, 07 ]",7.67,Commoner,435
Dwarf: ,Male,60,162,47,Chaotic Evil,"[ 08, 09, 09, 07, 11, 10 ]",9.0,Commoner,390
Dwarf: ,Female,71,121,42,Lawful Evil,"[ 08, 12, 10, 09, 10, 08 ]",9.5,Commoner,328
Dwarf: ,Female,66,119,47,Neutral Good,"[ 04, 11, 05, 13, 11, 12 ]",9.33,Commoner,350
Dwarf: ,Male,75,150,50,Chaotic Neutral,"[ 06, 07, 10, 08, 08, 04 ]",7.17,Commoner,316
Dwarf: ,Female,67,132,47,Lawful Neutral,"[ 10, 07, 12, 10, 05, 12 ]",9.33,Commoner,326
Dwarf: ,Male,68,151,46,True Neutral,"[ 11, 06, 07, 12, 14, 08 ]",9.67,Commoner,404
Gnome: ,Female,73,80,42,Chaotic Neutral,"[ 18, 11, 05, 04, 15, 17 ]",11.67,Elite,326
Dwarf: ,Female,66,135,44,Chaotic Evil,"[ 11, 06, 09, 10, 13, 10 ]",9.83,Commoner,350
Dwarf: ,Female,62,125,50,Lawful Evil,"[ 08, 08, 04, 05, 11, 09 ]",7.5,Commoner,381
Dwarf: ,Male,79,145,49,Neutral Evil,"[ 06, 13, 06, 08, 10, 09 ]",8.67,Commoner,398
Dwarf: ,Female,74,125,50,Chaotic Good,"[ 07, 12, 10, 04, 11, 04 ]",8.0,Commoner,351
Dwarf: ,Female,61,125,50,Chaotic Good,"[ 13, 09, 04, 08, 09, 13 ]",9.33,Commoner,351
Dwarf: ,Male,70,148,52,Chaotic Good,"[ 10, 11, 07, 11, 13, 05 ]",9.5,Commoner,376
Dwarf: ,Female,64,122,45,Neutral Good,"[ 10, 05, 11, 12, 13, 09 ]",10.0,Commoner,297
Dwarf: ,Female,70,134,42,Chaotic Evil,"[ 10, 09, 08, 04, 11, 10 ]",8.67,Commoner,304
Dwarf: ,Male,64,158,44,Lawful Neutral,"[ 08, 08, 12, 09, 13, 11 ]",10.17,Commoner,379
Dwarf: ,Male,74,152,52,Lawful Evil,"[ 09, 07, 11, 13, 16, 09 ]",10.83,Commoner,395
Dwarf: ,Male,65,146,49,Lawful Good,"[ 08, 07, 14, 08, 11, 07 ]",9.17,Commoner,314
Dwarf: ,Female,69,128,48,Chaotic Neutral,"[ 09, 07, 08, 08, 08, 10 ]",8.33,Commoner,359
Dwarf: ,Female,72,115,42,Lawful Evil,"[ 08, 09, 07, 12, 04, 08 ]",8.0,Commoner,288
Dwarf: ,Male,63,145,45,Lawful Evil,"[ 09, 10, 11, 12, 13, 08 ]",10.5,Commoner,358
Dwarf: ,Female,64,127,51,Lawful Neutral,"[ 10, 08, 11, 13, 07, 10 ]",9.83,Commoner,331
Elf: ,Male,112,102,64,Lawful Evil,"[ 13, 17, 09, 11, 13, 10 ]",12.17,Elite,473
Human: ,Female,18,125,68,Lawful Good,"[ 11, 11, 13, 09, 16, 14 ]",12.33,Elite,108
Dwarf: ,Female,77,132,43,Chaotic Neutral,"[ 10, 11, 09, 07, 09, 03 ]",8.17,Commoner,375
Dwarf: ,Male,77,153,50,Chaotic Good,"[ 09, 10, 16, 09, 16, 09 ]",11.5,Elite,374
Halfling: ,Male,29,65,40,Lawful Neutral,"[ 14, 10, 17, 13, 08, 12 ]",12.33,Elite,168
Dwarf: ,Female,86,127,47,True Neutral,"[ 11, 13, 11, 08, 07, 07 ]",9.5,Commoner,284
Dwarf: ,Male,52,148,52,Chaotic Neutral,"[ 11, 09, 11, 05, 12, 08 ]",9.33,Commoner,277
Dwarf: ,Female,64,126,42,True Neutral,"[ 11, 11, 09, 09, 09, 06 ]",9.17,Commoner,405
Dwarf: ,Female,74,117,51,Chaotic Neutral,"[ 10, 11, 06, 12, 05, 08 ]",8.67,Commoner,335
Dwarf: ,Male,65,154,48,Lawful Good,"[ 11, 10, 05, 10, 13, 08 ]",9.5,Commoner,323
Dwarf: ,Female,66,130,47,Chaotic Neutral,"[ 10, 09, 11, 06, 09, 09 ]",9.0,Commoner,420
Dwarf: ,Female,68,131,45,Chaotic Good,"[ 08, 08, 09, 03, 07, 15 ]",8.33,Commoner,294
Dwarf: ,Female,59,129,45,True Neutral,"[ 04, 06, 09, 07, 06, 13 ]",7.5,Commoner,321
Dwarf: ,Male,61,150,52,Chaotic Good,"[ 05, 13, 07, 07, 05, 07 ]",7.33,Commoner,423
Human: ,Male,17,159,70,Chaotic Evil,"[ 17, 07, 17, 12, 09, 09 ]",11.83,Elite,103
Dwarf: ,Male,73,156,47,Neutral Evil,"[ 08, 08, 08, 10, 06, 12 ]",8.67,Commoner,341
Dwarf: ,Female,73,130,47,Chaotic Neutral,"[ 08, 09, 08, 11, 05, 12 ]",8.83,Commoner,417
Dwarf: ,Male,64,160,45,Lawful Evil,"[ 12, 11, 09, 11, 12, 13 ]",11.33,Elite,408
Dwarf: ,Female,77,126,43,Chaotic Good,"[ 08, 06, 08, 08, 09, 08 ]",7.83,Commoner,395
Dwarf: ,Male,73,166,46,Neutral Good,"[ 06, 10, 11, 10, 10, 13 ]",10.0,Commoner,350
Dwarf: ,Female,64,136,49,Lawful Neutral,"[ 12, 10, 12, 09, 09, 10 ]",10.33,Commoner,365
Dwarf: ,Female,65,123,48,Chaotic Neutral,"[ 08, 10, 12, 08, 08, 10 ]",9.33,Commoner,313
Dwarf: ,Male,68,145,48,Lawful Evil,"[ 09, 10, 05, 07, 09, 09 ]",8.17,Commoner,434
Dwarf: ,Female,68,127,42,Neutral Good,"[ 09, 05, 08, 08, 08, 06 ]",7.33,Commoner,321
Dwarf: ,Female,61,118,42,Chaotic Neutral,"[ 13, 05, 07, 07, 12, 12 ]",9.33,Commoner,395
Dwarf: ,Female,83,128,50,Neutral Good,"[ 10, 14, 09, 11, 11, 07 ]",10.33,Commoner,365
Dwarf: ,Male,74,151,49,Chaotic Evil,"[ 08, 10, 11, 14, 10, 12 ]",10.83,Commoner,312
Dwarf: ,Female,70,126,43,Chaotic Good,"[ 10, 05, 07, 04, 06, 08 ]",6.67,Commoner,351
Dwarf: ,Male,78,156,47,Lawful Evil,"[ 05, 07, 15, 13, 12, 13 ]",10.83,Commoner,322
Dwarf: ,Female,66,115,48,Lawful Good,"[ 06, 08, 07, 07, 08, 14 ]",8.33,Commoner,354
Dwarf: ,Female,66,128,48,Chaotic Evil,"[ 08, 10, 08, 09, 14, 05 ]",9.0,Commoner,309
Dwarf: ,Female,71,128,49,True Neutral,"[ 08, 09, 06, 12, 07, 06 ]",8.0,Commoner,293
Dwarf: ,Female,69,132,42,True Neutral,"[ 09, 13, 09, 11, 06, 06 ]",9.0,Commoner,356
Dwarf: ,Female,59,136,50,Chaotic Evil,"[ 09, 11, 09, 10, 06, 04 ]",8.17,Commoner,340
Half-Elf: ,Male,21,139,69,True Neutral,"[ 09, 10, 17, 14, 11, 14 ]",12.5,Elite,155
Dwarf: ,Male,64,154,46,Neutral Good,"[ 11, 09, 12, 09, 11, 06 ]",9.67,Commoner,419
Dwarf: ,Male,65,143,50,Lawful Good,"[ 15, 06, 13, 08, 15, 09 ]",11.0,Commoner,412
Dwarf: ,Male,62,154,48,Neutral Good,"[ 04, 09, 05, 09, 11, 07 ]",7.5,Commoner,417
Dwarf: ,Male,67,157,51,Chaotic Evil,"[ 10, 12, 05, 05, 08, 11 ]",8.5,Commoner,356
Dwarf: ,Male,69,154,51,Lawful Good,"[ 12, 10, 07, 13, 08, 11 ]",10.17,Commoner,290
Dwarf: ,Male,75,152,50,Chaotic Evil,"[ 04, 09, 12, 10, 09, 14 ]",9.67,Commoner,336
Dwarf: ,Female,68,133,45,Chaotic Evil,"[ 11, 10, 10, 11, 05, 10 ]",9.5,Commoner,331
Dwarf: ,Female,55,125,47,Lawful Evil,"[ 07, 14, 15, 13, 11, 09 ]",11.5,Elite,397
