Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Male,71,157,44,Chaotic Good,"[ 10, 05, 08, 11, 08, 15 ]",9.5,Commoner,353
Dwarf: ,Female,69,128,44,True Neutral,"[ 18, 17, 11, 06, 06, 05 ]",10.5,Commoner,377
Dwarf: ,Male,63,144,49,Lawful Good,"[ 13, 08, 09, 12, 08, 08 ]",9.67,Commoner,373
Dwarf: ,Male,75,146,45,Chaotic Evil,"[ 10, 11, 13, 06, 13, 10 ]",10.5,Commoner,353
Dwarf: ,Male,74,152,52,Chaotic Good,"[ 03, 10, 09, 09, 11, 07 ]",8.17,Commoner,417
Dwarf: ,Male,63,157,48,Lawful Good,"[ 11, 05, 10, 11, 10, 09 ]",9.33,Commoner,404
Dwarf: ,Male,58,155,49,Lawful Good,"[ 11, 11, 07, 13, 14, 09 ]",10.83,Commoner,318
Half-Elf: ,Male,18,142,70,Lawful Neutral,"[ 17, 17, 10, 09, 14, 11 ]",13.0,Adventurer,150
Dwarf: ,Male,70,161,47,Neutral Good,"[ 08, 06, 12, 07, 12, 06 ]",8.5,Commoner,326
Dwarf: ,Male,80,150,49,Lawful Good,"[ 03, 07, 06, 16, 16, 10 ]",9.67,Commoner,313
Dwarf: ,Female,71,135,42,Lawful Evil,"[ 08, 08, 11, 08, 07, 09 ]",8.5,Commoner,394
Dwarf: ,Female,64,128,50,Neutral Good,"[ 10, 13, 10, 05, 09, 07 ]",9.0,Commoner,276
Dwarf: ,Male,62,158,50,Lawful Evil,"[ 18, 10, 08, 18, 06, 04 ]",10.67,Commoner,337
Dwarf: ,Male,75,162,47,Chaotic Good,"[ 08, 11, 11, 05, 07, 05 ]",7.83,Commoner,393
Dwarf: ,Female,74,127,44,Neutral Good,"[ 09, 09, 09, 10, 08, 08 ]",8.83,Commoner,323
Dwarf: ,Female,68,126,48,True Neutral,"[ 09, 09, 05, 10, 12, 09 ]",9.0,Commoner,417
Dwarf: ,Male,81,144,49,Lawful Neutral,"[ 13, 13, 07, 09, 05, 09 ]",9.33,Commoner,376
Dwarf: ,Female,76,124,50,Neutral Evil,"[ 09, 10, 14, 10, 10, 08 ]",10.17,Commoner,329
Dwarf: ,Male,73,159,50,Lawful Neutral,"[ 09, 11, 04, 07, 06, 10 ]",7.83,Commoner,308
Dwarf: ,Male,61,150,51,Neutral Good,"[ 11, 07, 12, 06, 08, 06 ]",8.33,Commoner,402
Dwarf: ,Male,72,153,52,Lawful Evil,"[ 10, 10, 10, 08, 10, 06 ]",9.0,Commoner,366
Dwarf: ,Male,53,154,48,Lawful Good,"[ 10, 06, 11, 10, 11, 10 ]",9.67,Commoner,274
Dwarf: ,Male,58,148,45,Chaotic Evil,"[ 13, 11, 09, 06, 07, 11 ]",9.5,Commoner,336
Dwarf: ,Female,73,123,45,True Neutral,"[ 04, 08, 08, 09, 10, 12 ]",8.5,Commoner,419
Dwarf: ,Male,70,158,45,Lawful Neutral,"[ 07, 06, 11, 08, 07, 07 ]",7.67,Commoner,342
Dwarf: ,Male,74,159,44,Chaotic Evil,"[ 10, 11, 06, 09, 09, 09 ]",9.0,Commoner,385
Dwarf: ,Male,87,147,44,Lawful Evil,"[ 12, 09, 12, 10, 10, 11 ]",10.67,Commoner,344
Dwarf: ,Female,77,124,43,True Neutral,"[ 09, 09, 07, 11, 17, 12 ]",10.83,Commoner,330
